node	worker	slot
639	122	1
640	123	1
641	124	1
642	125	1
643	126	1
644	127	1
645	0	18
646	1	18
647	2	18
648	3	18
649	4	18
650	0	19
651	1	19
652	2	19
653	3	19
654	4	19
655	5	13
656	6	13
657	7	13
658	8	13
659	9	13
660	10	11
661	11	11
662	12	11
663	13	11
664	14	11
665	15	11
666	16	11
667	17	11
668	18	11
669	19	11
670	20	9
671	21	9
672	22	9
673	23	9
674	24	9
675	25	9
676	26	9
677	27	9
678	28	9
679	29	9
680	30	9
681	31	9
