model	split	fp32_partials	round	pass	mismatch	max_abs	partial_bytes	l05_ms	l1_ms	l2_ms
mha4	8	1	2	1	0	0.046875	75497472	2.211968	2.127040	2.264640
mha4	16	0	2	0	67	0.09375	75497472	2.038656	2.019424	2.064544
mha4	16	1	2	1	0	0.03125	150994944	2.631680	2.561728	2.656768
gqa2	1	0	2	1	0	0.03125	0	0.559392	0.534240	0.575360
gqa2	1	1	2	1	0	0.03125	0	0.560224	0.534432	0.572384
gqa2	2	1	3	1	0	0.03125	8388608	1.315456	1.273600	1.334880
gqa2	4	0	3	0	1	0.0625	8388608	0.973120	0.924384	0.981184
gqa2	4	1	3	1	0	0.03125	16777216	1.065280	1.015456	1.070784
gqa2	8	0	3	1	0	0.0625	16777216	0.955264	0.919392	0.965376
gqa2	8	1	3	1	0	0.03125	33554432	1.082176	1.035296	1.088192
gqa2	16	0	3	0	3	0.09375	33554432	1.014272	0.999616	1.015744
gqa2	16	1	3	1	0	0.03125	67108864	1.240192	1.206304	1.240864
mha4	1	0	3	1	0	0.03125	0	1.117632	1.068960	1.166464
mha4	1	1	3	1	0	0.03125	0	1.124224	1.068352	1.170720
mha4	2	0	3	0	64	0.078125	9437184	2.512928	2.415776	2.556992
mha4	2	1	3	1	0	0.046875	18874368	2.631584	2.548992	2.687680
mha4	4	0	3	0	75	0.078125	18874368	1.945472	1.847712	1.976064
mha4	4	1	3	1	0	0.03125	37748736	2.140480	2.046016	2.175872
mha4	8	0	3	0	71	0.09375	37748736	1.900160	1.835648	1.954656
mha4	8	1	3	1	0	0.046875	75497472	2.212000	2.126048	2.262272
mha4	16	0	3	0	67	0.09375	75497472	2.036832	2.017312	2.064672
mha4	16	1	3	1	0	0.03125	150994944	2.629952	2.564352	2.656672
gqa2	1	0	3	1	0	0.03125	0	0.556928	0.533920	0.575136
gqa2	1	1	3	1	0	0.03125	0	0.559232	0.538112	0.572800
gqa2	2	0	3	0	2	0.09375	4194304	1.254464	1.209472	1.272448
gqa2	4	0	4	0	1	0.0625	8388608	0.972544	0.925728	0.982976
gqa2	4	1	4	1	0	0.03125	16777216	1.063104	1.014368	1.070880
gqa2	8	0	4	1	0	0.0625	16777216	0.951584	0.918624	0.964000
gqa2	8	1	4	1	0	0.03125	33554432	1.080960	1.035936	1.089504
gqa2	16	0	4	0	3	0.09375	33554432	1.013600	1.001280	1.015488
gqa2	16	1	4	1	0	0.03125	67108864	1.232864	1.196608	1.236576
mha4	1	0	4	1	0	0.03125	0	1.116576	1.066624	1.167040
mha4	1	1	4	1	0	0.03125	0	1.124096	1.069344	1.171232
mha4	2	0	4	0	64	0.078125	9437184	2.505408	2.416512	2.557920
mha4	2	1	4	1	0	0.046875	18874368	2.632224	2.547744	2.687552
mha4	4	0	4	0	75	0.078125	18874368	1.943680	1.849184	1.977600
mha4	4	1	4	1	0	0.03125	37748736	2.143744	2.046080	2.176192
mha4	8	0	4	0	71	0.09375	37748736	1.899136	1.834368	1.952992
mha4	8	1	4	1	0	0.046875	75497472	2.214112	2.126944	2.264704
mha4	16	0	4	0	67	0.09375	75497472	2.038176	2.017184	2.064640
mha4	16	1	4	1	0	0.03125	150994944	2.631808	2.560768	2.657056
gqa2	1	0	4	1	0	0.03125	0	0.557568	0.534304	0.575168
gqa2	1	1	4	1	0	0.03125	0	0.560000	0.533568	0.570720
gqa2	2	0	4	0	2	0.09375	4194304	1.251936	1.209920	1.269280
gqa2	2	1	4	1	0	0.03125	8388608	1.313792	1.273504	1.334624
gqa2	4	1	5	1	0	0.03125	16777216	1.061760	1.014208	1.069376
gqa2	8	0	5	1	0	0.0625	16777216	0.949920	0.917600	0.964416
gqa2	8	1	5	1	0	0.03125	33554432	1.082592	1.035648	1.087040
gqa2	16	0	5	0	3	0.09375	33554432	1.016672	0.999520	1.017504
gqa2	16	1	5	1	0	0.03125	67108864	1.241888	1.208288	1.244640
mha4	1	0	5	1	0	0.03125	0	1.114176	1.068448	1.166912
mha4	1	1	5	1	0	0.03125	0	1.123904	1.067040	1.170784
mha4	2	0	5	0	64	0.078125	9437184	2.505024	2.415008	2.556992
mha4	2	1	5	1	0	0.046875	18874368	2.629696	2.548128	2.686432
mha4	4	0	5	0	75	0.078125	18874368	1.943040	1.848992	1.978304
mha4	4	1	5	1	0	0.03125	37748736	2.142336	2.047040	2.175552
mha4	8	0	5	0	71	0.09375	37748736	1.896576	1.833056	1.951328
mha4	8	1	5	1	0	0.046875	75497472	2.212192	2.125984	2.263680
mha4	16	0	5	0	67	0.09375	75497472	2.040704	2.016544	2.064320
mha4	16	1	5	1	0	0.03125	150994944	2.630496	2.561152	2.657440
gqa2	1	0	5	1	0	0.03125	0	0.558400	0.533024	0.574368
gqa2	1	1	5	1	0	0.03125	0	0.559776	0.533856	0.572320
gqa2	2	0	5	0	2	0.09375	4194304	1.253920	1.210208	1.271744
gqa2	2	1	5	1	0	0.03125	8388608	1.317216	1.273728	1.334624
gqa2	4	0	5	0	1	0.0625	8388608	0.974624	0.923712	0.980800
gqa2	8	0	6	1	0	0.0625	16777216	0.952384	0.918496	0.963136
gqa2	8	1	6	1	0	0.03125	33554432	1.081920	1.035904	1.086784
gqa2	16	0	6	0	3	0.09375	33554432	1.017856	1.000480	1.017344
gqa2	16	1	6	1	0	0.03125	67108864	1.241536	1.208576	1.244736
mha4	1	0	6	1	0	0.03125	0	1.114752	1.068416	1.165472
mha4	1	1	6	1	0	0.03125	0	1.124192	1.066816	1.169632
mha4	2	0	6	0	64	0.078125	9437184	2.504672	2.419008	2.559360
mha4	2	1	6	1	0	0.046875	18874368	2.629696	2.546560	2.687488
mha4	4	0	6	0	75	0.078125	18874368	1.941952	1.848352	1.977760
mha4	4	1	6	1	0	0.03125	37748736	2.140992	2.045152	2.174464
mha4	8	0	6	0	71	0.09375	37748736	1.895968	1.832384	1.951328
mha4	8	1	6	1	0	0.046875	75497472	2.214144	2.125280	2.262144
mha4	16	0	6	0	67	0.09375	75497472	2.036576	2.018720	2.064224
mha4	16	1	6	1	0	0.03125	150994944	2.631936	2.562080	2.655360
gqa2	1	0	6	1	0	0.03125	0	0.557216	0.533280	0.576800
gqa2	1	1	6	1	0	0.03125	0	0.558752	0.534912	0.572448
gqa2	2	0	6	0	2	0.09375	4194304	1.253600	1.209280	1.270464
gqa2	2	1	6	1	0	0.03125	8388608	1.315616	1.273696	1.334848
gqa2	4	0	6	0	1	0.0625	8388608	0.974272	0.924448	0.981216
gqa2	4	1	6	1	0	0.03125	16777216	1.061856	1.014560	1.069472
gqa2	8	1	7	1	0	0.03125	33554432	1.084032	1.035488	1.086240
gqa2	16	0	7	0	3	0.09375	33554432	1.019072	1.000064	1.016736
gqa2	16	1	7	1	0	0.03125	67108864	1.243584	1.211296	1.247712
mha4	1	0	7	1	0	0.03125	0	1.116192	1.067520	1.165504
mha4	1	1	7	1	0	0.03125	0	1.124192	1.069024	1.169664
mha4	2	0	7	0	64	0.078125	9437184	2.505024	2.417952	2.559360
mha4	2	1	7	1	0	0.046875	18874368	2.629888	2.547328	2.687680
mha4	4	0	7	0	75	0.078125	18874368	1.942272	1.848768	1.976224
mha4	4	1	7	1	0	0.03125	37748736	2.140736	2.045536	2.175552
mha4	8	0	7	0	71	0.09375	37748736	1.897792	1.834912	1.951808
mha4	8	1	7	1	0	0.046875	75497472	2.211776	2.125312	2.264960
mha4	16	0	7	0	67	0.09375	75497472	2.036768	2.018720	2.062944
mha4	16	1	7	1	0	0.03125	150994944	2.633056	2.563104	2.657280
gqa2	1	0	7	1	0	0.03125	0	0.558528	0.534528	0.574560
gqa2	1	1	7	1	0	0.03125	0	0.559008	0.534784	0.573088
gqa2	2	0	7	0	2	0.09375	4194304	1.256704	1.208320	1.271136
gqa2	2	1	7	1	0	0.03125	8388608	1.316384	1.275008	1.335168
gqa2	4	0	7	0	1	0.0625	8388608	0.973344	0.924288	0.981248
gqa2	4	1	7	1	0	0.03125	16777216	1.062208	1.013984	1.069376
gqa2	8	0	7	1	0	0.0625	16777216	0.951520	0.917664	0.963872
gqa2	16	0	8	0	3	0.09375	33554432	1.019168	0.999616	1.017248
gqa2	16	1	8	1	0	0.03125	67108864	1.239712	1.205024	1.242496
mha4	1	0	8	1	0	0.03125	0	1.114784	1.069088	1.165952
mha4	1	1	8	1	0	0.03125	0	1.123872	1.066688	1.170432
mha4	2	0	8	0	64	0.078125	9437184	2.505376	2.415104	2.558176
mha4	2	1	8	1	0	0.046875	18874368	2.635008	2.548960	2.687584
mha4	4	0	8	0	75	0.078125	18874368	1.942656	1.848032	1.977248
mha4	4	1	8	1	0	0.03125	37748736	2.139616	2.044224	2.175392
mha4	8	0	8	0	71	0.09375	37748736	1.895904	1.831872	1.950176
mha4	8	1	8	1	0	0.046875	75497472	2.210464	2.124640	2.261312
mha4	16	0	8	0	67	0.09375	75497472	2.034944	2.019296	2.064480
mha4	16	1	8	1	0	0.03125	150994944	2.634080	2.562976	2.656544
gqa2	1	0	8	1	0	0.03125	0	0.558720	0.533472	0.575776
gqa2	1	1	8	1	0	0.03125	0	0.560384	0.534304	0.571520
gqa2	2	0	8	0	2	0.09375	4194304	1.251456	1.210944	1.271552
gqa2	2	1	8	1	0	0.03125	8388608	1.318112	1.272320	1.333440
gqa2	4	0	8	0	1	0.0625	8388608	0.980032	0.923840	0.981248
gqa2	4	1	8	1	0	0.03125	16777216	1.061184	1.014656	1.069536
gqa2	8	0	8	1	0	0.0625	16777216	0.951712	0.924256	0.963328
gqa2	8	1	8	1	0	0.03125	33554432	1.080352	1.036000	1.086400
gqa2	16	1	9	1	0	0.03125	67108864	1.240576	1.207232	1.245760
mha4	1	0	9	1	0	0.03125	0	1.114688	1.067232	1.167136
mha4	1	1	9	1	0	0.03125	0	1.123808	1.069184	1.170144
mha4	2	0	9	0	64	0.078125	9437184	2.508448	2.417376	2.559296
mha4	2	1	9	1	0	0.046875	18874368	2.629120	2.548064	2.687488
mha4	4	0	9	0	75	0.078125	18874368	1.942752	1.846080	1.976640
mha4	4	1	9	1	0	0.03125	37748736	2.137920	2.046176	2.175648
mha4	8	0	9	0	71	0.09375	37748736	1.894944	1.833312	1.952096
mha4	8	1	9	1	0	0.046875	75497472	2.213824	2.124416	2.262048
mha4	16	0	9	0	67	0.09375	75497472	2.037216	2.018304	2.064960
mha4	16	1	9	1	0	0.03125	150994944	2.627552	2.562176	2.656608
gqa2	1	0	9	1	0	0.03125	0	0.558752	0.534176	0.575680
gqa2	1	1	9	1	0	0.03125	0	0.559360	0.534656	0.571904
gqa2	2	0	9	0	2	0.09375	4194304	1.250304	1.209504	1.270240
gqa2	2	1	9	1	0	0.03125	8388608	1.322784	1.275392	1.333792
gqa2	4	0	9	0	1	0.0625	8388608	0.974208	0.924096	0.981120
gqa2	4	1	9	1	0	0.03125	16777216	1.062368	1.013760	1.069760
gqa2	8	0	9	1	0	0.0625	16777216	0.952480	0.917216	0.963040
gqa2	8	1	9	1	0	0.03125	33554432	1.081664	1.034976	1.087776
gqa2	16	0	9	0	3	0.09375	33554432	1.016288	0.999808	1.017568
mha4	1	0	10	1	0	0.03125	0	1.116640	1.067616	1.167584
mha4	1	1	10	1	0	0.03125	0	1.125216	1.069760	1.171392
mha4	2	0	10	0	64	0.078125	9437184	2.502688	2.415136	2.558368
mha4	2	1	10	1	0	0.046875	18874368	2.627584	2.547232	2.686272
mha4	4	0	10	0	75	0.078125	18874368	1.942560	1.846880	1.976096
mha4	4	1	10	1	0	0.03125	37748736	2.139552	2.045760	2.175712
mha4	8	0	10	0	71	0.09375	37748736	1.896928	1.834304	1.949344
mha4	8	1	10	1	0	0.046875	75497472	2.211776	2.124128	2.259648
mha4	16	0	10	0	67	0.09375	75497472	2.036640	2.016800	2.062016
mha4	16	1	10	1	0	0.03125	150994944	2.631488	2.563392	2.657536
gqa2	1	0	10	1	0	0.03125	0	0.558880	0.534016	0.574848
gqa2	1	1	10	1	0	0.03125	0	0.558880	0.534080	0.571232
gqa2	2	0	10	0	2	0.09375	4194304	1.252000	1.209056	1.269312
gqa2	2	1	10	1	0	0.03125	8388608	1.317024	1.274016	1.333728
gqa2	4	0	10	0	1	0.0625	8388608	0.973600	0.923136	0.980672
gqa2	4	1	10	1	0	0.03125	16777216	1.063136	1.013696	1.069248
gqa2	8	0	10	1	0	0.0625	16777216	0.952704	0.917536	0.964288
gqa2	8	1	10	1	0	0.03125	33554432	1.081536	1.034560	1.086656
gqa2	16	0	10	0	3	0.09375	33554432	1.016480	1.000384	1.017120
gqa2	16	1	10	1	0	0.03125	67108864	1.230784	1.199552	1.236832
mha4	1	1	11	1	0	0.03125	0	1.124224	1.066720	1.167808
mha4	2	0	11	0	64	0.078125	9437184	2.505312	2.419168	2.560896
mha4	2	1	11	1	0	0.046875	18874368	2.632000	2.548768	2.689440
mha4	4	0	11	0	75	0.078125	18874368	1.942944	1.849952	1.977792
mha4	4	1	11	1	0	0.03125	37748736	2.140000	2.046432	2.177248
mha4	8	0	11	0	71	0.09375	37748736	1.904704	1.835008	1.953504
mha4	8	1	11	1	0	0.046875	75497472	2.212896	2.124736	2.261792
mha4	16	0	11	0	67	0.09375	75497472	2.035648	2.017248	2.064448
mha4	16	1	11	1	0	0.03125	150994944	2.632512	2.562720	2.657280
gqa2	1	0	11	1	0	0.03125	0	0.560000	0.532960	0.575616
gqa2	1	1	11	1	0	0.03125	0	0.559008	0.534496	0.571424
gqa2	2	0	11	0	2	0.09375	4194304	1.249760	1.209504	1.270848
gqa2	2	1	11	1	0	0.03125	8388608	1.318624	1.272064	1.333088
gqa2	4	0	11	0	1	0.0625	8388608	0.973824	0.923776	0.980704
gqa2	4	1	11	1	0	0.03125	16777216	1.061376	1.015360	1.070464
gqa2	8	0	11	1	0	0.0625	16777216	0.954368	0.917088	0.964032
gqa2	8	1	11	1	0	0.03125	33554432	1.082144	1.035904	1.086848
gqa2	16	0	11	0	3	0.09375	33554432	1.016160	0.999904	1.016032
gqa2	16	1	11	1	0	0.03125	67108864	1.245600	1.205376	1.241376
mha4	1	0	11	1	0	0.03125	0	1.116736	1.066784	1.167488
mha4	2	0	12	0	64	0.078125	9437184	2.511520	2.416992	2.558784
mha4	2	1	12	1	0	0.046875	18874368	2.631328	2.546464	2.686976
mha4	4	0	12	0	75	0.078125	18874368	1.941856	1.847968	1.974880
mha4	4	1	12	1	0	0.03125	37748736	2.142240	2.046048	2.176768
mha4	8	0	12	0	71	0.09375	37748736	1.896576	1.833184	1.950400
mha4	8	1	12	1	0	0.046875	75497472	2.213600	2.127936	2.265440
mha4	16	0	12	0	67	0.09375	75497472	2.036608	2.016096	2.063904
mha4	16	1	12	1	0	0.03125	150994944	2.632032	2.562624	2.657216
gqa2	1	0	12	1	0	0.03125	0	0.557312	0.532832	0.577280
gqa2	1	1	12	1	0	0.03125	0	0.559040	0.533760	0.570976
gqa2	2	0	12	0	2	0.09375	4194304	1.252800	1.208672	1.269920
gqa2	2	1	12	1	0	0.03125	8388608	1.317184	1.274080	1.334944
gqa2	4	0	12	0	1	0.0625	8388608	0.974048	0.924256	0.980672
gqa2	4	1	12	1	0	0.03125	16777216	1.063008	1.013984	1.069312
gqa2	8	0	12	1	0	0.0625	16777216	0.953504	0.916896	0.964000
gqa2	8	1	12	1	0	0.03125	33554432	1.083360	1.036160	1.089408
gqa2	16	0	12	0	3	0.09375	33554432	1.016640	0.999168	1.016000
gqa2	16	1	12	1	0	0.03125	67108864	1.245376	1.208160	1.244800
mha4	1	0	12	1	0	0.03125	0	1.114720	1.066272	1.166720
mha4	1	1	12	1	0	0.03125	0	1.124864	1.069376	1.169792
mha4	2	1	13	1	0	0.046875	18874368	2.630752	2.546848	2.688928
mha4	4	0	13	0	75	0.078125	18874368	1.941952	1.847136	1.977792
mha4	4	1	13	1	0	0.03125	37748736	2.141760	2.045568	2.175168
mha4	8	0	13	0	71	0.09375	37748736	1.895936	1.832448	1.951232
mha4	8	1	13	1	0	0.046875	75497472	2.212224	2.127584	2.263264
mha4	16	0	13	0	67	0.09375	75497472	2.033792	2.016608	2.064192
mha4	16	1	13	1	0	0.03125	150994944	2.633280	2.562144	2.653952
gqa2	1	0	13	1	0	0.03125	0	0.557472	0.533824	0.576896
gqa2	1	1	13	1	0	0.03125	0	0.557312	0.535264	0.571456
gqa2	2	0	13	0	2	0.09375	4194304	1.254048	1.208672	1.271648
gqa2	2	1	13	1	0	0.03125	8388608	1.321696	1.273600	1.335040
gqa2	4	0	13	0	1	0.0625	8388608	0.973024	0.923840	0.980864
gqa2	4	1	13	1	0	0.03125	16777216	1.062880	1.013696	1.068992
gqa2	8	0	13	1	0	0.0625	16777216	0.953216	0.918816	0.965920
gqa2	8	1	13	1	0	0.03125	33554432	1.083200	1.035840	1.086880
gqa2	16	0	13	0	3	0.09375	33554432	1.015808	0.999936	1.017632
gqa2	16	1	13	1	0	0.03125	67108864	1.240864	1.206400	1.243232
mha4	1	0	13	1	0	0.03125	0	1.114944	1.066848	1.167360
mha4	1	1	13	1	0	0.03125	0	1.123328	1.068320	1.170720
mha4	2	0	13	0	64	0.078125	9437184	2.509888	2.416064	2.556480
mha4	4	0	14	0	75	0.078125	18874368	1.941504	1.847488	1.977792
mha4	4	1	14	1	0	0.03125	37748736	2.140800	2.045760	2.175488
mha4	8	0	14	0	71	0.09375	37748736	1.897184	1.833088	1.951456
mha4	8	1	14	1	0	0.046875	75497472	2.211136	2.124992	2.264160
mha4	16	0	14	0	67	0.09375	75497472	2.038624	2.016928	2.064448
mha4	16	1	14	1	0	0.03125	150994944	2.629920	2.560768	2.655520
gqa2	1	0	14	1	0	0.03125	0	0.558688	0.533856	0.573696
gqa2	1	1	14	1	0	0.03125	0	0.559680	0.534144	0.570240
gqa2	2	0	14	0	2	0.09375	4194304	1.250816	1.208416	1.270272
gqa2	2	1	14	1	0	0.03125	8388608	1.315008	1.273440	1.334784
gqa2	4	0	14	0	1	0.0625	8388608	0.971072	0.923424	0.980288
gqa2	4	1	14	1	0	0.03125	16777216	1.063232	1.013536	1.069056
gqa2	8	0	14	1	0	0.0625	16777216	0.954304	0.919264	0.964640
gqa2	8	1	14	1	0	0.03125	33554432	1.080832	1.035168	1.087040
gqa2	16	0	14	0	3	0.09375	33554432	1.017728	1.002080	1.017728
gqa2	16	1	14	1	0	0.03125	67108864	1.232992	1.198656	1.242048
mha4	1	0	14	1	0	0.03125	0	1.116800	1.067936	1.165280
mha4	1	1	14	1	0	0.03125	0	1.124192	1.069792	1.169536
mha4	2	0	14	0	64	0.078125	9437184	2.514528	2.417440	2.558144
mha4	2	1	14	1	0	0.046875	18874368	2.629440	2.546592	2.685952
mha4	4	1	15	1	0	0.03125	37748736	2.142144	2.045632	2.175776
mha4	8	0	15	0	71	0.09375	37748736	1.898656	1.835008	1.949664
mha4	8	1	15	1	0	0.046875	75497472	2.208704	2.124832	2.260960
mha4	16	0	15	0	67	0.09375	75497472	2.035616	2.017312	2.062464
mha4	16	1	15	1	0	0.03125	150994944	2.628960	2.562400	2.657376
gqa2	1	0	15	1	0	0.03125	0	0.558784	0.532832	0.575456
gqa2	1	1	15	1	0	0.03125	0	0.559200	0.534784	0.568832
gqa2	2	0	15	0	2	0.09375	4194304	1.251424	1.208928	1.269792
gqa2	2	1	15	1	0	0.03125	8388608	1.317536	1.273408	1.334880
gqa2	4	0	15	0	1	0.0625	8388608	0.978944	0.924128	0.980832
gqa2	4	1	15	1	0	0.03125	16777216	1.063200	1.015840	1.069344
gqa2	8	0	15	1	0	0.0625	16777216	0.952192	0.916896	0.963712
gqa2	8	1	15	1	0	0.03125	33554432	1.080480	1.035712	1.087392
gqa2	16	0	15	0	3	0.09375	33554432	1.015584	0.999936	1.016864
gqa2	16	1	15	1	0	0.03125	67108864	1.238688	1.205536	1.241984
mha4	1	0	15	1	0	0.03125	0	1.115072	1.065952	1.164416
mha4	1	1	15	1	0	0.03125	0	1.125184	1.068704	1.169504
mha4	2	0	15	0	64	0.078125	9437184	2.502560	2.416320	2.559040
mha4	2	1	15	1	0	0.046875	18874368	2.630048	2.546336	2.685664
mha4	4	0	15	0	75	0.078125	18874368	1.941088	1.847232	1.975808
mha4	8	0	16	0	71	0.09375	37748736	1.895296	1.832928	1.949760
mha4	8	1	16	1	0	0.046875	75497472	2.209664	2.124192	2.260640
mha4	16	0	16	0	67	0.09375	75497472	2.026368	2.011168	2.061664
mha4	16	1	16	1	0	0.03125	150994944	2.627648	2.560608	2.654688
gqa2	1	0	16	1	0	0.03125	0	0.557792	0.533024	0.578944
gqa2	1	1	16	1	0	0.03125	0	0.559520	0.534688	0.572128
gqa2	2	0	16	0	2	0.09375	4194304	1.251840	1.208704	1.270080
gqa2	2	1	16	1	0	0.03125	8388608	1.316416	1.272416	1.333888
gqa2	4	0	16	0	1	0.0625	8388608	0.972960	0.924160	0.981312
gqa2	4	1	16	1	0	0.03125	16777216	1.063328	1.014688	1.069376
gqa2	8	0	16	1	0	0.0625	16777216	0.952288	0.917664	0.964320
gqa2	8	1	16	1	0	0.03125	33554432	1.085184	1.035392	1.088352
gqa2	16	0	16	0	3	0.09375	33554432	1.014688	1.001472	1.016512
gqa2	16	1	16	1	0	0.03125	67108864	1.240544	1.209184	1.245248
mha4	1	0	16	1	0	0.03125	0	1.113216	1.067776	1.167840
mha4	1	1	16	1	0	0.03125	0	1.125152	1.066560	1.169920
mha4	2	0	16	0	64	0.078125	9437184	2.505728	2.415488	2.559648
mha4	2	1	16	1	0	0.046875	18874368	2.632000	2.547168	2.685760
mha4	4	0	16	0	75	0.078125	18874368	1.941728	1.847392	1.976352
mha4	4	1	16	1	0	0.03125	37748736	2.137408	2.044864	2.176736
mha4	8	1	17	1	0	0.046875	75497472	2.210912	2.126176	2.262080
mha4	16	0	17	0	67	0.09375	75497472	2.039744	2.015072	2.066528
mha4	16	1	17	1	0	0.03125	150994944	2.630176	2.560544	2.656160
gqa2	1	0	17	1	0	0.03125	0	0.558592	0.534784	0.575904
gqa2	1	1	17	1	0	0.03125	0	0.560704	0.536896	0.570208
gqa2	2	0	17	0	2	0.09375	4194304	1.252320	1.208576	1.270240
gqa2	2	1	17	1	0	0.03125	8388608	1.316928	1.272672	1.333472
gqa2	4	0	17	0	1	0.0625	8388608	0.972576	0.923840	0.980832
gqa2	4	1	17	1	0	0.03125	16777216	1.063520	1.015136	1.071008
gqa2	8	0	17	1	0	0.0625	16777216	0.950720	0.916640	0.964896
gqa2	8	1	17	1	0	0.03125	33554432	1.082144	1.034816	1.087648
gqa2	16	0	17	0	3	0.09375	33554432	1.018752	1.000128	1.017472
gqa2	16	1	17	1	0	0.03125	67108864	1.241120	1.207200	1.243200
mha4	1	0	17	1	0	0.03125	0	1.112960	1.067104	1.165728
mha4	1	1	17	1	0	0.03125	0	1.123104	1.066080	1.171488
mha4	2	0	17	0	64	0.078125	9437184	2.503680	2.417024	2.560032
mha4	2	1	17	1	0	0.046875	18874368	2.629696	2.546272	2.685568
mha4	4	0	17	0	75	0.078125	18874368	1.942784	1.845888	1.974240
mha4	4	1	17	1	0	0.03125	37748736	2.138304	2.044000	2.175712
mha4	8	0	17	0	71	0.09375	37748736	1.898528	1.834848	1.951360
mha4	16	0	18	0	67	0.09375	75497472	2.038144	2.015456	2.065728
mha4	16	1	18	1	0	0.03125	150994944	2.632512	2.562624	2.653184
gqa2	1	0	18	1	0	0.03125	0	0.557632	0.532864	0.575104
gqa2	1	1	18	1	0	0.03125	0	0.559168	0.534688	0.571328
