model	config	input_equal	legacy_total	bound_cg_total
gqa2	32x16x32s5k1	1	93772.447994836431	93772.447994836431
gqa2	32x16x32s5k2	1	113247.681924321	113247.681924321
gqa2	32x16x32s5k4	1	109599.8515396713	109599.8515396713
gqa2	32x16x32s5k8	1	109073.42159786898	109073.42159786898
gqa2	32x16x32s5k16	1	110691.33013576329	110691.33013576329
gqa2	32x32x16s2k1	1	99010.487849160098	99010.487849160098
gqa2	32x32x16s2k2	1	115562.6448304073	115562.6448304073
gqa2	32x32x16s2k4	1	109043.01954924368	109043.01954924368
gqa2	32x32x16s2k8	1	106670.43574539671	106670.43574539671
gqa2	32x32x16s2k16	1	106438.08868936746	106438.08868936746
gqa2	32x32x16s3k1	1	99728.436573288593	99728.436573288593
gqa2	32x32x16s3k2	1	116280.59355453578	116280.59355453578
gqa2	32x32x16s3k4	1	109760.96827337216	109760.96827337216
gqa2	32x32x16s3k8	1	107388.38446952519	107388.38446952519
gqa2	32x32x16s3k16	1	107156.03741349594	107156.03741349594
gqa2	32x32x16s4k1	1	100446.38529741706	100446.38529741706
gqa2	32x32x16s4k2	1	116998.54227866426	116998.54227866426
gqa2	32x32x16s4k4	1	110478.91699750064	110478.91699750064
gqa2	32x32x16s4k8	1	108106.33319365367	108106.33319365367
gqa2	32x32x16s4k16	1	107873.98613762441	107873.98613762441
gqa2	32x32x16s5k1	1	101164.33402154554	101164.33402154554
gqa2	32x32x16s5k2	1	117716.49100279273	117716.49100279273
gqa2	32x32x16s5k4	1	111196.86572162912	111196.86572162912
gqa2	32x32x16s5k8	1	108824.28191778214	108824.28191778214
gqa2	32x32x16s5k16	1	108591.93486175289	108591.93486175289
gqa2	32x32x32s2k1	1	100446.38529741706	100446.38529741706
gqa2	32x32x32s2k2	1	116998.54227866426	116998.54227866426
gqa2	32x32x32s2k4	1	110478.91699750064	110478.91699750064
gqa2	32x32x32s2k8	1	108106.33319365367	108106.33319365367
gqa2	32x32x32s2k16	1	107873.98613762441	107873.98613762441
gqa2	32x32x32s3k1	1	101882.28274567402	101882.28274567402
gqa2	32x32x32s3k2	1	118434.43972692121	118434.43972692121
gqa2	32x32x32s3k4	1	111914.8144457576	111914.8144457576
gqa2	32x32x32s3k8	1	109542.23064191062	109542.23064191062
gqa2	32x32x32s3k16	1	109309.88358588137	109309.88358588137
gqa2	32x32x32s4k1	1	103318.18019393097	103318.18019393097
gqa2	32x32x32s4k2	1	119870.33717517817	119870.33717517817
gqa2	32x32x32s4k4	1	113350.71189401456	113350.71189401456
gqa2	32x32x32s4k8	1	110978.12809016756	110978.12809016756
gqa2	32x32x32s4k16	1	110745.78103413832	110745.78103413832
gqa2	32x32x32s5k1	1	104750.32674218793	104750.32674218793
gqa2	32x32x32s5k2	1	121300.73330343513	121300.73330343513
gqa2	32x32x32s5k4	1	114781.10802227152	114781.10802227152
gqa2	32x32x32s5k8	1	112408.52421842454	112408.52421842454
gqa2	32x32x32s5k16	1	112176.1771623953	112176.1771623953
gqa2	32x64x16s2k1	1	118101.95224734917	118101.95224734917
gqa2	32x64x16s2k2	1	128807.95533212161	128807.95533212161
gqa2	32x64x16s2k4	1	119006.27874065639	119006.27874065639
gqa2	32x64x16s2k8	1	114172.15645408319	114172.15645408319
gqa2	32x64x16s2k16	1	112503.91194979698	112503.91194979698
gqa2	32x64x16s3k1	1	119178.87533354189	119178.87533354189
gqa2	32x64x16s3k2	1	129884.87841831433	129884.87841831433
gqa2	32x64x16s3k4	1	120083.20182684911	120083.20182684911
gqa2	32x64x16s3k8	1	115249.07954027591	115249.07954027591
gqa2	32x64x16s3k16	1	113580.8350359897	113580.8350359897
gqa2	32x64x16s4k1	1	120255.79841973458	120255.79841973458
gqa2	32x64x16s4k2	1	130961.80150450704	130961.80150450704
gqa2	32x64x16s4k4	1	121160.12491304181	121160.12491304181
gqa2	32x64x16s4k8	1	116326.00262646863	116326.00262646863
gqa2	32x64x16s4k16	1	114657.75812218242	114657.75812218242
gqa2	32x64x16s5k1	1	121332.72150592731	121332.72150592731
gqa2	32x64x16s5k2	1	132038.72459069974	132038.72459069974
gqa2	32x64x16s5k4	1	122237.04799923454	122237.04799923454
gqa2	32x64x16s5k8	1	117402.92571266134	117402.92571266134
gqa2	32x64x16s5k16	1	115734.68120837514	115734.68120837514
gqa2	32x64x32s2k1	1	120252.04751973459	120252.04751973459
gqa2	32x64x32s2k2	1	130956.30018450705	130956.30018450705
gqa2	32x64x32s2k4	1	121154.62359304183	121154.62359304183
gqa2	32x64x32s2k8	1	116320.50130646865	116320.50130646865
gqa2	32x64x32s2k16	1	114652.25680218244	114652.25680218244
gqa2	32x64x32s3k1	1	122405.89369212004	122405.89369212004
gqa2	32x64x32s3k2	1	133110.14635689248	133110.14635689248
gqa2	32x64x32s3k4	1	123308.46976542727	123308.46976542727
gqa2	32x64x32s3k8	1	118474.34747885408	118474.34747885408
gqa2	32x64x32s3k16	1	116806.10297456787	116806.10297456787
gqa2	32x64x32s4k1	1	124559.73986450545	124559.73986450545
gqa2	32x64x32s4k2	1	135263.99252927792	135263.99252927792
gqa2	32x64x32s4k4	1	125462.3159378127	125462.3159378127
gqa2	32x64x32s4k8	1	120628.1936512395	120628.1936512395
gqa2	32x64x32s4k16	1	118959.94914695331	118959.94914695331
gqa2	32x64x32s5k1	1	112024.83507689089	112024.83507689089
gqa2	32x64x32s5k2	1	115874.33729366332	115874.33729366332
gqa2	32x64x32s5k4	1	106072.66070219812	106072.66070219812
gqa2	32x64x32s5k8	1	101238.53841562493	101238.53841562493
gqa2	32x64x32s5k16	1	99570.293911338726	99570.293911338726
gqa2	32x128x16s2k1	1	156281.13014372726	156281.13014372726
gqa2	32x128x16s2k2	1	155293.07501555025	155293.07501555025
gqa2	32x128x16s2k4	1	138927.2958034818	138927.2958034818
gqa2	32x128x16s2k8	1	130811.12220660699	130811.12220660699
gqa2	32x128x16s2k16	1	126886.46742648844	126886.46742648844
gqa2	32x128x16s3k1	1	158076.00195404846	158076.00195404846
gqa2	32x128x16s3k2	1	157087.94682587145	157087.94682587145
gqa2	32x128x16s3k4	1	140722.167613803	140722.167613803
gqa2	32x128x16s3k8	1	132605.99401692819	132605.99401692819
gqa2	32x128x16s3k16	1	128681.33923680961	128681.33923680961
gqa2	32x128x16s4k1	1	159870.87376436967	159870.87376436967
gqa2	32x128x16s4k2	1	158882.81863619265	158882.81863619265
gqa2	32x128x16s4k4	1	142517.03942412417	142517.03942412417
gqa2	32x128x16s4k8	1	134400.86582724936	134400.86582724936
gqa2	32x128x16s4k16	1	130476.21104713081	130476.21104713081
gqa2	32x128x16s5k1	1	146976.99461469086	146976.99461469086
gqa2	32x128x16s5k2	1	139134.18903851381	139134.18903851381
gqa2	32x128x16s5k4	1	122768.40982644536	122768.40982644536
gqa2	32x128x16s5k8	1	114652.23622957057	114652.23622957057
gqa2	32x128x16s5k16	1	110727.581449452	110727.581449452
gqa2	32x128x32s2k1	1	145182.12280436966	145182.12280436966
gqa2	32x128x32s2k2	1	137339.31722819264	137339.31722819264
gqa2	32x128x32s2k4	1	120973.53801612416	120973.53801612416
gqa2	32x128x32s2k8	1	112857.36441924935	112857.36441924935
gqa2	32x128x32s2k16	1	108932.7096391308	108932.7096391308
gqa2	32x128x32s3k1	1	132802.49337501204	132802.49337501204
gqa2	32x128x32s3k2	1	117507.31370883499	117507.31370883499
gqa2	32x128x32s3k4	1	101141.53449676657	101141.53449676657
gqa2	32x128x32s3k8	1	93025.360899891748	93025.360899891748
gqa2	32x128x32s3k16	1	89100.706119773182	89100.706119773182
gqa2	32x128x32s4k1	1	136392.23699565441	136392.23699565441
gqa2	32x128x32s4k2	1	121097.05732947739	121097.05732947739
gqa2	32x128x32s4k4	1	104731.27811740896	104731.27811740896
gqa2	32x128x32s4k8	1	96615.104520534136	96615.104520534136
gqa2	32x128x32s4k16	1	92690.449740415585	92690.449740415585
gqa2	32x128x32s5k1	1	139931.3539362968	139931.3539362968
gqa2	32x128x32s5k2	1	124612.54848611978	124612.54848611978
gqa2	32x128x32s5k4	1	108246.76927405133	108246.76927405133
gqa2	32x128x32s5k8	1	100130.59567717655	100130.59567717655
gqa2	32x128x32s5k16	1	96205.940897057983	96205.940897057983
gqa2	32x256x16s2k1	1	217958.23677648348	217958.23677648348
gqa2	32x256x16s2k2	1	186730.81561440747	186730.81561440747
gqa2	32x256x16s2k4	1	157236.83116113255	157236.83116113255
gqa2	32x256x16s2k8	1	142556.55494365451	142556.55494365451
gqa2	32x256x16s2k16	1	135349.84885323438	135349.84885323438
gqa2	32x256x16s3k1	1	221189.00603506161	221189.00603506161
gqa2	32x256x16s3k2	1	189961.58487298558	189961.58487298558
gqa2	32x256x16s3k4	1	160467.60041971071	160467.60041971071
gqa2	32x256x16s3k8	1	145787.3242022327	145787.3242022327
gqa2	32x256x16s3k16	1	138580.61811181251	138580.61811181251
gqa2	32x256x16s4k1	1	208450.40224363975	208450.40224363975
gqa2	32x256x16s4k2	1	169770.60699156372	169770.60699156372
gqa2	32x256x16s4k4	1	140276.62253828888	140276.62253828888
gqa2	32x256x16s4k8	1	125596.34632081082	125596.34632081082
gqa2	32x256x16s4k16	1	118389.64023039065	118389.64023039065
gqa2	32x256x16s5k1	1	211681.17150221794	211681.17150221794
gqa2	32x256x16s5k2	1	173001.37625014188	173001.37625014188
gqa2	32x256x16s5k4	1	143507.39179686701	143507.39179686701
gqa2	32x256x16s5k8	1	128827.11557938901	128827.11557938901
gqa2	32x256x16s5k16	1	121620.40948896881	121620.40948896881
gqa2	32x256x32s2k1	1	208450.40224363975	208450.40224363975
gqa2	32x256x32s2k2	1	169770.60699156372	169770.60699156372
gqa2	32x256x32s2k4	1	140276.62253828888	140276.62253828888
gqa2	32x256x32s2k8	1	125596.34632081082	125596.34632081082
gqa2	32x256x32s2k16	1	118389.64023039065	118389.64023039065
gqa2	32x256x32s3k1	1	214861.31408079612	214861.31408079612
gqa2	32x256x32s3k2	1	176157.89304472008	176157.89304472008
gqa2	32x256x32s3k4	1	146663.90859144516	146663.90859144516
gqa2	32x256x32s3k8	1	131983.63237396712	131983.63237396712
gqa2	32x256x32s3k16	1	124776.92628354696	124776.92628354696
gqa2	32x256x32s4k1	1	221322.85259795238	221322.85259795238
gqa2	32x256x32s4k2	1	182619.43156187632	182619.43156187632
gqa2	32x256x32s4k4	1	153125.44710860145	153125.44710860145
gqa2	32x256x32s4k8	1	138445.17089112345	138445.17089112345
gqa2	32x256x32s4k16	1	131238.46480070325	131238.46480070325
gqa2	32x256x32s5k1	1	227784.39111510865	227784.39111510865
gqa2	32x256x32s5k2	1	189080.97007903268	189080.97007903268
gqa2	32x256x32s5k4	1	159586.98562575781	159586.98562575781
gqa2	32x256x32s5k8	1	144906.70940827974	144906.70940827974
gqa2	32x256x32s5k16	1	137700.00331785958	137700.00331785958
gqa2	64x16x16s2k1	1	105933.56483182758	105933.56483182758
gqa2	64x16x16s2k2	1	119203.67050277314	119203.67050277314
gqa2	64x16x16s2k4	1	113094.30163539723	113094.30163539723
gqa2	64x16x16s2k8	1	112157.61527980721	112157.61527980721
gqa2	64x16x16s2k16	1	113601.7769485155	113601.7769485155
gqa2	64x16x16s3k1	1	106831.00073698818	106831.00073698818
gqa2	64x16x16s3k2	1	120101.10640793375	120101.10640793375
gqa2	64x16x16s3k4	1	113991.73754055784	113991.73754055784
gqa2	64x16x16s3k8	1	113055.05118496782	113055.05118496782
gqa2	64x16x16s3k16	1	114755.62311229341	114755.62311229341
gqa2	64x16x16s4k1	1	107728.43664214876	107728.43664214876
gqa2	64x16x16s4k2	1	120998.54231309434	120998.54231309434
gqa2	64x16x16s4k4	1	114889.17344571844	114889.17344571844
gqa2	64x16x16s4k8	1	113952.4870901284	113952.4870901284
gqa2	64x16x16s4k16	1	115909.46927607132	115909.46927607132
gqa2	64x16x16s5k1	1	108625.87254730935	108625.87254730935
gqa2	64x16x16s5k2	1	121895.97821825494	121895.97821825494
gqa2	64x16x16s5k4	1	115786.60935087904	115786.60935087904
gqa2	64x16x16s5k8	1	114849.922995289	114849.922995289
gqa2	64x16x16s5k16	1	117063.31543984923	117063.31543984923
gqa2	64x16x32s2k1	1	107724.68574214877	107724.68574214877
gqa2	64x16x32s2k2	1	120993.04099309436	120993.04099309436
gqa2	64x16x32s2k4	1	114883.67212571845	114883.67212571845
gqa2	64x16x32s2k8	1	113946.98577012842	113946.98577012842
gqa2	64x16x32s2k16	1	115903.96795607134	115903.96795607134
gqa2	64x16x32s3k1	1	109523.30845246997	109523.30845246997
gqa2	64x16x32s3k2	1	122793.41412341554	122793.41412341554
gqa2	64x16x32s3k4	1	116684.04525603962	116684.04525603962
gqa2	64x16x32s3k8	1	115747.3589004496	115747.3589004496
gqa2	64x16x32s3k16	1	118217.16160362714	118217.16160362714
gqa2	64x16x32s4k1	1	111314.42936279115	111314.42936279115
gqa2	64x16x32s4k2	1	124582.78461373675	124582.78461373675
gqa2	64x16x32s4k4	1	118473.41574636084	118473.41574636084
gqa2	64x16x32s4k8	1	117536.72939077081	117536.72939077081
gqa2	64x16x32s4k16	1	120519.35261118299	120519.35261118299
gqa2	64x16x32s5k1	1	98420.55021311235	98420.55021311235
gqa2	64x16x32s5k2	1	104834.15501605792	104834.15501605792
gqa2	64x16x32s5k4	1	98724.786148682018	98724.786148682018
gqa2	64x16x32s5k8	1	101105.63417298034	101105.63417298034
gqa2	64x16x32s5k16	1	109577.37948045964	109577.37948045964
gqa2	64x32x16s2k1	1	118101.95224734917	118101.95224734917
gqa2	64x32x16s2k2	1	128807.95533212161	128807.95533212161
gqa2	64x32x16s2k4	1	119006.27874065639	119006.27874065639
gqa2	64x32x16s2k8	1	115402.92569544629	115402.92569544629
gqa2	64x32x16s2k16	1	114965.4504325232	114965.4504325232
gqa2	64x32x16s3k1	1	119178.87533354189	119178.87533354189
gqa2	64x32x16s3k2	1	129884.87841831433	129884.87841831433
gqa2	64x32x16s3k4	1	120083.20182684911	120083.20182684911
gqa2	64x32x16s3k8	1	116479.84878163901	116479.84878163901
gqa2	64x32x16s3k16	1	116042.37351871592	116042.37351871592
gqa2	64x32x16s4k1	1	120255.79841973458	120255.79841973458
gqa2	64x32x16s4k2	1	130961.80150450704	130961.80150450704
gqa2	64x32x16s4k4	1	121160.12491304181	121160.12491304181
gqa2	64x32x16s4k8	1	117556.77186783173	117556.77186783173
gqa2	64x32x16s4k16	1	117119.29660490862	117119.29660490862
gqa2	64x32x16s5k1	1	121332.72150592731	121332.72150592731
gqa2	64x32x16s5k2	1	132038.72459069974	132038.72459069974
gqa2	64x32x16s5k4	1	122237.04799923454	122237.04799923454
gqa2	64x32x16s5k8	1	118633.69495402445	118633.69495402445
gqa2	64x32x16s5k16	1	118196.21969110135	118196.21969110135
gqa2	64x32x32s2k1	1	120252.04751973459	120252.04751973459
gqa2	64x32x32s2k2	1	130956.30018450705	130956.30018450705
gqa2	64x32x32s2k4	1	121154.62359304183	121154.62359304183
gqa2	64x32x32s2k8	1	117551.27054783175	117551.27054783175
gqa2	64x32x32s2k16	1	117113.79528490864	117113.79528490864
gqa2	64x32x32s3k1	1	122405.89369212004	122405.89369212004
gqa2	64x32x32s3k2	1	133110.14635689248	133110.14635689248
gqa2	64x32x32s3k4	1	123308.46976542727	123308.46976542727
gqa2	64x32x32s3k8	1	119705.11672021718	119705.11672021718
gqa2	64x32x32s3k16	1	119267.64145729408	119267.64145729408
gqa2	64x32x32s4k1	1	124559.73986450545	124559.73986450545
gqa2	64x32x32s4k2	1	135263.99252927792	135263.99252927792
gqa2	64x32x32s4k4	1	125462.3159378127	125462.3159378127
gqa2	64x32x32s4k8	1	121858.96289260262	121858.96289260262
gqa2	64x32x32s4k16	1	121421.48762967953	121421.48762967953
gqa2	64x32x32s5k1	1	112024.83507689089	112024.83507689089
gqa2	64x32x32s5k2	1	115874.33729366332	115874.33729366332
gqa2	64x32x32s5k4	1	106072.66070219812	106072.66070219812
gqa2	64x32x32s5k8	1	102469.30765698804	102469.30765698804
gqa2	64x32x32s5k16	1	107565.97562175436	107565.97562175436
gqa2	64x64x16s2k1	1	142434.97617839233	142434.97617839233
gqa2	64x64x16s2k2	1	148011.02367081854	148011.02367081854
gqa2	64x64x16s2k4	1	134927.29576905171	134927.29576905171
gqa2	64x64x16s2k8	1	128452.14782732772	128452.14782732772
gqa2	64x64x16s2k16	1	126168.51870235996	126168.51870235996
gqa2	64x64x16s3k1	1	143870.87362664932	143870.87362664932
gqa2	64x64x16s3k2	1	149446.9211190755	149446.9211190755
gqa2	64x64x16s3k4	1	136363.19321730867	136363.19321730867
gqa2	64x64x16s3k8	1	129888.04527558465	129888.04527558465
gqa2	64x64x16s3k16	1	127604.41615061692	127604.41615061692
gqa2	64x64x16s4k1	1	145306.77107490625	145306.77107490625
gqa2	64x64x16s4k2	1	150882.81856733246	150882.81856733246
gqa2	64x64x16s4k4	1	137799.09066556563	137799.09066556563
gqa2	64x64x16s4k8	1	131323.94272384161	131323.94272384161
gqa2	64x64x16s4k16	1	129040.31359887386	129040.31359887386
gqa2	64x64x16s5k1	1	146742.66852316319	146742.66852316319
gqa2	64x64x16s5k2	1	152318.71601558939	152318.71601558939
gqa2	64x64x16s5k4	1	139234.98811382259	139234.98811382259
gqa2	64x64x16s5k8	1	132759.84017209857	132759.84017209857
gqa2	64x64x16s5k16	1	130476.21104713081	130476.21104713081
gqa2	64x64x32s2k1	1	130618.02011490625	130618.02011490625
gqa2	64x64x32s2k2	1	129339.31715933244	129339.31715933244
gqa2	64x64x32s2k4	1	116255.58925756562	116255.58925756562
gqa2	64x64x32s2k8	1	109780.4413158416	109780.4413158416
gqa2	64x64x32s2k16	1	107496.81219087385	107496.81219087385
gqa2	64x64x32s3k1	1	133489.81501142017	133489.81501142017
gqa2	64x64x32s3k2	1	132211.11205584637	132211.11205584637
gqa2	64x64x32s3k4	1	119127.38415407954	119127.38415407954
gqa2	64x64x32s3k8	1	112652.23621235552	112652.23621235552
gqa2	64x64x32s3k16	1	110368.60708738776	110368.60708738776
gqa2	64x64x32s4k1	1	136361.60990793403	136361.60990793403
gqa2	64x64x32s4k2	1	135082.90695236024	135082.90695236024
gqa2	64x64x32s4k4	1	121999.17905059342	121999.17905059342
gqa2	64x64x32s4k8	1	115524.03110886943	115524.03110886943
gqa2	64x64x32s4k16	1	113240.40198390165	113240.40198390165
gqa2	64x64x32s5k1	1	123264.03175444798	123264.03175444798
gqa2	64x64x32s5k2	1	114532.95470887417	114532.95470887417
gqa2	64x64x32s5k4	1	101449.22680710733	101449.22680710733
gqa2	64x64x32s5k8	1	94974.078865383344	94974.078865383344
gqa2	64x64x32s5k16	1	92690.449740415585	92690.449740415585
gqa2	64x128x16s2k1	1	193101.21295347458	193101.21295347458
gqa2	64x128x16s2k2	1	173225.38061671029	173225.38061671029
gqa2	64x128x16s2k4	1	149407.19057609123	149407.19057609123
gqa2	64x128x16s2k8	1	137564.81156494119	137564.81156494119
gqa2	64x128x16s2k16	1	131777.054077685	131777.054077685
gqa2	64x128x16s3k1	1	195255.05912585996	195255.05912585996
gqa2	64x128x16s3k2	1	175379.2267890957	175379.2267890957
gqa2	64x128x16s3k4	1	151561.03674847673	151561.03674847673
gqa2	64x128x16s3k8	1	139718.6577373266	139718.6577373266
gqa2	64x128x16s3k16	1	133930.90025007041	133930.90025007041
gqa2	64x128x16s4k1	1	197408.90529824543	197408.90529824543
gqa2	64x128x16s4k2	1	177533.07296148111	177533.07296148111
gqa2	64x128x16s4k4	1	153714.88292086212	153714.88292086212
gqa2	64x128x16s4k8	1	141872.50390971205	141872.50390971205
gqa2	64x128x16s4k16	1	136084.74642245582	136084.74642245582
gqa2	64x128x16s5k1	1	199562.7514706309	199562.7514706309
gqa2	64x128x16s5k2	1	179686.91913386658	179686.91913386658
gqa2	64x128x16s5k4	1	155868.72909324756	155868.72909324756
gqa2	64x128x16s5k8	1	144026.35008209746	144026.35008209746
gqa2	64x128x16s5k16	1	138238.59259484126	138238.59259484126
gqa2	64x128x32s2k1	1	181439.53224824544	181439.53224824544
gqa2	64x128x32s2k2	1	154111.32582148112	154111.32582148112
gqa2	64x128x32s2k4	1	130293.1357808621	130293.1357808621
gqa2	64x128x32s2k8	1	118450.75676971205	118450.75676971205
gqa2	64x128x32s2k16	1	112662.99928245583	112662.99928245583
gqa2	64x128x32s3k1	1	185747.22459301632	185747.22459301632
gqa2	64x128x32s3k2	1	158419.01816625198	158419.01816625198
gqa2	64x128x32s3k4	1	134600.82812563298	134600.82812563298
gqa2	64x128x32s3k8	1	122758.44911448291	122758.44911448291
gqa2	64x128x32s3k16	1	116970.69162722671	116970.69162722671
gqa2	64x128x32s4k1	1	190054.91693778714	190054.91693778714
gqa2	64x128x32s4k2	1	162726.71051102283	162726.71051102283
gqa2	64x128x32s4k4	1	138908.52047040383	138908.52047040383
gqa2	64x128x32s4k8	1	127066.14145925376	127066.14145925376
gqa2	64x128x32s4k16	1	121278.38397199757	121278.38397199757
gqa2	64x128x32s5k1	1	194311.98260255798	194311.98260255798
gqa2	64x128x32s5k2	1	166960.15039179372	166960.15039179372
gqa2	64x128x32s5k4	1	143141.96035117473	143141.96035117473
gqa2	64x128x32s5k8	1	131299.58134002463	131299.58134002463
gqa2	64x128x32s5k16	1	125511.82385276843	125511.82385276843
gqa2	64x256x16s2k1	1	317416.78778305597	317416.78778305597
gqa2	64x256x16s2k2	1	248106.8363892023	248106.8363892023
gqa2	64x256x16s2k4	1	200425.97896852461	200425.97896852461
gqa2	64x256x16s2k8	1	176652.26626734529	176652.26626734529
gqa2	64x256x16s2k16	1	164898.84193507442	164898.84193507442
gqa2	64x256x16s3k1	1	321006.53140369832	321006.53140369832
gqa2	64x256x16s3k2	1	251696.58000984465	251696.58000984465
gqa2	64x256x16s3k4	1	204015.72258916704	204015.72258916704
gqa2	64x256x16s3k8	1	180242.00988798763	180242.00988798763
gqa2	64x256x16s3k16	1	168488.58555571677	168488.58555571677
gqa2	64x256x16s4k1	1	324596.27502434072	324596.27502434072
gqa2	64x256x16s4k2	1	255286.32363048702	255286.32363048702
gqa2	64x256x16s4k4	1	207605.46620980941	207605.46620980941
gqa2	64x256x16s4k8	1	183831.75350863	183831.75350863
gqa2	64x256x16s4k16	1	172078.32917635914	172078.32917635914
gqa2	64x256x16s5k1	1	328135.39196498308	328135.39196498308
gqa2	64x256x16s5k2	1	258801.81478712946	258801.81478712946
gqa2	64x256x16s5k4	1	211120.9573664518	211120.9573664518
gqa2	64x256x16s5k8	1	187347.24466527242	187347.24466527242
gqa2	64x256x16s5k16	1	175593.82033300155	175593.82033300155
gqa2	64x256x32s2k1	1	324596.27502434072	324596.27502434072
gqa2	64x256x32s2k2	1	255286.32363048702	255286.32363048702
gqa2	64x256x32s2k4	1	207605.46620980941	207605.46620980941
gqa2	64x256x32s2k8	1	183831.75350863	183831.75350863
gqa2	64x256x32s2k16	1	172078.32917635914	172078.32917635914
gqa2	64x256x32s3k1	1	331725.13558562548	331725.13558562548
gqa2	64x256x32s3k2	1	262391.55840777181	262391.55840777181
gqa2	64x256x32s3k4	1	214710.70098709417	214710.70098709417
gqa2	64x256x32s3k8	1	190936.98828591485	190936.98828591485
gqa2	64x256x32s3k16	1	179183.56395364396	179183.56395364396
gqa2	64x256x32s4k1	1	338904.62282691034	338904.62282691034
gqa2	64x256x32s4k2	1	269571.04564905673	269571.04564905673
gqa2	64x256x32s4k4	1	221890.188228379	221890.188228379
gqa2	64x256x32s4k8	1	198116.4755271996	198116.4755271996
gqa2	64x256x32s4k16	1	186363.0511949287	186363.0511949287
gqa2	128x16x16s2k1	1	138871.18319535154	138871.18319535154
gqa2	128x16x16s2k2	1	139731.03234921914	139731.03234921914
gqa2	128x16x16s2k4	1	128698.58651639082	128698.58651639082
gqa2	128x16x16s2k8	1	126941.3873332254	126941.3873332254
gqa2	128x16x16s2k16	1	130499.59374628784	130499.59374628784
gqa2	128x16x16s3k1	1	140486.5678246406	140486.5678246406
gqa2	128x16x16s3k2	1	141346.41697850823	141346.41697850823
gqa2	128x16x16s3k4	1	130313.9711456799	130313.9711456799
gqa2	128x16x16s3k8	1	128556.77196251447	128556.77196251447
gqa2	128x16x16s3k16	1	132576.51684108807	132576.51684108807
gqa2	128x16x16s4k1	1	142101.9524539297	142101.9524539297
gqa2	128x16x16s4k2	1	142961.8016077973	142961.8016077973
gqa2	128x16x16s4k4	1	131929.35577496898	131929.35577496898
gqa2	128x16x16s4k8	1	130172.15659180353	130172.15659180353
gqa2	128x16x16s4k16	1	134653.43993588834	134653.43993588834
gqa2	128x16x16s5k1	1	143713.58618321875	143713.58618321875
gqa2	128x16x16s5k2	1	144571.68491708639	144571.68491708639
gqa2	128x16x16s5k4	1	133539.23908425809	133539.23908425809
gqa2	128x16x16s5k8	1	131782.03990109265	131782.03990109265
gqa2	128x16x16s5k16	1	136724.86171068856	136724.86171068856
gqa2	128x16x32s2k1	1	127409.45059392971	127409.45059392971
gqa2	128x16x32s2k2	1	121412.79887979731	121412.79887979731
gqa2	128x16x32s2k4	1	110380.35304696899	110380.35304696899
gqa2	128x16x32s2k8	1	112926.52785012987	112926.52785012987
gqa2	128x16x32s2k16	1	123862.87217370413	123862.87217370413
gqa2	128x16x32s3k1	1	130640.21985250784	130640.21985250784
gqa2	128x16x32s3k2	1	124643.56813837547	124643.56813837547
gqa2	128x16x32s3k4	1	113611.12230554715	113611.12230554715
