config	round	barrier_ms	nonpositive	zero	full_l1_ms	l1nosync_l1_ms	start_separation_s
wavefront	3	0.488448	0	0	6.67136	6.182912	132.462157442
wavefront	4	0.3317760000000005	0	0	6.668288	6.336512	108.280261501
wavefront	5	0.28668799999999983	0	0	6.66624	6.379552	108.073990713
wavefront	6	0.3287040000000001	0	0	6.668288	6.339584	1283.325993454
wavefront	7	0.3287040000000001	0	0	6.667264	6.33856	1262.548353054
wavefront	8	0.30992	0	0	6.668224	6.358304	1290.821647054
wavefront	9	-0.02464000000000066	1	0	6.33456	6.3592	1245.924260488
wavefront	10	0.28998400000000046	0	0	6.66624	6.376256	106.055001097
wavefront	11	0.27545599999999926	0	0	6.675456	6.4	97.680513719
wavefront	12	-0.03788800000000059	1	0	6.340608	6.378496	53.372076232
wavefront	13	0.2847680000000006	0	0	6.673504	6.388736	53.267626758
wavefront	14	0.3256319999999997	0	0	6.677504	6.351872	55.229159325
wavefront	15	-0.03561600000000009	1	0	6.335584	6.3712	53.020443891
wavefront	16	0.28563200000000055	0	0	6.67152	6.385888	54.340735398
wavefront	17	0.2676159999999994	0	0	6.668512	6.400896	52.474515437
wavefront	18	0.22969599999999968	0	0	6.337536	6.10784	55.140178519
wavefront	19	0.2550720000000002	0	0	6.33968	6.084608	56.510844946
wavefront	20	0.2824960000000001	0	0	6.675328	6.392832	55.069269853
wavefront	21	-0.003936000000000384	1	0	6.335648	6.339584	56.9940607
wavefront	22	0.3216960000000002	0	0	6.673248	6.351552	55.225057123
wavefront	23	0.44163200000000025	0	0	6.674432	6.2328	56.646263298
wavefront	24	0.5761919999999998	0	0	6.666944	6.090752	54.975263259
rotate	0	0.2889279999999994	0	0	6.675616	6.386688	158.44702682
rotate	1	0.26726399999999995	0	0	6.662144	6.39488	161.505917778
rotate	2	0.5900800000000004	0	0	6.666496	6.076416	130.68329558
rotate	3	0.3235839999999994	0	0	6.67648	6.352896	153.580728883
rotate	4	0.27264	0	0	6.670496	6.397856	107.711761358
rotate	5	0.31584000000000056	0	0	6.6664	6.35056	111.127483891
rotate	6	0.27052800000000055	0	0	6.665408	6.39488	112.817874635
rotate	7	-0.06886400000000048	1	0	6.336256	6.40512	110.435475396
rotate	8	0.28767999999999994	0	0	6.67104	6.38336	112.521756102
rotate	9	0.2885119999999999	0	0	6.671104	6.382592	107.757072108
rotate	10	0.27318400000000054	0	0	6.676192	6.403008	109.450753394
rotate	11	0.3105599999999997	0	0	6.675456	6.364896	1173.431048243
rotate	12	0.29664	0	0	6.67104	6.3744	635.327697414
rotate	13	0.5592319999999997	0	0	6.670464	6.111232	624.961456288
rotate	14	0.5727040000000008	0	0	6.673536	6.100832	624.188270011
rotate	15	0.30732800000000005	0	0	6.674272	6.366944	54.26400642
rotate	16	0.2819199999999995	0	0	6.673664	6.391744	54.535638598
rotate	17	0.2826240000000002	0	0	6.673568	6.390944	52.275759303
rotate	18	0.5611519999999999	0	0	6.67136	6.110208	53.616518592
rotate	19	0.2949760000000001	0	0	6.336576	6.0416	52.724407721
rotate	20	-0.030272000000000077	1	0	6.33936	6.369632	55.108716413
rotate	21	0.2960640000000003	0	0	6.67968	6.383616	57.238313551
rotate	22	0.180288	0	0	6.334464	6.154176	56.436151214
rotate	23	0.22732799999999997	0	0	6.335488	6.10816	55.213786818
rotate	24	0.2908799999999996	0	0	6.675456	6.384576	56.6088585
chain	0	0.018240000000000478	0	0	6.339584	6.321344	159.942011742
chain	1	0.44044799999999995	0	0	6.672608	6.23216	158.570781874
chain	2	0.31049600000000055	0	0	6.671584	6.361088	130.90688614
chain	3	0.31046399999999963	0	0	6.67664	6.366176	110.641281009
chain	4	0.29481599999999997	0	0	6.673312	6.378496	109.007180831
chain	5	-0.05014399999999952	1	0	6.339488	6.389632	112.816918422
chain	6	0.2712639999999995	0	0	6.677408	6.406144	112.252775259
chain	7	0.27436799999999995	0	0	6.674368	6.4	108.513557109
chain	8	0.2634559999999997	0	0	6.670336	6.40688	110.711171032
chain	9	0.28364799999999946	0	0	6.670336	6.386688	110.498012789
chain	10	0.27750399999999953	0	0	6.670336	6.392832	107.047619465
chain	11	0.31747199999999953	0	0	6.675456	6.357984	100.657270464
chain	12	0.023584000000000493	0	0	6.372384	6.3488	54.0150042
chain	13	-0.06559999999999988	1	0	6.336288	6.401888	52.831491606
chain	14	0.33606400000000036	0	0	6.67136	6.335296	54.122145618
chain	15	0.3123200000000006	0	0	6.673408	6.361088	53.948966543
chain	16	0.555008	0	0	6.675456	6.120448	616.379255358
chain	17	0.43827200000000044	0	0	6.672384	6.234112	616.959268174
chain	18	0.27830399999999944	0	0	6.335264	6.05696	620.893193079
chain	19	0.5898240000000001	0	0	6.674432	6.084608	643.994632176
chain	20	0.0010879999999993117	0	0	6.333504	6.332416	54.938814064
chain	21	0.3267199999999999	0	0	6.395968	6.069248	56.352702473
chain	22	0.2875199999999998	0	0	6.677504	6.389984	54.925987317
chain	23	-0.04828800000000033	1	0	6.336352	6.38464	55.949697026
chain	24	0.28796799999999934	0	0	6.667488	6.37952	57.175261165
legacy_grid_stride	0	0.2600319999999998	0	0	6.665152	6.40512	157.929383301
legacy_grid_stride	1	-0.03497600000000034	1	0	6.335264	6.37024	159.016780183
legacy_grid_stride	2	0.2776639999999997	0	0	6.67152	6.393856	130.035479463
legacy_grid_stride	3	0.0591039999999996	0	0	6.450208	6.391104	110.514674068
legacy_grid_stride	4	0.3486399999999996	0	0	6.671168	6.322528	110.45984855
legacy_grid_stride	5	0.033503999999999756	0	0	6.429536	6.396032	112.300900243
legacy_grid_stride	6	0.2816000000000001	0	0	6.667264	6.385664	109.260793224
legacy_grid_stride	7	0.2899199999999995	0	0	6.667456	6.377536	108.615964212
legacy_grid_stride	8	0.30515200000000053	0	0	6.672384	6.367232	112.396285816
legacy_grid_stride	9	0.2951359999999994	0	0	6.667488	6.372352	110.283054592
legacy_grid_stride	10	0.28169600000000017	0	0	6.66736	6.385664	104.955613975
legacy_grid_stride	11	0.24204800000000048	0	0	6.633568	6.39152	100.345512208
legacy_grid_stride	12	0.504448	0	0	6.588224	6.083776	53.370697265
legacy_grid_stride	13	0.5612159999999999	0	0	6.673664	6.112448	53.822605015
legacy_grid_stride	14	0.014464000000000254	0	0	6.335616	6.321152	51.01162644
legacy_grid_stride	15	-0.0367999999999995	1	0	6.338624	6.375424	50.645549909
legacy_grid_stride	16	0.3317760000000005	0	0	6.672384	6.340608	52.533446119
legacy_grid_stride	17	0.30012799999999995	0	0	6.668384	6.368256	52.676446949
legacy_grid_stride	18	-0.004991999999999663	1	0	6.33664	6.341632	54.603896978
legacy_grid_stride	19	0.281504	0	0	6.333344	6.05184	53.816621927
legacy_grid_stride	20	0.5511359999999996	0	0	6.674656	6.12352	54.690022128
legacy_grid_stride	21	0.279744	0	0	6.67136	6.391616	659.315801972
legacy_grid_stride	22	0.3245760000000004	0	0	6.573024	6.248448	650.404776899
legacy_grid_stride	23	0.26787200000000055	0	0	6.559648	6.291776	664.819260871
legacy_grid_stride	24	0.3073920000000001	0	0	6.67872	6.371328	661.707307381
balanced	0	0.2827199999999994	0	0	6.67648	6.39376	168.512121105
balanced	1	0.6011839999999999	0	0	6.671456	6.070272	174.260578339
balanced	2	0.27356800000000003	0	0	6.675456	6.401888	139.573048713
balanced	3	0.27584000000000053	0	0	6.673536	6.397696	115.255642993
balanced	4	0.3225600000000002	0	0	6.668288	6.345728	121.781532887
balanced	5	0.6290560000000003	0	0	6.677504	6.048448	120.984172584
balanced	6	0.2745280000000001	0	0	6.676576	6.402048	122.221229105
balanced	7	0.2706559999999998	0	0	6.667424	6.396768	122.169683706
balanced	8	0.3319360000000007	0	0	6.673568	6.341632	120.740379273
balanced	9	0.27849599999999963	0	0	6.667456	6.38896	117.941355434
balanced	10	0.27971199999999996	0	0	6.672544	6.392832	113.812812332
balanced	11	0.33289599999999986	0	0	6.672384	6.339488	113.281784263
balanced	12	0.3243840000000002	0	0	6.673408	6.349024	61.737383933
balanced	13	0.5939199999999998	0	0	6.67136	6.07744	61.60151996
balanced	14	0.5642560000000003	0	0	6.672544	6.108288	63.900237248
balanced	15	0.4272960000000001	0	0	6.671552	6.244256	59.673005299
balanced	16	0.508032	0	0	6.586368	6.078336	59.857744626
balanced	17	0.2836800000000004	0	0	6.336544	6.052864	59.441225265
balanced	18	-0.02988800000000058	1	0	6.336384	6.366272	59.951993478
balanced	19	0.2510399999999997	0	0	6.340608	6.089568	65.211160156
balanced	20	0.2396799999999999	0	0	6.338624	6.098944	62.348795003
balanced	21	0.3967040000000006	0	0	6.458464	6.06176	66.008278005
balanced	22	0.3133119999999998	0	0	6.666208	6.352896	63.096172346
balanced	23	0.3389440000000006	0	0	6.6744	6.335456	66.40703176
balanced	24	0.3077439999999996	0	0	6.671136	6.363392	64.246104947
protocol_off	0	0.5877759999999999	0	0	6.677504	6.089728	160.818184723
protocol_off	1	0.28691200000000006	0	0	6.676672	6.38976	166.330369428
protocol_off	2	0.3112959999999996	0	0	6.677504	6.366208	129.11564336
protocol_off	3	0.5776000000000003	0	0	6.679616	6.102016	106.319059039
protocol_off	4	0.2693759999999994	0	0	6.668352	6.398976	106.4216659
protocol_off	5	0.2715839999999998	0	0	6.67568	6.404096	114.348941142
protocol_off	6	0.6231040000000005	0	0	6.672576	6.049472	112.438630086
protocol_off	7	-0.04806399999999922	1	0	6.346752	6.394816	107.651189793
protocol_off	8	0.31078399999999995	0	0	6.678752	6.367968	112.238726317
protocol_off	9	0.27456000000000014	0	0	6.672512	6.397952	105.648879069
protocol_off	10	0.1720959999999998	0	0	6.55776	6.385664	107.179192995
protocol_off	11	0.28275199999999945	0	0	6.66944	6.386688	104.963586325
protocol_off	12	0.29155200000000026	0	0	6.667264	6.375712	54.133289842
protocol_off	13	0.5736000000000008	0	0	6.673568	6.099968	54.548328086
protocol_off	14	0.27871999999999986	0	0	6.675648	6.396928	52.76632406
protocol_off	15	0.561248	0	0	6.67248	6.111232	51.208011781
protocol_off	16	0.5724159999999996	0	0	6.677504	6.105088	52.409438669
protocol_off	17	0.5560320000000001	0	0	6.669312	6.11328	52.636260705
protocol_off	18	0.32035200000000064	0	0	6.674272	6.35392	51.560171658
protocol_off	19	0.3191359999999994	0	0	6.343328	6.024192	54.552767621
protocol_off	20	0.560352	0	0	6.668192	6.10784	54.63865739
protocol_off	21	0.060416000000000025	0	0	6.450176	6.38976	55.262424225
protocol_off	22	0.5864320000000003	0	0	6.674112	6.08768	54.687864676
protocol_off	23	0.5345279999999999	0	0	6.672384	6.137856	58.599584448
protocol_off	24	0.2804479999999998	0	0	6.679424	6.398976	56.835205005
c1	0	0.2823039999999999	0	0	6.672064	6.38976	162.008881722
c1	1	0.2900159999999996	0	0	6.675648	6.385632	158.003246344
c1	2	0.2873600000000005	0	0	6.674368	6.387008	131.785729038
c1	3	0.27360000000000007	0	0	6.677696	6.404096	115.049407758
c1	4	0.28796799999999934	0	0	6.674656	6.386688	107.801930165
c1	5	0.2909759999999997	0	0	6.671328	6.380352	115.596298345
c1	6	0.2920959999999999	0	0	6.668448	6.376352	110.116307763
c1	7	0.27772799999999975	0	0	6.67056	6.392832	107.516221349
c1	8	0.2907839999999995	0	0	6.675424	6.38464	112.283657354
c1	9	0.3638080000000006	0	0	6.672608	6.3088	105.104235757
c1	10	0.3307520000000004	0	0	6.674432	6.34368	107.261058377
c1	11	0.19456000000000007	0	0	6.580224	6.385664	100.106720957
c1	12	0.5081920000000002	0	0	6.580192	6.072	52.094929705
c1	13	0.33484800000000003	0	0	6.66624	6.331392	52.608063307
c1	14	0.5591040000000005	0	0	6.668288	6.109184	51.404863152
c1	15	0.33712000000000053	0	0	6.672576	6.335456	53.734610624
c1	16	0.5836800000000002	0	0	6.673408	6.089728	52.318642398
c1	17	0.24387199999999964	0	0	6.335424	6.091552	53.161207938
c1	18	0.22732799999999997	0	0	6.336512	6.109184	53.287480942
c1	19	0.2638400000000001	0	0	6.334464	6.070624	56.031213577
c1	20	0.6072320000000007	0	0	6.674432	6.0672	55.171573173
c1	21	-0.0696639999999995	1	0	6.338528	6.408192	55.333759056
c1	22	0.38428800000000063	0	0	6.494208	6.10992	58.287530284
c1	23	0.5745279999999999	0	0	6.676544	6.102016	57.718788938
c1	24	0.2715519999999998	0	0	6.674624	6.403072	57.193307277
c2	0	0.2971520000000005	0	0	6.6736	6.376448	164.898133034
c2	1	0.2953600000000005	0	0	6.671552	6.376192	162.028769809
c2	2	0.17388799999999982	0	0	6.503232	6.329344	132.408686969
c2	3	0.2713600000000005	0	0	6.672384	6.401024	114.000118599
c2	4	0.31958400000000076	0	0	6.673504	6.35392	106.664346353
c2	5	0.28671999999999986	0	0	6.678528	6.391808	112.455056528
c2	6	0.1977600000000006	0	0	6.579328	6.381568	108.420947896
c2	7	0.28364799999999946	0	0	6.670336	6.386688	107.73297687
c2	8	0.5983360000000006	0	0	6.672512	6.074176	110.448144495
c2	9	0.279744	0	0	6.674432	6.394688	105.388805952
c2	10	0.34127999999999936	0	0	6.669312	6.328032	109.585050621
c2	11	0.5290559999999997	0	0	6.65872	6.129664	99.822025542
c2	12	0.15059199999999962	0	0	6.543488	6.392896	54.247637362
c2	13	0.2818239999999994	0	0	6.674656	6.392832	54.363406189
c2	14	0.2907199999999994	0	0	6.67024	6.37952	54.345036396
c2	15	0.401408	0	0	6.673408	6.272	52.822371236
c2	16	-0.031967999999999996	1	0	6.334528	6.366496	50.186887851
c2	17	0.2659199999999995	0	0	6.337216	6.071296	54.070456283
c2	18	0.3033280000000005	0	0	6.674432	6.371104	52.856126143
c2	19	0.2603200000000001	0	0	6.331616	6.071296	54.141772887
c2	20	0.26214400000000015	0	0	6.335488	6.073344	55.231185262
c2	21	0.4752320000000001	0	0	6.566912	6.09168	57.09556966
c2	22	0.30335999999999963	0	0	6.669568	6.366208	54.724739229
c2	23	0.4711040000000004	0	0	6.58624	6.115136	56.496750942
c2	24	0.2869440000000001	0	0	6.672608	6.385664	55.72941709
c3	0	0.30310400000000026	0	0	6.67136	6.368256	165.809895012
c3	1	0.34816	0	0	6.678528	6.330368	165.394282648
c3	2	0.2808319999999993	0	0	6.669312	6.38848	128.504292741
c3	3	0.2828160000000004	0	0	6.6736	6.390784	109.081576569
c3	4	0.2632960000000004	0	0	6.674208	6.410912	105.897011752
c3	5	0.29420800000000025	0	0	6.670336	6.376128	112.101801252
c3	6	0.28483200000000064	0	0	6.671648	6.386816	105.826410785
c3	7	0.28256000000000014	0	0	6.667136	6.384576	107.083669619
c3	8	0.2846720000000005	0	0	6.674432	6.38976	109.577665447
c3	9	0.35718400000000017	0	0	6.673248	6.316064	105.141543018
c3	10	0.2662400000000007	0	0	6.668288	6.402048	109.562192566
c3	11	0.2671360000000007	0	0	6.675328	6.408192	100.844854006
c3	12	-0.014175999999999966	1	0	6.33872	6.352896	52.651793448
c3	13	-0.022847999999999757	1	0	6.340544	6.363392	53.147442419
c3	14	-0.002112000000000336	1	0	6.349824	6.351936	53.849420405
c3	15	0.2816000000000001	0	0	6.665216	6.383616	54.015855768
c3	16	0.5662399999999996	0	0	6.66928	6.10304	54.462440744
c3	17	0.5907520000000002	0	0	6.672288	6.081536	52.710812068
c3	18	-0.02550399999999975	1	0	6.332512	6.358016	52.97156077
c3	19	0.25088000000000044	0	0	6.33856	6.08768	55.534202721
c3	20	0.326848	0	0	6.6736	6.346752	54.569403438
c3	21	-0.030272000000000077	1	0	6.334624	6.364896	55.518131924
c3	22	0.25007999999999964	0	0	6.628576	6.378496	54.818352322
c3	23	-0.04300800000000038	1	0	6.335488	6.378496	57.088436007
c3	24	0.6197439999999999	0	0	6.669536	6.049792	57.006052281
