producer	consumer	producer_stage	consumer_stage	status	task_count	recompute_tasks	conservation	reason
l2.s34.rope	l2.s35.rope	34	35	REJECT				fusion consumer is not a single-producer chain node
l2.s35.rope	l2.s36.append	35	36	LEGAL_L_TASK	2048	0	1	[s11, s12] -> { 512 * s11 : s11 > 0 }
l2.s36.append	l2.s37.append	36	37	REJECT				fusion consumer is not a single-producer chain node
l2.s37.append	l2.s38.attn	37	38	REJECT				fusion consumer is not a single-producer chain node
l2.s38.attn	l2.s39.proj	38	39	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l2.s39.proj	l2.s39.add	39	39	REJECT				fusion consumer is not a single-producer chain node
l2.s39.add	l2.s40.norm	39	40	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l2.s40.norm	l2.s41.proj	40	41	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l2.s41.proj	l2.s42.proj	41	42	REJECT				fusion consumer is not a single-producer chain node
l2.s42.proj	l2.s43.act	42	43	REJECT				fusion consumer is not a single-producer chain node
l2.s43.act	l2.s44.proj	43	44	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l2.s44.proj	l2.s44.add	44	44	REJECT				fusion consumer is not a single-producer chain node
l2.s44.add	l3.s45.norm	44	45	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l3.s45.norm	l3.s46.proj	45	46	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l3.s46.proj	l3.s47.proj	46	47	REJECT				fusion consumer is not a single-producer chain node
l3.s47.proj	l3.s48.proj	47	48	REJECT				fusion consumer is not a single-producer chain node
l3.s48.proj	l3.s49.rope	48	49	REJECT				fusion consumer is not a single-producer chain node
l3.s49.rope	l3.s50.rope	49	50	REJECT				fusion consumer is not a single-producer chain node
l3.s50.rope	l3.s51.append	50	51	LEGAL_L_TASK	2048	0	1	[s11, s12] -> { 512 * s11 : s11 > 0 }
l3.s51.append	l3.s52.append	51	52	REJECT				fusion consumer is not a single-producer chain node
l3.s52.append	l3.s53.attn	52	53	REJECT				fusion consumer is not a single-producer chain node
l3.s53.attn	l3.s54.proj	53	54	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l3.s54.proj	l3.s54.add	54	54	REJECT				fusion consumer is not a single-producer chain node
l3.s54.add	l3.s55.norm	54	55	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l3.s55.norm	l3.s56.proj	55	56	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l3.s56.proj	l3.s57.proj	56	57	REJECT				fusion consumer is not a single-producer chain node
l3.s57.proj	l3.s58.act	57	58	REJECT				fusion consumer is not a single-producer chain node
l3.s58.act	l3.s59.proj	58	59	REJECT				fusion tile constraint: consumer spans multiple producer tasks
l3.s59.proj	l3.s59.add	59	59	REJECT				fusion consumer is not a single-producer chain node
