slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
19977	20	865	2	0	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1410	0	1304	146	30	116	2860	0	0	0	0	0	0.0	0.0	0.0	0.0
19978	22	97	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1355	0	1185	146	30	116	2686	0	0	0	0	0	0.0	0.0	0.0	0.0
19979	22	353	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1587	0	1172	147	30	117	2906	0	0	0	0	0	0.0	0.0	0.0	0.0
19980	22	609	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1168	0	701	153	32	121	2022	0	0	0	0	0	0.0	0.0	0.0	0.0
19981	22	865	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1356	0	707	163	32	131	2226	0	0	0	0	0	0.0	0.0	0.0	0.0
19982	21	97	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1933	0	675	402	30	372	3010	0	0	0	0	0	0.0	0.0	0.0	0.0
19983	21	353	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1824	0	712	149	30	119	2685	0	0	0	0	0	0.0	0.0	0.0	0.0
19984	21	609	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1809	0	952	393	32	361	3154	0	0	0	0	0	0.0	0.0	0.0	0.0
19985	21	865	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	565	0	932	146	30	116	1643	0	0	0	0	0	0.0	0.0	0.0	0.0
19986	23	97	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	2263	0	53429	146	30	116	55838	0	0	0	0	0	0.0	0.0	0.0	0.0
19987	23	353	5	0	0	0	0	1	0	0	0	20480	0	0	0	20480	1679	0	51228	149	31	118	53056	0	0	0	0	0	0.0	0.0	0.0	0.0
19988	23	609	5	0	0	0	0	1	0	0	0	21504	0	0	0	21504	2270	0	52258	153	31	122	54681	0	0	0	0	0	0.0	0.0	0.0	0.0
19989	23	865	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1670	0	51900	153	33	120	53723	0	0	0	0	0	0.0	0.0	0.0	0.0
