depth	round	execution_index	returncode	mismatch	max_abs	max_rel	hash	l05_ms	l1_ms	l2_ms
16	13	4	1	162	0.078125	10742.188	621738651f623f5b	11.405184	11.393120	12.226560
2	13	5	0	0	0.015625	3.2	2398bfeb94e20663	1.421312	1.424384	1.525760
6	14	0	0	0	0.03125	2929.6875	34776df8054c3c2c	4.272960	4.287360	4.619360
8	14	1	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.695488	5.704704	6.132736
12	14	2	1	59	0.0625	3906.25	f2c9f237c088aa9b	9.382912	8.642688	9.708544
16	14	3	1	162	0.078125	10742.188	621738651f623f5b	11.382784	11.396096	12.224480
2	14	4	0	0	0.015625	3.2	2398bfeb94e20663	1.423360	1.424448	1.524768
4	14	5	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.849792	2.848384	3.065856
8	15	0	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.697536	5.682240	6.109184
12	15	1	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.536896	8.563392	9.162848
16	15	2	1	162	0.078125	10742.188	621738651f623f5b	11.396032	11.389856	12.224512
2	15	3	0	0	0.015625	3.2	2398bfeb94e20663	1.424192	1.424384	1.526784
4	15	4	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.848736	2.852928	3.058688
6	15	5	0	0	0.03125	2929.6875	34776df8054c3c2c	4.272128	4.274240	4.599808
12	16	0	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.539136	8.543296	9.165824
16	16	1	1	162	0.078125	10742.188	621738651f623f5b	12.347136	11.422784	12.240064
2	16	2	0	0	0.015625	3.2	2398bfeb94e20663	1.422528	1.423424	1.525728
4	16	3	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.847744	2.839552	3.068928
6	16	4	0	0	0.03125	2929.6875	34776df8054c3c2c	4.274176	4.277248	4.592640
8	16	5	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.697280	5.696672	6.306912
16	17	0	1	162	0.078125	10742.188	621738651f623f5b	12.362752	11.815936	12.230400
2	17	1	0	0	0.015625	3.2	2398bfeb94e20663	1.423392	1.425472	1.524960
4	17	2	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.848768	2.858016	3.054912
6	17	3	0	0	0.03125	2929.6875	34776df8054c3c2c	4.279616	4.277248	4.593664
8	17	4	1	4	0.046875	6835.9375	f86acee8a76b2ef3	6.001600	6.250496	6.664192
12	17	5	1	59	0.0625	3906.25	f2c9f237c088aa9b	9.374720	9.176064	9.373696
2	18	0	0	0	0.015625	3.2	2398bfeb94e20663	1.423360	1.423488	1.525760
4	18	1	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.856960	2.845760	3.055616
6	18	2	0	0	0.03125	2929.6875	34776df8054c3c2c	4.266848	4.260928	4.594688
8	18	3	1	4	0.046875	6835.9375	f86acee8a76b2ef3	6.254240	6.246400	6.684672
12	18	4	1	59	0.0625	3906.25	f2c9f237c088aa9b	9.376576	8.614912	9.171968
16	18	5	1	162	0.078125	10742.188	621738651f623f5b	11.402240	11.386624	13.236224
4	19	0	0	0	0.03125	2929.6875	c3217e44b4e94d02	3.125536	3.127456	3.342336
6	19	1	0	0	0.03125	2929.6875	34776df8054c3c2c	4.663296	4.685536	5.010496
8	19	2	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.873664	5.688320	6.127552
12	19	3	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.552448	8.552256	9.264928
16	19	4	1	162	0.078125	10742.188	621738651f623f5b	12.505088	12.506112	12.730368
2	19	5	0	0	0.015625	3.2	2398bfeb94e20663	1.424384	1.427456	1.530624
6	20	0	0	0	0.03125	2929.6875	34776df8054c3c2c	4.273472	4.271168	4.600832
8	20	1	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.876736	6.169600	6.744928
12	20	2	1	59	0.0625	3906.25	f2c9f237c088aa9b	9.376544	8.575104	9.508768
16	20	3	1	162	0.078125	10742.188	621738651f623f5b	11.402240	11.386880	13.194976
2	20	4	0	0	0.015625	3.2	2398bfeb94e20663	1.563648	1.566368	1.655456
4	20	5	0	0	0.03125	2929.6875	c3217e44b4e94d02	3.089408	3.120992	3.362816
