stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
46	serving.s46	rmsnorm	4	1286472.1168209359	1291225.7152282938	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
47	serving.s47	swiglu_gemm	96	1292461.1270292937	1354500.6379270465	169379.348256	438657.45139200002	5244639.9198482707	103116.326688
48	serving.s48	gemm	64	1355736.0497280464	1389408.2225932269	112919.565504	197821.02374400001	1775534.2563315481	68744.217791999996
49	serving.s49	rmsnorm	4	1390643.6343942268	1395397.2328015848	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
50	serving.s50	gemm	128	1396632.6446025847	1420397.6866776403	225839.131008	356883.63366400002	2321714.1853511035	137488.43558399999
51	serving.s51	fused_attention	160	1421633.0984786402	1494424.7882705762	282298.91375999927	1351969.6521855977	3808285.3562941477	171860.54448000013
52	serving.s52	attention_merge	32	1492199.679737176	1500541.0680341574	56459.782751999999	50764.941343999999	14590.94181060046	34372.108895999998
53	serving.s53	gemm	64	1501776.4798351573	1516953.5041968841	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
54	serving.s54	rmsnorm	4	1518188.915997884	1522942.5144052419	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
55	serving.s55	swiglu_gemm	96	1524177.9262062418	1586217.4371039947	169379.348256	438657.45139200002	5244639.9198482707	103116.326688
56	serving.s56	gemm	64	1587452.8489049945	1621125.0217701751	112919.565504	197821.02374400001	1775534.2563315481	68744.217791999996
57	serving.s57	rmsnorm	4	1622360.433571175	1627114.0319785329	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
58	serving.s58	gemm	128	1628349.4437795328	1652114.4858545884	225839.131008	356883.63366400002	2321714.1853511035	137488.43558399999
59	serving.s59	fused_attention	160	1653349.8976555883	1726141.5874475243	282298.91375999927	1351969.6521855977	3808285.3562941477	171860.54448000013
60	serving.s60	attention_merge	32	1723916.4789141242	1732257.8672111055	56459.782751999999	50764.941343999999	14590.94181060046	34372.108895999998
61	serving.s61	gemm	64	1733493.2790121054	1748670.3033738323	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
62	serving.s62	rmsnorm	4	1749905.7151748321	1754659.3135821901	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
63	serving.s63	swiglu_gemm	96	1755894.72538319	1817934.2362809428	169379.348256	438657.45139200002	5244639.9198482707	103116.326688
64	serving.s64	gemm	64	1819169.6480819427	1852841.8209471232	112919.565504	197821.02374400001	1775534.2563315481	68744.217791999996
65	serving.s65	rmsnorm	4	1854077.2327481231	1858830.831155481	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
66	serving.s66	gemm	128	1860066.2429564809	1883831.2850315366	225839.131008	356883.63366400002	2321714.1853511035	137488.43558399999
67	serving.s67	fused_attention	160	1885066.6968325365	1957858.3866244724	282298.91375999927	1351969.6521855977	3808285.3562941477	171860.54448000013
68	serving.s68	attention_merge	32	1955633.2780910723	1963974.6663880537	56459.782751999999	50764.941343999999	14590.94181060046	34372.108895999998
69	serving.s69	gemm	64	1965210.0781890536	1980387.1025507804	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
70	serving.s70	rmsnorm	4	1981622.5143517803	1986376.1127591382	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
71	serving.s71	swiglu_gemm	96	1987611.5245601381	2049651.0354578909	169379.348256	438657.45139200002	5244639.9198482707	103116.326688
72	serving.s72	gemm	64	2050886.4472588908	2084558.6201240714	112919.565504	197821.02374400001	1775534.2563315481	68744.217791999996
73	serving.s73	rmsnorm	4	2085794.0319250713	2090547.6303324292	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
74	serving.s74	gemm	128	2091783.0421334291	2115548.0842084847	225839.131008	356883.63366400002	2321714.1853511035	137488.43558399999
75	serving.s75	fused_attention	160	2116783.4960094849	2189575.1858014213	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
76	serving.s76	attention_merge	32	2187350.0772680212	2195691.4655650025	56459.782751999999	50764.941343999999	14590.941810593009	34372.108895999998
77	serving.s77	gemm	64	2196926.8773660026	2212103.9017277295	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
78	serving.s78	rmsnorm	4	2213339.3135287296	2218092.9119360875	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
79	serving.s79	swiglu_gemm	96	2219328.3237370877	2281367.8346348405	169379.348256	438657.45139200002	5244639.9198482484	103116.326688
80	serving.s80	gemm	64	2282603.2464358406	2316275.4193010214	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
81	serving.s81	rmsnorm	4	2317510.8311020215	2322264.4295093794	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
82	serving.s82	gemm	128	2323499.8413103796	2347264.8833854357	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
83	serving.s83	fused_attention	160	2348500.2951864358	2421291.9849783722	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
84	serving.s84	attention_merge	32	2419066.8764449721	2427408.2647419535	56459.782751999999	50764.941343999999	14590.941810593009	34372.108895999998
85	serving.s85	gemm	64	2428643.6765429536	2443820.7009046804	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
86	serving.s86	rmsnorm	4	2445056.1127056805	2449809.7111130385	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
87	serving.s87	swiglu_gemm	96	2451045.1229140386	2513084.6338117914	169379.348256	438657.45139200002	5244639.9198482484	103116.326688
88	serving.s88	gemm	64	2514320.0456127916	2547992.2184779723	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
