model	seq	kappa	round	arm	l1_ms	l2_ms
gqa2	4	1	7	nowait	0.401600	0.389120
gqa2	4	1	7	neither	0.400576	0.351232
gqa2	4	1	8	full	0.399552	0.494592
gqa2	4	1	8	nowait	0.402432	0.390144
gqa2	4	1	8	neither	0.401600	0.351232
gqa2	4	1	8	l1nosync	0.362496	0.499584
gqa2	4	1	9	nowait	0.400192	0.386048
gqa2	4	1	9	neither	0.399552	0.348160
gqa2	4	1	9	l1nosync	0.363520	0.498688
gqa2	4	1	9	full	0.400384	0.497664
gqa2	4	1	10	neither	0.401408	0.350208
gqa2	4	1	10	l1nosync	0.362496	0.498688
gqa2	4	1	10	full	0.401600	0.496640
gqa2	4	1	10	nowait	0.401600	0.389120
gqa2	4	1	11	l1nosync	0.362496	0.498688
gqa2	4	1	11	full	0.400384	0.495616
gqa2	4	1	11	nowait	0.401568	0.387072
gqa2	4	1	11	neither	0.402624	0.351232
gqa2	4	1	12	full	0.400576	0.497664
gqa2	4	1	12	nowait	0.399552	0.390080
gqa2	4	1	12	neither	0.401376	0.350208
gqa2	4	1	12	l1nosync	0.361472	0.497664
gqa2	4	1	13	nowait	0.400576	0.386944
gqa2	4	1	13	neither	0.399360	0.348160
gqa2	4	1	13	l1nosync	0.362496	0.497632
gqa2	4	1	13	full	0.399520	0.495616
gqa2	4	1	14	neither	0.402432	0.352256
gqa2	4	1	14	l1nosync	0.361472	0.498688
gqa2	4	1	14	full	0.400288	0.494592
gqa2	4	1	14	nowait	0.400576	0.390144
gqa2	4	1	15	l1nosync	0.362368	0.497664
gqa2	4	1	15	full	0.399520	0.495616
gqa2	4	1	15	nowait	0.401408	0.386208
gqa2	4	1	15	neither	0.401408	0.350208
gqa2	4	1	16	full	0.400384	0.495776
gqa2	4	1	16	nowait	0.401408	0.387072
gqa2	4	1	16	neither	0.402400	0.350208
gqa2	4	1	16	l1nosync	0.362432	0.496576
gqa2	4	1	17	nowait	0.400384	0.387072
gqa2	4	1	17	neither	0.401408	0.348160
gqa2	4	1	17	l1nosync	0.362496	0.496512
gqa2	4	1	17	full	0.399360	0.498496
gqa2	4	1	18	neither	0.401408	0.350208
gqa2	4	1	18	l1nosync	0.361472	0.495616
gqa2	4	1	18	full	0.400544	0.497664
gqa2	4	1	18	nowait	0.401408	0.390144
gqa2	4	1	19	l1nosync	0.363520	0.495616
gqa2	4	1	19	full	0.401344	0.496640
gqa2	4	1	19	nowait	0.400384	0.388096
gqa2	4	1	19	neither	0.402400	0.351392
gqa2	4	1	20	full	0.400576	0.497536
gqa2	4	1	20	nowait	0.400384	0.389120
gqa2	4	1	20	neither	0.399520	0.350208
gqa2	4	1	20	l1nosync	0.362496	0.498688
gqa2	4	1	21	nowait	0.401376	0.388896
gqa2	4	1	21	neither	0.402624	0.350208
gqa2	4	1	21	l1nosync	0.362496	0.497664
gqa2	4	1	21	full	0.400384	0.497664
gqa2	4	1	22	neither	0.399552	0.350208
gqa2	4	1	22	l1nosync	0.362240	0.495776
gqa2	4	1	22	full	0.401408	0.494592
gqa2	4	1	22	nowait	0.400544	0.390912
gqa2	4	1	23	l1nosync	0.362304	0.495616
gqa2	4	1	23	full	0.399360	0.494592
gqa2	4	1	23	nowait	0.399232	0.385120
gqa2	4	1	23	neither	0.401408	0.351232
gqa2	4	1	24	full	0.400576	0.496640
gqa2	4	1	24	nowait	0.400384	0.389184
gqa2	4	1	24	neither	0.400384	0.350208
gqa2	4	1	24	l1nosync	0.361472	0.495520
gqa2	4	1	25	nowait	0.400384	0.388096
gqa2	4	1	25	neither	0.401216	0.350016
gqa2	4	1	25	l1nosync	0.362304	0.493568
gqa2	4	1	25	full	0.400512	0.495616
gqa2	128	0	1	nowait	0.567488	0.545792
gqa2	128	0	1	neither	0.564416	0.513024
gqa2	128	0	1	l1nosync	0.528384	0.596992
gqa2	128	0	1	full	0.564416	0.593920
gqa2	128	0	2	neither	0.566272	0.513024
gqa2	128	0	2	l1nosync	0.525312	0.593920
gqa2	128	0	2	full	0.563968	0.593920
gqa2	128	0	2	nowait	0.562176	0.543424
gqa2	128	0	3	l1nosync	0.524288	0.594944
gqa2	128	0	3	full	0.562176	0.593920
gqa2	128	0	3	nowait	0.563968	0.540608
gqa2	128	0	3	neither	0.566272	0.510976
gqa2	128	0	4	full	0.562144	0.593696
gqa2	128	0	4	nowait	0.562176	0.540672
gqa2	128	0	4	neither	0.562176	0.511904
gqa2	128	0	4	l1nosync	0.525440	0.596992
gqa2	128	0	5	nowait	0.562400	0.539648
gqa2	128	0	5	neither	0.565472	0.511008
gqa2	128	0	5	l1nosync	0.525312	0.594848
gqa2	128	0	5	full	0.561344	0.593920
gqa2	128	0	6	neither	0.562368	0.510976
gqa2	128	0	6	l1nosync	0.524288	0.593920
gqa2	128	0	6	full	0.563200	0.594112
gqa2	128	0	6	nowait	0.563200	0.540672
gqa2	128	0	7	l1nosync	0.523040	0.595968
gqa2	128	0	7	full	0.564224	0.594944
gqa2	128	0	7	nowait	0.561344	0.541376
gqa2	128	0	7	neither	0.564864	0.510976
gqa2	128	0	8	full	0.564992	0.594720
gqa2	128	0	8	nowait	0.563072	0.538624
gqa2	128	0	8	neither	0.562176	0.511008
gqa2	128	0	8	l1nosync	0.522240	0.593664
gqa2	128	0	9	nowait	0.562336	0.539648
gqa2	128	0	9	neither	0.562176	0.510592
gqa2	128	0	9	l1nosync	0.522240	0.593920
gqa2	128	0	9	full	0.562176	0.595968
gqa2	128	0	10	neither	0.563200	0.512928
gqa2	128	0	10	l1nosync	0.524096	0.592896
gqa2	128	0	10	full	0.564160	0.593920
gqa2	128	0	10	nowait	0.562176	0.539648
gqa2	128	0	11	l1nosync	0.522240	0.593920
gqa2	128	0	11	full	0.563200	0.592768
gqa2	128	0	11	nowait	0.564448	0.538496
gqa2	128	0	11	neither	0.562400	0.509952
gqa2	128	0	12	full	0.561376	0.595296
gqa2	128	0	12	nowait	0.564416	0.540608
gqa2	128	0	12	neither	0.562304	0.511904
gqa2	128	0	12	l1nosync	0.524288	0.593920
gqa2	128	0	13	nowait	0.562368	0.539648
gqa2	128	0	13	neither	0.561344	0.513024
gqa2	128	0	13	l1nosync	0.523264	0.594816
gqa2	128	0	13	full	0.563360	0.592896
gqa2	128	0	14	neither	0.562976	0.510976
gqa2	128	0	14	l1nosync	0.522240	0.595840
gqa2	128	0	14	full	0.563392	0.593728
gqa2	128	0	14	nowait	0.563200	0.542720
gqa2	128	0	15	l1nosync	0.524288	0.596928
gqa2	128	0	15	full	0.563200	0.593856
gqa2	128	0	15	nowait	0.561152	0.541696
gqa2	128	0	15	neither	0.564192	0.513024
gqa2	128	0	16	full	0.564224	0.596992
gqa2	128	0	16	nowait	0.563200	0.541696
gqa2	128	0	16	neither	0.563200	0.512992
gqa2	128	0	16	l1nosync	0.524128	0.595744
gqa2	128	0	17	nowait	0.563200	0.539872
gqa2	128	0	17	neither	0.562080	0.510976
gqa2	128	0	17	l1nosync	0.525312	0.596992
gqa2	128	0	17	full	0.563200	0.594144
gqa2	128	0	18	neither	0.562208	0.510976
gqa2	128	0	18	l1nosync	0.524960	0.601088
gqa2	128	0	18	full	0.563392	0.592896
gqa2	128	0	18	nowait	0.562176	0.538624
gqa2	128	0	19	l1nosync	0.525696	0.594944
gqa2	128	0	19	full	0.562176	0.593920
gqa2	128	0	19	nowait	0.564128	0.541568
gqa2	128	0	19	neither	0.563232	0.512000
gqa2	128	0	20	full	0.563200	0.594912
gqa2	128	0	20	nowait	0.562176	0.540448
gqa2	128	0	20	neither	0.563392	0.509952
gqa2	128	0	20	l1nosync	0.525312	0.596992
gqa2	128	0	21	nowait	0.561376	0.541696
gqa2	128	0	21	neither	0.562240	0.509696
gqa2	128	0	21	l1nosync	0.524288	0.594944
gqa2	128	0	21	full	0.565248	0.594944
gqa2	128	0	22	neither	0.566272	0.512000
gqa2	128	0	22	l1nosync	0.523264	0.594944
gqa2	128	0	22	full	0.562176	0.592896
gqa2	128	0	22	nowait	0.564384	0.541376
gqa2	128	0	23	l1nosync	0.522240	0.590848
gqa2	128	0	23	full	0.562144	0.593920
gqa2	128	0	23	nowait	0.564224	0.542688
gqa2	128	0	23	neither	0.562176	0.511328
gqa2	128	0	24	full	0.562176	0.592928
gqa2	128	0	24	nowait	0.563168	0.541344
gqa2	128	0	24	neither	0.564192	0.510976
gqa2	128	0	24	l1nosync	0.523008	0.594656
gqa2	128	0	25	nowait	0.562368	0.539904
gqa2	128	0	25	neither	0.563392	0.508928
gqa2	128	0	25	l1nosync	0.523264	0.593920
gqa2	128	0	25	full	0.562400	0.594944
gqa2	128	1	1	nowait	0.563200	0.541696
gqa2	128	1	1	neither	0.563296	0.511744
gqa2	128	1	1	l1nosync	0.523264	1.013760
gqa2	128	1	1	full	0.561152	1.012736
gqa2	128	1	2	neither	0.563200	0.509952
gqa2	128	1	2	l1nosync	0.523264	1.012736
gqa2	128	1	2	full	0.564384	1.011360
gqa2	128	1	2	nowait	0.564416	0.544768
gqa2	128	1	3	l1nosync	0.524288	1.013760
gqa2	128	1	3	full	0.564160	1.013760
gqa2	128	1	3	nowait	0.562176	0.544768
gqa2	128	1	3	neither	0.564448	0.512000
gqa2	128	1	4	full	0.562336	1.012704
gqa2	128	1	4	nowait	0.562336	0.541696
gqa2	128	1	4	neither	0.562336	0.510720
gqa2	128	1	4	l1nosync	0.523264	1.014592
gqa2	128	1	5	nowait	0.564352	0.543744
gqa2	128	1	5	neither	0.562176	0.512000
gqa2	128	1	5	l1nosync	0.525312	1.014752
gqa2	128	1	5	full	0.561888	1.012736
gqa2	128	1	6	neither	0.562176	0.510272
gqa2	128	1	6	l1nosync	0.523168	1.010688
gqa2	128	1	6	full	0.562976	1.012736
gqa2	128	1	6	nowait	0.564224	0.543040
gqa2	128	1	7	l1nosync	0.524288	1.013760
gqa2	128	1	7	full	0.563360	1.013760
gqa2	128	1	7	nowait	0.564480	0.546784
gqa2	128	1	7	neither	0.561344	0.520192
gqa2	128	1	8	full	0.562368	1.012736
gqa2	128	1	8	nowait	0.564224	0.543456
gqa2	128	1	8	neither	0.564384	0.511008
gqa2	128	1	8	l1nosync	0.523264	1.010816
gqa2	128	1	9	nowait	0.562080	0.544768
gqa2	128	1	9	neither	0.518944	0.471040
gqa2	128	1	9	l1nosync	0.481280	0.927744
gqa2	128	1	9	full	0.515744	0.928768
gqa2	128	1	10	neither	0.517984	0.469664
gqa2	128	1	10	l1nosync	0.482976	0.929664
gqa2	128	1	10	full	0.517952	0.928768
gqa2	128	1	10	nowait	0.516192	0.504672
gqa2	128	1	11	l1nosync	0.524960	1.013536
gqa2	128	1	11	full	0.563392	1.011712
gqa2	128	1	11	nowait	0.563136	0.543680
gqa2	128	1	11	neither	0.563200	0.510976
gqa2	128	1	12	full	0.563840	1.013632
gqa2	128	1	12	nowait	0.562368	0.546816
gqa2	128	1	12	neither	0.562176	0.509952
gqa2	128	1	12	l1nosync	0.523264	1.013760
gqa2	128	1	13	nowait	0.560320	0.539680
gqa2	128	1	13	neither	0.563200	0.510976
gqa2	128	1	13	l1nosync	0.525312	1.014752
gqa2	128	1	13	full	0.562176	1.012736
gqa2	128	1	14	neither	0.562176	0.510944
gqa2	128	1	14	l1nosync	0.524288	1.015616
gqa2	128	1	14	full	0.565440	1.011712
gqa2	128	1	14	nowait	0.564224	0.546720
gqa2	128	1	15	l1nosync	0.525312	1.012992
gqa2	128	1	15	full	0.563200	1.012736
gqa2	128	1	15	nowait	0.561152	0.542592
gqa2	128	1	15	neither	0.563264	0.510752
gqa2	128	1	16	full	0.565184	1.012736
