candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
64x128x16s2split32kappa2	827513.86775890051	89418.53270472541	162492.65774699819	827513.86775890051
64x128x16s2split32kappa4	827513.86775890051	89418.53270472541	162492.65774699819	827513.86775890051
128x128x16s3split1kappa1	418883.27523100463	440564.35726931674	280413.4716437672	440564.35726931674
128x128x16s3split1kappa2	418883.27523100463	440564.35726931674	280413.4716437672	440564.35726931674
128x128x16s3split1kappa4	418883.27523100463	440564.35726931674	280413.4716437672	440564.35726931674
128x128x16s3split2kappa1	449145.52585311793	260685.69649055111	143709.64137203427	449145.52585311793
128x128x16s3split2kappa2	449145.52585311793	260685.69649055111	143709.64137203427	449145.52585311793
128x128x16s3split2kappa4	449145.52585311793	260685.69649055111	143709.64137203427	449145.52585311793
128x128x16s3split4kappa1	501827.09882642835	170084.49574700161	119159.13124902731	501827.09882642835
128x128x16s3split4kappa2	501827.09882642835	170084.49574700161	119159.13124902731	501827.09882642835
128x128x16s3split4kappa4	501827.09882642835	170084.49574700161	119159.13124902731	501827.09882642835
128x128x16s3split8kappa1	607190.24477390724	125585.92453163555	128784.57869395358	607190.24477390724
128x128x16s3split8kappa2	607190.24477390724	125585.92453163555	128784.57869395358	607190.24477390724
128x128x16s3split8kappa4	607190.24477390724	125585.92453163555	128784.57869395358	607190.24477390724
128x128x16s3split16kappa1	817916.53666654916	104940.69723677001	165123.45236777276	817916.53666654916
128x128x16s3split16kappa2	817916.53666654916	104940.69723677001	165123.45236777276	817916.53666654916
128x128x16s3split16kappa4	817916.53666654916	104940.69723677001	165123.45236777276	817916.53666654916
128x128x16s3split32kappa1	1239369.1204526126	97826.200214971948	246345.1891073944	1239369.1204526126
128x128x16s3split32kappa2	1239369.1204526126	97826.200214971948	246345.1891073944	1239369.1204526126
128x128x16s3split32kappa4	1239369.1204526126	97826.200214971948	246345.1891073944	1239369.1204526126
