stage	task	category	start_ns	end_ns	wait_ns	fixed_ns	mainloop_ns	publication_ns	hop_ns
56	3	rmsnorm	583903.36234777991	589256.20848431531	1764.3682109690692	2206.6572125548446	307.69231034081895	1074.1284026707756	1235.411801
58	63	gemm	590491.62028531532	664947.37764007039	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
59	3	swiglu	666182.7894410704	671499.04832726892	1764.3682109690692	1246.9930311956209	1230.7692413631594	1074.1284026707756	1235.411801
60	127	gemm	672734.46012826893	711910.55476758827	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
61	3	rmsnorm	713145.96656858828	718498.81270512368	1764.3682109690692	2206.6572125548446	307.69231034081895	1074.1284026707756	1235.411801
62	63	gemm	719734.22450612369	738016.48959454393	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
65	127	rope	739251.90139554394	741864.55705561687	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
69	127	attention	741864.55705561687	746040.50031575689	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
70	127	gemm	747275.9121167569	760814.00571681	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
71	3	rmsnorm	762049.41751781001	767402.26365434541	1764.3682109690692	2206.6572125548446	307.69231034081895	1074.1284026707756	1235.411801
73	63	gemm	768637.67545534542	843093.43281010049	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
74	3	swiglu	844328.8446111005	849645.10349729902	1764.3682109690692	1246.9930311956209	1230.7692413631594	1074.1284026707756	1235.411801
75	127	gemm	850880.51529829903	890056.60993761837	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
76	3	rmsnorm	891292.02173861838	896644.86787515378	1764.3682109690692	2206.6572125548446	307.69231034081895	1074.1284026707756	1235.411801
77	63	gemm	897880.27967615379	916162.54476457404	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
80	127	rope	917397.95656557404	920010.61222564697	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
84	127	attention	920010.61222564697	924186.55548578699	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
85	127	gemm	925421.967286787	938960.0608868401	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
86	3	rmsnorm	940195.47268784011	945548.31882437551	1764.3682109690692	2206.6572125548446	307.69231034081895	1074.1284026707756	1235.411801
88	63	gemm	946783.73062537552	1021239.4879801306	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
89	3	swiglu	1022474.8997811306	1027791.1586673291	1764.3682109690692	1246.9930311956209	1230.7692413631594	1074.1284026707756	1235.411801
90	127	gemm	1029026.5704683291	1068202.6651076486	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
91	3	rmsnorm	1069438.0769086485	1074790.923045184	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
92	63	gemm	1076026.3348461839	1094308.5999346043	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
95	127	rope	1095544.0117356041	1098156.6673956772	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
99	127	attention	1098156.6673956772	1102332.6106558174	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
100	127	gemm	1103568.0224568173	1117106.1160568707	1764.3682109690692	2153.5966399913086	8546.0003464221954	1074.1284026707756	1235.411801
101	3	rmsnorm	1118341.5278578706	1123694.3739944061	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
103	63	gemm	1124929.785795406	1199385.5431501612	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
104	3	swiglu	1200620.9549511611	1205937.2138373596	1764.3682109690692	1246.9930311956209	1230.769241363043	1074.1284026707756	1235.411801
105	127	gemm	1207172.6256383595	1246348.7202776789	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
106	3	rmsnorm	1247584.1320786788	1252936.9782152143	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
107	63	gemm	1254172.3900162142	1272454.6551046346	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
110	127	rope	1273690.0669056345	1276302.7225657075	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
114	127	attention	1276302.7225657075	1280478.6658258478	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
115	127	gemm	1281714.0776268477	1295252.171226901	1764.3682109690692	2153.5966399913086	8546.0003464221954	1074.1284026707756	1235.411801
116	3	rmsnorm	1296487.5830279009	1301840.4291644364	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
118	63	gemm	1303075.8409654363	1377531.5983201915	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
119	3	swiglu	1378767.0101211914	1384083.2690073899	1764.3682109690692	1246.9930311956209	1230.769241363043	1074.1284026707756	1235.411801
120	127	gemm	1385318.6808083898	1424494.7754477093	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
121	3	rmsnorm	1425730.1872487091	1431083.0333852447	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
122	63	gemm	1432318.4451862446	1450600.7102746649	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
125	127	rope	1451836.1220756648	1454448.7777357379	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
129	127	attention	1454448.7777357379	1458624.7209958781	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
130	127	gemm	1459860.132796878	1473398.2263969313	1764.3682109690692	2153.5966399913086	8546.0003464221954	1074.1284026707756	1235.411801
131	3	rmsnorm	1474633.6381979312	1479986.4843344667	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
