block	smid	anchors	ns_per_cycle	implied_mhz	clk0	t0_ns	residual_rms_ns	residual_max_ns
35	115	256	0.332775194	3005.032	46724479287132	1789214880106542016	215.5	521.9
36	6	256	0.332566863	3006.914	46786395375459	1789214880106542080	126.0	333.4
37	7	256	0.332562509	3006.953	46786395375463	1789214880106542080	130.2	321.4
38	28	256	0.332562753	3006.951	46786395375436	1789214880106542048	128.1	319.2
39	29	256	0.332565169	3006.929	46786395375442	1789214880106542048	130.1	320.2
40	50	256	0.332563660	3006.943	46786395375381	1789214880106542016	128.8	311.3
41	51	256	0.332563536	3006.944	46786395375413	1789214880106542016	128.7	311.2
42	72	256	0.332562170	3006.957	46786395375330	1789214880106542016	128.6	332.7
43	73	256	0.332561736	3006.960	46786395375372	1789214880106542016	128.7	333.4
44	94	256	0.332566193	3006.920	46786395375446	1789214880106542048	127.9	323.4
45	95	256	0.332559304	3006.982	46786395375454	1789214880106542048	127.2	328.7
46	116	256	0.332564464	3006.936	46786395375420	1789214880106542048	122.5	332.1
47	117	256	0.332561277	3006.965	46786395375426	1789214880106542048	123.3	329.9
48	8	256	0.332442923	3008.035	46742683765699	1789214880106542048	100.3	252.7
49	9	256	0.332444594	3008.020	46742683764686	1789214880106541728	101.9	260.3
50	30	256	0.332434459	3008.112	46742683765680	1789214880106542048	101.7	252.3
51	31	256	0.332445512	3008.012	46742683765686	1789214880106542048	111.6	254.9
52	52	256	0.332444222	3008.023	46742683765659	1789214880106542048	102.0	267.1
53	53	256	0.332443652	3008.029	46742683765666	1789214880106542048	100.9	268.1
54	74	256	0.332442428	3008.040	46742683765610	1789214880106542016	99.6	243.7
55	75	256	0.332442226	3008.041	46742683765643	1789214880106542016	100.9	246.7
56	96	256	0.332441370	3008.049	46742683765689	1789214880106542080	100.6	265.4
57	97	256	0.332442671	3008.037	46742683765695	1789214880106542080	104.8	268.0
58	118	256	0.332443978	3008.026	46742683765668	1789214880106542048	104.0	252.6
59	119	256	0.332444462	3008.021	46742683765676	1789214880106542048	103.0	258.7
60	10	256	0.332432948	3008.125	46705482289462	1789214880106542048	102.3	274.4
61	11	256	0.332433571	3008.120	46705482289469	1789214880106542048	101.3	238.9
62	32	256	0.332437367	3008.085	46705482289420	1789214880106542016	101.1	273.0
63	33	256	0.332429742	3008.154	46705482289427	1789214880106542016	106.2	251.7
64	54	256	0.332435334	3008.104	46705482289355	1789214880106542016	98.4	269.7
65	55	256	0.332436084	3008.097	46705482289371	1789214880106542016	99.0	269.1
66	76	256	0.332434218	3008.114	46705482289335	1789214880106541984	102.0	268.5
67	77	256	0.332433880	3008.117	46705482289338	1789214880106541984	101.7	268.0
68	98	256	0.332433772	3008.118	46705482289445	1789214880106542048	105.4	254.3
69	99	256	0.332434665	3008.110	46705482289453	1789214880106542048	105.3	255.1
70	120	256	0.332435140	3008.106	46705482289396	1789214880106542016	101.9	273.7
71	121	256	0.332434511	3008.111	46705482289401	1789214880106542016	96.0	243.7
72	12	256	0.332434481	3008.112	46494189054145	1789214880106542048	103.5	272.8
73	13	256	0.332434490	3008.111	46494189054155	1789214880106542048	104.2	271.5
74	34	256	0.332436522	3008.093	46494189054093	1789214880106542016	98.6	233.7
75	35	256	0.332436616	3008.092	46494189054102	1789214880106542016	99.3	234.2
76	56	256	0.332432999	3008.125	46494189054057	1789214880106542016	102.2	266.8
77	57	256	0.332433165	3008.123	46494189054062	1789214880106542016	102.4	267.0
78	78	256	0.332434993	3008.107	46494189054036	1789214880106541984	97.9	239.6
79	79	256	0.332434918	3008.108	46494189054040	1789214880106541984	98.1	238.9
80	100	256	0.332436001	3008.098	46494189054114	1789214880106542016	99.0	236.0
81	101	256	0.332432601	3008.129	46494189054125	1789214880106542016	98.5	236.9
82	122	256	0.332434048	3008.115	46494189054068	1789214880106542016	99.1	250.8
83	123	256	0.332435456	3008.103	46494189054083	1789214880106542016	101.8	248.7
84	14	256	0.332458722	3007.892	46421640944707	1789214880106542048	106.2	270.1
85	15	256	0.332461609	3007.866	46421640944714	1789214880106542048	105.3	289.8
86	36	256	0.332462261	3007.860	46421640944668	1789214880106542048	107.7	285.5
87	37	256	0.332462709	3007.856	46421640944676	1789214880106542048	103.8	292.3
88	58	256	0.332464468	3007.840	46421640944615	1789214880106542016	103.2	285.9
89	59	256	0.332463711	3007.847	46421640944626	1789214880106542016	103.9	287.3
90	80	256	0.332466837	3007.819	46421640944589	1789214880106542016	106.1	288.6
91	81	256	0.332465691	3007.829	46421640944595	1789214880106542016	105.1	290.5
92	102	256	0.332464062	3007.844	46421640944686	1789214880106542048	102.8	273.5
93	103	256	0.332467756	3007.810	46421640944697	1789214880106542048	104.8	274.5
94	124	256	0.332465636	3007.830	46421640944634	1789214880106542016	105.2	280.2
95	125	256	0.332463791	3007.846	46421640944648	1789214880106542016	104.3	284.2
96	16	256	0.332435234	3008.105	46525304872815	1789214880106542080	96.1	241.0
97	17	256	0.332432571	3008.129	46525304872821	1789214880106542080	98.2	250.2
98	38	256	0.332435163	3008.105	46525304872778	1789214880106542048	100.2	229.6
99	39	256	0.332434012	3008.116	46525304872786	1789214880106542048	95.5	253.5
100	60	256	0.332429651	3008.155	46525304872731	1789214880106542016	99.5	241.8
101	61	256	0.332431839	3008.135	46525304872753	1789214880106542016	98.7	249.5
102	82	256	0.332432455	3008.130	46525304872704	1789214880106542016	99.5	257.8
103	83	256	0.332431283	3008.140	46525304872708	1789214880106542016	100.2	259.7
104	104	256	0.332432056	3008.133	46525304872796	1789214880106542048	101.2	260.0
105	105	256	0.332432012	3008.134	46525304872807	1789214880106542048	103.4	267.4
106	126	256	0.332428481	3008.166	46525304872745	1789214880106542016	100.1	241.6
107	127	256	0.332429175	3008.160	46525304872764	1789214880106542048	102.8	255.1
108	18	256	0.332432279	3008.131	46781158442741	1789214880106542048	104.7	264.4
109	19	256	0.332428693	3008.164	46781158442748	1789214880106542048	100.9	256.9
110	40	256	0.332431891	3008.135	46781158442696	1789214880106542016	103.1	247.3
111	41	256	0.332431965	3008.134	46781158442705	1789214880106542016	102.6	247.7
112	62	256	0.332434632	3008.110	46781158442665	1789214880106542016	101.9	247.7
113	63	256	0.332435804	3008.100	46781158442675	1789214880106542016	100.6	245.9
114	84	256	0.332431389	3008.140	46781158442642	1789214880106542016	102.3	258.9
115	85	256	0.332432124	3008.133	46781158442647	1789214880106542016	101.5	257.6
116	106	256	0.332439613	3008.065	46781158442717	1789214880106542048	99.8	252.0
117	107	256	0.332436539	3008.093	46781158442727	1789214880106542048	95.3	245.5
118	20	256	0.332450097	3007.970	46746636987000	1789214880106542016	108.1	273.4
119	21	256	0.332450549	3007.966	46746636987003	1789214880106542016	107.5	276.4
120	42	256	0.332450571	3007.966	46746636986960	1789214880106542016	105.3	263.7
121	43	256	0.332450432	3007.967	46746636986964	1789214880106542016	105.2	265.4
122	64	256	0.332452901	3007.945	46746636986923	1789214880106541984	105.5	289.8
123	65	256	0.332452464	3007.949	46746636986927	1789214880106541984	105.3	289.5
124	86	256	0.332448393	3007.986	46746636986915	1789214880106541984	105.8	285.1
125	87	256	0.332448233	3007.987	46746636986918	1789214880106541984	106.1	285.1
126	108	256	0.332446505	3008.003	46746636986976	1789214880106542016	105.4	264.9
127	109	256	0.332448538	3007.984	46746636986989	1789214880106542016	105.2	267.0
