candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
32x16x64s2split8kappa4	32773.770373610758	51290.163777984242	4980.4663817133587	51290.163777984242
32x16x64s2split16kappa1	35713.608629229078	51437.4035038289	4980.4663817133587	51437.4035038289
32x16x64s2split16kappa2	35713.608629229078	51437.4035038289	4980.4663817133587	51437.4035038289
32x16x64s2split16kappa4	35713.608629229078	51437.4035038289	4980.4663817133587	51437.4035038289
32x16x64s2split32kappa1	35713.608629229078	51437.4035038289	4980.4663817133587	51437.4035038289
32x16x64s2split32kappa2	35713.608629229078	51437.4035038289	4980.4663817133587	51437.4035038289
32x16x64s2split32kappa4	35713.608629229078	51437.4035038289	4980.4663817133587	51437.4035038289
64x128x16s2split1kappa1	5890.4926779296757	215419.79007910672	36341.840531345486	215419.79007910672
64x128x16s2split1kappa2	5890.4926779296757	215419.79007910672	36341.840531345486	215419.79007910672
64x128x16s2split1kappa4	5890.4926779296757	215419.79007910672	36341.840531345486	215419.79007910672
64x128x16s2split2kappa1	6549.0161404442815	163846.02107344917	20421.641438969215	163846.02107344917
64x128x16s2split2kappa2	6549.0161404442815	163846.02107344917	20421.641438969215	163846.02107344917
64x128x16s2split2kappa4	6549.0161404442815	163846.02107344917	20421.641438969215	163846.02107344917
64x128x16s2split4kappa1	7436.0086694722659	137173.72858371487	12461.541892781075	137173.72858371487
64x128x16s2split4kappa2	7436.0086694722659	137173.72858371487	12461.541892781075	137173.72858371487
64x128x16s2split4kappa4	7436.0086694722659	137173.72858371487	12461.541892781075	137173.72858371487
64x128x16s2split8kappa1	9209.9937275284101	143529.89020065745	8631.6084793742448	143529.89020065745
64x128x16s2split8kappa2	9209.9937275284101	143529.89020065745	8631.6084793742448	143529.89020065745
64x128x16s2split8kappa4	9209.9937275284101	143529.89020065745	8631.6084793742448	143529.89020065745
64x128x16s2split16kappa1	12757.963843640426	186092.58673274808	15195.711099977467	186092.58673274808
64x128x16s2split16kappa2	12757.963843640426	186092.58673274808	15195.711099977467	186092.58673274808
64x128x16s2split16kappa4	12757.963843640426	186092.58673274808	15195.711099977467	186092.58673274808
64x128x16s2split32kappa1	19853.904075865441	286143.16644603218	28323.916341183914	286143.16644603218
64x128x16s2split32kappa2	19853.904075865441	286143.16644603218	28323.916341183914	286143.16644603218
64x128x16s2split32kappa4	19853.904075865441	286143.16644603218	28323.916341183914	286143.16644603218
128x128x16s3split1kappa1	5382.7612873136995	304092.46630456607	52573.754524212316	304092.46630456607
128x128x16s3split1kappa2	5382.7612873136995	304092.46630456607	52573.754524212316	304092.46630456607
128x128x16s3split1kappa4	5382.7612873136995	304092.46630456607	52573.754524212316	304092.46630456607
128x128x16s3split2kappa1	5923.2093243994277	239533.16771797297	29789.782812256828	239533.16771797297
128x128x16s3split2kappa2	5923.2093243994277	239533.16771797297	29789.782812256828	239533.16771797297
128x128x16s3split2kappa4	5923.2093243994277	239533.16771797297	29789.782812256828	239533.16771797297
128x128x16s3split4kappa1	6643.7790540205087	208829.64892049704	18397.796956279082	208829.64892049704
128x128x16s3split4kappa2	6643.7790540205087	208829.64892049704	18397.796956279082	208829.64892049704
128x128x16s3split4kappa4	6643.7790540205087	208829.64892049704	18397.796956279082	208829.64892049704
128x128x16s3split8kappa1	8084.9185132625717	232862.50524537847	16426.480341340572	232862.50524537847
128x128x16s3split8kappa2	8084.9185132625717	232862.50524537847	16426.480341340572	232862.50524537847
128x128x16s3split8kappa4	8084.9185132625717	232862.50524537847	16426.480341340572	232862.50524537847
128x128x16s3split16kappa1	10967.197431746383	323648.16485505796	29554.685582547019	323648.16485505796
128x128x16s3split16kappa2	10967.197431746383	323648.16485505796	29554.685582547019	323648.16485505796
128x128x16s3split16kappa4	10967.197431746383	323648.16485505796	29554.685582547019	323648.16485505796
128x128x16s3split32kappa1	16731.755268715082	526579.45755437494	55811.0960649599	526579.45755437494
128x128x16s3split32kappa2	16731.755268715082	526579.45755437494	55811.0960649599	526579.45755437494
128x128x16s3split32kappa4	16731.755268715082	526579.45755437494	55811.0960649599	526579.45755437494
