stage	logical_task	worker	slot
16	43	43	8
16	44	44	8
16	45	45	8
16	46	46	8
16	47	47	8
16	48	48	9
16	49	49	9
16	50	50	9
16	51	51	9
16	52	52	8
16	53	53	8
16	54	54	8
16	55	55	8
16	56	56	8
16	57	57	8
16	58	58	8
16	59	59	8
16	60	60	8
16	61	61	8
16	62	62	8
16	63	63	8
17	0	0	12
17	1	1	12
17	2	2	12
17	3	3	12
17	4	4	10
17	5	5	10
17	6	6	10
17	7	7	10
17	8	8	9
17	9	9	9
17	10	10	9
17	11	11	9
17	12	12	9
17	13	13	9
17	14	14	9
17	15	15	9
17	16	16	8
17	17	17	8
17	18	18	8
17	19	19	8
17	20	20	8
17	21	21	8
17	22	22	8
17	23	23	8
17	24	24	8
17	25	25	8
17	26	26	8
17	27	27	8
17	28	28	7
17	29	29	7
17	30	30	7
17	31	31	7
17	32	32	6
17	33	33	6
17	34	34	6
17	35	35	6
17	36	36	6
17	37	37	6
17	38	38	6
17	39	39	6
17	40	40	6
17	41	41	6
17	42	42	6
17	43	43	6
17	44	44	6
17	45	45	6
17	46	46	6
17	47	47	6
17	48	48	7
17	49	49	7
17	50	50	7
17	51	51	7
17	52	52	6
17	53	53	6
17	54	54	6
17	55	55	6
17	56	56	6
17	57	57	6
17	58	58	6
17	59	59	6
17	60	60	6
17	61	61	6
17	62	62	6
17	63	63	6
17	64	64	5
17	65	65	5
17	66	66	5
17	67	67	5
17	68	68	5
17	69	69	5
17	70	70	5
17	71	71	5
17	72	72	5
17	73	73	5
17	74	74	5
17	75	75	5
17	76	76	5
17	77	77	5
17	78	78	5
17	79	79	5
17	80	80	5
17	81	81	5
17	82	82	5
17	83	83	5
17	84	84	5
17	85	85	5
17	86	86	5
17	87	87	5
17	88	88	5
17	89	89	5
17	90	90	5
17	91	91	5
17	92	92	5
17	93	93	5
17	94	94	5
17	95	95	5
17	96	96	5
17	97	97	5
17	98	98	5
17	99	99	5
17	100	100	5
17	101	101	5
17	102	102	5
17	103	103	5
17	104	104	5
17	105	105	5
17	106	106	5
17	107	107	5
17	108	108	5
17	109	109	5
17	110	110	5
17	111	111	5
17	112	112	5
17	113	113	5
17	114	114	5
17	115	115	5
17	116	116	5
17	117	117	5
17	118	118	5
17	119	119	5
17	120	120	5
17	121	121	5
17	122	122	5
17	123	123	5
17	124	124	5
17	125	125	5
17	126	126	5
17	127	127	5
17	128	0	13
17	129	1	13
17	130	2	13
17	131	3	13
17	132	4	11
17	133	5	11
17	134	6	11
17	135	7	11
17	136	8	10
17	137	9	10
17	138	10	10
17	139	11	10
17	140	12	10
17	141	13	10
17	142	14	10
17	143	15	10
17	144	16	9
17	145	17	9
17	146	18	9
17	147	19	9
17	148	20	9
17	149	21	9
17	150	22	9
17	151	23	9
17	152	24	9
17	153	25	9
17	154	26	9
17	155	27	9
17	156	28	8
17	157	29	8
17	158	30	8
17	159	31	8
17	160	32	7
17	161	33	7
17	162	34	7
17	163	35	7
17	164	36	7
17	165	37	7
17	166	38	7
17	167	39	7
17	168	40	7
17	169	41	7
17	170	42	7
17	171	43	7
17	172	44	7
17	173	45	7
17	174	46	7
17	175	47	7
17	176	48	8
17	177	49	8
17	178	50	8
17	179	51	8
17	180	52	7
17	181	53	7
17	182	54	7
17	183	55	7
17	184	56	7
17	185	57	7
17	186	58	7
17	187	59	7
17	188	60	7
17	189	61	7
17	190	62	7
17	191	63	7
17	192	64	6
17	193	65	6
17	194	66	6
17	195	67	6
17	196	68	6
17	197	69	6
17	198	70	6
17	199	71	6
17	200	72	6
17	201	73	6
17	202	74	6
17	203	75	6
17	204	76	6
17	205	77	6
17	206	78	6
17	207	79	6
17	208	80	6
17	209	81	6
17	210	82	6
17	211	83	6
17	212	84	6
17	213	85	6
17	214	86	6
17	215	87	6
17	216	88	6
17	217	89	6
17	218	90	6
17	219	91	6
17	220	92	6
17	221	93	6
17	222	94	6
17	223	95	6
17	224	96	6
17	225	97	6
17	226	98	6
17	227	99	6
17	228	100	6
17	229	101	6
17	230	102	6
17	231	103	6
17	232	104	6
17	233	105	6
17	234	106	6
17	235	107	6
17	236	108	6
17	237	109	6
17	238	110	6
17	239	111	6
17	240	112	6
17	241	113	6
17	242	114	6
17	243	115	6
17	244	116	6
17	245	117	6
17	246	118	6
17	247	119	6
17	248	120	6
17	249	121	6
17	250	122	6
17	251	123	6
17	252	124	6
17	253	125	6
17	254	126	6
17	255	127	6
18	0	64	7
18	1	65	7
18	2	66	7
18	3	67	7
18	4	68	7
18	5	69	7
18	6	70	7
18	7	71	7
18	8	72	7
18	9	73	7
18	10	74	7
18	11	75	7
18	12	76	7
18	13	77	7
18	14	78	7
18	15	79	7
18	16	80	7
18	17	81	7
18	18	82	7
18	19	83	7
18	20	84	7
18	21	85	7
18	22	86	7
18	23	87	7
18	24	88	7
18	25	89	7
18	26	90	7
18	27	91	7
18	28	92	7
18	29	93	7
18	30	94	7
18	31	95	7
18	32	96	7
18	33	97	7
18	34	98	7
18	35	99	7
18	36	100	7
18	37	101	7
18	38	102	7
18	39	103	7
18	40	104	7
18	41	105	7
18	42	106	7
18	43	107	7
18	44	108	7
18	45	109	7
18	46	110	7
18	47	111	7
18	48	112	7
18	49	113	7
18	50	114	7
18	51	115	7
18	52	116	7
18	53	117	7
18	54	118	7
18	55	119	7
18	56	120	7
18	57	121	7
18	58	122	7
18	59	123	7
18	60	124	7
18	61	125	7
18	62	126	7
18	63	127	7
19	0	0	15
19	1	1	15
19	2	2	15
19	3	3	15
20	0	0	16
20	1	1	16
20	2	2	16
20	3	3	16
20	4	4	13
20	5	5	13
20	6	6	13
20	7	7	13
20	8	8	12
20	9	9	12
20	10	10	12
20	11	11	12
20	12	12	12
20	13	13	12
20	14	14	12
20	15	15	12
20	16	16	11
20	17	17	11
20	18	18	11
20	19	19	11
20	20	20	11
20	21	21	11
20	22	22	11
20	23	23	11
20	24	24	11
20	25	25	11
20	26	26	11
20	27	27	11
20	28	28	10
20	29	29	10
20	30	30	10
20	31	31	10
20	32	32	9
20	33	33	9
20	34	34	9
20	35	35	9
20	36	36	9
20	37	37	9
20	38	38	9
20	39	39	9
20	40	40	9
20	41	41	9
20	42	42	9
20	43	43	9
20	44	44	9
20	45	45	9
20	46	46	9
20	47	47	9
20	48	48	10
20	49	49	10
20	50	50	10
20	51	51	10
20	52	52	9
20	53	53	9
20	54	54	9
20	55	55	9
20	56	56	9
20	57	57	9
20	58	58	9
20	59	59	9
20	60	60	9
20	61	61	9
20	62	62	9
20	63	63	9
20	64	64	8
20	65	65	8
20	66	66	8
20	67	67	8
20	68	68	8
20	69	69	8
20	70	70	8
20	71	71	8
20	72	72	8
20	73	73	8
20	74	74	8
20	75	75	8
20	76	76	8
20	77	77	8
20	78	78	8
20	79	79	8
20	80	80	8
20	81	81	8
20	82	82	8
20	83	83	8
20	84	84	8
20	85	85	8
20	86	86	8
20	87	87	8
20	88	88	8
20	89	89	8
20	90	90	8
20	91	91	8
20	92	92	8
20	93	93	8
20	94	94	8
20	95	95	8
20	96	96	8
20	97	97	8
20	98	98	8
20	99	99	8
20	100	100	8
20	101	101	8
20	102	102	8
20	103	103	8
20	104	104	8
20	105	105	8
20	106	106	8
20	107	107	8
20	108	108	8
20	109	109	8
20	110	110	8
20	111	111	8
20	112	112	8
20	113	113	8
20	114	114	8
20	115	115	8
20	116	116	8
20	117	117	8
20	118	118	8
20	119	119	8
20	120	120	8
20	121	121	8
20	122	122	8
20	123	123	8
20	124	124	8
20	125	125	8
20	126	126	8
20	127	127	8
21	0	0	17
21	1	1	17
21	2	2	17
21	3	3	17
21	4	4	14
21	5	5	14
21	6	6	14
21	7	7	14
21	8	8	13
21	9	9	13
21	10	10	13
21	11	11	13
21	12	12	13
21	13	13	13
21	14	14	13
21	15	15	13
21	16	16	12
21	17	17	12
21	18	18	12
21	19	19	12
21	20	20	12
21	21	21	12
21	22	22	12
21	23	23	12
21	24	24	12
21	25	25	12
21	26	26	12
21	27	27	12
21	28	28	11
21	29	29	11
21	30	30	11
21	31	31	11
22	0	0	18
22	1	1	18
22	2	2	18
22	3	3	18
23	0	64	9
23	1	65	9
23	2	66	9
23	3	67	9
23	4	68	9
23	5	69	9
23	6	70	9
23	7	71	9
23	8	72	9
23	9	73	9
23	10	74	9
23	11	75	9
23	12	76	9
23	13	77	9
23	14	78	9
23	15	79	9
23	16	80	9
23	17	81	9
23	18	82	9
23	19	83	9
23	20	84	9
23	21	85	9
23	22	86	9
23	23	87	9
23	24	88	9
23	25	89	9
23	26	90	9
23	27	91	9
23	28	92	9
23	29	93	9
23	30	94	9
23	31	95	9
23	32	96	9
23	33	97	9
23	34	98	9
23	35	99	9
23	36	100	9
23	37	101	9
23	38	102	9
23	39	103	9
23	40	104	9
23	41	105	9
23	42	106	9
23	43	107	9
23	44	108	9
23	45	109	9
23	46	110	9
23	47	111	9
23	48	112	9
23	49	113	9
23	50	114	9
23	51	115	9
23	52	116	9
23	53	117	9
23	54	118	9
23	55	119	9
23	56	120	9
23	57	121	9
23	58	122	9
23	59	123	9
23	60	124	9
23	61	125	9
23	62	126	9
23	63	127	9
23	64	0	20
23	65	1	20
23	66	2	20
23	67	3	20
23	68	4	16
23	69	5	16
23	70	6	16
23	71	7	16
23	72	8	15
23	73	9	15
23	74	10	15
23	75	11	15
23	76	12	15
23	77	13	15
23	78	14	15
23	79	15	15
23	80	16	14
23	81	17	14
23	82	18	14
23	83	19	14
23	84	20	14
23	85	21	14
23	86	22	14
23	87	23	14
23	88	24	14
23	89	25	14
23	90	26	14
23	91	27	14
23	92	28	13
23	93	29	13
23	94	30	13
23	95	31	13
23	96	32	11
23	97	33	11
23	98	34	11
23	99	35	11
23	100	36	11
23	101	37	11
23	102	38	11
23	103	39	11
23	104	40	11
23	105	41	11
23	106	42	11
23	107	43	11
23	108	44	11
23	109	45	11
23	110	46	11
23	111	47	11
23	112	48	12
23	113	49	12
23	114	50	12
23	115	51	12
23	116	52	11
23	117	53	11
23	118	54	11
23	119	55	11
23	120	56	11
23	121	57	11
23	122	58	11
23	123	59	11
23	124	60	11
23	125	61	11
23	126	62	11
23	127	63	11
24	0	16	15
24	1	17	15
24	2	18	15
24	3	19	15
24	4	20	15
24	5	21	15
24	6	22	15
24	7	23	15
24	8	24	15
24	9	25	15
24	10	26	15
24	11	27	15
24	12	28	14
24	13	29	14
24	14	30	14
24	15	31	14
24	16	32	12
24	17	33	12
24	18	34	12
24	19	35	12
24	20	36	12
24	21	37	12
24	22	38	12
24	23	39	12
24	24	40	12
24	25	41	12
24	26	42	12
24	27	43	12
24	28	44	12
24	29	45	12
24	30	46	12
24	31	47	12
25	0	0	19
25	1	1	19
25	2	2	19
25	3	3	19
25	4	4	15
25	5	5	15
25	6	6	15
25	7	7	15
25	8	8	14
25	9	9	14
25	10	10	14
25	11	11	14
25	12	12	14
25	13	13	14
25	14	14	14
25	15	15	14
25	16	16	13
25	17	17	13
25	18	18	13
25	19	19	13
25	20	20	13
25	21	21	13
25	22	22	13
25	23	23	13
25	24	24	13
25	25	25	13
25	26	26	13
25	27	27	13
25	28	28	12
25	29	29	12
25	30	30	12
25	31	31	12
25	32	32	10
25	33	33	10
25	34	34	10
25	35	35	10
25	36	36	10
25	37	37	10
25	38	38	10
25	39	39	10
25	40	40	10
25	41	41	10
25	42	42	10
25	43	43	10
25	44	44	10
25	45	45	10
25	46	46	10
25	47	47	10
25	48	48	11
25	49	49	11
25	50	50	11
25	51	51	11
25	52	52	10
25	53	53	10
25	54	54	10
25	55	55	10
25	56	56	10
25	57	57	10
25	58	58	10
25	59	59	10
25	60	60	10
25	61	61	10
25	62	62	10
25	63	63	10
26	0	0	21
26	1	1	21
26	2	2	21
26	3	3	21
26	4	4	17
26	5	5	17
26	6	6	17
26	7	7	17
26	8	8	16
26	9	9	16
26	10	10	16
26	11	11	16
26	12	12	16
26	13	13	16
26	14	14	16
26	15	15	16
27	0	64	10
27	1	65	10
27	2	66	10
27	3	67	10
27	4	68	10
27	5	69	10
27	6	70	10
27	7	71	10
27	8	72	10
27	9	73	10
27	10	74	10
27	11	75	10
27	12	76	10
27	13	77	10
27	14	78	10
27	15	79	10
27	16	80	10
27	17	81	10
27	18	82	10
27	19	83	10
27	20	84	10
27	21	85	10
27	22	86	10
27	23	87	10
27	24	88	10
27	25	89	10
27	26	90	10
27	27	91	10
27	28	92	10
27	29	93	10
27	30	94	10
27	31	95	10
27	32	96	10
27	33	97	10
27	34	98	10
27	35	99	10
27	36	100	10
27	37	101	10
27	38	102	10
27	39	103	10
27	40	104	10
27	41	105	10
27	42	106	10
27	43	107	10
27	44	108	10
27	45	109	10
27	46	110	10
27	47	111	10
27	48	112	10
27	49	113	10
27	50	114	10
27	51	115	10
27	52	116	10
27	53	117	10
27	54	118	10
27	55	119	10
27	56	120	10
27	57	121	10
27	58	122	10
27	59	123	10
27	60	124	10
27	61	125	10
27	62	126	10
27	63	127	10
28	0	48	13
28	1	49	13
28	2	50	13
28	3	51	13
28	4	52	12
28	5	53	12
28	6	54	12
28	7	55	12
28	8	56	12
28	9	57	12
28	10	58	12
28	11	59	12
28	12	60	12
28	13	61	12
28	14	62	12
28	15	63	12
29	0	24	16
29	1	25	16
29	2	26	16
29	3	27	16
29	4	20	16
29	5	21	16
29	6	22	16
29	7	23	16
29	8	16	16
29	9	17	16
29	10	18	16
29	11	19	16
29	12	8	17
29	13	9	17
29	14	10	17
29	15	11	17
30	0	0	22
30	1	1	22
30	2	2	22
30	3	3	22
30	4	4	18
30	5	5	18
30	6	6	18
30	7	7	18
31	0	0	23
31	1	1	23
31	2	2	23
31	3	3	23
31	4	4	19
31	5	5	19
31	6	6	19
31	7	7	19
32	0	12	17
32	1	13	17
32	2	14	17
32	3	15	17
32	4	48	14
32	5	49	14
32	6	50	14
32	7	51	14
33	0	12	18
33	1	13	18
33	2	14	18
33	3	15	18
33	4	8	18
33	5	9	18
33	6	10	18
33	7	11	18
33	8	4	20
33	9	5	20
33	10	6	20
33	11	7	20
33	12	0	24
33	13	1	24
33	14	2	24
33	15	3	24
34	0	0	25
34	1	1	25
34	2	2	25
34	3	3	25
34	4	4	21
34	5	5	21
34	6	6	21
34	7	7	21
34	8	8	19
34	9	9	19
34	10	10	19
34	11	11	19
34	12	12	19
34	13	13	19
34	14	14	19
34	15	15	19
34	16	16	17
34	17	17	17
