round	execution_index	model	split	order	seq	past	pass	l2_mismatch	max_abs	task_refs	waits	hash_l05	hash_l1	hash_l2
16	0	gqa2	16	0	512	0	0	100900	0.86328125	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	6a0560f9d4e5f734
16	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
17	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
17	1	gqa2	16	0	512	0	0	112721	1.1054688	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	1282cebffd1e4cc8
18	0	gqa2	16	0	512	0	0	222531	1.1054688	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	a6e437c88dd9451a
18	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
19	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
19	1	gqa2	16	0	512	0	0	112157	1.0976562	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	5e074e4347303abf
20	0	gqa2	16	0	512	0	0	58976	0.875	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	b1a70077ee0d987d
20	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
21	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
21	1	gqa2	16	0	512	0	0	13343	0.484375	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	35777608d877bb53
22	0	gqa2	16	0	512	0	0	113049	1.0976562	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	aa8ae979025aab8c
22	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
23	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
23	1	gqa2	16	0	512	0	0	223057	1.1054688	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	ffd90bf6fdcec50f
24	0	gqa2	16	0	512	0	0	112992	1.0976562	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	9a04331f6852247e
24	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
25	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
25	1	gqa2	16	0	512	0	0	113437	1.0976562	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	5f5b2d4ccc37d407
26	0	gqa2	16	0	512	0	0	64442	0.875	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	dae80c0896035fc0
26	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
27	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
27	1	gqa2	16	0	512	0	0	159534	0.9921875	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	b13f4fd3ac69d1e9
28	0	gqa2	16	0	512	0	0	107817	0.9296875	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	10a2bccb5d0a8a33
28	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
29	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
29	1	gqa2	16	0	512	0	0	64633	0.859375	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	3d16678177bf4620
30	0	gqa2	16	0	512	0	0	110474	0.71875	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	00772e1ec8e83896
30	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
31	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
31	1	gqa2	16	0	512	0	0	112026	0.9453125	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	13a82b8480a77504
32	0	gqa2	16	0	512	0	0	115545	0.875	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	7f41b6b6f50ba619
32	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
33	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
33	1	gqa2	16	0	512	0	0	55507	0.796875	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	95455148c12fc1c8
34	0	gqa2	16	0	512	0	0	169815	1.0976562	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	16c90254217be7eb
34	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
35	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
35	1	gqa2	16	0	512	0	0	58194	0.84375	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	9fa5aafbcfe6da26
36	0	gqa2	16	0	512	0	0	85783	0.765625	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	aa7d57f860c5ecf6
36	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
37	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
37	1	gqa2	16	0	512	0	0	111964	1	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	15af042c0cbc54b2
38	0	gqa2	16	0	512	0	0	109214	0.765625	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	57674ffc3e4e62f5
38	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
39	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
39	1	gqa2	16	0	512	0	0	106984	0.984375	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	6426894c3766755e
40	0	gqa2	16	0	512	0	0	110884	0.71875	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	6e83289af10e516d
40	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
41	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
41	1	gqa2	16	0	512	0	0	97363	0.90625	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	0ec711e18a0a1045
42	0	gqa2	16	0	512	0	0	111498	0.875	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	7a63a9c3349f4862
42	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
43	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
43	1	gqa2	16	0	512	0	0	110074	0.75390625	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	9446d7085991dea5
44	0	gqa2	16	0	512	0	0	111766	0.765625	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	de3f2dad87b66573
44	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
45	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
45	1	gqa2	16	0	512	0	0	56768	0.765625	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	c7306c3fdb23f8da
46	0	gqa2	16	0	512	0	0	223293	1.1054688	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	543c297510f67b0b
46	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
47	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
47	1	gqa2	16	0	512	0	0	186427	1.1054688	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	b020da2e28ab219e
48	0	gqa2	16	0	512	0	0	111182	1.0273438	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	7935ac97bb03092b
48	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
49	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
49	1	gqa2	16	0	512	0	0	102395	0.89257812	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	b35ad8a0a6cd0fdb
