cell	rank	mode	flow_ms	fluid_ms	measured_ms	estimated_rmax	actual_rmax	re_solved	evidence
qwen3_prefill_B1	2	L2	7.09717	7.09717	6.41741	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B1/plan.so.top3_measured.tsv
qwen3_prefill_B1	3	L1	7.09717	7.09717	6.12068	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B1/plan.so.top3_measured.tsv
qwen3_prefill_B1	3	L2	7.09717	7.09717	6.42683	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B1/plan.so.top3_measured.tsv
qwen3_prefill_B2	1	L1	7.44119	7.44119	7.20875	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B2/plan.so.top3_measured.tsv
qwen3_prefill_B2	1	L2	7.44119	7.44119	7.42441	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B2/plan.so.top3_measured.tsv
qwen3_prefill_B2	2	L1	7.44119	7.44119	7.33395	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B2/plan.so.top3_measured.tsv
qwen3_prefill_B2	2	L2	7.44119	7.44119	7.59009	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B2/plan.so.top3_measured.tsv
qwen3_prefill_B2	3	L1	7.44119	7.44119	7.36895	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B2/plan.so.top3_measured.tsv
qwen3_prefill_B2	3	L2	7.44119	7.44119	7.58764	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B2/plan.so.top3_measured.tsv
qwen3_prefill_B4	1	L1	10.9699	10.774	12.2409	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B4/plan.so.top3_measured.tsv
qwen3_prefill_B4	1	L2	10.9699	10.774	12.7986	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B4/plan.so.top3_measured.tsv
qwen3_prefill_B4	2	L1	10.9699	10.774	11.7522	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B4/plan.so.top3_measured.tsv
qwen3_prefill_B4	2	L2	10.9699	10.774	12.1354	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B4/plan.so.top3_measured.tsv
qwen3_prefill_B4	3	L1	10.9699	10.774	11.7525	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B4/plan.so.top3_measured.tsv
qwen3_prefill_B4	3	L2	10.9699	10.774	12.2663	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B4/plan.so.top3_measured.tsv
qwen3_prefill_B8	1	L1	17.4599	17.07	17.5326	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B8/plan.so.top3_measured.tsv
qwen3_prefill_B8	1	L2	17.4599	17.07	18.2471	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B8/plan.so.top3_measured.tsv
qwen3_prefill_B8	2	L1	17.4599	17.07	17.4664	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B8/plan.so.top3_measured.tsv
qwen3_prefill_B8	2	L2	17.4599	17.07	17.0594	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B8/plan.so.top3_measured.tsv
qwen3_prefill_B8	3	L1	17.4599	17.07	17.5022	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B8/plan.so.top3_measured.tsv
qwen3_prefill_B8	3	L2	17.4599	17.07	18.208	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B8/plan.so.top3_measured.tsv
qwen3_decode_B1	1	L1	6.20036	6.23266	6.34922	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B1/plan.so.top3_measured.tsv
qwen3_decode_B1	1	L2	6.20036	6.23266	6.70655	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B1/plan.so.top3_measured.tsv
qwen3_decode_B1	2	L1	6.20036	6.23266	6.52801	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B1/plan.so.top3_measured.tsv
qwen3_decode_B1	2	L2	6.20036	6.23266	6.70269	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B1/plan.so.top3_measured.tsv
qwen3_decode_B1	3	L1	6.20036	6.23266	6.47319	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B1/plan.so.top3_measured.tsv
qwen3_decode_B1	3	L2	6.20036	6.23266	6.83015	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B1/plan.so.top3_measured.tsv
qwen3_decode_B2	1	L1	6.63451	6.88659	5.97904	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B2/plan.so.top3_measured.tsv
qwen3_decode_B2	1	L2	6.63451	6.88659	5.52582	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B2/plan.so.top3_measured.tsv
qwen3_decode_B2	2	L1	6.63451	6.88659	5.91365	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B2/plan.so.top3_measured.tsv
qwen3_decode_B2	2	L2	6.63451	6.88659	5.5216	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B2/plan.so.top3_measured.tsv
qwen3_decode_B2	3	L1	6.63451	6.88659	5.92686	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B2/plan.so.top3_measured.tsv
qwen3_decode_B2	3	L2	6.63451	6.88659	5.51888	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B2/plan.so.top3_measured.tsv
qwen3_decode_B4	1	L1	7.3628	7.51439	8.60502	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B4/plan.so.top3_measured.tsv
qwen3_decode_B4	1	L2	7.3628	7.51439	8.55357	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B4/plan.so.top3_measured.tsv
qwen3_decode_B4	2	L1	7.3628	7.51439	8.95418	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B4/plan.so.top3_measured.tsv
qwen3_decode_B4	2	L2	7.3628	7.51439	8.88483	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B4/plan.so.top3_measured.tsv
qwen3_decode_B4	3	L1	7.3628	7.51439	9.19405	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B4/plan.so.top3_measured.tsv
qwen3_decode_B4	3	L2	7.3628	7.51439	9.10344	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B4/plan.so.top3_measured.tsv
qwen3_decode_B8	1	L1	8.81218	8.81218	7.45266	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B8/plan.so.top3_measured.tsv
qwen3_decode_B8	1	L2	8.81218	8.81218	7.61568	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B8/plan.so.top3_measured.tsv
qwen3_decode_B8	2	L1	8.81218	8.81218	7.49278	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B8/plan.so.top3_measured.tsv
qwen3_decode_B8	2	L2	8.81218	8.81218	7.70365	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B8/plan.so.top3_measured.tsv
qwen3_decode_B8	3	L1	8.81218	8.81218	7.54122	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B8/plan.so.top3_measured.tsv
qwen3_decode_B8	3	L2	8.81218	8.81218	7.61926	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B8/plan.so.top3_measured.tsv
qwen3_decode_B16	1	L1	8.81223	8.81223	10.0922	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B16/plan.so.top3_measured.tsv
qwen3_decode_B16	1	L2	8.81223	8.81223	10.3438	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B16/plan.so.top3_measured.tsv
qwen3_decode_B16	2	L1	8.81223	8.81223	10.3089	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B16/plan.so.top3_measured.tsv
qwen3_decode_B16	2	L2	8.81223	8.81223	10.4592	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B16/plan.so.top3_measured.tsv
qwen3_decode_B16	3	L1	8.81223	8.81223	9.65786	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B16/plan.so.top3_measured.tsv
qwen3_decode_B16	3	L2	8.81223	8.81223	9.97686	1	1	0	closure_r11/historical_b22/plans/qwen3_decode_B16/plan.so.top3_measured.tsv
