tensor	element_bytes	no_producer_read_bytes	external_write_bytes	state	output
l16.qkv.weight	2	16777216	0	0	0
l17.act	2	0	0	0	0
l17.context	2	0	0	0	0
l17.gate_up.weight	2	50331648	0	0	0
l17.qkv	2	0	0	0	0
l17.qkv.weight	2	16777216	0	0	0
l18.act	2	0	0	0	0
l18.context	2	0	0	0	0
l18.gate_up.weight	2	50331648	0	0	0
l18.qkv	2	0	0	0	0
l18.qkv.weight	2	16777216	0	0	0
l19.act	2	0	0	0	0
l19.context	2	0	0	0	0
l19.gate_up.weight	2	50331648	0	0	0
l19.qkv	2	0	0	0	0
l19.qkv.weight	2	16777216	0	0	0
l2.act	2	0	0	0	0
l2.context	2	0	0	0	0
l2.gate_up.weight	2	50331648	0	0	0
l2.qkv	2	0	0	0	0
l2.qkv.weight	2	16777216	0	0	0
l20.act	2	0	0	0	0
l20.context	2	0	0	0	0
l20.gate_up.weight	2	50331648	0	0	0
l20.qkv	2	0	0	0	0
l20.qkv.weight	2	16777216	0	0	0
l21.act	2	0	0	0	0
l21.context	2	0	0	0	0
l21.gate_up.weight	2	50331648	0	0	0
l21.qkv	2	0	0	0	0
l21.qkv.weight	2	16777216	0	0	0
l22.act	2	0	0	0	0
l22.context	2	0	0	0	0
l22.gate_up.weight	2	50331648	0	0	0
l22.qkv	2	0	0	0	0
l22.qkv.weight	2	16777216	0	0	0
l23.act	2	0	0	0	0
l23.context	2	0	0	0	0
l23.gate_up.weight	2	50331648	0	0	0
l23.qkv	2	0	0	0	0
l23.qkv.weight	2	16777216	0	0	0
l24.act	2	0	0	0	0
l24.context	2	0	0	0	0
l24.gate_up.weight	2	50331648	0	0	0
l24.qkv	2	0	0	0	0
l24.qkv.weight	2	16777216	0	0	0
l25.act	2	0	0	0	0
l25.context	2	0	0	0	0
l25.gate_up.weight	2	50331648	0	0	0
l25.qkv	2	0	0	0	0
l25.qkv.weight	2	16777216	0	0	0
l26.act	2	0	0	0	0
l26.context	2	0	0	0	0
l26.gate_up.weight	2	50331648	0	0	0
l26.qkv	2	0	0	0	0
l26.qkv.weight	2	16777216	0	0	0
l27.act	2	0	0	0	0
l27.context	2	0	0	0	0
l27.gate_up.weight	2	50331648	0	0	0
l27.qkv	2	0	0	0	0
l27.qkv.weight	2	16777216	0	0	0
l3.act	2	0	0	0	0
l3.context	2	0	0	0	0
l3.gate_up.weight	2	50331648	0	0	0
l3.qkv	2	0	0	0	0
l3.qkv.weight	2	16777216	0	0	0
l4.act	2	0	0	0	0
l4.context	2	0	0	0	0
l4.gate_up.weight	2	50331648	0	0	0
l4.qkv	2	0	0	0	0
l4.qkv.weight	2	16777216	0	0	0
l5.act	2	0	0	0	0
l5.context	2	0	0	0	0
l5.gate_up.weight	2	50331648	0	0	0
l5.qkv	2	0	0	0	0
l5.qkv.weight	2	16777216	0	0	0
l6.act	2	0	0	0	0
l6.context	2	0	0	0	0
l6.gate_up.weight	2	50331648	0	0	0
l6.qkv	2	0	0	0	0
l6.qkv.weight	2	16777216	0	0	0
l7.act	2	0	0	0	0
l7.context	2	0	0	0	0
l7.gate_up.weight	2	50331648	0	0	0
l7.qkv	2	0	0	0	0
l7.qkv.weight	2	16777216	0	0	0
l8.act	2	0	0	0	0
l8.context	2	0	0	0	0
l8.gate_up.weight	2	50331648	0	0	0
l8.qkv	2	0	0	0	0
l8.qkv.weight	2	16777216	0	0	0
l9.act	2	0	0	0	0
l9.context	2	0	0	0	0
l9.gate_up.weight	2	50331648	0	0	0
l9.qkv	2	0	0	0	0
l9.qkv.weight	2	16777216	0	0	0
model.embed_tokens.weight	2	622329856	0	0	0
model.layers.0.input_layernorm.weight	2	4096	0	0	0
model.layers.0.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.0.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.0.self_attn.k_norm.weight	2	256	0	0	0
model.layers.0.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.0.self_attn.q_norm.weight	2	256	0	0	0
model.layers.1.input_layernorm.weight	2	4096	0	0	0
model.layers.1.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.1.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.1.self_attn.k_norm.weight	2	256	0	0	0
model.layers.1.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.1.self_attn.q_norm.weight	2	256	0	0	0
model.layers.10.input_layernorm.weight	2	4096	0	0	0
model.layers.10.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.10.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.10.self_attn.k_norm.weight	2	256	0	0	0
model.layers.10.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.10.self_attn.q_norm.weight	2	256	0	0	0
model.layers.11.input_layernorm.weight	2	4096	0	0	0
model.layers.11.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.11.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.11.self_attn.k_norm.weight	2	256	0	0	0
model.layers.11.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.11.self_attn.q_norm.weight	2	256	0	0	0
model.layers.12.input_layernorm.weight	2	4096	0	0	0
model.layers.12.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.12.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.12.self_attn.k_norm.weight	2	256	0	0	0
model.layers.12.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.12.self_attn.q_norm.weight	2	256	0	0	0
model.layers.13.input_layernorm.weight	2	4096	0	0	0
model.layers.13.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.13.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.13.self_attn.k_norm.weight	2	256	0	0	0
model.layers.13.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.13.self_attn.q_norm.weight	2	256	0	0	0
model.layers.14.input_layernorm.weight	2	4096	0	0	0
model.layers.14.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.14.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.14.self_attn.k_norm.weight	2	256	0	0	0
model.layers.14.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.14.self_attn.q_norm.weight	2	256	0	0	0
model.layers.15.input_layernorm.weight	2	4096	0	0	0
model.layers.15.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.15.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.15.self_attn.k_norm.weight	2	256	0	0	0
model.layers.15.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.15.self_attn.q_norm.weight	2	256	0	0	0
model.layers.16.input_layernorm.weight	2	4096	0	0	0
model.layers.16.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.16.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.16.self_attn.k_norm.weight	2	256	0	0	0
model.layers.16.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.16.self_attn.q_norm.weight	2	256	0	0	0
model.layers.17.input_layernorm.weight	2	4096	0	0	0
model.layers.17.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.17.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.17.self_attn.k_norm.weight	2	256	0	0	0
model.layers.17.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.17.self_attn.q_norm.weight	2	256	0	0	0
model.layers.18.input_layernorm.weight	2	4096	0	0	0
model.layers.18.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.18.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.18.self_attn.k_norm.weight	2	256	0	0	0
model.layers.18.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.18.self_attn.q_norm.weight	2	256	0	0	0
model.layers.19.input_layernorm.weight	2	4096	0	0	0
model.layers.19.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.19.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.19.self_attn.k_norm.weight	2	256	0	0	0
model.layers.19.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.19.self_attn.q_norm.weight	2	256	0	0	0
model.layers.2.input_layernorm.weight	2	4096	0	0	0
model.layers.2.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.2.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.2.self_attn.k_norm.weight	2	256	0	0	0
model.layers.2.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.2.self_attn.q_norm.weight	2	256	0	0	0
model.layers.20.input_layernorm.weight	2	4096	0	0	0
model.layers.20.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.20.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.20.self_attn.k_norm.weight	2	256	0	0	0
model.layers.20.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.20.self_attn.q_norm.weight	2	256	0	0	0
model.layers.21.input_layernorm.weight	2	4096	0	0	0
model.layers.21.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.21.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.21.self_attn.k_norm.weight	2	256	0	0	0
model.layers.21.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.21.self_attn.q_norm.weight	2	256	0	0	0
model.layers.22.input_layernorm.weight	2	4096	0	0	0
model.layers.22.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.22.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.22.self_attn.k_norm.weight	2	256	0	0	0
model.layers.22.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.22.self_attn.q_norm.weight	2	256	0	0	0
model.layers.23.input_layernorm.weight	2	4096	0	0	0
model.layers.23.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.23.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.23.self_attn.k_norm.weight	2	256	0	0	0
model.layers.23.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.23.self_attn.q_norm.weight	2	256	0	0	0
model.layers.24.input_layernorm.weight	2	4096	0	0	0
model.layers.24.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.24.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.24.self_attn.k_norm.weight	2	256	0	0	0
model.layers.24.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.24.self_attn.q_norm.weight	2	256	0	0	0
model.layers.25.input_layernorm.weight	2	4096	0	0	0
model.layers.25.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.25.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.25.self_attn.k_norm.weight	2	256	0	0	0
model.layers.25.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.25.self_attn.q_norm.weight	2	256	0	0	0
model.layers.26.input_layernorm.weight	2	4096	0	0	0
model.layers.26.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.26.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.26.self_attn.k_norm.weight	2	256	0	0	0
model.layers.26.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.26.self_attn.q_norm.weight	2	256	0	0	0
model.layers.27.input_layernorm.weight	2	4096	0	0	0
model.layers.27.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.27.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.27.self_attn.k_norm.weight	2	256	0	0	0
model.layers.27.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.27.self_attn.q_norm.weight	2	256	0	0	0
model.layers.3.input_layernorm.weight	2	4096	0	0	0
model.layers.3.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.3.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.3.self_attn.k_norm.weight	2	256	0	0	0
model.layers.3.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.3.self_attn.q_norm.weight	2	256	0	0	0
model.layers.4.input_layernorm.weight	2	4096	0	0	0
model.layers.4.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.4.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.4.self_attn.k_norm.weight	2	256	0	0	0
model.layers.4.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.4.self_attn.q_norm.weight	2	256	0	0	0
model.layers.5.input_layernorm.weight	2	4096	0	0	0
model.layers.5.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.5.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.5.self_attn.k_norm.weight	2	256	0	0	0
model.layers.5.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.5.self_attn.q_norm.weight	2	256	0	0	0
model.layers.6.input_layernorm.weight	2	4096	0	0	0
model.layers.6.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.6.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.6.self_attn.k_norm.weight	2	256	0	0	0
model.layers.6.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.6.self_attn.q_norm.weight	2	256	0	0	0
model.layers.7.input_layernorm.weight	2	4096	0	0	0
model.layers.7.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.7.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.7.self_attn.k_norm.weight	2	256	0	0	0
model.layers.7.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.7.self_attn.q_norm.weight	2	256	0	0	0
model.layers.8.input_layernorm.weight	2	4096	0	0	0
model.layers.8.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.8.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.8.self_attn.k_norm.weight	2	256	0	0	0
model.layers.8.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.8.self_attn.q_norm.weight	2	256	0	0	0
model.layers.9.input_layernorm.weight	2	4096	0	0	0
model.layers.9.mlp.down_proj.weight	2	25165824	0	0	0
model.layers.9.post_attention_layernorm.weight	2	4096	0	0	0
model.layers.9.self_attn.k_norm.weight	2	256	0	0	0
model.layers.9.self_attn.o_proj.weight	2	8388608	0	0	0
model.layers.9.self_attn.q_norm.weight	2	256	0	0	0
model.norm.weight	2	4096	0	0	0
serving.argmax.index	2	9504	0	0	0
serving.argmax.value	2	0	0	0	0
serving.hidden	2	0	0	0	0
serving.normalized	2	0	0	0	0
serving.rope_cos	2	256	0	0	0
serving.rope_sin	2	256	0	0	0
serving.tokens	4	32	32	1	1
