group	cell	round	ratio	rotate_log	legacy_log
reference	mha4_s4	5	0.8768768768768768	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r5.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r5.log
reference	mha4_s4	6	0.8708708708708708	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r6.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r6.log
reference	mha4_s4	7	0.8708708708708708	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r7.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r7.log
reference	mha4_s4	8	0.8682634730538923	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r8.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r8.log
reference	mha4_s4	9	0.8682634730538923	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r9.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r9.log
reference	mha4_s4	10	0.8749648777746557	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r10.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r10.log
reference	mha4_s4	11	0.8764854496116777	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r11.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r11.log
reference	mha4_s4	12	0.8768768768768768	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r12.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r12.log
reference	mha4_s4	13	0.8557904411764705	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r13.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r13.log
reference	mha4_s4	14	0.8793281411278973	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r14.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r14.log
