cell	arm	processes	processes_with_active_telemetry	l1_min_ms	l1_max_ms	l1_median_ms	l2_median_ms	process_seconds_median	active_clock_mhz_median	active_power_w_median	l1_clock_spearman	l2_clock_spearman
mha4_s4	c1__l1nosync	25	3	0.229376	0.25088	0.24576	0.290816	0.566469724	nan	nan	nan	nan
mha4_s4	c2__full	25	3	0.356256	0.392192	0.38912	0.291552	0.582845203	nan	nan	nan	nan
mha4_s4	c2__nofence	25	2	0.370688	0.392192	0.38912	0.243712	0.518868042	nan	nan	nan	nan
mha4_s4	c2__nowait	25	2	0.369664	0.39424	0.38912	0.207008	0.517157447	nan	nan	nan	nan
mha4_s4	c2__neither	25	1	0.372736	0.394048	0.390144	0.149504	0.544835818	nan	nan	nan	nan
mha4_s4	c2__l1nosync	25	3	0.231424	0.25088	0.244736	0.291648	0.518784788	nan	nan	nan	nan
mha4_s4	c3__full	25	2	0.366592	0.394176	0.388896	0.290816	0.518733701	nan	nan	nan	nan
mha4_s4	c3__nofence	25	2	0.358528	0.393216	0.38912	0.243712	0.567765099	nan	nan	nan	nan
mha4_s4	c3__nowait	25	3	0.372544	0.393216	0.38912	0.207488	0.495037431	nan	nan	nan	nan
mha4_s4	c3__neither	25	3	0.359488	0.392384	0.38912	0.14976	0.50061713	nan	nan	nan	nan
mha4_s4	c3__l1nosync	25	3	0.23552	0.25088	0.244736	0.290816	0.510863544	nan	nan	nan	nan
