slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
636	2	23	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2032	992	9333	1075	946	129	13432	1	8	7757	1361	215	2956.807623585468	518.7849910661108	81.95354377605717	434.4490768314473
637	4	7	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1195	0	1469	159	30	129	2823	0	0	0	0	0	0.0	0.0	0.0	0.0
638	9	23	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2037	1086	9251	1709	1580	129	14083	1	8	7864	1267	120	2859.0271959099623	460.6291273166229	43.6270680962863	414.95704040332316
639	11	23	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2038	1074	9202	1285	1155	130	13599	1	8	7795	1287	120	2934.8040297080665	484.5532759761747	45.17979263181116	427.41966321053013
640	14	23	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	2041	1075	18089	2148	2017	131	23353	1	16	15266	2703	120	6024.555988523958	1066.7086883912132	47.3566565323513	443.2040423071982
641	17	23	0	0	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2028	1077	9306	1065	936	129	13476	1	8	7852	1334	120	3579.8967052537846	608.1994657168299	54.71059661620659	523.5120213713268
642	19	7	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1181	0	1478	159	30	129	2818	0	0	0	0	0	0.0	0.0	0.0	0.0
643	24	23	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2014	1067	9194	1461	1331	130	13736	1	8	7833	1241	120	2919.6971461852067	462.57425742574253	44.729178800232965	422.78392545136865
644	26	23	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2045	1072	9139	1302	1172	130	13558	1	8	7423	1596	120	2803.198111815902	602.7083640654964	45.316418350789206	425.7383094851748
645	29	23	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	2039	1063	17942	1933	1804	129	22977	1	16	15007	2815	120	6019.258911084998	1129.087348217783	48.131609870740306	446.7716412064238
646	32	23	0	0	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2099	1080	9160	1342	1212	130	13681	1	8	7590	1450	120	3408.592939112638	651.1804692639428	53.8907974563263	507.4716760470726
647	34	7	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1171	0	1487	159	30	129	2817	0	0	0	0	0	0.0	0.0	0.0	0.0
648	39	23	0	0	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2061	1081	9175	1969	1836	133	14286	1	8	7718	1337	120	3319.2910541789165	575.0054598908022	51.60856782864343	486.78706425871485
649	41	23	0	0	32	16	64	1	6144	1024	0	4096	1024	0	1024	6144	2021	1080	9186	1187	938	249	13474	1	8	7084	1982	120	3230.2282915244177	903.7708178714562	54.718717530057894	516.7498886744842
