round	execution_index	model	split	seq	past	grid	threads	task_refs	waits	max_worker_tasks	hash	status	log_sha256
0	70	gqa2	1	128	3	256	128	5440	13012		03f67925c71ded7e	PASS	a1c3ed4b72d4c1e9a0ac560cbe5a02c52d0d6c66a9bb60ea1fcb13760e1733ed
0	71	gqa2	2	128	3	256	128	13696	14448		309b9089cc848872	PASS	3fb52c1c347b64da3eecb9b0c8d1a70c793949be16d2b00adfd2b383cf29058a
0	72	gqa2	4	128	3	256	128	13824	20576		cda7259d747e1935	PASS	38e3bd6cbce1d2f052af3a3af94670ea87dc30f4f1288ace62a7da317fc0ff9d
0	73	gqa2	8	128	3	256	128	14080	32832		711481e3c9bc0ae0	PASS	e7cdc74ea59877385d85316398695923f9b85c0526af9bf4652119f5a7b875ae
0	74	gqa2	16	128	3	256	128	14592	57344		74c743e28d629292	PASS	0b1cb615ebe688277a9941bb40f7f83e9920dec2f399c73210246161e7a56341
0	75	mha4	1	128	3	256	128	13456	27044		64b3d2b8927afe03	PASS	37898da353a9009df37439f85ab327df0ec96bf384916052006ffb3138168181
0	76	mha4	2	128	3	256	128	32032	29536		848df4aeda106e2b	PASS	be706912b7c1bc45e62fb8a65d2b7434440915ec4d251c06ad53036b55b1613d
0	77	mha4	4	128	3	256	128	32320	41792		7c2bb67087675959	PASS	f61b9f090c116e1b387f7814edeba0e90414f11c31ec6941e151f55fdab469f4
0	78	mha4	8	128	3	256	128	32896	66304		4e34d5f8e15a11ea	PASS	644b370b02705721e55f0bbc687a686f1d3042c72b65f1592972d4feb6b1939b
0	79	mha4	16	128	3	256	128	34048	115328		672e594d2493d82a	PASS	50ffa5d7ad4b44582e8b50454d8dc17badd0a0a4cfc6bd97d7a02a2ab7eb8fc7
0	80	gqa2	1	128	512	256	128	8512	13012		fe2780aa73c5d8ae	PASS	b80154cca898ec83004ad75fed46f7c8176f21305dfa6d1f69dcff5c74eccb9a
0	81	gqa2	2	128	512	256	128	16768	14448		e3f0012519190000	PASS	ea6f7d4365fa77903810fdfae993f2841c7344a1c1f2aa75a7c795d161dc4419
0	82	gqa2	4	128	512	256	128	16896	20576		4a4b33bc4f972dae	PASS	85422164c5a58d032be690ea140272e466114edf39fb9c9e50ead57b5a319586
0	83	gqa2	8	128	512	256	128	17152	32832		e33ab4fb3f68093a	PASS	b1100cd09318d9ca023a0f58cbe05057aef87901296a232c62d0fcb84d1324e3
0	84	gqa2	16	128	512	256	128	17664	57344		353feae12ba5a481	PASS	c2b46f91c76cb64ad0feaf4ac77ab3f8b55d262089e5ea1295780807d026699b
0	85	mha4	1	128	512	256	128	25744	27044		89cbf45d301cdce2	PASS	0714e37c7fe714af28deb9d7bb953cef3a2939e837272b89ba9b051000660431
0	86	mha4	2	128	512	256	128	44320	29536		611b9b87e92c591a	PASS	557d58a034b5a4cae2b4300822f433b537784b08167b1132621327aed588921c
0	87	mha4	4	128	512	256	128	44608	41792		17930b91043eff43	PASS	2f47ceccc64bf4f5e08876901c842e8a06b6451da433206b2a6bec355e19d1f8
0	88	mha4	8	128	512	256	128	45184	66304		4d98c071172c42fb	PASS	5d209753227494bf03240f0397ffaa16f096ce9b000031f46f0263a04cc55a58
0	89	mha4	16	128	512	256	128	46336	115328		34cb46c8bef2bd1b	PASS	01827111c3591f188e727dd5df8f7607a30181e9700a271faf2f49bd9de72c0d
0	90	gqa2	1	512	0	256	128	22016	41140		814c04bd7b721aa9	PASS	f7ca5f79e4409b848e3277ee4f6d89e0fce295b6574bad2568ecf3b66e756ea3
0	91	gqa2	2	512	0	256	128	55296	37272		fa41ca883ba8cf10	PASS	864de51817f04021def46414ff3115822bc446355d4845b46dc8788e1d7ed471
0	92	gqa2	4	512	0	256	128	56320	65584		7d7f2dfd0f792539	PASS	870e37044d3084a382520cda92502ac5da7cbd7fabd704b703f935d937f21485
0	93	gqa2	8	512	0	256	128	58368	121440		048777b5e3922132	PASS	8c6da3857d6313fc943b755892329ba33b58bb1e63aaa642616cfa3f8478e0ea
0	94	gqa2	16	512	0	256	128	62464	229632		8b8a3de9e7f35f9d	PASS	2032ee075c2b4a06b9862bdaf3bb2ff83324b26304e7565ec38f1d4f2147ad08
0	95	mha4	1	512	0	256	128	54400	80744		132a5222ec7bbed9	PASS	6cdfb8b17e4fb6dd1ed7ca248376945c9bcae1b88bbb3055e321e23541c09554
0	96	mha4	2	512	0	256	128	129280	67648		7d5d7f91af4802b0	PASS	f0ba9c7906afa19cc9b2efa32d644b1b6c3ddd4e08bb896554fcb09e14cc7b82
0	97	mha4	4	512	0	256	128	131584	117120		7761a4bce849d088	PASS	ae2dc39c44fd895c3f9a1aae403c8fb20285e1b47568bcfbee950a235aa051de
0	98	mha4	8	512	0	256	128	136192	214528		15b0eece040daad8	PASS	e049e9df94ff5a459491fad6439792842266bc8f1c79a92e23cf6f4726537ee2
0	99	mha4	16	512	0	256	128	145408	410368		ac72d1d16c429205	PASS	a3be5ab9f56a4b3c578e15e4ff5e195f282717f8cd80197220c2c57d4813c510
0	100	gqa2	1	512	3	256	128	22016	41140		f9aa0dc6cc31bd58	PASS	46ebe3ebf6589a05f9a317e9471c0481d82f959ce5247eb8d4628d57e504aecb
0	101	gqa2	2	512	3	256	128	55296	37272		70b1a37d95227b92	PASS	19033745c7460caa447c7be9520bd5ddeed254d07502e4011deac7d19f688415
0	102	gqa2	4	512	3	256	128	56320	65584		ea7b992faeece865	PASS	b4a62e104b6f5083fd53b3af7f0378efa3824fd4633ca64f76ae2df655249304
0	103	gqa2	8	512	3	256	128	58368	121440		83095b6244881833	PASS	13ff1ee114304c7cbd5e9983f199cc76c8a2d567aeb141b81eb87cc47c991551
0	104	gqa2	16	512	3	256	128	62464	229632		007f2f1b8ee5593a	PASS	0407339f312fee6fc63e24f29e548b22edd820dba204a805f923aa99e4b1605b
0	105	mha4	1	512	3	256	128	54400	80744		50087e460c46843b	PASS	d0408bec6bad8e8eb0c9f3b7399956797e71e5276a46fd5396a1ca735714326c
0	106	mha4	2	512	3	256	128	129280	67648		b98fa1284afc671d	PASS	16e1bd1187d49a8e450f5f32f0b3e735b3c2f9ddc982d6de722679558f54302a
0	107	mha4	4	512	3	256	128	131584	117120		40c4d42503a4355c	PASS	1a757e3fd6e45ffd332d67b3007323eea559ff0de13dd4c5ca3c6a7bf7cc3968
0	108	mha4	8	512	3	256	128	136192	214528		8f0e67b032603869	PASS	1b92aff2206a9a22453c155c5021bd89629c347a912ddd2b9a3905c16d5f39b5
0	109	mha4	16	512	3	256	128	145408	410368		5be3455e5f43a2c4	PASS	8c57d10f521eeeac4ee7dcd9a9ef4ba3a9cee9d90cf4fa94d5ca8f1720c267f1
0	110	gqa2	1	512	512	256	128	22016	41140		db93e7cf9decc6ec	PASS	55c8f94ebc8e7414735b28ab7208070d9f39399a799926aa3d3c145728312391
0	111	gqa2	2	512	512	256	128	55296	37272		0e0bead82358ef81	PASS	daa3a632ca9905b06f1ebe4dcb55806990283e6b5d16437714926d1cb5960853
0	112	gqa2	4	512	512	256	128	56320	65584		d32764f6816ca390	PASS	bfcf8936bfe83a6c513c282cf907ea2d9dcdae689196ed2ed200279cd363e6e2
0	113	gqa2	8	512	512	256	128	58368	121440		e573744b817a4823	PASS	283e5d7da3d27b7ff7a955b3d49a8b57f948254632c9e0361b0f67be002874ff
0	114	gqa2	16	512	512	256	128	62464	229632		8c08c582eb212f45	PASS	d4c2220e6cfb572c817b57b9c5a2281e879c9544e1569a47bd8ed6a27f7ba606
0	115	mha4	1	512	512	256	128	54400	80744		27bddf58f5028e65	PASS	6906b151f10c239326bf361162652ed7b2bd9eeb7d25e9a4eb150bfd696e2b09
0	116	mha4	2	512	512	256	128	129280	67648		d2c5b14bfd83de99	PASS	a70d90ebf26c3e23049ad2121406566f94d792d39999f49cfad627126e06a0ea
0	117	mha4	4	512	512	256	128	131584	117120		a82e7e70ae410d71	PASS	0124c6af71d33ec828dc8d9838b8cc5d3969680a3471c351f6ca7c40e64a906b
0	118	mha4	8	512	512	256	128	136192	214528		e8d42a6e535521b9	PASS	a37677dd522544c02b03dcdeacf76c45acd5a5a8763f40c20f1fdc73e4301582
0	119	mha4	16	512	512	256	128	145408	410368		07473899e474a270	PASS	ee6e8960f8f1cad9e06949cfadb32d72ff7e5e1aa9a3b1e0ab52359d62d1bd4f
0	120	gqa2	1	2048	0	256	128	88064	151492		5371763740b1fa55	PASS	179afdb2dfa8a80107070798bc8d66c262c87c2f2c81f721c2097bbc8cf5f042
0	121	gqa2	2	2048	0	256	128	221184	123720		0817ddb99624eab4	PASS	f45664657ac859dfe2133163ea5ec486d75034173e3ca49553a0c6dc91c94c99
0	122	gqa2	4	2048	0	256	128	225280	236448		681a68aca94a872d	PASS	c221d767d921610225d70f38302883008f027ae83fd43f51039ba21cbcfdb33f
0	123	gqa2	8	2048	0	256	128	233472	455808		bd29427792de1181	PASS	4290cbb456251b4966e260f89bf257a625b74a06850ae678cda64694d458ccd2
0	124	gqa2	16	2048	0	256	128	249856	888576		953ad7de4597474e	PASS	003b9a9ad5e5f85909d8c706859fdfe3c49ab41f8500b4e433a52189e06a4171
0	125	mha4	1	2048	0	256	128	217600	295328		f37a4f9044704176	PASS	b4dfe57df8de164851ea5678cc2d5493d2685f0d5708d36c785a86bb2270517e
0	126	mha4	2	2048	0	256	128	517120	216064		fcce8b8988e4f088	PASS	11b00e88f5d35e89c43106455f63792aea5906ccea42310e7827c023bd9bcf59
0	127	mha4	4	2048	0	256	128	526336	411904		75e38df45ef42e9e	PASS	5af246b023f3b0618f362f1647170f631f7031f4ec4d637dab378edf2473dbb5
0	128	mha4	8	2048	0	256	128	544768	797440		60667eafa2bc00b4	PASS	44c18b4af08d768d1c1966028deb869a2e71432c39032533d82ea78684a9fcc6
0	129	mha4	16	2048	0	256	128	581632	1580800		c2339306c30ca8ea	PASS	ff04e6eaeb7c11e80a3dceb305a6808b9aafa829818258d8e011586563bad8e7
0	130	gqa2	1	2048	3	256	128	88064	151492		83e3157fd2ad45b6	PASS	dc385bea62c60f915fc8a3f9de2cb3aa7572147096758329713d1617fbe42890
0	131	gqa2	2	2048	3	256	128	221184	123720		e7de115df01054ee	PASS	917fe20391c2863c6505a0f21f3c61770d07a47bde088a21cdea206dbdfe2aea
0	132	gqa2	4	2048	3	256	128	225280	236448		7c96c49e23e02d90	PASS	643bc7ceb5c97c457eed2a82a7be290dd67680875fb3b6e43e560fa975191873
0	133	gqa2	8	2048	3	256	128	233472	455808		74de262ef0b454b4	PASS	b18c2c1543169c19eba1dc384328a56ac68d18701139bef18442cee7bb1e0096
0	134	gqa2	16	2048	3	256	128	249856	888576		47b7a2eb943a54c6	PASS	54d56774a2dd14982c1a88e44661f354547a3619df78cdcda040dd6fdfa12383
0	135	mha4	1	2048	3	256	128	217600	295328		8f27e52c1f186721	PASS	f2930ed584b4f2fcab13294154ffa6801578617998eeaf04d15f1cbdea9771c8
0	136	mha4	2	2048	3	256	128	517120	216064		3daa5e658f576b53	PASS	a77ff0fe719bcc43292b606fe0efb37049f5a66bfd638d19a3d2f4ff5b4685ac
0	137	mha4	4	2048	3	256	128	526336	411904		60a59f48e9d11595	PASS	05f0d601e4ca1342dfeaf1ed79131735c1b1dfa1e91c2a37d6fd9ecd371154ae
0	138	mha4	8	2048	3	256	128	544768	797440		c53035d8aaabdd6a	PASS	fbc0094c79f8a744a72a6043456e087c0f22b7e88018ecf1bf3eafa40089f824
0	139	mha4	16	2048	3	256	128	581632	1580800		4139e4e8e31932d4	PASS	4132a7922ae6ed911ba94fef3d3c8f3315283d25307c0bd876a91b619114100f
0	140	gqa2	1	2048	512	256	128	88064	151492		1c4c7a8e3e7119a3	PASS	cdd9194f63802ef6ea2185183b4929dae12e827529b231ff6cb7c13ab8776c54
0	141	gqa2	2	2048	512	256	128	221184	123720		1171513bc9bb105f	PASS	3b4b859dbc3bc83ae8c3039c16be5908b7a85cc59eeb248cd1b21407d6141a69
0	142	gqa2	4	2048	512	256	128	225280	236448		219a13e8664957b5	PASS	1f44727e6241fb3dd9ae21e03955efaa1f01c6f908620deaf47e2c74578ca324
0	143	gqa2	8	2048	512	256	128	233472	455808		18fa78adc120b7a8	PASS	08d8b345ec575d72aeb06ac932c3a0d501bf6c047b55aa558a741e27758fc177
0	144	gqa2	16	2048	512	256	128	249856	888576		60a3dfcd946d267b	PASS	99b5df4c8bbde0b2750a9790a2fa9fcb054a9da457aaea7db70702aa215a5d32
0	145	mha4	1	2048	512	256	128	217600	295328		461a46d5b7dd43f0	PASS	2bcef86020879b12ec1d810488ebcddac4acb51c9f15d487156bbb3fa85e0654
0	146	mha4	2	2048	512	256	128	517120	216064		aa59018cea157267	PASS	6b43f990430cc0b0748066d71be7963dc1dca1f84134b95e2ba9db89613cd78e
0	147	mha4	4	2048	512	256	128	526336	411904		9d8982ed4275c8f9	PASS	f79e4f698140c3ac08d028b02276652dc6386a403626659f788f84ce8f15e45d
0	148	mha4	8	2048	512	256	128	544768	797440		6b3c1c3286db85d7	PASS	26ba0b40cc03b6542ba664e1d730e5443ba80a4e3d25ff26f81f52bd9d7223c6
0	149	mha4	16	2048	512	256	128	581632	1580800		935b7dc896bdeb49	PASS	10571e730df5568352a6428d8e667c72efb6d8f3547a3db3f02b90eee51a359f
1	0	gqa2	2	1	0	256	128	234	234		ef08e35b6eb6bd0e	PASS	37b7443a03486a0e4c09479b1c2e4305bf8ba91fdc58d7ba9d8d581028b7a025
1	1	gqa2	4	1	0	256	128	362	338		ef08e35b6eb6bd0e	PASS	4444d2f339ed552b0da1c1cca467c535350b5400f568c06648ee6053a9274e18
1	2	gqa2	8	1	0	256	128	618	546		ef08e35b6eb6bd0e	PASS	9daf85661abcda81ed693848dc752d312907a8e8183d1e732dd84104fa269975
1	3	gqa2	16	1	0	256	128	1130	962		ef08e35b6eb6bd0e	PASS	26572fc47b6b592ca9e666716008bcdd8c90fef218f282b624cd0bbdff8c0c4b
1	4	mha4	1	1	0	256	128	248	285		81489bf11a6ef144	PASS	cc03734adb0d5e325d11380c8fa9f14246ad3355fd4a293d2586121144600ff4
1	5	mha4	2	1	0	256	128	536	512		81489bf11a6ef144	PASS	8099e846e86d375ccc7511c110fea41282f05414e0c8d96b30ec90eb814da129
1	6	mha4	4	1	0	256	128	824	728		81489bf11a6ef144	PASS	ce1e2921cb2347d122dd0838723e63f4c580d112f5199cb5978a4cab95b1d677
1	7	mha4	8	1	0	256	128	1400	1160		658593a9c69ca76d	PASS	a7cd38d286de6157443b8ee4bfa4a5c9dd7de42307be52d6921afcfe4146d3f4
1	8	mha4	16	1	0	256	128	2552	2024		d15a07b011f46772	PASS	c006d9e47a37e7858005c6c9523611c4e4568ae8789dcbadbf6883f81bfd7aea
1	9	gqa2	1	1	3	256	128	122	147		a10b90fbe1618da5	PASS	ff59a068c265e90fe18d558f68d687756abf93ecf0db9644fb8bd92bd5886862
1	10	gqa2	2	1	3	256	128	250	250		a10b90fbe1618da5	PASS	5e2ef76e10462cdb737bdc37b2505496d2cf9e9bb97881da5902676e5b82eacc
1	11	gqa2	4	1	3	256	128	378	354		a10b90fbe1618da5	PASS	0ef46cc019780fc7dae33b3d8bac50cf61067bca4b0c85ce3f9a93518bfbd198
1	12	gqa2	8	1	3	256	128	634	562		a10b90fbe1618da5	PASS	b1073ce74fb4d318a769b79d517f471e219936486973c5ab38d6d82641c441fd
1	13	gqa2	16	1	3	256	128	1146	978		a10b90fbe1618da5	PASS	918777bb8b91b14c37e5616fca218118ae0f08c28a9752da9762b840cd8f0bcc
1	14	mha4	1	1	3	256	128	312	349		d032851805c78718	PASS	b161e4b7bca8489ab948663c5dcc55bbfe7bf96a8e4b72caa2095c71c545481b
1	15	mha4	2	1	3	256	128	600	576		cf48eed071ee02fd	PASS	d87ddaecc52acbf0c6a892fadb2e9b148dfaa4790a39641129672a05a7bf4af8
1	16	mha4	4	1	3	256	128	888	792		f25a26faffe0527b	PASS	7dada85b39acc77f22de75cecb8c10ab5e6e98de392b6fcafd24ca01b21666fd
