worker	producer_slot	consumer_slot	producer_stage	logical_task	event_index	group	fanin	model	seq	dump
10	176	177	4	10	40	5	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
10	178	179	19	10	83	5	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
11	180	181	4	11	40	5	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
11	182	183	19	11	83	5	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
12	184	185	4	12	41	6	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
12	186	187	19	12	84	6	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
13	188	189	4	13	41	6	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
13	190	191	19	13	84	6	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
14	192	193	4	14	42	7	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
14	194	195	19	14	85	7	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
15	196	197	4	15	42	7	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
15	198	199	19	15	85	7	2	gqa2	4	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s4
0	0	1	0	0	30	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	10	11	8	256	611	128	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	11	12	9	0	739	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	12	13	10	0	741	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	14	15	12	0	809	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	15	16	13	0	813	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	16	17	14	0	877	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	17	18	15	0	879	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	27	28	23	256	1460	128	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	28	29	24	0	1588	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	29	30	25	0	1590	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	31	32	27	0	1658	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	32	33	28	0	1662	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	34	35	0	1	30	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	44	45	8	257	611	128	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	45	46	9	1	739	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	46	47	10	1	741	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	48	49	12	1	809	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	49	50	13	1	813	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	50	51	14	1	877	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	51	52	15	1	879	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	61	62	23	257	1460	128	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	62	63	24	1	1588	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	63	64	25	1	1590	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	65	66	27	1	1658	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
1	66	67	28	1	1662	0	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	68	69	0	2	31	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	76	77	8	258	612	129	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	77	78	9	2	740	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	78	79	10	2	742	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	80	81	12	2	810	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	81	82	13	2	814	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	82	83	14	2	878	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	83	84	15	2	880	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	91	92	23	258	1461	129	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	92	93	24	2	1589	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	93	94	25	2	1591	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	95	96	27	2	1659	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
2	96	97	28	2	1663	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	98	99	0	3	31	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	106	107	8	259	612	129	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	107	108	9	3	740	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	108	109	10	3	742	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	110	111	12	3	810	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	111	112	13	3	814	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	112	113	14	3	878	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	113	114	15	3	880	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	121	122	23	259	1461	129	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	122	123	24	3	1589	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	123	124	25	3	1591	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	125	126	27	3	1659	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
3	126	127	28	3	1663	1	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
4	136	137	10	4	743	2	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
