wait_index	producer	group
461	15	0
462	18	4294967295
463	23	0
464	23	1
465	23	2
466	23	3
467	25	0
468	28	0
469	0	0
470	3	4294967295
471	8	0
472	8	1
473	8	2
474	8	3
475	10	0
476	13	0
477	15	0
478	18	4294967295
479	23	0
480	23	1
481	23	2
482	23	3
483	25	0
484	28	0
485	0	0
486	8	0
487	8	1
488	8	2
489	8	3
490	10	0
491	13	0
492	15	0
493	23	0
494	23	1
495	23	2
496	23	3
497	25	0
498	28	0
499	0	0
500	8	0
501	8	1
502	8	2
503	8	3
504	10	0
505	13	0
506	15	0
507	23	0
508	23	1
509	23	2
510	23	3
511	25	0
512	28	0
513	0	0
514	8	0
515	8	1
516	8	2
517	8	3
518	10	0
519	13	0
520	15	0
521	23	0
522	23	1
523	23	2
524	23	3
525	25	0
526	28	0
527	0	0
528	8	0
529	8	1
530	8	2
531	8	3
532	10	0
533	13	0
534	15	0
535	23	0
536	23	1
537	23	2
538	23	3
539	25	0
540	28	0
541	0	0
542	8	0
543	8	1
544	8	2
545	8	3
546	10	0
547	13	0
548	15	0
549	23	0
550	23	1
551	23	2
552	23	3
553	25	0
554	28	0
555	0	0
556	8	0
557	8	1
558	8	2
559	8	3
560	10	0
561	13	0
562	15	0
563	23	0
564	23	1
565	23	2
566	23	3
567	25	0
568	28	0
569	0	0
570	8	0
571	8	1
572	8	2
573	8	3
574	10	0
575	13	0
576	15	0
577	23	0
578	23	1
579	23	2
580	23	3
581	25	0
582	28	0
583	0	0
584	8	0
585	8	1
586	8	2
587	8	3
588	10	0
589	13	0
590	15	0
591	23	0
592	23	1
593	23	2
594	23	3
595	25	0
596	28	0
597	0	0
598	8	0
599	8	1
600	8	2
601	8	3
602	10	0
603	13	0
604	15	0
605	23	0
606	23	1
607	23	2
608	23	3
609	25	0
610	28	0
611	0	0
612	8	0
613	8	1
614	8	2
615	8	3
616	10	0
617	13	0
618	15	0
619	23	0
620	23	1
621	23	2
622	23	3
623	25	0
624	28	0
625	0	0
626	8	0
627	8	1
628	8	2
629	8	3
630	10	0
631	13	0
632	15	0
633	23	0
634	23	1
635	23	2
636	23	3
637	25	0
638	28	0
639	0	0
640	8	0
641	8	1
642	8	2
643	8	3
644	10	0
645	13	0
646	15	0
647	23	0
648	23	1
649	23	2
650	23	3
651	25	0
652	28	0
653	0	0
654	8	0
655	8	1
656	8	2
657	8	3
658	10	0
659	13	0
660	15	0
661	23	0
662	23	1
663	23	2
664	23	3
665	25	0
666	28	0
667	0	0
668	8	0
669	8	1
670	8	2
671	8	3
672	10	0
673	13	0
674	15	0
675	23	0
676	23	1
677	23	2
678	23	3
679	25	0
680	28	0
681	0	0
682	8	0
683	8	1
684	8	2
685	8	3
686	10	0
687	13	0
688	15	0
689	23	0
690	23	1
691	23	2
692	23	3
693	25	0
694	28	0
695	0	0
696	8	0
697	8	1
698	8	2
699	8	3
700	10	0
701	13	0
702	15	0
703	23	0
704	23	1
705	23	2
706	23	3
707	25	0
708	28	0
709	0	0
710	8	0
711	8	1
712	8	2
713	8	3
714	10	0
715	13	0
716	15	0
717	23	0
