model	seq	past	producer	consumer	wait_sum	fanout_sum	count	volume	old_wait_sum	changed
gqa2	2048	0	15	17	4096	4096	32	512	4096	0
gqa2	2048	0	15	18	4096	4096	32	512	4096	0
gqa2	2048	0	16	19	8192	8192	8192	128	8192	0
gqa2	2048	0	17	20	4096	4096	4096	128	4096	0
gqa2	2048	0	20	21	4096	4096	4096	128	4096	0
gqa2	2048	0	18	22	4096	4096	4096	128	4096	0
gqa2	2048	0	19	23	8192	8192	8192	128	8192	0
gqa2	2048	0	21	23	16777216	16777216	8192	128	16777216	0
gqa2	2048	0	22	23	16777216	16777216	8192	128	16777216	0
gqa2	2048	0	23	24	32768	32768	64	128	32768	0
gqa2	2048	0	24	24	64	64	64	16384	64	0
gqa2	2048	0	14	24	64	64	64	16384	64	0
gqa2	2048	0	24	25	8192	8192	2048	128	8192	0
gqa2	2048	0	25	26	16384	16384	128	512	16384	0
gqa2	2048	0	25	27	16384	16384	128	512	16384	0
gqa2	2048	0	26	28	16384	16384	2048	128	16384	0
gqa2	2048	0	27	28	16384	16384	2048	128	16384	0
gqa2	2048	0	28	29	8192	8192	64	1024	8192	0
gqa2	2048	0	29	29	64	64	64	16384	64	0
gqa2	2048	0	24	29	64	64	64	16384	64	0
gqa2	1	3	0	1	4	4	4	512	512	1
gqa2	1	3	0	2	2	2	2	512	256	1
gqa2	1	3	0	3	2	2	2	512	256	1
gqa2	1	3	1	4	4	4	4	128	4	0
gqa2	1	3	2	5	2	2	2	128	2	0
gqa2	1	3	5	6	2	2	2	128	2	0
gqa2	1	3	3	7	2	2	2	128	2	0
gqa2	1	3	4	8	4	4	4	128	4	0
gqa2	1	3	6	8	4	4	4	128	16	1
gqa2	1	3	7	8	4	4	4	128	16	1
gqa2	1	3	8	9	16	16	4	128	2048	1
gqa2	1	3	9	9	4	4	4	16384	4	0
gqa2	1	3	9	10	4	4	1	128	4	0
gqa2	1	3	10	11	8	8	8	512	1024	1
gqa2	1	3	10	12	8	8	8	512	1024	1
gqa2	1	3	11	13	8	8	1	128	8	0
gqa2	1	3	12	13	8	8	1	128	8	0
gqa2	1	3	13	14	4	4	4	1024	512	1
gqa2	1	3	14	14	4	4	4	16384	4	0
gqa2	1	3	9	14	4	4	4	16384	4	0
gqa2	1	3	14	15	4	4	1	128	4	0
gqa2	1	3	15	16	4	4	4	512	512	1
gqa2	1	3	15	17	2	2	2	512	256	1
gqa2	1	3	15	18	2	2	2	512	256	1
gqa2	1	3	16	19	4	4	4	128	4	0
gqa2	1	3	17	20	2	2	2	128	2	0
gqa2	1	3	20	21	2	2	2	128	2	0
gqa2	1	3	18	22	2	2	2	128	2	0
gqa2	1	3	19	23	4	4	4	128	4	0
gqa2	1	3	21	23	4	4	4	128	16	1
gqa2	1	3	22	23	4	4	4	128	16	1
gqa2	1	3	23	24	16	16	4	128	2048	1
