model	src	dst	seq	past	old_wait_sum	wait_sum	fanout_sum
llama	wq	rope_q	4	512	32	32	32
llama	wq	rope_q	128	0	32	32	32
llama	wq	rope_q	128	3	32	32	32
llama	wq	rope_q	128	512	32	32	32
llama	wq	rope_q	512	0	128	128	128
llama	wq	rope_q	512	3	128	128	128
llama	wq	rope_q	512	512	128	128	128
llama	wq	rope_q	2048	0	512	512	512
llama	wq	rope_q	2048	3	512	512	512
llama	wq	rope_q	2048	512	512	512	512
llama	wk	rope_k	1	0	8	8	8
llama	wk	rope_k	1	3	8	8	8
llama	wk	rope_k	1	512	8	8	8
llama	wk	rope_k	4	0	8	8	8
llama	wk	rope_k	4	3	8	8	8
llama	wk	rope_k	4	512	8	8	8
llama	wk	rope_k	128	0	8	8	8
llama	wk	rope_k	128	3	8	8	8
llama	wk	rope_k	128	512	8	8	8
llama	wk	rope_k	512	0	32	32	32
llama	wk	rope_k	512	3	32	32	32
llama	wk	rope_k	512	512	32	32	32
llama	wk	rope_k	2048	0	128	128	128
llama	wk	rope_k	2048	3	128	128	128
llama	wk	rope_k	2048	512	128	128	128
llama	rope_k	kvappend_k	1	0	8	8	8
llama	rope_k	kvappend_k	1	3	8	8	8
llama	rope_k	kvappend_k	1	512	8	8	8
llama	rope_k	kvappend_k	4	0	32	32	32
llama	rope_k	kvappend_k	4	3	32	32	32
llama	rope_k	kvappend_k	4	512	32	32	32
llama	rope_k	kvappend_k	128	0	1024	1024	1024
llama	rope_k	kvappend_k	128	3	1024	1024	1024
llama	rope_k	kvappend_k	128	512	1024	1024	1024
llama	rope_k	kvappend_k	512	0	4096	4096	4096
llama	rope_k	kvappend_k	512	3	4096	4096	4096
llama	rope_k	kvappend_k	512	512	4096	4096	4096
llama	rope_k	kvappend_k	2048	0	16384	16384	16384
llama	rope_k	kvappend_k	2048	3	16384	16384	16384
llama	rope_k	kvappend_k	2048	512	16384	16384	16384
llama	wv	kvappend_v	1	0	8	8	8
llama	wv	kvappend_v	1	3	8	8	8
llama	wv	kvappend_v	1	512	8	8	8
llama	wv	kvappend_v	4	0	32	32	32
llama	wv	kvappend_v	4	3	32	32	32
llama	wv	kvappend_v	4	512	32	32	32
llama	wv	kvappend_v	128	0	1024	1024	1024
llama	wv	kvappend_v	128	3	1024	1024	1024
llama	wv	kvappend_v	128	512	1024	1024	1024
llama	wv	kvappend_v	512	0	4096	4096	4096
llama	wv	kvappend_v	512	3	4096	4096	4096
llama	wv	kvappend_v	512	512	4096	4096	4096
llama	wv	kvappend_v	2048	0	16384	16384	16384
llama	wv	kvappend_v	2048	3	16384	16384	16384
llama	wv	kvappend_v	2048	512	16384	16384	16384
llama	rope_q	attn_chunk	1	0	32	32	32
llama	rope_q	attn_chunk	1	3	32	32	32
llama	rope_q	attn_chunk	1	512	160	160	160
llama	rope_q	attn_chunk	4	0	128	128	128
llama	rope_q	attn_chunk	4	3	128	128	128
llama	rope_q	attn_chunk	4	512	640	640	640
llama	rope_q	attn_chunk	128	0	4096	4096	4096
llama	rope_q	attn_chunk	128	3	8192	8192	8192
llama	rope_q	attn_chunk	128	512	20480	20480	20480
llama	rope_q	attn_chunk	512	0	65536	65536	65536
llama	rope_q	attn_chunk	512	3	81920	81920	81920
llama	rope_q	attn_chunk	512	512	131072	131072	131072
llama	rope_q	attn_chunk	2048	0	1048576	1048576	1048576
llama	rope_q	attn_chunk	2048	3	1114112	1114112	1114112
llama	rope_q	attn_chunk	2048	512	1310720	1310720	1310720
llama	kvappend_k	attn_chunk	1	0	4096	32	32
llama	kvappend_k	attn_chunk	1	3	4096	32	32
llama	kvappend_k	attn_chunk	1	512	20480	32	32
llama	kvappend_k	attn_chunk	4	0	16384	512	512
llama	kvappend_k	attn_chunk	4	3	16384	512	512
llama	kvappend_k	attn_chunk	4	512	81920	512	512
llama	kvappend_k	attn_chunk	128	0	524288	524288	524288
llama	kvappend_k	attn_chunk	128	3	1048576	524288	524288
llama	kvappend_k	attn_chunk	128	512	2621440	524288	524288
llama	kvappend_k	attn_chunk	512	0	8388608	8388608	8388608
llama	kvappend_k	attn_chunk	512	3	10485760	8388608	8388608
llama	kvappend_k	attn_chunk	512	512	16777216	8388608	8388608
llama	kvappend_k	attn_chunk	2048	0	134217728	134217728	134217728
llama	kvappend_k	attn_chunk	2048	3	142606336	134217728	134217728
llama	kvappend_k	attn_chunk	2048	512	167772160	134217728	134217728
llama	kvappend_v	attn_chunk	1	0	4096	32	32
llama	kvappend_v	attn_chunk	1	3	4096	32	32
llama	kvappend_v	attn_chunk	1	512	20480	32	32
llama	kvappend_v	attn_chunk	4	0	16384	512	512
llama	kvappend_v	attn_chunk	4	3	16384	512	512
llama	kvappend_v	attn_chunk	4	512	81920	512	512
llama	kvappend_v	attn_chunk	128	0	524288	524288	524288
llama	kvappend_v	attn_chunk	128	3	1048576	524288	524288
llama	kvappend_v	attn_chunk	128	512	2621440	524288	524288
llama	kvappend_v	attn_chunk	512	0	8388608	8388608	8388608
llama	kvappend_v	attn_chunk	512	3	10485760	8388608	8388608
llama	kvappend_v	attn_chunk	512	512	16777216	8388608	8388608
llama	kvappend_v	attn_chunk	2048	0	134217728	134217728	134217728
llama	kvappend_v	attn_chunk	2048	3	142606336	134217728	134217728
llama	kvappend_v	attn_chunk	2048	512	167772160	134217728	134217728
llama	attn_chunk	attn_combine	1	0	32	32	32
llama	attn_chunk	attn_combine	1	3	32	32	32
llama	attn_chunk	attn_combine	1	512	160	160	160
llama	attn_chunk	attn_combine	4	0	128	128	128
llama	attn_chunk	attn_combine	4	3	128	128	128
llama	attn_chunk	attn_combine	4	512	640	640	640
llama	attn_chunk	attn_combine	128	0	4096	4096	4096
llama	attn_chunk	attn_combine	128	3	8192	8192	8192
llama	attn_chunk	attn_combine	128	512	20480	20480	20480
llama	attn_chunk	attn_combine	512	0	65536	65536	65536
llama	attn_chunk	attn_combine	512	3	81920	81920	81920
llama	attn_chunk	attn_combine	512	512	131072	131072	131072
llama	attn_chunk	attn_combine	2048	0	1048576	1048576	1048576
llama	attn_chunk	attn_combine	2048	3	1114112	1114112	1114112
llama	attn_chunk	attn_combine	2048	512	1310720	1310720	1310720
llama	attn_combine	wo	1	0	131072	1024	1024
llama	attn_combine	wo	1	3	131072	1024	1024
llama	attn_combine	wo	1	512	131072	1024	1024
llama	attn_combine	wo	4	0	131072	4096	4096
llama	attn_combine	wo	4	3	131072	4096	4096
llama	attn_combine	wo	4	512	131072	4096	4096
llama	attn_combine	wo	128	0	131072	131072	131072
llama	attn_combine	wo	128	3	131072	131072	131072
llama	attn_combine	wo	128	512	131072	131072	131072
llama	attn_combine	wo	512	0	524288	524288	524288
llama	attn_combine	wo	512	3	524288	524288	524288
llama	attn_combine	wo	512	512	524288	524288	524288
llama	attn_combine	wo	2048	0	2097152	2097152	2097152
llama	attn_combine	wo	2048	3	2097152	2097152	2097152
llama	attn_combine	wo	2048	512	2097152	2097152	2097152
llama	wo	add1	1	0	32	32	32
llama	wo	add1	1	3	32	32	32
llama	wo	add1	1	512	32	32	32
llama	wo	add1	4	0	32	32	32
llama	wo	add1	4	3	32	32	32
llama	wo	add1	4	512	32	32	32
llama	wo	add1	128	0	32	32	32
llama	wo	add1	128	3	32	32	32
llama	wo	add1	128	512	32	32	32
llama	wo	add1	512	0	128	128	128
llama	wo	add1	512	3	128	128	128
llama	wo	add1	512	512	128	128	128
llama	wo	add1	2048	0	512	512	512
llama	wo	add1	2048	3	512	512	512
llama	wo	add1	2048	512	512	512	512
llama	add1	rmsnorm2	1	0	32	32	32
llama	add1	rmsnorm2	1	3	32	32	32
llama	add1	rmsnorm2	1	512	32	32	32
llama	add1	rmsnorm2	4	0	32	32	32
llama	add1	rmsnorm2	4	3	32	32	32
llama	add1	rmsnorm2	4	512	32	32	32
llama	add1	rmsnorm2	128	0	32	32	32
llama	add1	rmsnorm2	128	3	32	32	32
llama	add1	rmsnorm2	128	512	32	32	32
llama	add1	rmsnorm2	512	0	128	128	128
llama	add1	rmsnorm2	512	3	128	128	128
llama	add1	rmsnorm2	512	512	128	128	128
llama	add1	rmsnorm2	2048	0	512	512	512
llama	add1	rmsnorm2	2048	3	512	512	512
llama	add1	rmsnorm2	2048	512	512	512	512
llama	rmsnorm2	wgate	1	0	112	112	112
llama	rmsnorm2	wgate	1	3	112	112	112
llama	rmsnorm2	wgate	1	512	112	112	112
llama	rmsnorm2	wgate	4	0	112	112	112
llama	rmsnorm2	wgate	4	3	112	112	112
llama	rmsnorm2	wgate	4	512	112	112	112
llama	rmsnorm2	wgate	128	0	112	112	112
llama	rmsnorm2	wgate	128	3	112	112	112
llama	rmsnorm2	wgate	128	512	112	112	112
llama	rmsnorm2	wgate	512	0	448	448	448
llama	rmsnorm2	wgate	512	3	448	448	448
llama	rmsnorm2	wgate	512	512	448	448	448
llama	rmsnorm2	wgate	2048	0	1792	1792	1792
llama	rmsnorm2	wgate	2048	3	1792	1792	1792
llama	rmsnorm2	wgate	2048	512	1792	1792	1792
llama	rmsnorm2	wup	1	0	112	112	112
llama	rmsnorm2	wup	1	3	112	112	112
llama	rmsnorm2	wup	1	512	112	112	112
llama	rmsnorm2	wup	4	0	112	112	112
llama	rmsnorm2	wup	4	3	112	112	112
llama	rmsnorm2	wup	4	512	112	112	112
llama	rmsnorm2	wup	128	0	112	112	112
llama	rmsnorm2	wup	128	3	112	112	112
llama	rmsnorm2	wup	128	512	112	112	112
llama	rmsnorm2	wup	512	0	448	448	448
llama	rmsnorm2	wup	512	3	448	448	448
llama	rmsnorm2	wup	512	512	448	448	448
llama	rmsnorm2	wup	2048	0	1792	1792	1792
llama	rmsnorm2	wup	2048	3	1792	1792	1792
llama	rmsnorm2	wup	2048	512	1792	1792	1792
llama	wgate	silu	1	0	112	112	112
llama	wgate	silu	1	3	112	112	112
llama	wgate	silu	1	512	112	112	112
llama	wgate	silu	4	0	112	112	112
llama	wgate	silu	4	3	112	112	112
llama	wgate	silu	4	512	112	112	112
llama	wgate	silu	128	0	112	112	112
llama	wgate	silu	128	3	112	112	112
llama	wgate	silu	128	512	112	112	112
llama	wgate	silu	512	0	448	448	448
llama	wgate	silu	512	3	448	448	448
llama	wgate	silu	512	512	448	448	448
llama	wgate	silu	2048	0	1792	1792	1792
llama	wgate	silu	2048	3	1792	1792	1792
llama	wgate	silu	2048	512	1792	1792	1792
llama	wup	silu	1	0	112	112	112
llama	wup	silu	1	3	112	112	112
llama	wup	silu	1	512	112	112	112
llama	wup	silu	4	0	112	112	112
llama	wup	silu	4	3	112	112	112
llama	wup	silu	4	512	112	112	112
llama	wup	silu	128	0	112	112	112
llama	wup	silu	128	3	112	112	112
llama	wup	silu	128	512	112	112	112
llama	wup	silu	512	0	448	448	448
llama	wup	silu	512	3	448	448	448
llama	wup	silu	512	512	448	448	448
llama	wup	silu	2048	0	1792	1792	1792
llama	wup	silu	2048	3	1792	1792	1792
llama	wup	silu	2048	512	1792	1792	1792
llama	silu	wdown	1	0	3584	3584	3584
llama	silu	wdown	1	3	3584	3584	3584
llama	silu	wdown	1	512	3584	3584	3584
llama	silu	wdown	4	0	3584	3584	3584
llama	silu	wdown	4	3	3584	3584	3584
llama	silu	wdown	4	512	3584	3584	3584
llama	silu	wdown	128	0	3584	3584	3584
llama	silu	wdown	128	3	3584	3584	3584
llama	silu	wdown	128	512	3584	3584	3584
llama	silu	wdown	512	0	14336	14336	14336
llama	silu	wdown	512	3	14336	14336	14336
llama	silu	wdown	512	512	14336	14336	14336
llama	silu	wdown	2048	0	57344	57344	57344
llama	silu	wdown	2048	3	57344	57344	57344
llama	silu	wdown	2048	512	57344	57344	57344
llama	wdown	add2	1	0	32	32	32
llama	wdown	add2	1	3	32	32	32
llama	wdown	add2	1	512	32	32	32
llama	wdown	add2	4	0	32	32	32
llama	wdown	add2	4	3	32	32	32
llama	wdown	add2	4	512	32	32	32
llama	wdown	add2	128	0	32	32	32
llama	wdown	add2	128	3	32	32	32
llama	wdown	add2	128	512	32	32	32
llama	wdown	add2	512	0	128	128	128
llama	wdown	add2	512	3	128	128	128
llama	wdown	add2	512	512	128	128	128
llama	wdown	add2	2048	0	512	512	512
llama	wdown	add2	2048	3	512	512	512
llama	wdown	add2	2048	512	512	512	512
llama	add1	add2	1	0	32	32	32
llama	add1	add2	1	3	32	32	32
llama	add1	add2	1	512	32	32	32
llama	add1	add2	4	0	32	32	32
llama	add1	add2	4	3	32	32	32
llama	add1	add2	4	512	32	32	32
llama	add1	add2	128	0	32	32	32
llama	add1	add2	128	3	32	32	32
llama	add1	add2	128	512	32	32	32
llama	add1	add2	512	0	128	128	128
llama	add1	add2	512	3	128	128	128
llama	add1	add2	512	512	128	128	128
llama	add1	add2	2048	0	512	512	512
llama	add1	add2	2048	3	512	512	512
llama	add1	add2	2048	512	512	512	512
llama4	l0.rmsnorm1	l0.wq	1	0	32	32	32
llama4	l0.rmsnorm1	l0.wq	1	3	32	32	32
llama4	l0.rmsnorm1	l0.wq	1	512	32	32	32
llama4	l0.rmsnorm1	l0.wq	4	0	32	32	32
llama4	l0.rmsnorm1	l0.wq	4	3	32	32	32
llama4	l0.rmsnorm1	l0.wq	4	512	32	32	32
llama4	l0.rmsnorm1	l0.wq	128	0	32	32	32
llama4	l0.rmsnorm1	l0.wq	128	3	32	32	32
llama4	l0.rmsnorm1	l0.wq	128	512	32	32	32
llama4	l0.rmsnorm1	l0.wq	512	0	128	128	128
llama4	l0.rmsnorm1	l0.wq	512	3	128	128	128
llama4	l0.rmsnorm1	l0.wq	512	512	128	128	128
llama4	l0.rmsnorm1	l0.wq	2048	0	512	512	512
llama4	l0.rmsnorm1	l0.wq	2048	3	512	512	512
llama4	l0.rmsnorm1	l0.wq	2048	512	512	512	512
llama4	l0.rmsnorm1	l0.wk	1	0	8	8	8
llama4	l0.rmsnorm1	l0.wk	1	3	8	8	8
llama4	l0.rmsnorm1	l0.wk	1	512	8	8	8
llama4	l0.rmsnorm1	l0.wk	4	0	8	8	8
llama4	l0.rmsnorm1	l0.wk	4	3	8	8	8
llama4	l0.rmsnorm1	l0.wk	4	512	8	8	8
llama4	l0.rmsnorm1	l0.wk	128	0	8	8	8
llama4	l0.rmsnorm1	l0.wk	128	3	8	8	8
llama4	l0.rmsnorm1	l0.wk	128	512	8	8	8
llama4	l0.rmsnorm1	l0.wk	512	0	32	32	32
llama4	l0.rmsnorm1	l0.wk	512	3	32	32	32
llama4	l0.rmsnorm1	l0.wk	512	512	32	32	32
llama4	l0.rmsnorm1	l0.wk	2048	0	128	128	128
llama4	l0.rmsnorm1	l0.wk	2048	3	128	128	128
llama4	l0.rmsnorm1	l0.wk	2048	512	128	128	128
llama4	l0.rmsnorm1	l0.wv	1	0	8	8	8
llama4	l0.rmsnorm1	l0.wv	1	3	8	8	8
llama4	l0.rmsnorm1	l0.wv	1	512	8	8	8
llama4	l0.rmsnorm1	l0.wv	4	0	8	8	8
llama4	l0.rmsnorm1	l0.wv	4	3	8	8	8
llama4	l0.rmsnorm1	l0.wv	4	512	8	8	8
llama4	l0.rmsnorm1	l0.wv	128	0	8	8	8
llama4	l0.rmsnorm1	l0.wv	128	3	8	8	8
llama4	l0.rmsnorm1	l0.wv	128	512	8	8	8
llama4	l0.rmsnorm1	l0.wv	512	0	32	32	32
llama4	l0.rmsnorm1	l0.wv	512	3	32	32	32
llama4	l0.rmsnorm1	l0.wv	512	512	32	32	32
llama4	l0.rmsnorm1	l0.wv	2048	0	128	128	128
llama4	l0.rmsnorm1	l0.wv	2048	3	128	128	128
llama4	l0.rmsnorm1	l0.wv	2048	512	128	128	128
llama4	l0.wq	l0.rope_q	1	0	32	32	32
llama4	l0.wq	l0.rope_q	1	3	32	32	32
llama4	l0.wq	l0.rope_q	1	512	32	32	32
llama4	l0.wq	l0.rope_q	4	0	32	32	32
llama4	l0.wq	l0.rope_q	4	3	32	32	32
llama4	l0.wq	l0.rope_q	4	512	32	32	32
llama4	l0.wq	l0.rope_q	128	0	32	32	32
llama4	l0.wq	l0.rope_q	128	3	32	32	32
llama4	l0.wq	l0.rope_q	128	512	32	32	32
llama4	l0.wq	l0.rope_q	512	0	128	128	128
llama4	l0.wq	l0.rope_q	512	3	128	128	128
llama4	l0.wq	l0.rope_q	512	512	128	128	128
llama4	l0.wq	l0.rope_q	2048	0	512	512	512
llama4	l0.wq	l0.rope_q	2048	3	512	512	512
llama4	l0.wq	l0.rope_q	2048	512	512	512	512
llama4	l0.wk	l0.rope_k	1	0	8	8	8
llama4	l0.wk	l0.rope_k	1	3	8	8	8
llama4	l0.wk	l0.rope_k	1	512	8	8	8
llama4	l0.wk	l0.rope_k	4	0	8	8	8
llama4	l0.wk	l0.rope_k	4	3	8	8	8
llama4	l0.wk	l0.rope_k	4	512	8	8	8
llama4	l0.wk	l0.rope_k	128	0	8	8	8
llama4	l0.wk	l0.rope_k	128	3	8	8	8
llama4	l0.wk	l0.rope_k	128	512	8	8	8
llama4	l0.wk	l0.rope_k	512	0	32	32	32
llama4	l0.wk	l0.rope_k	512	3	32	32	32
llama4	l0.wk	l0.rope_k	512	512	32	32	32
llama4	l0.wk	l0.rope_k	2048	0	128	128	128
llama4	l0.wk	l0.rope_k	2048	3	128	128	128
llama4	l0.wk	l0.rope_k	2048	512	128	128	128
llama4	l0.rope_k	l0.kvappend_k	1	0	8	8	8
llama4	l0.rope_k	l0.kvappend_k	1	3	8	8	8
llama4	l0.rope_k	l0.kvappend_k	1	512	8	8	8
llama4	l0.rope_k	l0.kvappend_k	4	0	32	32	32
llama4	l0.rope_k	l0.kvappend_k	4	3	32	32	32
llama4	l0.rope_k	l0.kvappend_k	4	512	32	32	32
llama4	l0.rope_k	l0.kvappend_k	128	0	1024	1024	1024
llama4	l0.rope_k	l0.kvappend_k	128	3	1024	1024	1024
llama4	l0.rope_k	l0.kvappend_k	128	512	1024	1024	1024
llama4	l0.rope_k	l0.kvappend_k	512	0	4096	4096	4096
llama4	l0.rope_k	l0.kvappend_k	512	3	4096	4096	4096
llama4	l0.rope_k	l0.kvappend_k	512	512	4096	4096	4096
llama4	l0.rope_k	l0.kvappend_k	2048	0	16384	16384	16384
llama4	l0.rope_k	l0.kvappend_k	2048	3	16384	16384	16384
llama4	l0.rope_k	l0.kvappend_k	2048	512	16384	16384	16384
llama4	l0.wv	l0.kvappend_v	1	0	8	8	8
llama4	l0.wv	l0.kvappend_v	1	3	8	8	8
llama4	l0.wv	l0.kvappend_v	1	512	8	8	8
llama4	l0.wv	l0.kvappend_v	4	0	32	32	32
llama4	l0.wv	l0.kvappend_v	4	3	32	32	32
llama4	l0.wv	l0.kvappend_v	4	512	32	32	32
llama4	l0.wv	l0.kvappend_v	128	0	1024	1024	1024
llama4	l0.wv	l0.kvappend_v	128	3	1024	1024	1024
llama4	l0.wv	l0.kvappend_v	128	512	1024	1024	1024
llama4	l0.wv	l0.kvappend_v	512	0	4096	4096	4096
llama4	l0.wv	l0.kvappend_v	512	3	4096	4096	4096
llama4	l0.wv	l0.kvappend_v	512	512	4096	4096	4096
llama4	l0.wv	l0.kvappend_v	2048	0	16384	16384	16384
llama4	l0.wv	l0.kvappend_v	2048	3	16384	16384	16384
llama4	l0.wv	l0.kvappend_v	2048	512	16384	16384	16384
llama4	l0.rope_q	l0.attn_chunk	1	0	32	32	32
llama4	l0.rope_q	l0.attn_chunk	1	3	32	32	32
llama4	l0.rope_q	l0.attn_chunk	1	512	160	160	160
llama4	l0.rope_q	l0.attn_chunk	4	0	128	128	128
llama4	l0.rope_q	l0.attn_chunk	4	3	128	128	128
llama4	l0.rope_q	l0.attn_chunk	4	512	640	640	640
llama4	l0.rope_q	l0.attn_chunk	128	0	4096	4096	4096
llama4	l0.rope_q	l0.attn_chunk	128	3	8192	8192	8192
llama4	l0.rope_q	l0.attn_chunk	128	512	20480	20480	20480
llama4	l0.rope_q	l0.attn_chunk	512	0	65536	65536	65536
llama4	l0.rope_q	l0.attn_chunk	512	3	81920	81920	81920
llama4	l0.rope_q	l0.attn_chunk	512	512	131072	131072	131072
llama4	l0.rope_q	l0.attn_chunk	2048	0	1048576	1048576	1048576
llama4	l0.rope_q	l0.attn_chunk	2048	3	1114112	1114112	1114112
llama4	l0.rope_q	l0.attn_chunk	2048	512	1310720	1310720	1310720
llama4	l0.kvappend_k	l0.attn_chunk	1	0	4096	32	32
llama4	l0.kvappend_k	l0.attn_chunk	1	3	4096	32	32
llama4	l0.kvappend_k	l0.attn_chunk	1	512	20480	32	32
llama4	l0.kvappend_k	l0.attn_chunk	4	0	16384	512	512
llama4	l0.kvappend_k	l0.attn_chunk	4	3	16384	512	512
llama4	l0.kvappend_k	l0.attn_chunk	4	512	81920	512	512
llama4	l0.kvappend_k	l0.attn_chunk	128	0	524288	524288	524288
llama4	l0.kvappend_k	l0.attn_chunk	128	3	1048576	524288	524288
llama4	l0.kvappend_k	l0.attn_chunk	128	512	2621440	524288	524288
llama4	l0.kvappend_k	l0.attn_chunk	512	0	8388608	8388608	8388608
llama4	l0.kvappend_k	l0.attn_chunk	512	3	10485760	8388608	8388608
llama4	l0.kvappend_k	l0.attn_chunk	512	512	16777216	8388608	8388608
llama4	l0.kvappend_k	l0.attn_chunk	2048	0	134217728	134217728	134217728
llama4	l0.kvappend_k	l0.attn_chunk	2048	3	142606336	134217728	134217728
llama4	l0.kvappend_k	l0.attn_chunk	2048	512	167772160	134217728	134217728
llama4	l0.kvappend_v	l0.attn_chunk	1	0	4096	32	32
llama4	l0.kvappend_v	l0.attn_chunk	1	3	4096	32	32
llama4	l0.kvappend_v	l0.attn_chunk	1	512	20480	32	32
llama4	l0.kvappend_v	l0.attn_chunk	4	0	16384	512	512
llama4	l0.kvappend_v	l0.attn_chunk	4	3	16384	512	512
llama4	l0.kvappend_v	l0.attn_chunk	4	512	81920	512	512
llama4	l0.kvappend_v	l0.attn_chunk	128	0	524288	524288	524288
llama4	l0.kvappend_v	l0.attn_chunk	128	3	1048576	524288	524288
llama4	l0.kvappend_v	l0.attn_chunk	128	512	2621440	524288	524288
llama4	l0.kvappend_v	l0.attn_chunk	512	0	8388608	8388608	8388608
llama4	l0.kvappend_v	l0.attn_chunk	512	3	10485760	8388608	8388608
llama4	l0.kvappend_v	l0.attn_chunk	512	512	16777216	8388608	8388608
llama4	l0.kvappend_v	l0.attn_chunk	2048	0	134217728	134217728	134217728
llama4	l0.kvappend_v	l0.attn_chunk	2048	3	142606336	134217728	134217728
llama4	l0.kvappend_v	l0.attn_chunk	2048	512	167772160	134217728	134217728
llama4	l0.attn_chunk	l0.attn_combine	1	0	32	32	32
llama4	l0.attn_chunk	l0.attn_combine	1	3	32	32	32
llama4	l0.attn_chunk	l0.attn_combine	1	512	160	160	160
llama4	l0.attn_chunk	l0.attn_combine	4	0	128	128	128
llama4	l0.attn_chunk	l0.attn_combine	4	3	128	128	128
llama4	l0.attn_chunk	l0.attn_combine	4	512	640	640	640
llama4	l0.attn_chunk	l0.attn_combine	128	0	4096	4096	4096
llama4	l0.attn_chunk	l0.attn_combine	128	3	8192	8192	8192
llama4	l0.attn_chunk	l0.attn_combine	128	512	20480	20480	20480
llama4	l0.attn_chunk	l0.attn_combine	512	0	65536	65536	65536
llama4	l0.attn_chunk	l0.attn_combine	512	3	81920	81920	81920
llama4	l0.attn_chunk	l0.attn_combine	512	512	131072	131072	131072
llama4	l0.attn_chunk	l0.attn_combine	2048	0	1048576	1048576	1048576
llama4	l0.attn_chunk	l0.attn_combine	2048	3	1114112	1114112	1114112
llama4	l0.attn_chunk	l0.attn_combine	2048	512	1310720	1310720	1310720
llama4	l0.attn_combine	l0.wo	1	0	131072	1024	1024
llama4	l0.attn_combine	l0.wo	1	3	131072	1024	1024
llama4	l0.attn_combine	l0.wo	1	512	131072	1024	1024
llama4	l0.attn_combine	l0.wo	4	0	131072	4096	4096
llama4	l0.attn_combine	l0.wo	4	3	131072	4096	4096
llama4	l0.attn_combine	l0.wo	4	512	131072	4096	4096
llama4	l0.attn_combine	l0.wo	128	0	131072	131072	131072
llama4	l0.attn_combine	l0.wo	128	3	131072	131072	131072
llama4	l0.attn_combine	l0.wo	128	512	131072	131072	131072
llama4	l0.attn_combine	l0.wo	512	0	524288	524288	524288
llama4	l0.attn_combine	l0.wo	512	3	524288	524288	524288
llama4	l0.attn_combine	l0.wo	512	512	524288	524288	524288
llama4	l0.attn_combine	l0.wo	2048	0	2097152	2097152	2097152
llama4	l0.attn_combine	l0.wo	2048	3	2097152	2097152	2097152
llama4	l0.attn_combine	l0.wo	2048	512	2097152	2097152	2097152
llama4	l0.wo	l0.add1	1	0	32	32	32
llama4	l0.wo	l0.add1	1	3	32	32	32
llama4	l0.wo	l0.add1	1	512	32	32	32
llama4	l0.wo	l0.add1	4	0	32	32	32
llama4	l0.wo	l0.add1	4	3	32	32	32
llama4	l0.wo	l0.add1	4	512	32	32	32
llama4	l0.wo	l0.add1	128	0	32	32	32
llama4	l0.wo	l0.add1	128	3	32	32	32
llama4	l0.wo	l0.add1	128	512	32	32	32
llama4	l0.wo	l0.add1	512	0	128	128	128
llama4	l0.wo	l0.add1	512	3	128	128	128
llama4	l0.wo	l0.add1	512	512	128	128	128
llama4	l0.wo	l0.add1	2048	0	512	512	512
llama4	l0.wo	l0.add1	2048	3	512	512	512
llama4	l0.wo	l0.add1	2048	512	512	512	512
