node	buffer	target	shape	elements	different	mismatch	max_abs	gpu389	cpu389
matmul_3	40	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	0.14453125	0.14453125
linear_10	42	aten.linear.default	(1, 4, 2048)	8192	5	0	0.0009765625	-0.1806640625	-0.1806640625
add_6	43	aten.add.Tensor	(1, 4, 2048)	8192	66	0	0.0078125	-1.96875	-1.9765625
linear_11	46	aten.linear.default	(1, 4, 8192)	32768	8	0	0.00048828125	-0.72265625	-0.72265625
linear_12	48	aten.linear.default	(1, 4, 8192)	32768	13	0	0.001953125	0.11181640625	0.11181640625
mul_1	49	aten.mul.Tensor	(1, 4, 8192)	32768	19	0	0.0009765625	-0.0263671875	-0.0263671875
linear_13	51	aten.linear.default	(1, 4, 2048)	8192	156	0	0.0009765625	8.344650268554688e-05	8.249282836914062e-05
add_7	52	aten.add.Tensor	(1, 4, 2048)	8192	65	0	0.0078125	-1.96875	-1.9765625
linear_14	55	aten.linear.default	(1, 4, 2048)	8192	3	0	0.001953125	0.515625	0.515625
linear_15	57	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	0.46484375	0.46484375
linear_16	59	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	0.78125	0.78125
cat_4	62	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	0.29296875	0.29296875
cat_5	64	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-0.1748046875	-0.1748046875
matmul_5	66	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	-0.8046875	-0.8046875
linear_17	68	aten.linear.default	(1, 4, 2048)	8192	3	0	0.0001220703125	0.0791015625	0.0791015625
add_10	69	aten.add.Tensor	(1, 4, 2048)	8192	50	0	0.0078125	-1.890625	-1.8984375
linear_18	72	aten.linear.default	(1, 4, 8192)	32768	17	0	0.00390625	-0.65625	-0.65625
linear_19	74	aten.linear.default	(1, 4, 8192)	32768	10	0	0.0009765625	-0.0240478515625	-0.0240478515625
mul_2	75	aten.mul.Tensor	(1, 4, 8192)	32768	21	0	0.000244140625	0.005401611328125	0.005401611328125
linear_20	77	aten.linear.default	(1, 4, 2048)	8192	60	0	0.0009765625	0.15234375	0.15234375
add_11	78	aten.add.Tensor	(1, 4, 2048)	8192	50	0	0.015625	-1.734375	-1.75
linear_21	81	aten.linear.default	(1, 4, 2048)	8192	4	0	7.62939453125e-06	0.470703125	0.470703125
linear_22	83	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	1.0390625	1.0390625
linear_23	85	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	0.47265625	0.47265625
cat_6	88	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-1.5546875	-1.5546875
cat_7	90	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-0.08056640625	-0.08056640625
matmul_7	92	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	1.390625	1.390625
linear_24	94	aten.linear.default	(1, 4, 2048)	8192	2	0	0.00048828125	0.447265625	0.447265625
add_14	95	aten.add.Tensor	(1, 4, 2048)	8192	43	0	0.015625	-1.2890625	-1.3046875
linear_25	98	aten.linear.default	(1, 4, 8192)	32768	8	0	0.00048828125	0.1416015625	0.1416015625
linear_26	100	aten.linear.default	(1, 4, 8192)	32768	14	0	0.0078125	-0.52734375	-0.52734375
mul_3	101	aten.mul.Tensor	(1, 4, 8192)	32768	21	0	0.001953125	-0.039794921875	-0.039794921875
linear_27	103	aten.linear.default	(1, 4, 2048)	8192	240	0	0.0009765625	0.0419921875	0.0419921875
add_15	104	aten.add.Tensor	(1, 4, 2048)	8192	58	0	0.015625	-1.25	-1.265625
linear_28	107	aten.linear.default	(1, 4, 2048)	8192	7	0	0.00390625	0.703125	0.703125
linear_29	109	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	-0.65625	-0.65625
linear_30	111	aten.linear.default	(1, 4, 512)	2048	2	0	3.0517578125e-05	0.99609375	0.99609375
cat_8	114	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-0.033935546875	-0.033935546875
cat_9	116	aten.cat.default	(1, 8, 7, 64)	3584	2	0	3.0517578125e-05	-1.2734375	-1.2734375
matmul_9	118	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	0.8984375	0.8984375
linear_31	120	aten.linear.default	(1, 4, 2048)	8192	1	0	0.00390625	-0.80078125	-0.80078125
add_18	121	aten.add.Tensor	(1, 4, 2048)	8192	51	0	0.015625	-2.046875	-2.0625
linear_32	124	aten.linear.default	(1, 4, 8192)	32768	6	0	0.000244140625	0.1103515625	0.1103515625
linear_33	126	aten.linear.default	(1, 4, 8192)	32768	20	0	0.00390625	0.9296875	0.9296875
mul_4	127	aten.mul.Tensor	(1, 4, 8192)	32768	25	0	0.0009765625	0.053955078125	0.053955078125
linear_34	129	aten.linear.default	(1, 4, 2048)	8192	180	0	0.0009765625	-0.10498046875	-0.10498046875
add_19	130	aten.add.Tensor	(1, 4, 2048)	8192	53	0	0.015625	-2.15625	-2.171875
linear_35	133	aten.linear.default	(1, 4, 2048)	8192	1	0	3.814697265625e-06	0.97265625	0.97265625
linear_36	135	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	0.271484375	0.271484375
linear_37	137	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	-0.3671875	-0.3671875
cat_10	140	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-1.34375	-1.34375
cat_11	142	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-0.19921875	-0.19921875
matmul_11	144	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	0.66015625	0.66015625
linear_38	146	aten.linear.default	(1, 4, 2048)	8192	3	0	6.103515625e-05	0.2431640625	0.2431640625
add_22	147	aten.add.Tensor	(1, 4, 2048)	8192	45	0	0.015625	-1.9140625	-1.9296875
linear_39	150	aten.linear.default	(1, 4, 8192)	32768	8	0	0.00390625	-0.025146484375	-0.025146484375
linear_40	152	aten.linear.default	(1, 4, 8192)	32768	12	0	0.00390625	-0.6953125	-0.6953125
mul_5	153	aten.mul.Tensor	(1, 4, 8192)	32768	18	0	0.0009765625	0.00860595703125	0.00860595703125
linear_41	155	aten.linear.default	(1, 4, 2048)	8192	172	0	0.0009765625	0.039794921875	0.039794921875
add_23	156	aten.add.Tensor	(1, 4, 2048)	8192	53	0	0.015625	-1.875	-1.890625
linear_42	159	aten.linear.default	(1, 4, 2048)	8192	1	0	0.001953125	0.80078125	0.80078125
linear_43	161	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	0.93359375	0.93359375
linear_44	163	aten.linear.default	(1, 4, 512)	2048	2	0	0.00048828125	-1.046875	-1.046875
cat_12	166	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	0.451171875	0.451171875
cat_13	168	aten.cat.default	(1, 8, 7, 64)	3584	2	0	0.00048828125	-0.2265625	-0.2265625
matmul_13	170	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	-1.3984375	-1.3984375
linear_45	172	aten.linear.default	(1, 4, 2048)	8192	2	0	4.76837158203125e-07	-0.2890625	-0.2890625
add_26	173	aten.add.Tensor	(1, 4, 2048)	8192	47	0	0.03125	-2.15625	-2.1875
linear_46	176	aten.linear.default	(1, 4, 8192)	32768	18	0	0.0078125	-0.294921875	-0.294921875
linear_47	178	aten.linear.default	(1, 4, 8192)	32768	15	0	0.00390625	0.06640625	0.06640625
mul_6	179	aten.mul.Tensor	(1, 4, 8192)	32768	27	0	0.001953125	-0.00836181640625	-0.00836181640625
linear_48	181	aten.linear.default	(1, 4, 2048)	8192	309	0	0.0009765625	0.14453125	0.14453125
add_27	182	aten.add.Tensor	(1, 4, 2048)	8192	76	0	0.03125	-2.015625	-2.046875
linear_49	185	aten.linear.default	(1, 4, 2048)	8192	2	0	0.00390625	1.5	1.5
linear_50	187	aten.linear.default	(1, 4, 512)	2048	1	0	1.52587890625e-05	-0.9375	-0.9375
linear_51	189	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	0.65625	0.65625
cat_14	192	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	2.109375	2.109375
cat_15	194	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	0.400390625	0.400390625
matmul_15	196	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	0.255859375	0.255859375
linear_52	198	aten.linear.default	(1, 4, 2048)	8192	3	0	7.62939453125e-06	0.1416015625	0.1416015625
add_30	199	aten.add.Tensor	(1, 4, 2048)	8192	62	0	0.03125	-1.875	-1.90625
linear_53	202	aten.linear.default	(1, 4, 8192)	32768	14	0	0.001953125	0.55859375	0.55859375
linear_54	204	aten.linear.default	(1, 4, 8192)	32768	8	0	0.001953125	-1.03125	-1.03125
mul_7	205	aten.mul.Tensor	(1, 4, 8192)	32768	20	0	0.001953125	-0.3671875	-0.3671875
linear_55	207	aten.linear.default	(1, 4, 2048)	8192	206	0	0.0009765625	0.0184326171875	0.0184326171875
add_31	208	aten.add.Tensor	(1, 4, 2048)	8192	68	0	0.03125	-1.859375	-1.890625
linear_56	211	aten.linear.default	(1, 4, 2048)	8192	3	0	0.00390625	-0.41796875	-0.41796875
linear_57	213	aten.linear.default	(1, 4, 512)	2048	1	0	2.384185791015625e-07	0.5078125	0.5078125
linear_58	215	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	-0.41796875	-0.41796875
cat_16	218	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	0.75390625	0.75390625
cat_17	220	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-0.2109375	-0.2109375
matmul_17	222	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	0.1474609375	0.1474609375
linear_59	224	aten.linear.default	(1, 4, 2048)	8192	2	0	0.001953125	-0.37109375	-0.37109375
add_34	225	aten.add.Tensor	(1, 4, 2048)	8192	60	0	0.03125	-2.234375	-2.265625
linear_60	228	aten.linear.default	(1, 4, 8192)	32768	14	0	0.0078125	-0.03759765625	-0.03759765625
linear_61	230	aten.linear.default	(1, 4, 8192)	32768	15	0	0.00390625	0.310546875	0.310546875
mul_8	231	aten.mul.Tensor	(1, 4, 8192)	32768	25	0	0.00390625	-0.0057373046875	-0.0057373046875
linear_62	233	aten.linear.default	(1, 4, 2048)	8192	462	0	0.001953125	-0.003021240234375	-0.003021240234375
add_35	234	aten.add.Tensor	(1, 4, 2048)	8192	92	0	0.03125	-2.234375	-2.265625
linear_63	237	aten.linear.default	(1, 4, 2048)	8192	7	0	0.0009765625	-0.7265625	-0.7265625
linear_64	239	aten.linear.default	(1, 4, 512)	2048	1	0	0.0009765625	0.515625	0.515625
linear_65	241	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	-0.45703125	-0.45703125
cat_18	244	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	0.52734375	0.52734375
cat_19	246	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-0.1318359375	-0.1318359375
matmul_19	248	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	0.2265625	0.2265625
linear_66	250	aten.linear.default	(1, 4, 2048)	8192	5	0	3.0517578125e-05	-0.01220703125	-0.01220703125
add_38	251	aten.add.Tensor	(1, 4, 2048)	8192	81	0	0.03125	-2.25	-2.28125
linear_67	254	aten.linear.default	(1, 4, 8192)	32768	12	0	0.0009765625	0.07275390625	0.07275390625
linear_68	256	aten.linear.default	(1, 4, 8192)	32768	15	0	0.001953125	-0.2138671875	-0.2138671875
mul_9	257	aten.mul.Tensor	(1, 4, 8192)	32768	24	0	0.0009765625	-0.008056640625	-0.008056640625
linear_69	259	aten.linear.default	(1, 4, 2048)	8192	140	0	0.00048828125	-0.02294921875	-0.02294921875
add_39	260	aten.add.Tensor	(1, 4, 2048)	8192	81	0	0.03125	-2.265625	-2.296875
linear_70	263	aten.linear.default	(1, 4, 2048)	8192	5	0	0.001953125	-0.90234375	-0.90234375
linear_71	265	aten.linear.default	(1, 4, 512)	2048	1	0	1.1920928955078125e-07	0.5234375	0.5234375
linear_72	267	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	-0.24609375	-0.24609375
cat_20	270	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	1.2890625	1.2890625
cat_21	272	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-0.3828125	-0.3828125
matmul_21	274	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	-0.126953125	-0.126953125
linear_73	276	aten.linear.default	(1, 4, 2048)	8192	1	0	9.5367431640625e-07	0.04052734375	0.04052734375
add_42	277	aten.add.Tensor	(1, 4, 2048)	8192	78	0	0.03125	-2.21875	-2.25
linear_74	280	aten.linear.default	(1, 4, 8192)	32768	9	0	0.001953125	-0.087890625	-0.087890625
linear_75	282	aten.linear.default	(1, 4, 8192)	32768	9	0	0.00390625	-0.185546875	-0.185546875
mul_10	283	aten.mul.Tensor	(1, 4, 8192)	32768	14	0	0.00048828125	0.007781982421875	0.007781982421875
linear_76	285	aten.linear.default	(1, 4, 2048)	8192	102	0	0.001953125	0.09912109375	0.09912109375
add_43	286	aten.add.Tensor	(1, 4, 2048)	8192	81	0	0.03125	-2.125	-2.15625
linear_77	289	aten.linear.default	(1, 4, 2048)	8192	2	0	4.76837158203125e-07	0.201171875	0.201171875
linear_78	291	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	-0.4765625	-0.4765625
linear_79	293	aten.linear.default	(1, 4, 512)	2048	2	0	0.00048828125	0.287109375	0.287109375
cat_22	296	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-0.6640625	-0.6640625
cat_23	298	aten.cat.default	(1, 8, 7, 64)	3584	2	0	0.00048828125	-0.017822265625	-0.017822265625
matmul_23	300	aten.matmul.default	(1, 32, 4, 64)	8192	1	0	0.000244140625	-0.0654296875	-0.0654296875
linear_80	302	aten.linear.default	(1, 4, 2048)	8192	32	0	0.0009765625	0.29296875	0.29296875
add_46	303	aten.add.Tensor	(1, 4, 2048)	8192	76	0	0.03125	-1.828125	-1.859375
linear_81	306	aten.linear.default	(1, 4, 8192)	32768	9	0	0.001953125	-0.05615234375	-0.05615234375
linear_82	308	aten.linear.default	(1, 4, 8192)	32768	9	0	0.0009765625	0.7578125	0.7578125
mul_11	309	aten.mul.Tensor	(1, 4, 8192)	32768	17	0	0.001953125	-0.020751953125	-0.020751953125
linear_83	311	aten.linear.default	(1, 4, 2048)	8192	206	0	0.0009765625	0.07763671875	0.07763671875
add_47	312	aten.add.Tensor	(1, 4, 2048)	8192	85	0	0.03125	-1.75	-1.78125
linear_84	315	aten.linear.default	(1, 4, 2048)	8192	1	0	3.0517578125e-05	-0.37890625	-0.37890625
linear_85	317	aten.linear.default	(1, 4, 512)	2048	1	0	0.0001220703125	0.79296875	0.79296875
linear_86	319	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	-1.3359375	-1.3359375
cat_24	322	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	1.359375	1.359375
cat_25	324	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	0.2001953125	0.2001953125
matmul_25	326	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	0.87890625	0.87890625
linear_87	328	aten.linear.default	(1, 4, 2048)	8192	0	0	0.0	0.34375	0.34375
add_50	329	aten.add.Tensor	(1, 4, 2048)	8192	77	0	0.03125	-1.40625	-1.4375
linear_88	332	aten.linear.default	(1, 4, 8192)	32768	6	0	0.000244140625	0.390625	0.390625
linear_89	334	aten.linear.default	(1, 4, 8192)	32768	12	0	0.001953125	1.3203125	1.3203125
mul_12	335	aten.mul.Tensor	(1, 4, 8192)	32768	16	0	0.00048828125	0.30859375	0.30859375
linear_90	337	aten.linear.default	(1, 4, 2048)	8192	84	0	0.0009765625	-0.2041015625	-0.2041015625
add_51	338	aten.add.Tensor	(1, 4, 2048)	8192	80	0	0.03125	-1.609375	-1.640625
linear_91	341	aten.linear.default	(1, 4, 2048)	8192	5	0	0.0009765625	-0.400390625	-0.400390625
linear_92	343	aten.linear.default	(1, 4, 512)	2048	2	0	0.00390625	-0.52734375	-0.52734375
linear_93	345	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	-0.1279296875	-0.1279296875
cat_26	348	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	1.1015625	1.1015625
cat_27	350	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	-0.087890625	-0.087890625
matmul_27	352	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	-0.306640625	-0.306640625
linear_94	354	aten.linear.default	(1, 4, 2048)	8192	2	0	0.0009765625	0.291015625	0.291015625
add_54	355	aten.add.Tensor	(1, 4, 2048)	8192	67	0	0.03125	-1.3203125	-1.3515625
linear_95	358	aten.linear.default	(1, 4, 8192)	32768	12	0	0.0009765625	0.2021484375	0.2021484375
linear_96	360	aten.linear.default	(1, 4, 8192)	32768	8	0	0.0009765625	-0.78125	-0.78125
mul_13	361	aten.mul.Tensor	(1, 4, 8192)	32768	19	0	0.00048828125	-0.0869140625	-0.0869140625
linear_97	363	aten.linear.default	(1, 4, 2048)	8192	80	0	0.0009765625	-0.06103515625	-0.06103515625
add_55	364	aten.add.Tensor	(1, 4, 2048)	8192	72	0	0.03125	-1.3828125	-1.4140625
linear_98	367	aten.linear.default	(1, 4, 2048)	8192	3	0	0.000244140625	0.306640625	0.306640625
linear_99	369	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	0.435546875	0.435546875
linear_100	371	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	-0.103515625	-0.103515625
cat_28	374	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	0.040283203125	0.040283203125
cat_29	376	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	1.546875	1.546875
matmul_29	378	aten.matmul.default	(1, 32, 4, 64)	8192	0	0	0.0	0.234375	0.234375
linear_101	380	aten.linear.default	(1, 4, 2048)	8192	1	0	1.1920928955078125e-07	0.49609375	0.49609375
add_58	381	aten.add.Tensor	(1, 4, 2048)	8192	67	1	0.03125	-0.88671875	-0.91796875
linear_102	384	aten.linear.default	(1, 4, 8192)	32768	10	0	0.00048828125	0.0225830078125	0.0225830078125
linear_103	386	aten.linear.default	(1, 4, 8192)	32768	11	0	0.00390625	0.380859375	0.380859375
mul_14	387	aten.mul.Tensor	(1, 4, 8192)	32768	19	0	0.00048828125	0.00433349609375	0.00433349609375
linear_104	389	aten.linear.default	(1, 4, 2048)	8192	156	0	0.0009765625	0.057373046875	0.057373046875
add_59	390	aten.add.Tensor	(1, 4, 2048)	8192	76	1	0.03125	-0.828125	-0.859375
linear_105	393	aten.linear.default	(1, 4, 2048)	8192	2	0	0.0001220703125	0.490234375	0.490234375
linear_106	395	aten.linear.default	(1, 4, 512)	2048	0	0	0.0	0.25390625	0.25390625
linear_107	397	aten.linear.default	(1, 4, 512)	2048	3	0	0.00390625	-0.9921875	-0.9921875
cat_30	400	aten.cat.default	(1, 8, 7, 64)	3584	0	0	0.0	1.515625	1.515625
cat_31	402	aten.cat.default	(1, 8, 7, 64)	3584	3	0	0.00390625	0.83984375	0.83984375
matmul_31	404	aten.matmul.default	(1, 32, 4, 64)	8192	2	0	0.001953125	0.62109375	0.62109375
linear_108	406	aten.linear.default	(1, 4, 2048)	8192	196	0	0.001953125	0.26953125	0.26953125
add_62	407	aten.add.Tensor	(1, 4, 2048)	8192	95	1	0.03125	-0.55859375	-0.58984375
linear_109	410	aten.linear.default	(1, 4, 8192)	32768	10	0	0.001953125	-0.07666015625	-0.07666015625
linear_110	412	aten.linear.default	(1, 4, 8192)	32768	14	0	0.00390625	-0.625	-0.625
mul_15	413	aten.mul.Tensor	(1, 4, 8192)	32768	22	0	0.001953125	0.0230712890625	0.0230712890625
linear_111	415	aten.linear.default	(1, 4, 2048)	8192	309	0	0.0009765625	0.1416015625	0.1416015625
add_63	416	aten.add.Tensor	(1, 4, 2048)	8192	101	1	0.03125	-0.41796875	-0.44921875
linear_112	419	aten.linear.default	(1, 4, 128256)	513024	178	0	0.0078125	0.37109375	0.37109375
