rank	key	flow_ns	residency	kappa	error
81	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4325348.9623006191	6	1	
82	32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4340047.2748516127	6	1	
83	32x16x32s2k8;32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4349473.5238018036	6	1	
84	32x16x32s2k8;32x16x32s2k4;32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4370720.9602507232	6	1	
85	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k8;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=6	4378463.5834199088	6	1	
86	32x16x32s2k16;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4380973.6769915279	6	1	
87	32x16x32s2k8;32x16x32s2k4;32x16x32s2k32;32x16x32s2k2;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=6	4385727.9432519563	6	1	
88	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k1;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=3	4393439.1406523036	3	1	
89	32x16x32s2k32;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4397869.5226694448	4	1	
90	32x16x32s2k2;32x16x32s2k4;32x16x32s2k32;32x16x32s2k1;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=4	4397998.0072283503	4	1	
91	32x16x32s2k8;32x16x32s2k4;32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4399810.0840427727	6	1	
92	32x16x32s2k8;32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4402002.2053474542	6	1	
93	32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=2;residency=6	4408229.5894978242	6	2	
94	32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=4;residency=6	4408229.5894978242	6	4	
95	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k4;kappa=1;residency=3	4411623.0611353368	3	1	
96	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k32;32x16x32s2k4;kappa=1;residency=6	4418880.0586265782	6	1	
97	32x16x32s2k1;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4424598.6353654247	6	1	
98	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=1;residency=4	4425990.2673034118	4	1	
99	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k2;32x16x32s2k4;kappa=1;residency=6	4430670.2373261107	6	1	
100	32x16x32s2k8;32x16x32s2k4;32x16x32s2k16;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4451290.6083916435	6	1	
101	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4452271.0560680907	4	1	
102	32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=5	4459817.7247726005	5	1	
103	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=1;residency=6	4464425.404503529	6	1	
104	32x16x32s2k8;32x16x32s2k16;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4467485.3851454826	6	1	
105	32x16x32s2k32;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4480181.360250731	6	1	
106	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=2;residency=4	4494172.5819496205	4	2	
107	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=4;residency=4	4494172.5819496205	4	4	
108	32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=2;residency=5	4498690.9402207183	5	2	
109	32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=4;residency=5	4498690.9402207183	5	4	
110	32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=4	4507625.3936550729	4	1	
111	32x16x32s2k8;32x16x32s2k32;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4509425.4494108856	6	1	
112	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4512752.0229183519	6	1	
113	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=6	4514923.0817186246	6	1	
114	32x16x32s2k8;32x16x32s2k1;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4525665.4961619647	6	1	
115	32x16x32s2k8;32x16x32s2k4;32x16x32s2k1;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4530734.3612323524	6	1	
116	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=2;residency=6	4532607.7191497386	6	2	
117	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=4;residency=6	4532607.7191497386	6	4	
118	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=1;residency=3	4536965.202509108	3	1	
119	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k4;32x16x32s2k16;kappa=1;residency=6	4545401.1244284492	6	1	
120	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k1;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=2	4545901.5449449485	2	1	
121	32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=2;residency=4	4547577.8169257781	4	2	
122	32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=4;residency=4	4547577.8169257781	4	4	
123	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;64x128x16s2k32;kappa=1;residency=3	4562698.2433762746	3	1	
124	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=1;residency=5	4562883.7866597781	5	1	
