config	smem	ctas_per_sm	l1_registers
32x32x8s5k16	10560	3	72
32x32x16s2k1	8448	2	86
32x32x16s2k2	8448	2	86
32x32x16s2k4	8448	2	86
32x32x16s2k8	8448	2	86
32x32x16s2k16	8448	2	86
32x32x16s3k1	12672	2	87
32x32x16s3k2	12672	2	87
32x32x16s3k4	12672	2	87
32x32x16s3k8	12672	2	87
32x32x16s3k16	12672	2	87
32x32x16s4k1	16896	2	87
32x32x16s4k2	16896	2	87
32x32x16s4k4	16896	2	87
32x32x16s4k8	16896	2	87
32x32x16s4k16	16896	2	87
32x32x16s5k1	21120	2	87
32x32x16s5k2	21120	2	87
32x32x16s5k4	21120	2	87
32x32x16s5k8	21120	2	87
32x32x16s5k16	21120	2	87
32x32x32s2k1	16896	2	89
32x32x32s2k2	16896	2	89
32x32x32s2k4	16896	2	89
32x32x32s2k8	16896	2	89
32x32x32s2k16	16896	2	89
32x32x32s3k1	25344	2	96
32x32x32s3k2	25344	2	96
32x32x32s3k4	25344	2	96
32x32x32s3k8	25344	2	96
32x32x32s3k16	25344	2	96
32x32x32s4k1	33792	2	96
32x32x32s4k2	33792	2	96
32x32x32s4k4	33792	2	96
32x32x32s4k8	33792	2	96
32x32x32s4k16	33792	2	96
32x32x32s5k1	42240	2	96
32x32x32s5k2	42240	2	96
32x32x32s5k4	42240	2	96
32x32x32s5k8	42240	2	96
32x32x32s5k16	42240	2	96
32x64x8s2k1	6272	3	80
32x64x8s2k2	6272	3	80
32x64x8s2k4	6272	3	80
32x64x8s2k8	6272	3	80
32x64x8s2k16	6272	3	80
32x64x8s3k1	9408	2	82
32x64x8s3k2	9408	2	82
32x64x8s3k4	9408	2	82
32x64x8s3k8	9408	2	82
32x64x8s3k16	9408	2	82
32x64x8s4k1	12544	2	82
32x64x8s4k2	12544	2	82
32x64x8s4k4	12544	2	82
32x64x8s4k8	12544	2	82
32x64x8s4k16	12544	2	82
32x64x8s5k1	15680	2	94
32x64x8s5k2	15680	2	94
32x64x8s5k4	15680	2	94
32x64x8s5k8	15680	2	94
32x64x8s5k16	15680	2	94
32x64x16s2k1	12544	2	90
32x64x16s2k2	12544	2	90
32x64x16s2k4	12544	2	90
32x64x16s2k8	12544	2	90
32x64x16s2k16	12544	2	90
32x64x16s3k1	18816	2	89
32x64x16s3k2	18816	2	89
32x64x16s3k4	18816	2	89
32x64x16s3k8	18816	2	89
32x64x16s3k16	18816	2	89
32x64x16s4k1	25088	2	88
32x64x16s4k2	25088	2	88
32x64x16s4k4	25088	2	88
32x64x16s4k8	25088	2	88
32x64x16s4k16	25088	2	88
32x64x16s5k1	31360	2	88
32x64x16s5k2	31360	2	88
32x64x16s5k4	31360	2	88
32x64x16s5k8	31360	2	88
32x64x16s5k16	31360	2	88
32x64x32s2k1	25088	2	112
32x64x32s2k2	25088	2	112
32x64x32s2k4	25088	2	112
32x64x32s2k8	25088	2	112
32x64x32s2k16	25088	2	112
32x64x32s3k1	37632	2	114
32x64x32s3k2	37632	2	114
32x64x32s3k4	37632	2	114
32x64x32s3k8	37632	2	114
32x64x32s3k16	37632	2	114
32x64x32s4k1	50176	2	114
32x64x32s4k2	50176	2	114
32x64x32s4k4	50176	2	114
32x64x32s4k8	50176	2	114
32x64x32s4k16	50176	2	114
32x64x32s5k1	62720	1	114
32x64x32s5k2	62720	1	114
32x64x32s5k4	62720	1	114
32x64x32s5k8	62720	1	114
32x64x32s5k16	62720	1	114
32x128x8s2k1	10368	2	96
32x128x8s2k2	10368	2	96
32x128x8s2k4	10368	2	96
32x128x8s2k8	10368	2	96
32x128x8s2k16	10368	2	96
32x128x8s3k1	15552	2	96
32x128x8s3k2	15552	2	96
32x128x8s3k4	15552	2	96
32x128x8s3k8	15552	2	96
32x128x8s3k16	15552	2	96
32x128x8s4k1	20736	2	96
32x128x8s4k2	20736	2	96
32x128x8s4k4	20736	2	96
32x128x8s4k8	20736	2	96
32x128x8s4k16	20736	2	96
32x128x8s5k1	25920	2	96
32x128x8s5k2	25920	2	96
32x128x8s5k4	25920	2	96
32x128x8s5k8	25920	2	96
32x128x8s5k16	25920	2	96
32x128x16s2k1	20736	2	96
32x128x16s2k2	20736	2	96
32x128x16s2k4	20736	2	96
32x128x16s2k8	20736	2	96
32x128x16s2k16	20736	2	96
32x128x16s3k1	31104	2	96
32x128x16s3k2	31104	2	96
32x128x16s3k4	31104	2	96
32x128x16s3k8	31104	2	96
32x128x16s3k16	31104	2	96
32x128x16s4k1	41472	2	96
32x128x16s4k2	41472	2	96
32x128x16s4k4	41472	2	96
32x128x16s4k8	41472	2	96
32x128x16s4k16	41472	2	96
32x128x16s5k1	51840	1	96
32x128x16s5k2	51840	1	96
32x128x16s5k4	51840	1	96
32x128x16s5k8	51840	1	96
32x128x16s5k16	51840	1	96
32x128x32s2k1	41472	1	150
32x128x32s2k2	41472	1	150
32x128x32s2k4	41472	1	150
32x128x32s2k8	41472	1	150
32x128x32s2k16	41472	1	150
32x128x32s3k1	62208	1	158
32x128x32s3k2	62208	1	158
32x128x32s3k4	62208	1	158
32x128x32s3k8	62208	1	158
32x128x32s3k16	62208	1	158
32x128x32s4k1	82944	1	164
32x128x32s4k2	82944	1	164
32x128x32s4k4	82944	1	164
32x128x32s4k8	82944	1	164
32x128x32s4k16	82944	1	164
32x256x8s2k1	18560	2	115
32x256x8s2k2	18560	2	115
32x256x8s2k4	18560	2	115
32x256x8s2k8	18560	2	115
32x256x8s2k16	18560	2	115
32x256x8s3k1	27840	2	119
32x256x8s3k2	27840	2	119
32x256x8s3k4	27840	2	119
32x256x8s3k8	27840	2	119
32x256x8s3k16	27840	2	119
32x256x8s4k1	37120	2	119
32x256x8s4k2	37120	2	119
32x256x8s4k4	37120	2	119
32x256x8s4k8	37120	2	119
32x256x8s4k16	37120	2	119
32x256x8s5k1	46400	2	119
32x256x8s5k2	46400	2	119
32x256x8s5k4	46400	2	119
32x256x8s5k8	46400	2	119
32x256x8s5k16	46400	2	119
32x256x16s2k1	37120	1	140
32x256x16s2k2	37120	1	140
32x256x16s2k4	37120	1	140
32x256x16s2k8	37120	1	140
32x256x16s2k16	37120	1	140
32x256x16s3k1	55680	1	128
32x256x16s3k2	55680	1	128
32x256x16s3k4	55680	1	128
32x256x16s3k8	55680	1	128
32x256x16s3k16	55680	1	128
32x256x16s4k1	74240	1	128
32x256x16s4k2	74240	1	128
32x256x16s4k4	74240	1	128
32x256x16s4k8	74240	1	128
32x256x16s4k16	74240	1	128
32x256x16s5k1	92800	1	128
32x256x16s5k2	92800	1	128
32x256x16s5k4	92800	1	128
32x256x16s5k8	92800	1	128
32x256x16s5k16	92800	1	128
32x256x32s2k1	74240	1	249
32x256x32s2k2	74240	1	249
32x256x32s2k4	74240	1	249
32x256x32s2k8	74240	1	249
32x256x32s2k16	74240	1	249
64x16x16s2k1	10496	2	95
64x16x16s2k2	10496	2	95
64x16x16s2k4	10496	2	95
64x16x16s2k8	10496	2	95
64x16x16s2k16	10496	2	95
64x16x16s3k1	15744	2	95
64x16x16s3k2	15744	2	95
64x16x16s3k4	15744	2	95
64x16x16s3k8	15744	2	95
64x16x16s3k16	15744	2	95
64x16x16s4k1	20992	2	96
64x16x16s4k2	20992	2	96
64x16x16s4k4	20992	2	96
64x16x16s4k8	20992	2	96
64x16x16s4k16	20992	2	96
64x16x16s5k1	26240	2	96
64x16x16s5k2	26240	2	96
64x16x16s5k4	26240	2	96
64x16x16s5k8	26240	2	96
64x16x16s5k16	26240	2	96
64x16x32s2k1	20992	2	127
64x16x32s2k2	20992	2	127
64x16x32s2k4	20992	2	127
64x16x32s2k8	20992	2	127
64x16x32s2k16	20992	2	127
64x16x32s3k1	31488	2	128
64x16x32s3k2	31488	2	128
64x16x32s3k4	31488	2	128
64x16x32s3k8	31488	2	128
64x16x32s3k16	31488	2	128
64x16x32s4k1	41984	2	128
64x16x32s4k2	41984	2	128
64x16x32s4k4	41984	2	128
64x16x32s4k8	41984	2	128
64x16x32s4k16	41984	2	128
64x16x32s5k1	52480	1	128
64x16x32s5k2	52480	1	128
64x16x32s5k4	52480	1	128
64x16x32s5k8	52480	1	128
64x16x32s5k16	52480	1	128
64x32x8s2k1	6272	2	82
64x32x8s2k2	6272	2	82
64x32x8s2k4	6272	2	82
64x32x8s2k8	6272	2	82
64x32x8s2k16	6272	2	82
64x32x8s3k1	9408	2	86
64x32x8s3k2	9408	2	86
64x32x8s3k4	9408	2	86
64x32x8s3k8	9408	2	86
64x32x8s3k16	9408	2	86
64x32x8s4k1	12544	2	86
64x32x8s4k2	12544	2	86
64x32x8s4k4	12544	2	86
64x32x8s4k8	12544	2	86
64x32x8s4k16	12544	2	86
64x32x8s5k1	15680	2	82
64x32x8s5k2	15680	2	82
64x32x8s5k4	15680	2	82
64x32x8s5k8	15680	2	82
64x32x8s5k16	15680	2	82
64x32x16s2k1	12544	2	94
64x32x16s2k2	12544	2	94
64x32x16s2k4	12544	2	94
64x32x16s2k8	12544	2	94
64x32x16s2k16	12544	2	94
64x32x16s3k1	18816	2	93
64x32x16s3k2	18816	2	93
64x32x16s3k4	18816	2	93
64x32x16s3k8	18816	2	93
64x32x16s3k16	18816	2	93
64x32x16s4k1	25088	2	90
64x32x16s4k2	25088	2	90
64x32x16s4k4	25088	2	90
64x32x16s4k8	25088	2	90
64x32x16s4k16	25088	2	90
64x32x16s5k1	31360	2	90
64x32x16s5k2	31360	2	90
64x32x16s5k4	31360	2	90
64x32x16s5k8	31360	2	90
64x32x16s5k16	31360	2	90
64x32x32s2k1	25088	2	120
64x32x32s2k2	25088	2	120
64x32x32s2k4	25088	2	120
64x32x32s2k8	25088	2	120
64x32x32s2k16	25088	2	120
64x32x32s3k1	37632	2	118
64x32x32s3k2	37632	2	118
64x32x32s3k4	37632	2	118
64x32x32s3k8	37632	2	118
64x32x32s3k16	37632	2	118
64x32x32s4k1	50176	2	118
64x32x32s4k2	50176	2	118
64x32x32s4k4	50176	2	118
64x32x32s4k8	50176	2	118
64x32x32s4k16	50176	2	118
64x32x32s5k1	62720	1	120
64x32x32s5k2	62720	1	120
64x32x32s5k4	62720	1	120
64x32x32s5k8	62720	1	120
64x32x32s5k16	62720	1	120
64x64x8s2k1	8320	2	96
64x64x8s2k2	8320	2	96
64x64x8s2k4	8320	2	96
64x64x8s2k8	8320	2	96
64x64x8s2k16	8320	2	96
64x64x8s3k1	12480	2	96
64x64x8s3k2	12480	2	96
64x64x8s3k4	12480	2	96
64x64x8s3k8	12480	2	96
64x64x8s3k16	12480	2	96
64x64x8s4k1	16640	2	96
64x64x8s4k2	16640	2	96
64x64x8s4k4	16640	2	96
64x64x8s4k8	16640	2	96
64x64x8s4k16	16640	2	96
64x64x8s5k1	20800	2	96
64x64x8s5k2	20800	2	96
64x64x8s5k4	20800	2	96
64x64x8s5k8	20800	2	96
64x64x8s5k16	20800	2	96
64x64x16s2k1	16640	2	110
64x64x16s2k2	16640	2	110
64x64x16s2k4	16640	2	110
64x64x16s2k8	16640	2	110
64x64x16s2k16	16640	2	110
64x64x16s3k1	24960	2	108
64x64x16s3k2	24960	2	108
64x64x16s3k4	24960	2	108
64x64x16s3k8	24960	2	108
64x64x16s3k16	24960	2	108
64x64x16s4k1	33280	2	96
64x64x16s4k2	33280	2	96
64x64x16s4k4	33280	2	96
64x64x16s4k8	33280	2	96
64x64x16s4k16	33280	2	96
64x64x16s5k1	41600	2	96
64x64x16s5k2	41600	2	96
64x64x16s5k4	41600	2	96
64x64x16s5k8	41600	2	96
64x64x16s5k16	41600	2	96
64x64x32s2k1	33280	2	128
64x64x32s2k2	33280	2	128
64x64x32s2k4	33280	2	128
64x64x32s2k8	33280	2	128
64x64x32s2k16	33280	2	128
64x64x32s3k1	49920	2	128
64x64x32s3k2	49920	2	128
64x64x32s3k4	49920	2	128
64x64x32s3k8	49920	2	128
64x64x32s3k16	49920	2	128
64x64x32s4k1	66560	1	128
64x64x32s4k2	66560	1	128
64x64x32s4k4	66560	1	128
64x64x32s4k8	66560	1	128
64x64x32s4k16	66560	1	128
64x64x32s5k1	83200	1	128
64x64x32s5k2	83200	1	128
64x64x32s5k4	83200	1	128
64x64x32s5k8	83200	1	128
64x64x32s5k16	83200	1	128
64x128x8s2k1	12416	2	123
64x128x8s2k2	12416	2	123
64x128x8s2k4	12416	2	123
64x128x8s2k8	12416	2	123
64x128x8s2k16	12416	2	123
64x128x8s3k1	18624	2	119
64x128x8s3k2	18624	2	119
64x128x8s3k4	18624	2	119
64x128x8s3k8	18624	2	119
64x128x8s3k16	18624	2	119
64x128x8s4k1	24832	2	128
64x128x8s4k2	24832	2	128
64x128x8s4k4	24832	2	128
64x128x8s4k8	24832	2	128
64x128x8s4k16	24832	2	128
64x128x8s5k1	31040	2	128
64x128x8s5k2	31040	2	128
64x128x8s5k4	31040	2	128
64x128x8s5k8	31040	2	128
64x128x8s5k16	31040	2	128
64x128x16s2k1	24832	2	128
64x128x16s2k2	24832	2	128
64x128x16s2k4	24832	2	128
64x128x16s2k8	24832	2	128
64x128x16s2k16	24832	2	128
64x128x16s3k1	37248	2	128
64x128x16s3k2	37248	2	128
64x128x16s3k4	37248	2	128
64x128x16s3k8	37248	2	128
64x128x16s3k16	37248	2	128
64x128x16s4k1	49664	2	127
64x128x16s4k2	49664	2	127
64x128x16s4k4	49664	2	127
64x128x16s4k8	49664	2	127
64x128x16s4k16	49664	2	127
64x128x16s5k1	62080	1	127
64x128x16s5k2	62080	1	127
64x128x16s5k4	62080	1	127
64x128x16s5k8	62080	1	127
64x128x16s5k16	62080	1	127
64x128x32s2k1	49664	1	168
64x128x32s2k2	49664	1	168
64x128x32s2k4	49664	1	168
64x128x32s2k8	49664	1	168
64x128x32s2k16	49664	1	168
64x128x32s3k1	74496	1	196
64x128x32s3k2	74496	1	196
64x128x32s3k4	74496	1	196
64x128x32s3k8	74496	1	196
64x128x32s3k16	74496	1	196
64x128x32s4k1	99328	1	190
64x128x32s4k2	99328	1	190
64x128x32s4k4	99328	1	190
64x128x32s4k8	99328	1	190
64x128x32s4k16	99328	1	190
64x256x8s2k1	20608	1	167
64x256x8s2k2	20608	1	167
64x256x8s2k4	20608	1	167
64x256x8s2k8	20608	1	167
64x256x8s2k16	20608	1	167
64x256x8s3k1	30912	1	167
64x256x8s3k2	30912	1	167
64x256x8s3k4	30912	1	167
64x256x8s3k8	30912	1	167
64x256x8s3k16	30912	1	167
64x256x8s4k1	41216	1	167
64x256x8s4k2	41216	1	167
64x256x8s4k4	41216	1	167
64x256x8s4k8	41216	1	167
64x256x8s4k16	41216	1	167
64x256x8s5k1	51520	1	167
64x256x8s5k2	51520	1	167
64x256x8s5k4	51520	1	167
64x256x8s5k8	51520	1	167
64x256x8s5k16	51520	1	167
64x256x16s2k1	41216	1	168
64x256x16s2k2	41216	1	168
64x256x16s2k4	41216	1	168
64x256x16s2k8	41216	1	168
64x256x16s2k16	41216	1	168
64x256x16s3k1	61824	1	168
64x256x16s3k2	61824	1	168
64x256x16s3k4	61824	1	168
64x256x16s3k8	61824	1	168
64x256x16s3k16	61824	1	168
64x256x16s4k1	82432	1	168
64x256x16s4k2	82432	1	168
64x256x16s4k4	82432	1	168
64x256x16s4k8	82432	1	168
64x256x16s4k16	82432	1	168
64x256x32s2k1	82432	1	124
64x256x32s2k2	82432	1	124
64x256x32s2k4	82432	1	124
64x256x32s2k8	82432	1	124
64x256x32s2k16	82432	1	124
128x16x16s2k1	18688	2	96
128x16x16s2k2	18688	2	96
128x16x16s2k4	18688	2	96
128x16x16s2k8	18688	2	96
128x16x16s2k16	18688	2	96
128x16x16s3k1	28032	2	120
128x16x16s3k2	28032	2	120
128x16x16s3k4	28032	2	120
128x16x16s3k8	28032	2	120
128x16x16s3k16	28032	2	120
128x16x16s4k1	37376	2	120
128x16x16s4k2	37376	2	120
128x16x16s4k4	37376	2	120
128x16x16s4k8	37376	2	120
128x16x16s4k16	37376	2	120
128x16x16s5k1	46720	2	120
128x16x16s5k2	46720	2	120
128x16x16s5k4	46720	2	120
128x16x16s5k8	46720	2	120
128x16x16s5k16	46720	2	120
128x16x32s2k1	37376	2	128
128x16x32s2k2	37376	2	128
128x16x32s3k1	56064	1	128
128x16x32s3k2	56064	1	128
128x16x32s3k4	56064	1	128
128x16x32s3k8	56064	1	128
128x16x32s3k16	56064	1	128
128x16x32s4k1	74752	1	128
128x16x32s4k2	74752	1	128
128x16x32s4k4	74752	1	128
128x16x32s4k8	74752	1	128
128x16x32s4k16	74752	1	128
128x16x32s5k1	93440	1	152
128x16x32s5k2	93440	1	152
128x16x32s5k4	93440	1	152
128x16x32s5k8	93440	1	152
128x16x32s5k16	93440	1	152
128x32x8s2k1	10368	2	95
128x32x8s2k2	10368	2	95
128x32x8s2k4	10368	2	95
128x32x8s2k8	10368	2	95
128x32x8s2k16	10368	2	95
128x32x8s3k1	15552	2	96
128x32x8s3k2	15552	2	96
128x32x8s3k4	15552	2	96
128x32x8s3k8	15552	2	96
128x32x8s3k16	15552	2	96
128x32x8s4k1	20736	2	95
128x32x8s4k2	20736	2	95
128x32x8s4k4	20736	2	95
128x32x8s4k8	20736	2	95
128x32x8s4k16	20736	2	95
128x32x8s5k1	25920	2	95
128x32x8s5k2	25920	2	95
128x32x8s5k4	25920	2	95
128x32x8s5k8	25920	2	95
128x32x8s5k16	25920	2	95
128x32x16s2k1	20736	2	96
128x32x16s2k2	20736	2	96
128x32x16s2k4	20736	2	96
128x32x16s2k8	20736	2	96
128x32x16s2k16	20736	2	96
128x32x16s3k1	31104	2	96
128x32x16s3k2	31104	2	96
128x32x16s3k4	31104	2	96
128x32x16s3k8	31104	2	96
128x32x16s3k16	31104	2	96
128x32x16s4k1	41472	2	96
128x32x16s4k2	41472	2	96
128x32x16s4k4	41472	2	96
128x32x16s4k8	41472	2	96
128x32x16s4k16	41472	2	96
128x32x16s5k1	51840	1	96
128x32x16s5k2	51840	1	96
128x32x16s5k4	51840	1	96
128x32x16s5k8	51840	1	96
128x32x16s5k16	51840	1	96
128x32x32s2k1	41472	1	148
128x32x32s2k2	41472	1	148
128x32x32s2k4	41472	1	148
128x32x32s2k8	41472	1	148
128x32x32s2k16	41472	1	148
128x32x32s3k1	62208	1	146
128x32x32s3k2	62208	1	146
128x32x32s3k4	62208	1	146
128x32x32s3k8	62208	1	146
128x32x32s3k16	62208	1	146
128x32x32s4k1	82944	1	168
128x32x32s4k2	82944	1	168
128x32x32s4k4	82944	1	168
128x32x32s4k8	82944	1	168
128x32x32s4k16	82944	1	168
128x64x8s2k1	12416	2	124
128x64x8s2k2	12416	2	124
128x64x8s2k4	12416	2	124
128x64x8s2k8	12416	2	124
128x64x8s2k16	12416	2	124
128x64x8s3k1	18624	2	126
128x64x8s3k2	18624	2	126
128x64x8s3k4	18624	2	126
128x64x8s3k8	18624	2	126
128x64x8s3k16	18624	2	126
128x64x8s4k1	24832	2	121
128x64x8s4k2	24832	2	121
128x64x8s4k4	24832	2	121
128x64x8s4k8	24832	2	121
128x64x8s4k16	24832	2	121
128x64x8s5k1	31040	2	117
128x64x8s5k2	31040	2	117
128x64x8s5k4	31040	2	117
128x64x8s5k8	31040	2	117
128x64x8s5k16	31040	2	117
128x64x16s2k1	24832	2	126
128x64x16s2k2	24832	2	126
128x64x16s2k4	24832	2	126
128x64x16s2k8	24832	2	126
128x64x16s2k16	24832	2	126
128x64x16s3k1	37248	2	128
128x64x16s3k2	37248	2	128
128x64x16s3k4	37248	2	128
128x64x16s3k8	37248	2	128
128x64x16s3k16	37248	2	128
128x64x16s4k1	49664	2	127
128x64x16s4k2	49664	2	127
128x64x16s4k4	49664	2	127
128x64x16s4k8	49664	2	127
128x64x16s4k16	49664	2	127
128x64x16s5k1	62080	1	127
128x64x16s5k2	62080	1	127
128x64x16s5k4	62080	1	127
128x64x16s5k8	62080	1	127
128x64x16s5k16	62080	1	127
128x64x32s2k1	49664	1	166
128x64x32s2k2	49664	1	166
128x64x32s2k4	49664	1	166
128x64x32s2k8	49664	1	166
128x64x32s2k16	49664	1	166
128x64x32s3k1	74496	1	194
128x64x32s3k2	74496	1	194
128x64x32s3k4	74496	1	194
128x64x32s3k8	74496	1	194
128x64x32s3k16	74496	1	194
128x64x32s4k1	99328	1	194
128x64x32s4k2	99328	1	194
128x64x32s4k4	99328	1	194
128x64x32s4k8	99328	1	194
128x64x32s4k16	99328	1	194
128x128x8s2k1	16512	1	168
128x128x8s2k2	16512	1	168
128x128x8s2k4	16512	1	168
128x128x8s2k8	16512	1	168
128x128x8s2k16	16512	1	168
128x128x8s3k1	24768	1	168
128x128x8s3k2	24768	1	168
128x128x8s3k4	24768	1	168
128x128x8s3k8	24768	1	168
128x128x8s3k16	24768	1	168
128x128x8s4k1	33024	1	168
128x128x8s4k2	33024	1	168
128x128x8s4k4	33024	1	168
128x128x8s4k8	33024	1	168
