config	status	l1_registers	l2_registers	smem	l1_ctas_per_sm	l2_ctas_per_sm
128x16x16s2k16	PASS	96	96	18688	2	2
128x16x16s2k2	PASS	96	96	18688	2	2
128x16x16s2k4	PASS	96	96	18688	2	2
128x16x16s2k8	PASS	96	96	18688	2	2
128x16x16s3k1	PASS	120	122	28032	2	2
128x16x16s3k16	PASS	120	122	28032	2	2
128x16x16s3k2	PASS	120	122	28032	2	2
128x16x16s3k4	PASS	120	122	28032	2	2
128x16x16s3k8	PASS	120	122	28032	2	2
128x16x16s4k1	PASS	120	122	37376	2	2
128x16x16s4k16	PASS	120	122	37376	2	2
128x16x16s4k2	PASS	120	122	37376	2	2
128x16x16s4k4	PASS	120	122	37376	2	2
128x16x16s4k8	PASS	120	122	37376	2	2
128x16x16s5k1	PASS	120	112	46720	2	2
128x16x16s5k16	PASS	120	112	46720	2	2
128x16x16s5k2	PASS	120	112	46720	2	2
128x16x16s5k4	PASS	120	112	46720	2	2
128x16x16s5k8	PASS	120	112	46720	2	2
128x16x32s2k1	PASS	128	144	37376	2	1
128x16x32s2k16	RUNFAIL	128	144	37376	2	1
128x16x32s2k2	PASS	128	144	37376	2	1
128x16x32s2k4	RUNFAIL	128	144	37376	2	1
128x16x32s2k8	RUNFAIL	128	144	37376	2	1
128x16x32s3k1	PASS	128	148	56064	1	1
128x16x32s3k16	PASS	128	148	56064	1	1
128x16x32s3k2	PASS	128	148	56064	1	1
128x16x32s3k4	PASS	128	148	56064	1	1
128x16x32s3k8	PASS	128	148	56064	1	1
128x16x32s4k1	PASS	128	142	74752	1	1
128x16x32s4k16	PASS	128	142	74752	1	1
128x16x32s4k2	PASS	128	142	74752	1	1
128x16x32s4k4	PASS	128	142	74752	1	1
128x16x32s4k8	PASS	128	142	74752	1	1
128x16x32s5k1	PASS	152	152	93440	1	1
128x16x32s5k16	PASS	152	152	93440	1	1
128x16x32s5k2	PASS	152	152	93440	1	1
128x16x32s5k4	PASS	152	152	93440	1	1
128x16x32s5k8	PASS	152	152	93440	1	1
128x256x16s2k1	PASS	251	251	49408	1	1
128x256x16s2k16	PASS	251	251	49408	1	1
128x256x16s2k2	PASS	251	251	49408	1	1
128x256x16s2k4	PASS	251	251	49408	1	1
128x256x16s2k8	PASS	251	251	49408	1	1
128x256x16s3k1	PASS	255	255	74112	1	1
128x256x16s3k16	PASS	255	255	74112	1	1
128x256x16s3k2	PASS	255	255	74112	1	1
128x256x16s3k4	PASS	255	255	74112	1	1
128x256x16s3k8	PASS	255	255	74112	1	1
128x256x16s4k1	PASS	255	255	98816	1	1
128x256x16s4k16	PASS	255	255	98816	1	1
128x256x16s4k2	PASS	255	255	98816	1	1
128x256x16s4k4	PASS	255	255	98816	1	1
128x256x16s4k8	PASS	255	255	98816	1	1
128x256x32s2k1	PASS	164	162	98816	1	1
128x256x32s2k16	PASS	164	162	98816	1	1
128x256x32s2k2	PASS	164	162	98816	1	1
128x256x32s2k4	PASS	164	162	98816	1	1
128x256x32s2k8	PASS	164	162	98816	1	1
128x256x8s2k1	PASS	255	255	24704	1	1
128x256x8s2k16	PASS	255	255	24704	1	1
128x256x8s2k2	PASS	255	255	24704	1	1
128x256x8s2k4	PASS	255	255	24704	1	1
128x256x8s2k8	PASS	255	255	24704	1	1
128x256x8s3k1	PASS	255	255	37056	1	1
128x256x8s3k16	PASS	255	255	37056	1	1
128x256x8s3k2	PASS	255	255	37056	1	1
128x256x8s3k4	PASS	255	255	37056	1	1
128x256x8s3k8	PASS	255	255	37056	1	1
128x256x8s4k1	PASS	255	255	49408	1	1
128x256x8s4k16	PASS	255	255	49408	1	1
128x256x8s4k2	PASS	255	255	49408	1	1
128x256x8s4k4	PASS	255	255	49408	1	1
128x256x8s4k8	PASS	255	255	49408	1	1
128x256x8s5k1	PASS	255	255	61760	1	1
128x256x8s5k16	PASS	255	255	61760	1	1
128x256x8s5k2	PASS	255	255	61760	1	1
128x256x8s5k4	PASS	255	255	61760	1	1
128x256x8s5k8	PASS	255	255	61760	1	1
128x32x16s2k1	PASS	96	96	20736	2	2
128x32x16s2k16	PASS	96	96	20736	2	2
128x32x16s2k2	PASS	96	96	20736	2	2
128x32x16s2k4	PASS	96	96	20736	2	2
128x32x16s2k8	PASS	96	96	20736	2	2
128x32x16s3k1	PASS	96	96	31104	2	2
128x32x16s3k16	PASS	96	96	31104	2	2
128x32x16s3k2	PASS	96	96	31104	2	2
128x32x16s3k4	PASS	96	96	31104	2	2
128x32x16s3k8	PASS	96	96	31104	2	2
128x32x16s4k1	PASS	96	96	41472	2	2
128x32x16s4k16	PASS	96	96	41472	2	2
128x32x16s4k2	PASS	96	96	41472	2	2
128x32x16s4k4	PASS	96	96	41472	2	2
128x32x16s4k8	PASS	96	96	41472	2	2
128x32x16s5k1	PASS	96	96	51840	1	1
128x32x16s5k16	PASS	96	96	51840	1	1
128x32x16s5k2	PASS	96	96	51840	1	1
128x32x16s5k4	PASS	96	96	51840	1	1
128x32x16s5k8	PASS	96	96	51840	1	1
128x32x32s2k1	PASS	148	146	41472	1	1
128x32x32s2k16	PASS	148	146	41472	1	1
128x32x32s2k2	PASS	148	146	41472	1	1
128x32x32s2k4	PASS	148	146	41472	1	1
128x32x32s2k8	PASS	148	146	41472	1	1
128x32x32s3k1	PASS	146	146	62208	1	1
128x32x32s3k16	PASS	146	146	62208	1	1
128x32x32s3k2	PASS	146	146	62208	1	1
128x32x32s3k4	PASS	146	146	62208	1	1
128x32x32s3k8	PASS	146	146	62208	1	1
128x32x32s4k1	PASS	168	168	82944	1	1
128x32x32s4k16	PASS	168	168	82944	1	1
128x32x32s4k2	PASS	168	168	82944	1	1
128x32x32s4k4	PASS	168	168	82944	1	1
128x32x32s4k8	PASS	168	168	82944	1	1
128x32x8s2k1	PASS	95	96	10368	2	2
128x32x8s2k16	PASS	95	96	10368	2	2
128x32x8s2k2	PASS	95	96	10368	2	2
128x32x8s2k4	PASS	95	96	10368	2	2
128x32x8s2k8	PASS	95	96	10368	2	2
128x32x8s3k1	PASS	96	96	15552	2	2
128x32x8s3k16	PASS	96	96	15552	2	2
128x32x8s3k2	PASS	96	96	15552	2	2
128x32x8s3k4	PASS	96	96	15552	2	2
128x32x8s3k8	PASS	96	96	15552	2	2
128x32x8s4k1	PASS	95	96	20736	2	2
128x32x8s4k16	PASS	95	96	20736	2	2
128x32x8s4k2	PASS	95	96	20736	2	2
128x32x8s4k4	PASS	95	96	20736	2	2
128x32x8s4k8	PASS	95	96	20736	2	2
128x32x8s5k1	PASS	95	96	25920	2	2
128x32x8s5k16	PASS	95	96	25920	2	2
128x32x8s5k2	PASS	95	96	25920	2	2
128x32x8s5k4	PASS	95	96	25920	2	2
128x32x8s5k8	PASS	95	96	25920	2	2
128x64x16s2k1	PASS	126	128	24832	2	2
128x64x16s2k16	PASS	126	128	24832	2	2
128x64x16s2k2	PASS	126	128	24832	2	2
128x64x16s2k4	PASS	126	128	24832	2	2
128x64x16s2k8	PASS	126	128	24832	2	2
128x64x16s3k1	PASS	128	125	37248	2	2
128x64x16s3k16	PASS	128	125	37248	2	2
128x64x16s3k2	PASS	128	125	37248	2	2
128x64x16s3k4	PASS	128	125	37248	2	2
128x64x16s3k8	PASS	128	125	37248	2	2
128x64x16s4k1	PASS	127	127	49664	2	2
128x64x16s4k16	PASS	127	127	49664	2	2
128x64x16s4k2	PASS	127	127	49664	2	2
128x64x16s4k4	PASS	127	127	49664	2	2
128x64x16s4k8	PASS	127	127	49664	2	2
128x64x16s5k1	PASS	127	127	62080	1	1
128x64x16s5k16	PASS	127	127	62080	1	1
128x64x16s5k2	PASS	127	127	62080	1	1
128x64x16s5k4	PASS	127	127	62080	1	1
128x64x16s5k8	PASS	127	127	62080	1	1
128x64x32s2k1	PASS	166	168	49664	1	1
128x64x32s2k16	PASS	166	168	49664	1	1
128x64x32s2k2	PASS	166	168	49664	1	1
128x64x32s2k4	PASS	166	168	49664	1	1
128x64x32s2k8	PASS	166	168	49664	1	1
128x64x32s3k1	PASS	194	192	74496	1	1
128x64x32s3k16	PASS	194	192	74496	1	1
128x64x32s3k2	PASS	194	192	74496	1	1
128x64x32s3k4	PASS	194	192	74496	1	1
128x64x32s3k8	PASS	194	192	74496	1	1
128x64x32s4k1	PASS	194	192	99328	1	1
128x64x32s4k16	PASS	194	192	99328	1	1
128x64x32s4k2	PASS	194	192	99328	1	1
128x64x32s4k4	PASS	194	192	99328	1	1
128x64x32s4k8	PASS	194	192	99328	1	1
128x64x8s2k1	PASS	124	118	12416	2	2
128x64x8s2k16	PASS	124	118	12416	2	2
128x64x8s2k2	PASS	124	118	12416	2	2
128x64x8s2k4	PASS	124	118	12416	2	2
128x64x8s2k8	PASS	124	118	12416	2	2
128x64x8s3k1	PASS	126	122	18624	2	2
128x64x8s3k16	PASS	126	122	18624	2	2
128x64x8s3k2	PASS	126	122	18624	2	2
128x64x8s3k4	PASS	126	122	18624	2	2
128x64x8s3k8	PASS	126	122	18624	2	2
128x64x8s4k1	PASS	121	120	24832	2	2
128x64x8s4k16	PASS	121	120	24832	2	2
128x64x8s4k2	PASS	121	120	24832	2	2
128x64x8s4k4	PASS	121	120	24832	2	2
128x64x8s4k8	PASS	121	120	24832	2	2
128x64x8s5k1	PASS	117	116	31040	2	2
128x64x8s5k16	PASS	117	116	31040	2	2
128x64x8s5k2	PASS	117	116	31040	2	2
128x64x8s5k4	PASS	117	116	31040	2	2
128x64x8s5k8	PASS	117	116	31040	2	2
16x128x16s2k1	PASS	96	96	18688	2	2
16x128x16s2k16	PASS	96	96	18688	2	2
16x128x16s2k2	PASS	96	96	18688	2	2
16x128x16s2k4	PASS	96	96	18688	2	2
16x128x16s2k8	PASS	96	96	18688	2	2
16x128x16s3k1	PASS	96	96	28032	2	2
16x128x16s3k16	PASS	96	96	28032	2	2
16x128x16s3k2	PASS	96	96	28032	2	2
16x128x16s3k4	PASS	96	96	28032	2	2
16x128x16s3k8	PASS	96	96	28032	2	2
16x128x16s4k1	PASS	96	96	37376	2	2
16x128x16s4k16	PASS	96	96	37376	2	2
16x128x16s4k2	PASS	96	96	37376	2	2
16x128x16s4k4	PASS	96	96	37376	2	2
16x128x16s4k8	PASS	96	96	37376	2	2
16x128x16s5k1	PASS	96	106	46720	2	2
16x128x16s5k16	PASS	96	106	46720	2	2
16x128x16s5k2	PASS	96	106	46720	2	2
16x128x16s5k4	PASS	96	106	46720	2	2
16x128x16s5k8	PASS	96	106	46720	2	2
16x128x32s2k1	PASS	128	128	37376	2	2
16x128x32s2k16	PASS	128	128	37376	2	2
16x128x32s2k2	PASS	128	128	37376	2	2
16x128x32s2k4	PASS	128	128	37376	2	2
16x128x32s2k8	PASS	128	128	37376	2	2
16x128x32s3k1	PASS	128	128	56064	1	1
16x128x32s3k16	PASS	128	128	56064	1	1
16x128x32s3k2	PASS	128	128	56064	1	1
16x128x32s3k4	PASS	128	128	56064	1	1
16x128x32s3k8	PASS	128	128	56064	1	1
16x128x32s4k1	PASS	128	128	74752	1	1
16x128x32s4k16	PASS	128	128	74752	1	1
16x128x32s4k2	PASS	128	128	74752	1	1
16x128x32s4k4	PASS	128	128	74752	1	1
16x128x32s4k8	PASS	128	128	74752	1	1
16x128x32s5k1	PASS	160	158	93440	1	1
16x128x32s5k16	PASS	160	158	93440	1	1
16x128x32s5k2	PASS	160	158	93440	1	1
16x128x32s5k4	PASS	160	158	93440	1	1
16x128x32s5k8	PASS	160	158	93440	1	1
16x256x16s2k1	PASS	126	124	35072	2	2
16x256x16s2k16	PASS	126	124	35072	2	2
16x256x16s2k2	PASS	126	124	35072	2	2
16x256x16s2k4	PASS	126	124	35072	2	2
16x256x16s2k8	PASS	126	124	35072	2	2
16x256x16s3k1	PASS	122	118	52608	1	1
16x256x16s3k16	PASS	122	118	52608	1	1
16x256x16s3k2	PASS	122	118	52608	1	1
16x256x16s3k4	PASS	122	118	52608	1	1
16x256x16s3k8	PASS	122	118	52608	1	1
16x256x16s4k1	PASS	128	128	70144	1	1
16x256x16s4k16	PASS	128	128	70144	1	1
16x256x16s4k2	PASS	128	128	70144	1	1
16x256x16s4k4	PASS	128	128	70144	1	1
16x256x16s4k8	PASS	128	128	70144	1	1
16x256x16s5k1	PASS	128	128	87680	1	1
16x256x16s5k16	PASS	128	128	87680	1	1
16x256x16s5k2	PASS	128	128	87680	1	1
16x256x16s5k4	PASS	128	128	87680	1	1
16x256x16s5k8	PASS	128	128	87680	1	1
16x256x32s2k1	PASS	248	248	70144	1	1
16x256x32s2k16	PASS	248	248	70144	1	1
16x256x32s2k2	PASS	248	248	70144	1	1
16x256x32s2k4	PASS	248	248	70144	1	1
16x256x32s2k8	PASS	248	248	70144	1	1
16x32x16s2k1	PASS	72	71	6400	3	3
16x32x16s2k16	PASS	72	71	6400	3	3
16x32x16s2k2	PASS	72	71	6400	3	3
16x32x16s2k4	PASS	72	71	6400	3	3
16x32x16s2k8	PASS	72	71	6400	3	3
16x32x16s3k1	PASS	72	72	9600	3	3
16x32x16s3k16	PASS	72	72	9600	3	3
16x32x16s3k2	PASS	72	72	9600	3	3
16x32x16s3k4	PASS	72	72	9600	3	3
16x32x16s3k8	PASS	72	72	9600	3	3
16x32x16s4k1	PASS	72	72	12800	3	3
16x32x16s4k16	PASS	72	72	12800	3	3
16x32x16s4k2	PASS	72	72	12800	3	3
16x32x16s4k4	PASS	72	72	12800	3	3
16x32x16s4k8	PASS	72	72	12800	3	3
16x32x16s5k1	PASS	72	72	16000	3	3
16x32x16s5k16	PASS	72	72	16000	3	3
16x32x16s5k2	PASS	72	72	16000	3	3
16x32x16s5k4	PASS	72	72	16000	3	3
16x32x16s5k8	PASS	72	72	16000	3	3
16x32x32s2k1	PASS	78	78	12800	3	3
16x32x32s2k16	PASS	78	78	12800	3	3
16x32x32s2k2	PASS	78	78	12800	3	3
16x32x32s2k4	PASS	78	78	12800	3	3
16x32x32s2k8	PASS	78	78	12800	3	3
16x32x32s3k1	PASS	76	76	19200	3	3
16x32x32s3k16	PASS	76	76	19200	3	3
16x32x32s3k2	PASS	76	76	19200	3	3
16x32x32s3k4	PASS	76	76	19200	3	3
16x32x32s3k8	PASS	76	76	19200	3	3
16x32x32s4k1	PASS	78	78	25600	3	3
16x32x32s4k16	PASS	78	78	25600	3	3
16x32x32s4k2	PASS	78	78	25600	3	3
16x32x32s4k4	PASS	78	78	25600	3	3
16x32x32s4k8	PASS	78	78	25600	3	3
16x32x32s5k1	PASS	80	80	32000	3	3
16x32x32s5k16	PASS	80	80	32000	3	3
16x32x32s5k2	PASS	80	80	32000	3	3
16x32x32s5k4	PASS	80	80	32000	3	3
16x32x32s5k8	PASS	80	80	32000	3	3
16x64x16s2k1	PASS	88	90	10496	2	2
16x64x16s2k16	PASS	88	90	10496	2	2
16x64x16s2k2	PASS	88	90	10496	2	2
16x64x16s2k4	PASS	88	90	10496	2	2
16x64x16s2k8	PASS	88	90	10496	2	2
16x64x16s3k1	PASS	89	88	15744	2	2
16x64x16s3k16	PASS	89	88	15744	2	2
16x64x16s3k2	PASS	89	88	15744	2	2
16x64x16s3k4	PASS	89	88	15744	2	2
16x64x16s3k8	PASS	89	88	15744	2	2
16x64x16s4k1	PASS	95	95	20992	2	2
16x64x16s4k16	PASS	95	95	20992	2	2
16x64x16s4k2	PASS	95	95	20992	2	2
16x64x16s4k4	PASS	95	95	20992	2	2
16x64x16s4k8	PASS	95	95	20992	2	2
16x64x16s5k1	PASS	95	95	26240	2	2
16x64x16s5k16	PASS	95	95	26240	2	2
16x64x16s5k2	PASS	95	95	26240	2	2
16x64x16s5k4	PASS	95	95	26240	2	2
16x64x16s5k8	PASS	95	95	26240	2	2
16x64x32s2k1	PASS	128	122	20992	2	2
16x64x32s2k16	PASS	128	122	20992	2	2
16x64x32s2k2	PASS	128	122	20992	2	2
16x64x32s2k4	PASS	128	122	20992	2	2
16x64x32s2k8	PASS	128	122	20992	2	2
16x64x32s3k1	PASS	124	120	31488	2	2
16x64x32s3k16	PASS	124	120	31488	2	2
16x64x32s3k2	PASS	124	120	31488	2	2
16x64x32s3k4	PASS	124	120	31488	2	2
16x64x32s3k8	PASS	124	120	31488	2	2
16x64x32s4k1	PASS	122	118	41984	2	2
16x64x32s4k16	PASS	122	118	41984	2	2
16x64x32s4k2	PASS	122	118	41984	2	2
16x64x32s4k4	PASS	122	118	41984	2	2
16x64x32s4k8	PASS	122	118	41984	2	2
16x64x32s5k1	PASS	120	117	52480	1	1
16x64x32s5k16	PASS	120	117	52480	1	1
16x64x32s5k2	PASS	120	117	52480	1	1
16x64x32s5k4	PASS	120	117	52480	1	1
16x64x32s5k8	PASS	120	117	52480	1	1
256x128x16s2k1	PASS	239	255	49408	1	1
256x128x16s2k16	PASS	239	255	49408	1	1
256x128x16s2k2	PASS	239	255	49408	1	1
256x128x16s2k4	PASS	239	255	49408	1	1
256x128x16s2k8	PASS	239	255	49408	1	1
256x128x16s3k1	PASS	245	246	74112	1	1
256x128x16s3k16	PASS	245	246	74112	1	1
256x128x16s3k2	PASS	245	246	74112	1	1
256x128x16s3k4	PASS	245	246	74112	1	1
256x128x16s3k8	PASS	245	246	74112	1	1
256x128x16s4k1	PASS	245	242	98816	1	1
256x128x16s4k16	PASS	245	242	98816	1	1
256x128x16s4k2	PASS	245	242	98816	1	1
256x128x16s4k4	PASS	245	242	98816	1	1
256x128x16s4k8	PASS	245	242	98816	1	1
256x128x32s2k1	PASS	168	168	98816	1	1
256x128x32s2k16	PASS	168	168	98816	1	1
256x128x32s2k2	PASS	168	168	98816	1	1
256x128x32s2k4	PASS	168	168	98816	1	1
256x128x32s2k8	PASS	168	168	98816	1	1
256x128x8s2k1	PASS	226	255	24704	1	1
256x128x8s2k16	PASS	226	255	24704	1	1
256x128x8s2k2	PASS	226	255	24704	1	1
256x128x8s2k4	PASS	226	255	24704	1	1
256x128x8s2k8	PASS	226	255	24704	1	1
256x128x8s3k1	PASS	227	255	37056	1	1
256x128x8s3k16	PASS	227	255	37056	1	1
256x128x8s3k2	PASS	227	255	37056	1	1
256x128x8s3k4	PASS	227	255	37056	1	1
256x128x8s3k8	PASS	227	255	37056	1	1
256x128x8s4k1	PASS	227	255	49408	1	1
256x128x8s4k16	PASS	227	255	49408	1	1
256x128x8s4k2	PASS	227	255	49408	1	1
256x128x8s4k4	PASS	227	255	49408	1	1
256x128x8s4k8	PASS	227	255	49408	1	1
256x128x8s5k1	PASS	227	229	61760	1	1
256x128x8s5k16	PASS	227	229	61760	1	1
256x128x8s5k2	PASS	227	229	61760	1	1
256x128x8s5k4	PASS	227	229	61760	1	1
256x128x8s5k8	PASS	227	229	61760	1	1
256x16x16s2k1	PASS	116	118	35072	2	2
256x16x16s2k16	PASS	116	118	35072	2	2
256x16x16s2k2	PASS	116	118	35072	2	2
256x16x16s2k4	PASS	116	118	35072	2	2
256x16x16s2k8	PASS	116	118	35072	2	2
256x16x16s3k1	PASS	114	118	52608	1	1
256x16x16s3k16	PASS	114	118	52608	1	1
256x16x16s3k2	PASS	114	118	52608	1	1
256x16x16s3k4	PASS	114	118	52608	1	1
256x16x16s3k8	PASS	114	118	52608	1	1
256x16x16s4k1	PASS	128	128	70144	1	1
256x16x16s4k16	PASS	128	128	70144	1	1
256x16x16s4k2	PASS	128	128	70144	1	1
256x16x16s4k4	PASS	128	128	70144	1	1
256x16x16s4k8	PASS	128	128	70144	1	1
256x16x16s5k1	PASS	128	128	87680	1	1
256x16x16s5k16	PASS	128	128	87680	1	1
256x16x16s5k2	PASS	128	128	87680	1	1
256x16x16s5k4	PASS	128	128	87680	1	1
256x16x16s5k8	PASS	128	128	87680	1	1
256x16x32s2k1	PASS	238	242	70144	1	1
256x16x32s2k16	PASS	238	242	70144	1	1
256x16x32s2k2	PASS	238	242	70144	1	1
256x16x32s2k4	PASS	238	242	70144	1	1
256x16x32s2k8	PASS	238	242	70144	1	1
256x256x16s2k1	PASS	182	168	65792	1	1
256x256x16s2k16	PASS	182	168	65792	1	1
256x256x16s2k2	PASS	182	168	65792	1	1
256x256x16s2k4	PASS	182	168	65792	1	1
256x256x16s2k8	PASS	182	168	65792	1	1
256x256x16s3k1	PASS	162	158	98688	1	1
256x256x16s3k16	PASS	162	158	98688	1	1
256x256x16s3k2	PASS	162	158	98688	1	1
256x256x16s3k4	PASS	162	158	98688	1	1
256x256x16s3k8	PASS	162	158	98688	1	1
256x256x8s2k1	PASS	255	255	32896	1	1
256x256x8s2k16	PASS	255	255	32896	1	1
256x256x8s2k2	PASS	255	255	32896	1	1
256x256x8s2k4	PASS	255	255	32896	1	1
256x256x8s2k8	PASS	255	255	32896	1	1
256x256x8s3k1	PASS	255	255	49344	1	1
256x256x8s3k16	PASS	255	255	49344	1	1
256x256x8s3k2	PASS	255	255	49344	1	1
256x256x8s3k4	PASS	255	255	49344	1	1
256x256x8s3k8	PASS	255	255	49344	1	1
256x256x8s4k1	PASS	255	255	65792	1	1
256x256x8s4k16	PASS	255	255	65792	1	1
256x256x8s4k2	PASS	255	255	65792	1	1
256x256x8s4k4	PASS	255	255	65792	1	1
256x256x8s4k8	PASS	255	255	65792	1	1
256x256x8s5k1	PASS	255	255	82240	1	1
256x256x8s5k16	PASS	255	255	82240	1	1
256x256x8s5k2	PASS	255	255	82240	1	1
256x256x8s5k4	PASS	255	255	82240	1	1
256x256x8s5k8	PASS	255	255	82240	1	1
256x32x16s2k1	PASS	134	136	37120	1	1
256x32x16s2k16	PASS	134	136	37120	1	1
256x32x16s2k2	PASS	134	136	37120	1	1
256x32x16s2k4	PASS	134	136	37120	1	1
256x32x16s2k8	PASS	134	136	37120	1	1
256x32x16s3k1	PASS	128	128	55680	1	1
256x32x16s3k16	PASS	128	128	55680	1	1
256x32x16s3k2	PASS	128	128	55680	1	1
256x32x16s3k4	PASS	128	128	55680	1	1
256x32x16s3k8	PASS	128	128	55680	1	1
256x32x16s4k1	PASS	128	140	74240	1	1
256x32x16s4k16	PASS	128	140	74240	1	1
256x32x16s4k2	PASS	128	140	74240	1	1
256x32x16s4k4	PASS	128	140	74240	1	1
256x32x16s4k8	PASS	128	140	74240	1	1
256x32x16s5k1	PASS	128	140	92800	1	1
256x32x16s5k16	PASS	128	140	92800	1	1
256x32x16s5k2	PASS	128	140	92800	1	1
256x32x16s5k4	PASS	128	140	92800	1	1
256x32x16s5k8	PASS	128	140	92800	1	1
256x32x32s2k1	PASS	240	242	74240	1	1
256x32x32s2k16	PASS	240	242	74240	1	1
256x32x32s2k2	PASS	240	242	74240	1	1
256x32x32s2k4	PASS	240	242	74240	1	1
256x32x32s2k8	PASS	240	242	74240	1	1
256x32x8s2k1	PASS	122	116	18560	2	2
256x32x8s2k16	PASS	122	116	18560	2	2
256x32x8s2k2	PASS	122	116	18560	2	2
256x32x8s2k4	PASS	122	116	18560	2	2
256x32x8s2k8	PASS	122	116	18560	2	2
256x32x8s3k1	PASS	122	120	27840	2	2
256x32x8s3k16	PASS	122	120	27840	2	2
256x32x8s3k2	PASS	122	120	27840	2	2
256x32x8s3k4	PASS	122	120	27840	2	2
256x32x8s3k8	PASS	122	120	27840	2	2
256x32x8s4k1	PASS	122	120	37120	2	2
256x32x8s4k16	PASS	122	120	37120	2	2
256x32x8s4k2	PASS	122	120	37120	2	2
256x32x8s4k4	PASS	122	120	37120	2	2
256x32x8s4k8	PASS	122	120	37120	2	2
256x32x8s5k1	PASS	122	117	46400	2	2
256x32x8s5k16	PASS	122	117	46400	2	2
256x32x8s5k2	PASS	122	117	46400	2	2
256x32x8s5k4	PASS	122	117	46400	2	2
256x32x8s5k8	PASS	122	117	46400	2	2
256x64x16s2k1	PASS	168	168	41216	1	1
256x64x16s2k16	PASS	168	168	41216	1	1
256x64x16s2k2	PASS	168	168	41216	1	1
256x64x16s2k4	PASS	168	168	41216	1	1
256x64x16s2k8	PASS	168	168	41216	1	1
256x64x16s3k1	PASS	168	168	61824	1	1
256x64x16s3k16	PASS	168	168	61824	1	1
256x64x16s3k2	PASS	168	168	61824	1	1
256x64x16s3k4	PASS	168	168	61824	1	1
256x64x16s3k8	PASS	168	168	61824	1	1
256x64x16s4k1	PASS	168	168	82432	1	1
256x64x16s4k16	PASS	168	168	82432	1	1
256x64x16s4k2	PASS	168	168	82432	1	1
256x64x16s4k4	PASS	168	168	82432	1	1
256x64x16s4k8	PASS	168	168	82432	1	1
256x64x32s2k1	PASS	124	126	82432	1	1
256x64x32s2k16	PASS	124	126	82432	1	1
256x64x32s2k2	PASS	124	126	82432	1	1
256x64x32s2k4	PASS	124	126	82432	1	1
256x64x32s2k8	PASS	124	126	82432	1	1
256x64x8s2k1	PASS	168	168	20608	1	1
256x64x8s2k16	PASS	168	168	20608	1	1
256x64x8s2k2	PASS	168	168	20608	1	1
256x64x8s2k4	PASS	168	168	20608	1	1
256x64x8s2k8	PASS	168	168	20608	1	1
256x64x8s3k1	PASS	168	168	30912	1	1
256x64x8s3k16	PASS	168	168	30912	1	1
256x64x8s3k2	PASS	168	168	30912	1	1
256x64x8s3k4	PASS	168	168	30912	1	1
256x64x8s3k8	PASS	168	168	30912	1	1
256x64x8s4k1	PASS	168	168	41216	1	1
