key	placement	status	simulated	makespan_ns	floor_ns
32x16x16s2k1_k2_r2	balanced	ok	0	273622	273622
32x16x32s2k1_k2_r2	balanced	ok	0	273622	273622
32x16x16s2k1_k4_r2	balanced	ok	0	273622	273622
32x16x32s2k1_k4_r2	balanced	ok	0	273622	273622
32x32x16s2k1_k1_r1	eft	ok	0	295646.4	295646.4
32x32x16s2k1_k2_r1	eft	ok	0	295646.4	295646.4
32x32x16s2k1_k4_r1	eft	ok	0	295646.4	295646.4
32x32x16s2k1_k1_r5	balanced	ok	0	297641.6	297641.6
32x32x16s2k1_k2_r5	balanced	ok	0	297641.6	297641.6
32x32x16s2k1_k4_r5	balanced	ok	0	297641.6	297641.6
32x32x16s2k1_k1_r2	balanced	ok	0	321097.6	321097.6
32x32x16s2k1_k2_r2	balanced	ok	0	321097.6	321097.6
32x32x16s2k1_k4_r2	balanced	ok	0	321097.6	321097.6
32x32x16s2k1_k1_r1	legacy_grid_stride	ok	0	323459.2	323459.2
32x32x16s2k1_k2_r1	legacy_grid_stride	ok	0	323459.2	323459.2
32x32x16s2k1_k4_r1	legacy_grid_stride	ok	0	323459.2	323459.2
32x16x16s2k1_k1_r1	chain	ok	0	331466	331466
32x16x32s2k1_k1_r1	chain	ok	0	331466	331466
32x16x16s2k1_k2_r1	chain	ok	0	331466	331466
32x16x32s2k1_k2_r1	chain	ok	0	331466	331466
32x16x16s2k1_k4_r1	chain	ok	0	331466	331466
32x16x32s2k1_k4_r1	chain	ok	0	331466	331466
32x16x16s2k1_k1_r1	legacy_grid_stride	ok	0	337672	337672
32x16x32s2k1_k1_r1	legacy_grid_stride	ok	0	337672	337672
32x16x16s2k1_k2_r1	legacy_grid_stride	ok	0	337672	337672
32x16x32s2k1_k2_r1	legacy_grid_stride	ok	0	337672	337672
32x16x16s2k1_k4_r1	legacy_grid_stride	ok	0	337672	337672
32x16x32s2k1_k4_r1	legacy_grid_stride	ok	0	337672	337672
32x16x16s2k1_k1_r1	balanced	ok	0	338882	338882
32x16x32s2k1_k1_r1	balanced	ok	0	338882	338882
32x16x16s2k1_k2_r1	balanced	ok	0	338882	338882
32x16x32s2k1_k2_r1	balanced	ok	0	338882	338882
32x16x16s2k1_k4_r1	balanced	ok	0	338882	338882
32x16x32s2k1_k4_r1	balanced	ok	0	338882	338882
128x128x16s3k1_k1_r2	wavefront	ok	0	348808	348808
128x128x16s3k1_k2_r2	wavefront	ok	0	348808	348808
128x128x16s3k1_k4_r2	wavefront	ok	0	348808	348808
32x32x16s2k1_k1_r1	balanced	ok	0	349528	349528
32x32x16s2k1_k2_r1	balanced	ok	0	349528	349528
32x32x16s2k1_k4_r1	balanced	ok	0	349528	349528
128x128x16s3k1_k1_r2	eft	ok	0	350344	350344
128x128x16s3k1_k2_r2	eft	ok	0	350344	350344
128x128x16s3k1_k4_r2	eft	ok	0	350344	350344
128x128x16s3k1_k1_r1	eft	ok	0	437520	437520
128x128x16s3k1_k2_r1	eft	ok	0	437520	437520
128x128x16s3k1_k4_r1	eft	ok	0	437520	437520
128x128x16s3k1_k1_r2	legacy_grid_stride	ok	0	486920	486920
128x128x16s3k1_k2_r2	legacy_grid_stride	ok	0	486920	486920
128x128x16s3k1_k4_r2	legacy_grid_stride	ok	0	486920	486920
128x128x16s3k1_k1_r1	legacy_grid_stride	ok	0	574096	574096
128x128x16s3k1_k2_r1	legacy_grid_stride	ok	0	574096	574096
128x128x16s3k1_k4_r1	legacy_grid_stride	ok	0	574096	574096
128x128x16s3k1_k1_r1	balanced	ok	0	737424	737424
128x128x16s3k1_k2_r1	balanced	ok	0	737424	737424
128x128x16s3k1_k4_r1	balanced	ok	0	737424	737424
