candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
32x16x32s2split4kappa4	1004174.6473785378	1652013.3865720828	177769.89162783849	1652013.3865720828
32x16x32s2split8kappa1	1266324.4333585117	1263339.7779628627	231609.80762762119	1266324.4333585117
32x16x32s2split8kappa2	1266324.4333585117	1263339.7779628627	231609.80762762119	1266324.4333585117
32x16x32s2split8kappa4	1266324.4333585117	1263339.7779628627	231609.80762762119	1266324.4333585117
32x16x32s2split16kappa1	1790624.0053085161	1114317.5371786521	335896.74323091476	1790624.0053085161
32x16x32s2split16kappa2	1790624.0053085161	1114317.5371786521	335896.74323091476	1790624.0053085161
32x16x32s2split16kappa4	1790624.0053085161	1114317.5371786521	335896.74323091476	1790624.0053085161
32x16x32s2split32kappa1	2839223.1492846454	1130435.5438273572	549102.81059005426	2839223.1492846454
32x16x32s2split32kappa2	2839223.1492846454	1130435.5438273572	549102.81059005426	2839223.1492846454
32x16x32s2split32kappa4	2839223.1492846454	1130435.5438273572	549102.81059005426	2839223.1492846454
32x16x64s2split1kappa1	648019.53479992133	3384038.3420852339	126977.7922741177	3384038.3420852339
32x16x64s2split1kappa2	648019.53479992133	3384038.3420852339	126977.7922741177	3384038.3420852339
32x16x64s2split1kappa4	648019.53479992133	3384038.3420852339	126977.7922741177	3384038.3420852339
32x16x64s2split2kappa1	741747.18429932848	2149966.3303350694	131906.32812876708	2149966.3303350694
32x16x64s2split2kappa2	741747.18429932848	2149966.3303350694	131906.32812876708	2149966.3303350694
32x16x64s2split2kappa4	741747.18429932848	2149966.3303350694	131906.32812876708	2149966.3303350694
32x16x64s2split4kappa1	872822.07729381521	1489658.9680841491	153752.96581601354	1489658.9680841491
32x16x64s2split4kappa2	872822.07729381521	1489658.9680841491	153752.96581601354	1489658.9680841491
32x16x64s2split4kappa4	872822.07729381521	1489658.9680841491	153752.96581601354	1489658.9680841491
32x16x64s2split8kappa1	1134971.8632744572	1182162.5687188958	207592.88181579628	1182162.5687188958
32x16x64s2split8kappa2	1134971.8632744572	1182162.5687188958	207592.88181579628	1182162.5687188958
32x16x64s2split8kappa4	1134971.8632744572	1182162.5687188958	207592.88181579628	1182162.5687188958
32x16x64s2split16kappa1	1659271.4352248081	1073728.9325566667	312119.9866772081	1659271.4352248081
32x16x64s2split16kappa2	1659271.4352248081	1073728.9325566667	312119.9866772081	1659271.4352248081
32x16x64s2split16kappa4	1659271.4352248081	1073728.9325566667	312119.9866772081	1659271.4352248081
32x16x64s2split32kappa1	2707870.5791997327	1110141.2415163664	525326.05403634766	2707870.5791997327
32x16x64s2split32kappa2	2707870.5791997327	1110141.2415163664	525326.05403634766	2707870.5791997327
32x16x64s2split32kappa4	2707870.5791997327	1110141.2415163664	525326.05403634766	2707870.5791997327
64x128x16s2split1kappa1	327842.08369486022	11754291.50802386	196334.49799375614	11754291.50802386
64x128x16s2split1kappa2	327842.08369486022	11754291.50802386	196334.49799375614	11754291.50802386
64x128x16s2split1kappa4	327842.08369486022	11754291.50802386	196334.49799375614	11754291.50802386
64x128x16s2split2kappa1	353003.13920642232	6623154.4837146783	100417.97017017455	6623154.4837146783
64x128x16s2split2kappa2	353003.13920642232	6623154.4837146783	100417.97017017455	6623154.4837146783
