cell	config	selected	l2_ms	l2_ms_lo	l2_ms_hi	wait_ms	wait_ms_lo	wait_ms_hi	notify_ms	notify_ms_lo	notify_ms_hi	barrier_ms	barrier_ms_lo	barrier_ms_hi	fence_ms	fence_ms_lo	fence_ms_hi	protocol_ms	protocol_ms_lo	protocol_ms_hi	protocol_barrier	protocol_barrier_lo	protocol_barrier_hi	l2_l1	l2_l1_lo	l2_l1_hi	relative_selected	relative_selected_lo	relative_selected_hi	relative_legacy	relative_legacy_lo	relative_legacy_hi	nonpositive_barrier_pairs	zero_barrier_pairs	cp_ns	queue_lb_ns	floor_ns	measured_floor	trace
gqa2_s128	eft	eft	0.304128	0.303808	0.305152	0.072512	0.07187199999999999	0.07340800000000003	0.009024000000000004	0.008191999999999977	0.009279999999999983	0.08396800000000004	0.08374400000000004	0.08473600000000003	0.012288000000000021	0.01200000000000001	0.012479999999999991	0.081312	0.080896	0.08191999999999997	0.9664634146341459	0.9601215343714394	0.9764387794515259	0.825	0.8240451388888889	0.8254847645429363	1.0	1.0	1.0	0.8065557065217391	0.8032345013477088	0.8108108108108107	0	0	265216	224256.0	265216	1.1467181467181466	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s128/trace/eft__full/dump
gqa2_s128	rotate	eft	0.278528	0.277504	0.280416	0.10924800000000001	0.10716800000000001	0.109568	0.006272	0.0061440000000000106	0.007103999999999999	0.08595200000000003	0.08463999999999999	0.08617600000000003	0.010079999999999978	0.009216000000000002	0.01107199999999997	0.11552000000000001	0.11296	0.11660800000000002	1.3430059523809528	1.3330857779428142	1.3556547619047623	0.7548209366391184	0.7525969529085873	0.7573253193087904	0.9169918784938298	0.9134190014746154	0.9220328282828283	0.7391304347826086	0.7342905405405405	0.7432328579967552	0	0	232448	151552.0	232448	1.198237885462555	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s128/trace/rotate__full/dump
gqa2_s128	wavefront	eft	0.283648	0.282624	0.285696	0.06863999999999998	0.06832000000000002	0.069632	0.014175999999999994	0.013312000000000018	0.014336000000000015	0.084032	0.08377600000000002	0.08499200000000001	0.010240000000000027	0.009440000000000004	0.012127999999999972	0.08284800000000003	0.08185600000000001	0.08396799999999999	0.9866717440974866	0.9748475609756104	1.0003812428516965	0.769909972299169	0.7687273979679697	0.7727272727272728	0.9341633255961174	0.93	0.9368021908573836	0.7520435967302452	0.7506775067750677	0.7540540540540541	0	0	234496	210944.0	234496	1.2096069868995634	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s128/trace/wavefront__full/dump
gqa2_s128	chain	eft	0.355072	0.354368	0.355552	0.18208	0.181376	0.183008	0.0049919999999999964	0.0040959999999999885	0.005120000000000013	0.08400000000000002	0.08390400000000003	0.08499200000000001	0.013312000000000046	0.012672000000000017	0.014015999999999973	0.186464	0.18560000000000001	0.18739199999999998	2.215619047619047	2.2064807837226827	2.2355435620663062	0.9631944444444444	0.9618691913489099	0.9640883977900553	1.167851170568562	1.165719696969697	1.1703406813627255	0.9402173913043479	0.9371621621621622	0.9446525885558583	0	0	260096	136192.0	260096	1.3651574803149606	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s128/trace/chain__full/dump
gqa2_s128	legacy_grid_stride	eft	0.377856	0.375808	0.37888	0.09216000000000002	0.091136	0.09318400000000004	0.016255999999999993	0.015359999999999985	0.01711999999999997	0.08476800000000001	0.08396800000000004	0.08499200000000001	0.016671999999999965	0.014591999999999994	0.018240000000000034	0.10758400000000001	0.10543999999999998	0.10963200000000001	1.2804969879518076	1.265813253012048	1.305142857142857	1.0226918413303308	1.0194444444444444	1.0248618784530388	1.2398399663086965	1.2333333333333334	1.2449664429530203	1.0	1.0	1.0	0	0	247808	266240.0	266240.0	1.4192307692307693	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s128/trace/legacy_grid_stride__full/dump
gqa2_s128	balanced	eft	0.81888	0.81808	0.82016	0.488384	0.487392	0.48863999999999996	0.01638400000000001	0.01536000000000004	0.017344000000000026	0.08476800000000001	0.08422400000000002	0.08499200000000001	0.03491199999999994	0.03478400000000004	0.037760000000000016	0.503808	0.50288	0.505792	5.947865508122403	5.907721280602633	5.981003039513676	2.214618973561431	2.208695652173913	2.2191840277777777	2.68932955618508	2.686045286993154	2.693069306930693	2.170731707317073	2.159029649595687	2.1789850136239783	0	0	279552	313344.0	313344.0	2.613357843137255	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s128/trace/balanced__full/dump
gqa2_s128	protocol_off	eft	0.318144	0.317376	0.31968	0.070656	0.06905600000000003	0.07094399999999998	0.021792000000000006	0.02124799999999999	0.022432000000000007	0.079872	0.07923200000000002	0.08089600000000002	0.010240000000000027	0.00947199999999998	0.011456000000000022	0.09241599999999997	0.09155200000000002	0.09302399999999997	1.1544	1.1284332688588004	1.1667334669338676	0.8725946753360865	0.8696030640668524	0.8743016759776537	1.0464232960540198	1.0437710437710437	1.0479098662735602	0.8436607892527287	0.8392137096774195	0.846782345013477	0	0	243712	206848.0	243712	1.3054096638655461	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s128/trace/protocol_off__full/dump
gqa2_s128	c1	eft	0.304128	0.303104	0.305152	0.07372799999999996	0.07270400000000002	0.07404800000000003	0.007487999999999995	0.0070079999999999865	0.008192000000000005	0.08454400000000001	0.083808	0.10838400000000004	0.012288000000000021	0.011967999999999979	0.012608000000000008	0.080896	0.07987199999999997	0.08191999999999997	0.9495101733232855	0.9158878504672895	0.9624288425047438	0.824317362184441	0.8227146814404432	0.8252762430939227	0.999790268456376	0.9973645009739888	1.0009478672985783	0.8048780487804877	0.8021680216802167	0.8070652173913043	0	0	266240	222208.0	266240	1.1423076923076922	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s128/trace/c1__full/dump
gqa2_s128	c2	eft	0.303104	0.279552	0.304128	0.072576	0.060416000000000025	0.0736	0.008351999999999998	0.008095999999999992	0.009440000000000004	0.08288000000000001	0.07577599999999995	0.084704	0.011456000000000022	0.010367999999999988	0.012288000000000021	0.07993599999999998	0.07475200000000001	0.08192000000000002	0.9755067567567575	0.9690215338118626	0.9865092748735248	0.8251231527093598	0.8248523792983675	0.82664647993944	0.9970538720538721	0.9171560402684564	1.0007370748657471	0.8027027027027027	0.7527973833706318	0.8075880758807586	0	0	268288	225280.0	268288	1.1297709923664123	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s128/trace/c2__full/dump
gqa2_s128	c3	eft	0.304128	0.303104	0.304128	0.073024	0.07270399999999999	0.07369600000000001	0.008191999999999977	0.00745599999999999	0.008256000000000013	0.08393600000000001	0.08294400000000002	0.08499200000000001	0.012288000000000021	0.012288000000000021	0.013247999999999982	0.081184	0.08003199999999999	0.08192000000000002	0.9715712639262385	0.963316774933129	0.9876543209876544	0.825	0.8242742699629597	0.8258436639118458	1.0	0.9995807127882599	1.000842459983151	0.8060141509433961	0.8003706199460916	0.8092643051771118	0	0	264192	221184.0	264192	1.1511627906976745	/root/TileMega/docs/experiments/REBASE/raw/gqa2_s128/trace/c3__full/dump
