slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
51	0	32	16	64	1	6144	1789794416969884672	1098695718879	1789794416969885696	1098695721045	1789794416969885696	1098695722357	1789794416969889792	1098695731654	1789794416969889792	1098695732612	1789794416969889792	1098695732903	1098695722383	1098695731560	1697	8	0	0
52	2	0	0	0	1	0	1789794416969892864	1098695738197	1789794416969892864	1098695739451	1789794416969892864	1098695739451	1789794416969893888	1098695740992	1789794416969893888	1098695741022	1789794416969893888	1098695741151	0	0	0	0	0	0
53	3	0	0	0	1	0	1789794416969894912	1098695744770	1789794416969895936	1098695745863	1789794416969895936	1098695745863	1789794416969895936	1098695746822	1789794416969895936	1098695746852	1789794416969895936	1098695746982	0	0	0	0	0	0
54	5	0	0	0	1	0	1789794416969897984	1098695752370	1789794416969899008	1098695754016	1789794416969899008	1098695754016	1789794416969902080	1098695762198	1789794416969902080	1098695762228	1789794416969902080	1098695762357	0	0	0	0	52	2
55	0	32	16	64	1	6144	1789794416969904128	1098695767643	1789794416969905152	1098695769812	1789794416969905152	1098695770831	1789794416969909248	1098695780250	1789794416969910272	1098695782141	1789794416969910272	1098695782271	1098695770961	1098695780156	1515	8	0	0
56	1	0	0	0	1	0	1789794416969912320	1098695787575	1789794416969912320	1098695788910	1789794416969912320	1098695788910	1789794416969913344	1098695791808	1789794416969914368	1098695793538	1789794416969914368	1098695793669	0	0	0	0	89	8
57	0	32	16	64	1	6144	1789794416969916416	1098695798304	1789794416969917440	1098695800482	1789794416969917440	1098695801499	1789794416969921536	1098695811137	1789794416969921536	1098695812350	1789794416969921536	1098695812481	1098695801629	1098695811043	2153	8	0	0
58	4	0	0	0	1	0	1789794416969923584	1098695818023	1789794416969924608	1098695819318	1789794416969924608	1098695819318	1789794416969926656	1098695825742	1789794416969927680	1098695825772	1789794416969927680	1098695825901	0	0	0	0	0	0
59	0	32	16	64	1	6144	1789794416969928704	1098695830848	1789794416969929728	1098695833024	1789794416969930752	1098695834088	1789794416969937920	1098695852307	1789794416969937920	1098695853939	1789794416969937920	1098695854069	1098695834150	1098695852213	3113	16	0	0
60	1	0	0	0	1	0	1789794416969940992	1098695859388	1789794416969940992	1098695860641	1789794416969940992	1098695860641	1789794416969942016	1098695863529	1789794416969943040	1098695865327	1789794416969943040	1098695865457	0	0	0	0	89	8
