stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
102	serving.s102	rmsnorm	1	2492977.7544800527	2497972.7417769469	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
103	serving.s103	swiglu_gemm	128	2499208.1535779471	2584139.0962304608	225839.131008	532697.23737600003	9975135.8555537462	137488.43558399999
104	serving.s104	gemm	64	2585374.5080314609	2631267.1060621208	112919.565504	213461.75289599999	2542000.7377701998	68744.217791999996
105	serving.s105	rmsnorm	1	2632502.5178631209	2637497.5051600151	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
106	serving.s106	gemm	96	2638732.9169610152	2659081.6457088306	169379.348256	269037.86419200001	1411944.4206542373	103116.326688
107	serving.s107	fused_attention	72	2660317.0575098307	2669943.558659777	127034.5111919998	181414.20321280009	99261.596536193043	77337.245016000015
108	serving.s108	attention_merge	8	2671178.9704607772	2676839.8376752189	14114.945688	14690.269152000001	7888.6956515312195	8593.0272239999995
109	serving.s109	gemm	64	2678075.2494762191	2694178.7763611344	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
110	serving.s110	rmsnorm	1	2695414.1881621345	2700409.1754590287	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
111	serving.s111	swiglu_gemm	128	2701644.5872600288	2786575.5299125426	225839.131008	532697.23737600003	9975135.8555537462	137488.43558399999
112	serving.s112	gemm	64	2787810.9417135427	2833703.5397442025	112919.565504	213461.75289599999	2542000.7377701998	68744.217791999996
113	serving.s113	rmsnorm	1	2834938.9515452026	2839933.9388420968	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
114	serving.s114	gemm	96	2841169.350643097	2861518.0793909123	169379.348256	269037.86419200001	1411944.4206542373	103116.326688
115	serving.s115	fused_attention	72	2862753.4911919124	2872379.9923418588	127034.5111919998	181414.20321280009	99261.596536193043	77337.245016000015
116	serving.s116	attention_merge	8	2873615.4041428589	2879276.2713573007	14114.945688	14690.269152000001	7888.6956515312195	8593.0272239999995
117	serving.s117	gemm	64	2880511.6831583008	2896615.2100432161	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
118	serving.s118	rmsnorm	1	2897850.6218442162	2902845.6091411104	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
119	serving.s119	swiglu_gemm	128	2904081.0209421106	2989011.9635946243	225839.131008	532697.23737600003	9975135.8555537462	137488.43558399999
120	serving.s120	gemm	64	2990247.3753956244	3036139.9734262843	112919.565504	213461.75289599999	2542000.7377701998	68744.217791999996
121	serving.s121	rmsnorm	1	3037375.3852272844	3042370.3725241786	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
122	serving.s122	gemm	96	3043605.7843251787	3063954.5130729941	169379.348256	269037.86419200001	1411944.4206542373	103116.326688
123	serving.s123	fused_attention	72	3065189.9248739942	3074816.4260239406	127034.5111919998	181414.20321280009	99261.596536193043	77337.245016000015
124	serving.s124	attention_merge	8	3076051.8378249407	3081712.7050393824	14114.945688	14690.269152000001	7888.6956515312195	8593.0272239999995
125	serving.s125	gemm	64	3082948.1168403826	3099051.6437252979	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
126	serving.s126	rmsnorm	1	3100287.055526298	3105282.0428231922	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
127	serving.s127	swiglu_gemm	128	3106517.4546241923	3191448.3972767061	225839.131008	532697.23737600003	9975135.8555537462	137488.43558399999
128	serving.s128	gemm	64	3192683.8090777062	3238576.407108366	112919.565504	213461.75289599999	2542000.7377701998	68744.217791999996
129	serving.s129	rmsnorm	1	3239811.8189093661	3244806.8062062603	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
130	serving.s130	argmax_gemm	501	3246042.2180072605	3911222.2932650833	225839.131008	4713780.6337800007	77952902.665670007	538138.32990300003
131	serving.s131	argmax_reduce	1	3912457.7050660835	3915270.7890222226	1764.368211	539.51077940000005	509.20496573904529	0
