round	execution_index	model	chunk	seq	hash	status	l05_ms	l1_ms	l2_ms	grid	block	ctas_per_sm	task_smem	reg	occupancy_smem	static_smem	task_refs	waits	resource_json	schedule_json	log_sha256
0	10	gqa2	4	128	03f67925c71ded7e	PASS	0.659456	0.669888	0.804864	256	128	2	24576	212	24576	0	14656	25252	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""16872"", ""max_span"": ""13"", ""max_worker_span"": ""255"", ""max_worker_task_refs"": ""74"", ""normalization_dummies_lb"": ""15884"", ""raw_polls"": ""42124"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""410368"", ""task_refs"": ""14656"", ""variant_stages"": ""30"", ""wait_bytes"": ""202016"", ""waiting_tasks"": ""9368"", ""waits"": ""25252"", ""workers"": ""256""}"	61e28891bca86fd3cc201893f966f94ff5f43d6315848e1650f78d7fc2bb484e
0	11	gqa2	8	128	03f67925c71ded7e	PASS	0.698368	0.710848	0.940032	256	128	2	24576	212	24576	0	22848	37492	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""29160"", ""max_span"": ""13"", ""max_worker_span"": ""255"", ""max_worker_task_refs"": ""106"", ""normalization_dummies_lb"": ""24044"", ""raw_polls"": ""66652"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""639744"", ""task_refs"": ""22848"", ""variant_stages"": ""30"", ""wait_bytes"": ""299936"", ""waiting_tasks"": ""13448"", ""waits"": ""37492"", ""workers"": ""256""}"	cc9a4f6febc00ec1b9c052c38bfd745985bcc4ac975b9f99deaa0975d9c843ab
0	12	mha4	1	128	64b3d2b8927afe03	PASS	1.117184	1.133568	1.265664	256	128	2	24576	212	24576	0	13456	27044	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""19392"", ""max_span"": ""10"", ""max_worker_span"": ""255"", ""max_worker_task_refs"": ""84"", ""normalization_dummies_lb"": ""19924"", ""raw_polls"": ""46436"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""376768"", ""task_refs"": ""13456"", ""variant_stages"": ""60"", ""wait_bytes"": ""216352"", ""waiting_tasks"": ""7120"", ""waits"": ""27044"", ""workers"": ""256""}"	f9be4ba459a730a6a070435de150a30cc3438ddb053eb20f93dc6e5c37e8767f
0	13	mha4	2	128	637705c4086a3a68	PASS	1.259552	1.281856	1.486848	256	128	2	24576	212	24576	0	23696	39284	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""25536"", ""max_span"": ""13"", ""max_worker_span"": ""255"", ""max_worker_task_refs"": ""124"", ""normalization_dummies_lb"": ""23988"", ""raw_polls"": ""64820"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""663488"", ""task_refs"": ""23696"", ""variant_stages"": ""60"", ""wait_bytes"": ""314272"", ""waiting_tasks"": ""15296"", ""waits"": ""39284"", ""workers"": ""256""}"	353926b4d5a1e9f1ace592a85e570aadc75ad00f2a7cf51b63da527039349406
0	14	mha4	4	128	637705c4086a3a68	PASS	1.321984	1.345728	1.628160	256	128	2	24576	212	24576	0	31888	51524	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""37824"", ""max_span"": ""13"", ""max_worker_span"": ""255"", ""max_worker_task_refs"": ""156"", ""normalization_dummies_lb"": ""32148"", ""raw_polls"": ""89348"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""892864"", ""task_refs"": ""31888"", ""variant_stages"": ""60"", ""wait_bytes"": ""412192"", ""waiting_tasks"": ""19376"", ""waits"": ""51524"", ""workers"": ""256""}"	f9251f259e794120e4901f7e9535d17cc9d7c4fce699c08825008cc3869167fd
0	15	mha4	8	128	637705c4086a3a68	PASS	1.268736	1.281824	1.718272	256	128	2	24576	212	24576	0	48272	76004	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""62400"", ""max_span"": ""13"", ""max_worker_span"": ""255"", ""max_worker_task_refs"": ""220"", ""normalization_dummies_lb"": ""48468"", ""raw_polls"": ""138404"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""1351616"", ""task_refs"": ""48272"", ""variant_stages"": ""60"", ""wait_bytes"": ""608032"", ""waiting_tasks"": ""27536"", ""waits"": ""76004"", ""workers"": ""256""}"	34803a5e1d330d9129990d8a715dde87e346d61444147ffaebb3e5aca2a05f5d
1	0	gqa2	2	4	4c544373c0add101	PASS	0.373760	0.375680	0.423872	256	128	2	24576	212	24576	0	392	806	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""80"", ""max_span"": ""13"", ""max_worker_span"": ""31"", ""max_worker_task_refs"": ""36"", ""normalization_dummies_lb"": ""444"", ""raw_polls"": ""886"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""10976"", ""task_refs"": ""392"", ""variant_stages"": ""30"", ""wait_bytes"": ""6448"", ""waiting_tasks"": ""362"", ""waits"": ""806"", ""workers"": ""256""}"	6d4b4619f46c58778597a6f644d0a8fd883fb8500aae37c5c46e7105e19dbd25
1	1	gqa2	4	4	4c544373c0add101	PASS	0.372736	0.371712	0.420640	256	128	2	24576	212	24576	0	520	1190	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""80"", ""max_span"": ""13"", ""max_worker_span"": ""48"", ""max_worker_task_refs"": ""36"", ""normalization_dummies_lb"": ""700"", ""raw_polls"": ""1270"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""14560"", ""task_refs"": ""520"", ""variant_stages"": ""30"", ""wait_bytes"": ""9520"", ""waiting_tasks"": ""490"", ""waits"": ""1190"", ""workers"": ""256""}"	4f572f74f29e2317965359f7b09eee134b80c8e018ab0dac3f4b7c8ad192310e
1	2	gqa2	8	4	4c544373c0add101	PASS	0.373760	0.372480	0.422720	256	128	2	24576	212	24576	0	776	1958	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""80"", ""max_span"": ""13"", ""max_worker_span"": ""112"", ""max_worker_task_refs"": ""36"", ""normalization_dummies_lb"": ""1212"", ""raw_polls"": ""2038"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""21728"", ""task_refs"": ""776"", ""variant_stages"": ""30"", ""wait_bytes"": ""15664"", ""waiting_tasks"": ""746"", ""waits"": ""1958"", ""workers"": ""256""}"	6e750bb6a7b38c72c27bc129827130a0945544501bedec71982d19facf4e9a63
1	3	mha4	1	4	9f91d43bd2f0b35f	PASS	0.714496	0.713568	0.800800	256	128	2	24576	212	24576	0	560	1140	"{""block"": ""128"", ""ctas_per_sm"": ""2"", ""gemm_union"": ""24576"", ""grid"": ""256"", ""l05_reg"": ""208"", ""l1_ctas"": ""2"", ""l1_reg"": ""210"", ""l2_ctas"": ""2"", ""min_blocks"": ""1"", ""num_sms"": ""128"", ""occupancy_smem"": ""24576"", ""reg"": ""212"", ""regs_per_sm"": ""65536"", ""resident_formula"": ""ctas_per_sm*num_sms"", ""smem"": ""24576"", ""smem_per_sm"": ""102400"", ""static_smem"": ""0"", ""task_smem"": ""24576"", ""threads_per_sm"": ""1536"", ""variant_count"": ""1"", ""warp_size"": ""32""}"	"{""generated_max_span"": ""10"", ""global_fanin"": ""1"", ""i3_current"": ""pass"", ""i3_overresident"": ""reject"", ""lifted_polls"": ""208"", ""max_span"": ""10"", ""max_worker_span"": ""31"", ""max_worker_task_refs"": ""60"", ""normalization_dummies_lb"": ""648"", ""raw_polls"": ""1348"", ""resident_limit"": ""256"", ""task_ref_bytes"": ""15680"", ""task_refs"": ""560"", ""variant_stages"": ""60"", ""wait_bytes"": ""9120"", ""waiting_tasks"": ""492"", ""waits"": ""1140"", ""workers"": ""256""}"	7a419bf127288462b67ef350fa2cb0098733fbc4b9dc3f8d464bbbf283e754f1
