slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
100	7	374	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1143	0	703	221	30	191	2067
101	6	118	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1072	0	902	217	30	187	2191
102	6	374	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1107	0	678	219	30	189	2004
103	8	118	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1753	0	59005	432	30	402	61190
104	8	374	5	0	0	0	0	1	0	2048	0	15360	1024	0	1024	18432	2828	0	44852	217	30	187	47897
105	10	114	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1216	0	2272	2479	2291	188	5967
106	15	94	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1234	0	2286	1927	1739	188	5447
107	20	210	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1266	0	1495	215	30	185	2976
108	20	466	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1247	0	1757	211	30	181	3215
109	19	210	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1291	0	1743	211	30	181	3245
110	19	466	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1257	0	1480	215	30	185	2952
111	22	210	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1318	0	932	216	30	186	2466
112	22	466	3	0	0	0	0	1	0	0	0	0	0	0	0	0	661	0	1054	223	32	191	1938
113	21	210	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	861	0	874	218	30	188	1953
114	21	466	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1084	0	717	219	30	189	2020
115	23	210	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	1743	0	48229	215	30	185	50187
116	23	466	5	0	0	0	0	1	0	0	0	17408	0	0	0	17408	1656	0	47308	450	30	420	49414
117	28	62	4	0	0	0	0	1	0	1024	0	2048	0	0	0	3072	1387	0	6144	218	30	188	7749
118	35	46	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1264	0	1725	216	30	186	3205
119	35	302	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1242	0	1744	216	30	186	3202
