wait_index	producer	group
825	8	12
826	8	13
827	8	15
828	9	0
829	9	1
830	9	3
831	9	4
832	9	5
833	9	6
834	9	7
835	9	8
836	9	9
837	9	10
838	9	11
839	9	12
840	9	13
841	9	14
842	9	15
843	9	16
844	9	17
845	9	18
846	9	19
847	9	20
848	9	21
849	9	22
850	9	23
851	9	24
852	9	25
853	9	26
854	9	27
855	9	28
856	9	29
857	9	30
858	9	31
859	10	0
860	10	1
861	10	3
862	11	0
863	11	1
864	11	3
865	11	4
866	11	5
867	11	6
868	11	7
869	11	8
870	11	9
871	11	10
872	11	11
873	11	12
874	11	13
875	11	14
876	11	15
877	11	16
878	11	17
879	11	18
880	11	19
881	11	20
882	11	21
883	11	22
884	11	23
885	11	24
886	11	25
887	11	26
888	11	27
889	11	28
890	11	29
891	11	30
892	11	31
893	11	32
894	11	33
895	11	34
896	11	35
897	11	36
898	11	37
899	11	38
900	11	39
901	11	40
902	11	41
903	11	42
904	11	43
905	11	44
906	11	45
907	11	46
908	11	47
909	11	48
910	11	49
911	11	50
912	11	51
913	11	52
914	11	53
915	11	54
916	11	55
917	11	56
918	11	57
919	11	58
920	11	59
921	11	60
922	11	61
923	11	62
924	11	63
925	12	0
926	12	1
927	12	2
928	12	3
929	12	4
930	12	5
931	12	6
932	12	7
933	12	8
934	12	9
935	12	10
936	12	11
937	12	12
938	12	13
939	12	14
940	12	15
941	12	16
942	12	17
943	12	18
944	12	19
945	12	20
946	12	21
947	12	22
948	12	23
949	12	24
950	12	25
951	12	26
952	12	27
953	12	28
954	12	29
955	12	30
956	12	31
957	12	32
958	12	33
959	12	34
960	12	35
961	12	36
962	12	37
963	12	38
964	12	39
965	12	40
966	12	41
967	12	42
968	12	43
969	12	44
970	12	45
971	12	46
972	12	47
973	12	48
974	12	49
975	12	50
976	12	51
977	12	52
978	12	53
979	12	54
980	12	55
981	12	56
982	12	57
983	12	58
984	12	59
985	12	60
986	12	61
987	12	62
988	12	63
989	13	0
990	13	1
991	13	3
992	14	0
993	14	1
994	14	3
995	14	4
996	14	5
997	14	6
998	14	7
999	14	8
1000	14	9
1001	14	10
1002	14	11
1003	14	12
1004	14	13
1005	14	14
1006	14	15
1007	14	16
1008	14	17
1009	14	18
1010	14	19
1011	14	20
1012	14	21
1013	14	22
1014	14	23
1015	14	24
1016	14	25
1017	14	26
1018	14	27
1019	14	28
1020	14	29
1021	14	30
1022	14	31
1023	15	0
1024	15	1
1025	15	3
1026	17	4294967295
1027	19	14
1028	21	4294967295
1029	22	4294967295
1030	23	0
1031	23	1
1032	23	2
1033	23	3
1034	23	4
1035	23	5
1036	23	6
1037	23	7
1038	23	8
1039	23	9
1040	23	10
1041	23	11
1042	23	12
1043	23	13
1044	23	15
1045	24	0
1046	24	1
1047	24	3
1048	24	4
1049	24	5
1050	24	6
1051	24	7
1052	24	8
1053	24	9
1054	24	10
1055	24	11
1056	24	12
1057	24	13
1058	24	14
1059	24	15
1060	24	16
1061	24	17
1062	24	18
1063	24	19
1064	24	20
1065	24	21
1066	24	22
1067	24	23
1068	24	24
1069	24	25
1070	24	26
1071	24	27
1072	24	28
1073	24	29
1074	24	30
1075	24	31
1076	25	0
1077	25	1
1078	25	3
1079	26	0
1080	26	1
1081	26	3
1082	26	4
1083	26	5
1084	26	6
1085	26	7
1086	26	8
1087	26	9
1088	26	10
1089	26	11
1090	26	12
1091	26	13
1092	26	14
1093	26	15
1094	26	16
1095	26	17
1096	26	18
1097	26	19
1098	26	20
1099	26	21
1100	26	22
1101	26	23
1102	26	24
1103	26	25
1104	26	26
1105	26	27
1106	26	28
1107	26	29
1108	26	30
1109	26	31
1110	26	32
1111	26	33
1112	26	34
1113	26	35
1114	26	36
1115	26	37
1116	26	38
1117	26	39
1118	26	40
1119	26	41
1120	26	42
1121	26	43
1122	26	44
1123	26	45
1124	26	46
1125	26	47
1126	26	48
1127	26	49
1128	26	50
1129	26	51
1130	26	52
1131	26	53
1132	26	54
1133	26	55
1134	26	56
1135	26	57
1136	26	58
1137	26	59
1138	26	60
1139	26	61
1140	26	62
1141	26	63
1142	27	0
1143	27	1
1144	27	2
1145	27	3
1146	27	4
1147	27	5
1148	27	6
1149	27	7
1150	27	8
1151	27	9
1152	27	10
1153	27	11
1154	27	12
1155	27	13
1156	27	14
1157	27	15
1158	27	16
1159	27	17
1160	27	18
1161	27	19
1162	27	20
1163	27	21
1164	27	22
1165	27	23
1166	27	24
1167	27	25
1168	27	26
1169	27	27
1170	27	28
1171	27	29
1172	27	30
1173	27	31
1174	27	32
1175	27	33
1176	27	34
1177	27	35
1178	27	36
1179	27	37
1180	27	38
1181	27	39
1182	27	40
1183	27	41
1184	27	42
1185	27	43
1186	27	44
1187	27	45
1188	27	46
1189	27	47
1190	27	48
1191	27	49
1192	27	50
1193	27	51
1194	27	52
1195	27	53
1196	27	54
1197	27	55
1198	27	56
1199	27	57
1200	27	58
1201	27	59
1202	27	60
1203	27	61
1204	27	62
1205	27	63
1206	28	0
1207	28	1
1208	28	3
1209	0	0
1210	0	1
1211	0	2
1212	2	4294967295
1213	4	15
1214	6	4294967295
1215	7	4294967295
1216	8	0
1217	8	1
1218	8	2
1219	8	3
1220	8	4
1221	8	5
1222	8	6
1223	8	7
1224	8	8
1225	8	9
1226	8	10
1227	8	11
1228	8	12
1229	8	13
1230	8	14
1231	9	0
1232	9	1
1233	9	2
1234	9	4
1235	9	5
1236	9	6
1237	9	7
1238	9	8
1239	9	9
1240	9	10
1241	9	11
1242	9	12
1243	9	13
1244	9	14
1245	9	15
1246	9	16
1247	9	17
1248	9	18
1249	9	19
1250	9	20
1251	9	21
1252	9	22
1253	9	23
1254	9	24
1255	9	25
1256	9	26
1257	9	27
1258	9	28
1259	9	29
1260	9	30
1261	9	31
1262	10	0
1263	10	1
1264	10	2
1265	11	0
1266	11	1
1267	11	2
1268	11	4
1269	11	5
1270	11	6
1271	11	7
1272	11	8
1273	11	9
1274	11	10
1275	11	11
1276	11	12
1277	11	13
1278	11	14
1279	11	15
1280	11	16
1281	11	17
1282	11	18
1283	11	19
1284	11	20
1285	11	21
1286	11	22
1287	11	23
1288	11	24
1289	11	25
1290	11	26
1291	11	27
1292	11	28
1293	11	29
1294	11	30
1295	11	31
1296	11	32
1297	11	33
1298	11	34
1299	11	35
1300	11	36
1301	11	37
1302	11	38
1303	11	39
1304	11	40
1305	11	41
1306	11	42
1307	11	43
1308	11	44
1309	11	45
1310	11	46
1311	11	47
1312	11	48
1313	11	49
1314	11	50
1315	11	51
1316	11	52
1317	11	53
1318	11	54
1319	11	55
1320	11	56
1321	11	57
1322	11	58
1323	11	59
1324	11	60
1325	11	61
1326	11	62
1327	11	63
1328	12	0
1329	12	1
1330	12	2
1331	12	3
1332	12	4
1333	12	5
1334	12	6
1335	12	7
1336	12	8
1337	12	9
1338	12	10
1339	12	11
1340	12	12
1341	12	13
1342	12	14
1343	12	15
1344	12	16
1345	12	17
1346	12	18
1347	12	19
1348	12	20
1349	12	21
1350	12	22
1351	12	23
1352	12	24
1353	12	25
1354	12	26
1355	12	27
1356	12	28
