stage	task	category	start_ns	end_ns	wait_ns	fixed_ns	mainloop_ns	publication_ns	hop_ns
29	15	swiglu	328533.83910496108	335080.86723252275	1764.3682109690692	1246.9930311956209	2461.5384827262023	1074.1284026707756	1235.411801
30	127	gemm	336316.27903352276	375492.37367284228	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
31	15	rmsnorm	376727.78547384229	382388.32392071857	1764.3682109690692	2206.6572125548446	615.38462068157969	1074.1284026707756	1235.411801
32	63	gemm	383623.73572171858	402182.41983302601	1764.3682109690692	2310.1196870980839	13410.067810569482	1074.1284026707756	1235.411801
35	511	rope	407310.78651624284	409931.12211401615	1764.3682109690692	839.94174564063587	16.025641163578257	0	1235.411801
39	511	attention	414212.04513949051	418544.25021668832	1764.3682109690692	1237.298204940636	256.41025861731032	1074.1284026707756	0
40	127	gemm	419779.66201768833	433317.75561774161	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
41	15	rmsnorm	434553.16741874162	440213.7058656179	1764.3682109690692	2206.6572125548446	615.38462068157969	1074.1284026707756	1235.411801
43	127	gemm	441449.11766661791	515278.78283294605	1764.3682109690692	2623.165781311634	68368.002771376632	1074.1284026707756	1235.411801
44	15	swiglu	516514.19463394606	523061.22276150773	1764.3682109690692	1246.9930311956209	2461.5384827262023	1074.1284026707756	1235.411801
45	127	gemm	524296.63456250774	563472.72920182708	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
46	15	rmsnorm	564708.14100282709	570368.6794497032	1764.3682109690692	2206.6572125548446	615.38462068152148	1074.1284026707756	1235.411801
47	63	gemm	571604.0912507032	590162.77536201046	1764.3682109690692	2310.1196870980839	13410.067810569424	1074.1284026707756	1235.411801
50	511	rope	595291.14204522688	597911.47764300008	1764.3682109690692	839.94174564063587	16.025641163578257	0	1235.411801
54	511	attention	602192.40066847426	606524.60574567202	1764.3682109690692	1237.298204940636	256.41025861736853	1074.1284026707756	0
55	127	gemm	607760.01754667202	621298.11114672513	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
56	15	rmsnorm	622533.52294772514	628194.06139460125	1764.3682109690692	2206.6572125548446	615.38462068152148	1074.1284026707756	1235.411801
58	127	gemm	629429.47319560125	703259.13836192933	1764.3682109690692	2623.165781311634	68368.002771376632	1074.1284026707756	1235.411801
59	15	swiglu	704494.55016292934	711041.5782904909	1764.3682109690692	1246.9930311956209	2461.5384827262023	1074.1284026707756	1235.411801
60	127	gemm	712276.99009149091	751453.08473081025	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
61	15	rmsnorm	752688.49653181026	758349.03497868637	1764.3682109690692	2206.6572125548446	615.38462068152148	1074.1284026707756	1235.411801
62	63	gemm	759584.44677968638	778143.13089099363	1764.3682109690692	2310.1196870980839	13410.067810569424	1074.1284026707756	1235.411801
65	511	rope	783271.49757421005	785891.83317198325	1764.3682109690692	839.94174564063587	16.025641163578257	0	1235.411801
69	511	attention	790172.75619745743	794504.96127465519	1764.3682109690692	1237.298204940636	256.41025861736853	1074.1284026707756	0
70	127	gemm	795740.3730756552	809278.4666757083	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
71	15	rmsnorm	810513.87847670831	816174.41692358442	1764.3682109690692	2206.6572125548446	615.38462068152148	1074.1284026707756	1235.411801
73	127	gemm	817409.82872458443	891239.4938909125	1764.3682109690692	2623.165781311634	68368.002771376632	1074.1284026707756	1235.411801
74	15	swiglu	892474.90569191251	899021.93381947407	1764.3682109690692	1246.9930311956209	2461.5384827262023	1074.1284026707756	1235.411801
75	127	gemm	900257.34562047408	939433.44025979342	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
76	15	rmsnorm	940668.85206079343	946329.39050766954	1764.3682109690692	2206.6572125548446	615.38462068152148	1074.1284026707756	1235.411801
77	63	gemm	947564.80230866955	966123.48641997681	1764.3682109690692	2310.1196870980839	13410.067810569424	1074.1284026707756	1235.411801
80	511	rope	971251.85310319322	973872.18870096642	1764.3682109690692	839.94174564063587	16.025641163578257	0	1235.411801
84	511	attention	978153.11172644061	982485.31680363836	1764.3682109690692	1237.298204940636	256.41025861736853	1074.1284026707756	0
85	127	gemm	983720.72860463837	997258.82220469147	1764.3682109690692	2153.5966399913086	8546.000346422079	1074.1284026707756	1235.411801
86	15	rmsnorm	998494.23400569148	1004154.7724525676	1764.3682109690692	2206.6572125548446	615.38462068152148	1074.1284026707756	1235.411801
88	127	gemm	1005390.1842535676	1079219.8494198958	1764.3682109690692	2623.165781311634	68368.002771376632	1074.1284026707756	1235.411801
89	15	swiglu	1080455.2612208957	1087002.2893484575	1764.3682109690692	1246.9930311956209	2461.5384827263188	1074.1284026707756	1235.411801
90	127	gemm	1088237.7011494574	1127413.7957887768	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
91	15	rmsnorm	1128649.2075897767	1134309.7460366532	1764.3682109690692	2206.6572125548446	615.3846206816379	1074.1284026707756	1235.411801
92	63	gemm	1135545.1578376531	1154103.8419489604	1764.3682109690692	2310.1196870980839	13410.067810569424	1074.1284026707756	1235.411801
95	511	rope	1159232.2086321772	1161852.5442299505	1764.3682109690692	839.94174564063587	16.025641163578257	0	1235.411801
99	511	attention	1166133.4672554249	1170465.6723326228	1764.3682109690692	1237.298204940636	256.41025861725211	1074.1284026707756	0
