workers=512
worker	slot	stage	logical_task
16	30	29	16
16	31	30	144
16	32	31	16
16	33	33	16
16	34	34	16
16	35	34	528
16	36	35	16
16	37	36	16
16	38	37	16
16	39	37	528
16	40	37	1040
16	41	39	16
16	42	39	528
16	43	39	1040
16	44	38	16
16	45	41	16
16	46	42	16
16	47	42	528
16	48	42	1040
16	49	43	16
17	0	0	17
17	1	1	17
17	2	1	529
17	3	3	273
17	4	2	17
17	5	7	17
17	6	8	145
17	7	9	17
17	8	11	17
17	9	12	17
17	10	12	529
17	11	13	17
17	12	14	17
17	13	15	17
17	14	15	529
17	15	15	1041
17	16	17	17
17	17	17	529
17	18	17	1041
17	19	16	17
17	20	19	17
17	21	20	17
17	22	20	529
17	23	20	1041
17	24	21	17
17	25	22	17
17	26	23	17
17	27	23	529
17	28	25	273
17	29	24	17
17	30	29	17
17	31	30	145
17	32	31	17
17	33	33	17
17	34	34	17
17	35	34	529
17	36	35	17
17	37	36	17
17	38	37	17
17	39	37	529
17	40	37	1041
17	41	39	17
17	42	39	529
17	43	39	1041
17	44	38	17
17	45	41	17
17	46	42	17
17	47	42	529
17	48	42	1041
17	49	43	17
18	0	0	18
18	1	1	18
18	2	1	530
18	3	3	274
18	4	2	18
18	5	7	18
18	6	8	146
18	7	9	18
18	8	11	18
18	9	12	18
18	10	12	530
18	11	13	18
18	12	14	18
18	13	15	18
18	14	15	530
18	15	15	1042
18	16	17	18
18	17	17	530
18	18	17	1042
18	19	16	18
18	20	19	18
18	21	20	18
18	22	20	530
18	23	20	1042
18	24	21	18
18	25	22	18
18	26	23	18
18	27	23	530
18	28	25	274
18	29	24	18
18	30	29	18
18	31	30	146
18	32	31	18
18	33	33	18
18	34	34	18
18	35	34	530
18	36	35	18
18	37	36	18
18	38	37	18
18	39	37	530
18	40	37	1042
18	41	39	18
18	42	39	530
18	43	39	1042
18	44	38	18
18	45	41	18
18	46	42	18
18	47	42	530
18	48	42	1042
18	49	43	18
19	0	0	19
19	1	1	19
19	2	1	531
19	3	3	275
19	4	2	19
19	5	7	19
19	6	8	147
19	7	9	19
19	8	11	19
19	9	12	19
19	10	12	531
19	11	13	19
19	12	14	19
19	13	15	19
19	14	15	531
19	15	15	1043
19	16	17	19
19	17	17	531
19	18	17	1043
19	19	16	19
19	20	19	19
19	21	20	19
19	22	20	531
19	23	20	1043
19	24	21	19
19	25	22	19
19	26	23	19
19	27	23	531
19	28	25	275
19	29	24	19
19	30	29	19
19	31	30	147
19	32	31	19
19	33	33	19
19	34	34	19
19	35	34	531
19	36	35	19
19	37	36	19
19	38	37	19
19	39	37	531
19	40	37	1043
19	41	39	19
19	42	39	531
19	43	39	1043
19	44	38	19
19	45	41	19
19	46	42	19
19	47	42	531
19	48	42	1043
19	49	43	19
20	0	0	20
20	1	1	20
20	2	1	532
20	3	3	276
20	4	2	20
20	5	7	20
20	6	8	148
20	7	9	20
20	8	11	20
20	9	12	20
20	10	12	532
20	11	13	20
20	12	14	20
20	13	15	20
20	14	15	532
20	15	15	1044
20	16	17	20
20	17	17	532
20	18	17	1044
20	19	16	20
20	20	19	20
20	21	20	20
20	22	20	532
20	23	20	1044
20	24	21	20
20	25	22	20
20	26	23	20
20	27	23	532
20	28	25	276
20	29	24	20
20	30	29	20
20	31	30	148
20	32	31	20
20	33	33	20
20	34	34	20
20	35	34	532
20	36	35	20
20	37	36	20
20	38	37	20
20	39	37	532
20	40	37	1044
20	41	39	20
20	42	39	532
20	43	39	1044
20	44	38	20
20	45	41	20
20	46	42	20
20	47	42	532
20	48	42	1044
20	49	43	20
21	0	0	21
21	1	1	21
21	2	1	533
21	3	3	277
21	4	2	21
21	5	7	21
21	6	8	149
21	7	9	21
21	8	11	21
21	9	12	21
21	10	12	533
21	11	13	21
21	12	14	21
21	13	15	21
21	14	15	533
21	15	15	1045
21	16	17	21
21	17	17	533
21	18	17	1045
21	19	16	21
21	20	19	21
21	21	20	21
21	22	20	533
21	23	20	1045
21	24	21	21
21	25	22	21
21	26	23	21
21	27	23	533
21	28	25	277
21	29	24	21
21	30	29	21
21	31	30	149
21	32	31	21
21	33	33	21
21	34	34	21
21	35	34	533
21	36	35	21
21	37	36	21
21	38	37	21
21	39	37	533
21	40	37	1045
21	41	39	21
21	42	39	533
21	43	39	1045
21	44	38	21
21	45	41	21
21	46	42	21
21	47	42	533
21	48	42	1045
21	49	43	21
22	0	0	22
22	1	1	22
22	2	1	534
22	3	3	278
22	4	2	22
22	5	7	22
22	6	8	150
22	7	9	22
22	8	11	22
22	9	12	22
22	10	12	534
22	11	13	22
22	12	14	22
22	13	15	22
22	14	15	534
22	15	15	1046
22	16	17	22
22	17	17	534
22	18	17	1046
22	19	16	22
22	20	19	22
22	21	20	22
22	22	20	534
22	23	20	1046
22	24	21	22
22	25	22	22
22	26	23	22
22	27	23	534
22	28	25	278
22	29	24	22
22	30	29	22
22	31	30	150
22	32	31	22
22	33	33	22
22	34	34	22
22	35	34	534
22	36	35	22
22	37	36	22
22	38	37	22
22	39	37	534
22	40	37	1046
22	41	39	22
22	42	39	534
22	43	39	1046
22	44	38	22
22	45	41	22
22	46	42	22
22	47	42	534
22	48	42	1046
22	49	43	22
23	0	0	23
23	1	1	23
23	2	1	535
23	3	3	279
23	4	2	23
23	5	7	23
23	6	8	151
23	7	9	23
23	8	11	23
23	9	12	23
23	10	12	535
23	11	13	23
23	12	14	23
23	13	15	23
23	14	15	535
23	15	15	1047
23	16	17	23
23	17	17	535
23	18	17	1047
23	19	16	23
23	20	19	23
23	21	20	23
23	22	20	535
23	23	20	1047
23	24	21	23
23	25	22	23
23	26	23	23
23	27	23	535
23	28	25	279
23	29	24	23
23	30	29	23
23	31	30	151
23	32	31	23
23	33	33	23
23	34	34	23
23	35	34	535
23	36	35	23
23	37	36	23
23	38	37	23
23	39	37	535
23	40	37	1047
23	41	39	23
23	42	39	535
23	43	39	1047
23	44	38	23
23	45	41	23
23	46	42	23
23	47	42	535
23	48	42	1047
23	49	43	23
24	0	0	24
24	1	1	24
24	2	1	536
24	3	3	280
24	4	2	24
24	5	7	24
24	6	8	152
24	7	9	24
24	8	11	24
24	9	12	24
24	10	12	536
24	11	13	24
24	12	14	24
24	13	15	24
24	14	15	536
24	15	15	1048
24	16	17	24
24	17	17	536
24	18	17	1048
24	19	16	24
24	20	19	24
24	21	20	24
24	22	20	536
24	23	20	1048
24	24	21	24
24	25	22	24
24	26	23	24
24	27	23	536
24	28	25	280
24	29	24	24
24	30	29	24
24	31	30	152
24	32	31	24
24	33	33	24
24	34	34	24
24	35	34	536
24	36	35	24
24	37	36	24
24	38	37	24
24	39	37	536
24	40	37	1048
24	41	39	24
24	42	39	536
24	43	39	1048
24	44	38	24
24	45	41	24
24	46	42	24
24	47	42	536
24	48	42	1048
24	49	43	24
25	0	0	25
25	1	1	25
25	2	1	537
25	3	3	281
25	4	2	25
25	5	7	25
25	6	8	153
25	7	9	25
25	8	11	25
25	9	12	25
25	10	12	537
25	11	13	25
25	12	14	25
25	13	15	25
25	14	15	537
25	15	15	1049
25	16	17	25
25	17	17	537
25	18	17	1049
25	19	16	25
25	20	19	25
25	21	20	25
25	22	20	537
25	23	20	1049
25	24	21	25
25	25	22	25
25	26	23	25
25	27	23	537
25	28	25	281
25	29	24	25
25	30	29	25
25	31	30	153
25	32	31	25
25	33	33	25
25	34	34	25
25	35	34	537
25	36	35	25
25	37	36	25
25	38	37	25
25	39	37	537
25	40	37	1049
25	41	39	25
25	42	39	537
25	43	39	1049
25	44	38	25
25	45	41	25
25	46	42	25
25	47	42	537
25	48	42	1049
25	49	43	25
26	0	0	26
26	1	1	26
26	2	1	538
26	3	3	282
26	4	2	26
26	5	7	26
26	6	8	154
26	7	9	26
26	8	11	26
26	9	12	26
26	10	12	538
26	11	13	26
26	12	14	26
26	13	15	26
26	14	15	538
26	15	15	1050
26	16	17	26
26	17	17	538
26	18	17	1050
26	19	16	26
26	20	19	26
26	21	20	26
26	22	20	538
26	23	20	1050
26	24	21	26
26	25	22	26
26	26	23	26
26	27	23	538
26	28	25	282
26	29	24	26
26	30	29	26
26	31	30	154
26	32	31	26
26	33	33	26
26	34	34	26
26	35	34	538
26	36	35	26
26	37	36	26
26	38	37	26
26	39	37	538
26	40	37	1050
26	41	39	26
26	42	39	538
26	43	39	1050
26	44	38	26
26	45	41	26
26	46	42	26
26	47	42	538
26	48	42	1050
26	49	43	26
27	0	0	27
27	1	1	27
27	2	1	539
27	3	3	283
27	4	2	27
27	5	7	27
27	6	8	155
27	7	9	27
27	8	11	27
27	9	12	27
27	10	12	539
27	11	13	27
27	12	14	27
27	13	15	27
27	14	15	539
27	15	15	1051
27	16	17	27
27	17	17	539
27	18	17	1051
27	19	16	27
27	20	19	27
27	21	20	27
27	22	20	539
27	23	20	1051
27	24	21	27
27	25	22	27
27	26	23	27
27	27	23	539
27	28	25	283
27	29	24	27
27	30	29	27
27	31	30	155
27	32	31	27
27	33	33	27
27	34	34	27
27	35	34	539
27	36	35	27
27	37	36	27
27	38	37	27
27	39	37	539
27	40	37	1051
27	41	39	27
27	42	39	539
27	43	39	1051
27	44	38	27
27	45	41	27
27	46	42	27
27	47	42	539
27	48	42	1051
27	49	43	27
28	0	0	28
28	1	1	28
28	2	1	540
28	3	3	284
28	4	2	28
28	5	7	28
28	6	8	156
28	7	9	28
28	8	11	28
28	9	12	28
28	10	12	540
28	11	13	28
28	12	14	28
28	13	15	28
28	14	15	540
28	15	15	1052
28	16	17	28
28	17	17	540
28	18	17	1052
28	19	16	28
28	20	19	28
28	21	20	28
28	22	20	540
28	23	20	1052
28	24	21	28
28	25	22	28
28	26	23	28
28	27	23	540
28	28	25	284
28	29	24	28
28	30	29	28
28	31	30	156
28	32	31	28
28	33	33	28
28	34	34	28
28	35	34	540
28	36	35	28
28	37	36	28
28	38	37	28
28	39	37	540
28	40	37	1052
28	41	39	28
28	42	39	540
28	43	39	1052
28	44	38	28
28	45	41	28
28	46	42	28
28	47	42	540
28	48	42	1052
28	49	43	28
29	0	0	29
29	1	1	29
29	2	1	541
29	3	3	285
29	4	2	29
29	5	7	29
29	6	8	157
29	7	9	29
29	8	11	29
29	9	12	29
29	10	12	541
29	11	13	29
29	12	14	29
29	13	15	29
29	14	15	541
29	15	15	1053
29	16	17	29
29	17	17	541
29	18	17	1053
29	19	16	29
29	20	19	29
29	21	20	29
29	22	20	541
29	23	20	1053
29	24	21	29
29	25	22	29
29	26	23	29
29	27	23	541
29	28	25	285
29	29	24	29
29	30	29	29
29	31	30	157
29	32	31	29
29	33	33	29
29	34	34	29
29	35	34	541
29	36	35	29
29	37	36	29
29	38	37	29
29	39	37	541
29	40	37	1053
29	41	39	29
29	42	39	541
29	43	39	1053
29	44	38	29
29	45	41	29
29	46	42	29
29	47	42	541
29	48	42	1053
29	49	43	29
30	0	0	30
30	1	1	30
30	2	1	542
30	3	3	286
30	4	2	30
30	5	7	30
30	6	8	158
30	7	9	30
30	8	11	30
30	9	12	30
30	10	12	542
30	11	13	30
30	12	14	30
30	13	15	30
30	14	15	542
30	15	15	1054
30	16	17	30
30	17	17	542
30	18	17	1054
30	19	16	30
30	20	19	30
30	21	20	30
