model	tile_m	tile_n	producer	consumer	producer_gemm	consumer_gemm	waits	consumers	volume	interface_ns
gqa2	32	32	l1.s24.proj	l1.s24.add	10	10	16	16	1024	0
gqa2	32	32	l0.s14.add	l1.s24.add	6	10	16	16	1024	0
gqa2	32	32	l1.s24.add	l1.s25.norm	10	-1	64	4	32	0.75120192954291032
gqa2	32	32	l1.s25.norm	l1.s26.proj	-1	11	128	32	512	19.230769396298506
gqa2	32	32	l1.s25.norm	l1.s27.proj	-1	12	128	32	512	19.230769396298506
gqa2	32	32	l1.s26.proj	l1.s28.act	11	-1	4096	4096	1	0
gqa2	32	32	l1.s27.proj	l1.s28.act	12	-1	4096	4096	1	0
gqa2	32	32	l1.s28.act	l1.s29.proj	-1	13	65536	16	1	25.634765845651817
gqa2	32	32	l1.s29.proj	l1.s29.add	13	13	16	16	1024	0
gqa2	32	32	l1.s24.add	l1.s29.add	10	13	16	16	1024	0
gqa2	32	128	l0.s00.norm	l0.s01.proj	-1	0	16	4	512	2.4038461745373132
gqa2	32	128	l0.s00.norm	l0.s02.proj	-1	1	8	2	512	1.2019230872686566
gqa2	32	128	l0.s00.norm	l0.s03.proj	-1	2	8	2	512	1.2019230872686566
gqa2	32	128	l0.s01.proj	l0.s04.rope	0	-1	2048	2048	1	0
gqa2	32	128	l0.s02.proj	l0.s05.rope	1	-1	1024	1024	1	0
gqa2	32	128	l0.s05.rope	l0.s06.append	-1	-1	1024	1024	1	0
gqa2	32	128	l0.s03.proj	l0.s07.append	2	-1	1024	1024	1	0
gqa2	32	128	l0.s04.rope	l0.s08.attn	-1	-1	2048	16	1	0.79502204209958016
gqa2	32	128	l0.s06.append	l0.s08.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	32	128	l0.s07.append	l0.s08.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	32	128	l0.s08.attn	l0.s09.proj	-1	3	64	4	128	3.0048077181716413
gqa2	32	128	l0.s09.proj	l0.s09.add	3	3	4	4	4096	0
gqa2	32	128	l0.s09.add	l0.s10.norm	3	-1	16	4	128	0.6009615436343283
gqa2	32	128	l0.s10.norm	l0.s11.proj	-1	4	32	8	512	4.8076923490746264
gqa2	32	128	l0.s10.norm	l0.s12.proj	-1	5	32	8	512	4.8076923490746264
gqa2	32	128	l0.s11.proj	l0.s13.act	4	-1	4096	4096	1	0
gqa2	32	128	l0.s12.proj	l0.s13.act	5	-1	4096	4096	1	0
gqa2	32	128	l0.s13.act	l0.s14.proj	-1	6	16384	4	1	6.4086914614129542
gqa2	32	128	l0.s14.proj	l0.s14.add	6	6	4	4	4096	0
gqa2	32	128	l0.s09.add	l0.s14.add	3	6	4	4	4096	0
gqa2	32	128	l0.s14.add	l1.s15.norm	6	-1	16	4	128	0.6009615436343283
gqa2	32	128	l1.s15.norm	l1.s16.proj	-1	7	16	4	512	2.4038461745373132
gqa2	32	128	l1.s15.norm	l1.s17.proj	-1	8	8	2	512	1.2019230872686566
gqa2	32	128	l1.s15.norm	l1.s18.proj	-1	9	8	2	512	1.2019230872686566
gqa2	32	128	l1.s16.proj	l1.s19.rope	7	-1	2048	2048	1	0
gqa2	32	128	l1.s17.proj	l1.s20.rope	8	-1	1024	1024	1	0
gqa2	32	128	l1.s20.rope	l1.s21.append	-1	-1	1024	1024	1	0
gqa2	32	128	l1.s18.proj	l1.s22.append	9	-1	1024	1024	1	0
gqa2	32	128	l1.s19.rope	l1.s23.attn	-1	-1	2048	16	1	0.79502204209958016
gqa2	32	128	l1.s21.append	l1.s23.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	32	128	l1.s22.append	l1.s23.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	32	128	l1.s23.attn	l1.s24.proj	-1	10	64	4	128	3.0048077181716413
gqa2	32	128	l1.s24.proj	l1.s24.add	10	10	4	4	4096	0
gqa2	32	128	l0.s14.add	l1.s24.add	6	10	4	4	4096	0
gqa2	32	128	l1.s24.add	l1.s25.norm	10	-1	16	4	128	0.6009615436343283
gqa2	32	128	l1.s25.norm	l1.s26.proj	-1	11	32	8	512	4.8076923490746264
gqa2	32	128	l1.s25.norm	l1.s27.proj	-1	12	32	8	512	4.8076923490746264
gqa2	32	128	l1.s26.proj	l1.s28.act	11	-1	4096	4096	1	0
gqa2	32	128	l1.s27.proj	l1.s28.act	12	-1	4096	4096	1	0
gqa2	32	128	l1.s28.act	l1.s29.proj	-1	13	16384	4	1	6.4086914614129542
gqa2	32	128	l1.s29.proj	l1.s29.add	13	13	4	4	4096	0
gqa2	32	128	l1.s24.add	l1.s29.add	10	13	4	4	4096	0
gqa2	128	32	l0.s00.norm	l0.s01.proj	-1	0	64	16	512	9.6153846981492528
gqa2	128	32	l0.s00.norm	l0.s02.proj	-1	1	32	8	512	4.8076923490746264
gqa2	128	32	l0.s00.norm	l0.s03.proj	-1	2	32	8	512	4.8076923490746264
gqa2	128	32	l0.s01.proj	l0.s04.rope	0	-1	2048	2048	1	0
gqa2	128	32	l0.s02.proj	l0.s05.rope	1	-1	1024	1024	1	0
gqa2	128	32	l0.s05.rope	l0.s06.append	-1	-1	1024	1024	1	0
gqa2	128	32	l0.s03.proj	l0.s07.append	2	-1	1024	1024	1	0
gqa2	128	32	l0.s04.rope	l0.s08.attn	-1	-1	2048	16	1	0.79502204209958016
gqa2	128	32	l0.s06.append	l0.s08.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	128	32	l0.s07.append	l0.s08.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	128	32	l0.s08.attn	l0.s09.proj	-1	3	256	16	128	12.019230872686565
gqa2	128	32	l0.s09.proj	l0.s09.add	3	3	16	16	4096	0
gqa2	128	32	l0.s09.add	l0.s10.norm	3	-1	64	4	32	0.75120192954291032
gqa2	128	32	l0.s10.norm	l0.s11.proj	-1	4	128	32	512	19.230769396298506
gqa2	128	32	l0.s10.norm	l0.s12.proj	-1	5	128	32	512	19.230769396298506
gqa2	128	32	l0.s11.proj	l0.s13.act	4	-1	4096	4096	1	0
gqa2	128	32	l0.s12.proj	l0.s13.act	5	-1	4096	4096	1	0
gqa2	128	32	l0.s13.act	l0.s14.proj	-1	6	65536	16	1	25.634765845651817
gqa2	128	32	l0.s14.proj	l0.s14.add	6	6	16	16	4096	0
gqa2	128	32	l0.s09.add	l0.s14.add	3	6	16	16	4096	0
gqa2	128	32	l0.s14.add	l1.s15.norm	6	-1	64	4	32	0.75120192954291032
gqa2	128	32	l1.s15.norm	l1.s16.proj	-1	7	64	16	512	9.6153846981492528
gqa2	128	32	l1.s15.norm	l1.s17.proj	-1	8	32	8	512	4.8076923490746264
gqa2	128	32	l1.s15.norm	l1.s18.proj	-1	9	32	8	512	4.8076923490746264
gqa2	128	32	l1.s16.proj	l1.s19.rope	7	-1	2048	2048	1	0
gqa2	128	32	l1.s17.proj	l1.s20.rope	8	-1	1024	1024	1	0
gqa2	128	32	l1.s20.rope	l1.s21.append	-1	-1	1024	1024	1	0
gqa2	128	32	l1.s18.proj	l1.s22.append	9	-1	1024	1024	1	0
gqa2	128	32	l1.s19.rope	l1.s23.attn	-1	-1	2048	16	1	0.79502204209958016
gqa2	128	32	l1.s21.append	l1.s23.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	128	32	l1.s22.append	l1.s23.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	128	32	l1.s23.attn	l1.s24.proj	-1	10	256	16	128	12.019230872686565
gqa2	128	32	l1.s24.proj	l1.s24.add	10	10	16	16	4096	0
gqa2	128	32	l0.s14.add	l1.s24.add	6	10	16	16	4096	0
gqa2	128	32	l1.s24.add	l1.s25.norm	10	-1	64	4	32	0.75120192954291032
gqa2	128	32	l1.s25.norm	l1.s26.proj	-1	11	128	32	512	19.230769396298506
gqa2	128	32	l1.s25.norm	l1.s27.proj	-1	12	128	32	512	19.230769396298506
gqa2	128	32	l1.s26.proj	l1.s28.act	11	-1	4096	4096	1	0
gqa2	128	32	l1.s27.proj	l1.s28.act	12	-1	4096	4096	1	0
gqa2	128	32	l1.s28.act	l1.s29.proj	-1	13	65536	16	1	25.634765845651817
gqa2	128	32	l1.s29.proj	l1.s29.add	13	13	16	16	4096	0
gqa2	128	32	l1.s24.add	l1.s29.add	10	13	16	16	4096	0
gqa2	128	128	l0.s00.norm	l0.s01.proj	-1	0	16	4	512	2.4038461745373132
gqa2	128	128	l0.s00.norm	l0.s02.proj	-1	1	8	2	512	1.2019230872686566
gqa2	128	128	l0.s00.norm	l0.s03.proj	-1	2	8	2	512	1.2019230872686566
gqa2	128	128	l0.s01.proj	l0.s04.rope	0	-1	2048	2048	1	0
gqa2	128	128	l0.s02.proj	l0.s05.rope	1	-1	1024	1024	1	0
gqa2	128	128	l0.s05.rope	l0.s06.append	-1	-1	1024	1024	1	0
gqa2	128	128	l0.s03.proj	l0.s07.append	2	-1	1024	1024	1	0
gqa2	128	128	l0.s04.rope	l0.s08.attn	-1	-1	2048	16	1	0.79502204209958016
gqa2	128	128	l0.s06.append	l0.s08.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	128	128	l0.s07.append	l0.s08.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	128	128	l0.s08.attn	l0.s09.proj	-1	3	64	4	128	3.0048077181716413
gqa2	128	128	l0.s09.proj	l0.s09.add	3	3	4	4	16384	0
gqa2	128	128	l0.s09.add	l0.s10.norm	3	-1	16	4	128	0.6009615436343283
gqa2	128	128	l0.s10.norm	l0.s11.proj	-1	4	32	8	512	4.8076923490746264
gqa2	128	128	l0.s10.norm	l0.s12.proj	-1	5	32	8	512	4.8076923490746264
gqa2	128	128	l0.s11.proj	l0.s13.act	4	-1	4096	4096	1	0
gqa2	128	128	l0.s12.proj	l0.s13.act	5	-1	4096	4096	1	0
gqa2	128	128	l0.s13.act	l0.s14.proj	-1	6	16384	4	1	6.4086914614129542
gqa2	128	128	l0.s14.proj	l0.s14.add	6	6	4	4	16384	0
gqa2	128	128	l0.s09.add	l0.s14.add	3	6	4	4	16384	0
gqa2	128	128	l0.s14.add	l1.s15.norm	6	-1	16	4	128	0.6009615436343283
gqa2	128	128	l1.s15.norm	l1.s16.proj	-1	7	16	4	512	2.4038461745373132
gqa2	128	128	l1.s15.norm	l1.s17.proj	-1	8	8	2	512	1.2019230872686566
gqa2	128	128	l1.s15.norm	l1.s18.proj	-1	9	8	2	512	1.2019230872686566
gqa2	128	128	l1.s16.proj	l1.s19.rope	7	-1	2048	2048	1	0
gqa2	128	128	l1.s17.proj	l1.s20.rope	8	-1	1024	1024	1	0
gqa2	128	128	l1.s20.rope	l1.s21.append	-1	-1	1024	1024	1	0
gqa2	128	128	l1.s18.proj	l1.s22.append	9	-1	1024	1024	1	0
gqa2	128	128	l1.s19.rope	l1.s23.attn	-1	-1	2048	16	1	0.79502204209958016
gqa2	128	128	l1.s21.append	l1.s23.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	128	128	l1.s22.append	l1.s23.attn	-1	-1	8192	16	1	3.1988682166368934
gqa2	128	128	l1.s23.attn	l1.s24.proj	-1	10	64	4	128	3.0048077181716413
gqa2	128	128	l1.s24.proj	l1.s24.add	10	10	4	4	16384	0
gqa2	128	128	l0.s14.add	l1.s24.add	6	10	4	4	16384	0
gqa2	128	128	l1.s24.add	l1.s25.norm	10	-1	16	4	128	0.6009615436343283
gqa2	128	128	l1.s25.norm	l1.s26.proj	-1	11	32	8	512	4.8076923490746264
gqa2	128	128	l1.s25.norm	l1.s27.proj	-1	12	32	8	512	4.8076923490746264
gqa2	128	128	l1.s26.proj	l1.s28.act	11	-1	4096	4096	1	0
gqa2	128	128	l1.s27.proj	l1.s28.act	12	-1	4096	4096	1	0
gqa2	128	128	l1.s28.act	l1.s29.proj	-1	13	16384	4	1	6.4086914614129542
gqa2	128	128	l1.s29.proj	l1.s29.add	13	13	4	4	16384	0
gqa2	128	128	l1.s24.add	l1.s29.add	10	13	4	4	16384	0
