stage	count
70	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
71	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
72	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
73	[S] -> { 4 * S : 0 < S <= 2048 }
74	[S] -> { 4 * S : 0 < S <= 2048 }
75	[S] -> { 4 * S : 0 < S <= 2048 }
76	[S] -> { 4 * S : 0 < S <= 2048 }
77	[S] -> { 4 * S : 0 < S <= 2048 }
78	[S] -> { 256 * floor((31 + S)/32) : 0 < S <= 2048 }
79	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
80	[S] -> { S : 0 < S <= 2048 }
81	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
82	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
83	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
84	[S] -> { 64 * floor((31 + S)/32) : 0 < S <= 2048 }
85	[S] -> { S : 0 < S <= 2048 }
86	[S] -> { 512 * floor((31 + S)/32) : 0 < S <= 2048 }
87	[S] -> { 32 * floor((31 + S)/32) : 0 < S <= 2048 }
