cell	runtime_stage	logical_stage	task_kind	combine	tasks	measured_p50_ns	predicted_p50_ns	measured_predicted_p50	measured_total_ns	predicted_total_ns	dump
mha4_s4	33	23	kAttention	0	16	4096.0	1612.2982081684568	2.5406336022961966	65536	25796.771330695316	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	34	24	kGemm	0	256	3072.0	2867.5326732902677	1.0713042709553933	766976	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	35	24	kGemm	1	32	2048.0	1070.7109783962178	1.9127477361515717	56320	34262.751308678984	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	36	25	kRMSNorm	0	4	2048.0	2437.426445310427	0.8402304832378931	8192	9749.705781241708	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	37	26	kGemm	0	512	4096.0	2867.5326732902677	1.428405694607191	1862656	1468176.728724607	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	38	26	kGemm	1	64	1024.0	1057.8904654653522	0.9679641072760361	89088	67704.98978978253	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	39	27	kGemm	0	512	3072.0	2867.5326732902677	1.0713042709553933	1415168	1468176.728724607	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	40	27	kGemm	1	64	1024.0	1057.8904654653522	0.9679641072760361	84992	67704.98978978253	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	41	28	kElementwise	0	4	3072.0	1503.4032898129342	2.0433638936510796	12288	6013.613159251737	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	42	29	kGemm	0	512	4096.0	2867.5326732902677	1.428405694607191	1918976	1468176.728724607	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	43	29	kGemm	1	32	1024.0	1275.8391852900686	0.8026089900720429	48128	40826.85392928217	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	44	30	kRMSNorm	0	4	2048.0	2437.426445310427	0.8402304832378931	9216	9749.705781241708	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	45	31	kGemm	0	256	3072.0	2867.5326732902677	1.0713042709553933	919552	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	46	31	kGemm	1	32	1024.0	1057.8904654653522	0.9679641072760361	47104	33852.49489489127	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	47	32	kGemm	0	256	4096.0	2867.5326732902677	1.428405694607191	1132544	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	48	32	kGemm	1	32	1024.0	1057.8904654653522	0.9679641072760361	43008	33852.49489489127	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	49	33	kGemm	0	256	2048.0	2867.5326732902677	0.7142028473035955	645120	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	50	33	kGemm	1	32	1536.0	1057.8904654653522	1.451946160914054	49152	33852.49489489127	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	51	34	kRoPE	0	16	1024.0	907.2494385276806	1.128686286829548	16384	14515.99101644289	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	52	35	kRoPE	0	16	1024.0	907.2494385276806	1.128686286829548	17408	14515.99101644289	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	53	36	kKVAppend	0	16	1024.0	894.4289255968149	1.1448645842001675	13312	14310.862809549035	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	54	37	kKVAppend	0	16	1024.0	894.4289255968149	1.1448645842001675	16384	14310.862809549035	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	55	38	kAttention	0	16	4096.0	1612.2982081684568	2.5406336022961966	65536	25796.771330695316	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	56	39	kGemm	0	256	3072.0	2867.5326732902677	1.0713042709553933	775168	734088.3643623076	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	57	39	kGemm	1	32	2048.0	1070.7109783962178	1.9127477361515717	54272	34262.751308678984	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
mha4_s4	58	40	kRMSNorm	0	4	2048.0	2437.426445310427	0.8402304832378931	8192	9749.705781241708	/root/TileMega/docs/experiments/JOINT2/bounded_search/mha4_s4/trace/top3/dump
