model	split	fp32_partials	round	pass	mismatch	max_abs	partial_bytes	l05_ms	l1_ms	l2_ms	dtype	execution_index	hash
mha4	16	0	2	1	0	2.8610229e-06	150994944	1.922048	1.922048	2.020352	f32	4	5661e13d57086f64
mha4	16	1	2	1	0	2.8610229e-06	150994944	1.926080	1.917728	2.020384	f32	5	5661e13d57086f64
gqa2	1	0	2	1	0	2.2649765e-06	0	1.225728	1.225728	1.290336	f32	6	4d51e995ce302f00
gqa2	1	1	2	1	0	2.2649765e-06	0	1.226752	1.225728	1.293312	f32	7	4d51e995ce302f00
gqa2	16	1	3	1	0	1.9073486e-06	67108864	0.911360	0.910336	0.947168	f32	0	5b63400d0b5766e4
mha4	1	0	3	1	0	2.3841858e-06	0	2.455360	2.451488	2.624512	f32	1	26bba97f049e1b54
mha4	1	1	3	1	0	2.3841858e-06	0	2.453504	2.454592	2.627584	f32	2	26bba97f049e1b54
mha4	16	0	3	1	0	2.8610229e-06	150994944	1.942528	1.938400	2.037888	f32	3	5661e13d57086f64
mha4	16	1	3	1	0	2.8610229e-06	150994944	1.937056	1.935072	2.032640	f32	4	5661e13d57086f64
gqa2	1	0	3	1	0	2.2649765e-06	0	1.223680	1.225728	1.289472	f32	5	4d51e995ce302f00
gqa2	1	1	3	1	0	2.2649765e-06	0	1.223648	1.225568	1.290048	f32	6	4d51e995ce302f00
gqa2	16	0	3	1	0	1.9073486e-06	67108864	0.897024	0.897024	0.937760	f32	7	5b63400d0b5766e4
mha4	1	0	4	1	0	2.3841858e-06	0	2.450080	2.451488	2.622400	f32	0	26bba97f049e1b54
mha4	1	1	4	1	0	2.3841858e-06	0	2.449408	2.449472	2.621440	f32	1	26bba97f049e1b54
mha4	16	0	4	1	0	2.8610229e-06	150994944	1.935584	1.933312	2.029568	f32	2	5661e13d57086f64
mha4	16	1	4	1	0	2.8610229e-06	150994944	1.932608	1.928192	2.020352	f32	3	5661e13d57086f64
gqa2	1	0	4	1	0	2.2649765e-06	0	1.222624	1.225472	1.292992	f32	4	4d51e995ce302f00
gqa2	1	1	4	1	0	2.2649765e-06	0	1.227776	1.226848	1.294336	f32	5	4d51e995ce302f00
gqa2	16	0	4	1	0	1.9073486e-06	67108864	0.894976	0.900832	0.937984	f32	6	5b63400d0b5766e4
gqa2	16	1	4	1	0	1.9073486e-06	67108864	0.894720	0.894944	0.933888	f32	7	5b63400d0b5766e4
mha4	1	1	5	1	0	2.3841858e-06	0	2.450688	2.450304	2.624512	f32	0	26bba97f049e1b54
mha4	16	0	5	1	0	2.8610229e-06	150994944	1.935360	1.930976	2.019328	f32	1	5661e13d57086f64
mha4	16	1	5	1	0	2.8610229e-06	150994944	1.940704	1.934336	2.029568	f32	2	5661e13d57086f64
gqa2	1	0	5	1	0	2.2649765e-06	0	1.223680	1.223776	1.292512	f32	3	4d51e995ce302f00
gqa2	1	1	5	1	0	2.2649765e-06	0	1.222656	1.224544	1.292288	f32	4	4d51e995ce302f00
gqa2	16	0	5	1	0	1.9073486e-06	67108864	0.898016	0.902144	0.940704	f32	5	5b63400d0b5766e4
gqa2	16	1	5	1	0	1.9073486e-06	67108864	0.894976	0.897024	0.937984	f32	6	5b63400d0b5766e4
mha4	1	0	5	1	0	2.3841858e-06	0	2.453248	2.452192	2.626336	f32	7	26bba97f049e1b54
mha4	16	0	6	1	0	2.8610229e-06	150994944	1.939456	1.933312	2.024448	f32	0	5661e13d57086f64
mha4	16	1	6	1	0	2.8610229e-06	150994944	1.936224	1.928992	2.021696	f32	1	5661e13d57086f64
gqa2	1	0	6	1	0	2.2649765e-06	0	1.221632	1.224704	1.293312	f32	2	4d51e995ce302f00
gqa2	1	1	6	1	0	2.2649765e-06	0	1.223744	1.225728	1.292288	f32	3	4d51e995ce302f00
gqa2	16	0	6	1	0	1.9073486e-06	67108864	0.898048	0.900128	0.939008	f32	4	5b63400d0b5766e4
gqa2	16	1	6	1	0	1.9073486e-06	67108864	0.891904	0.896000	0.933920	f32	5	5b63400d0b5766e4
mha4	1	0	6	1	0	2.3841858e-06	0	2.456384	2.451456	2.627584	f32	6	26bba97f049e1b54
mha4	1	1	6	1	0	2.3841858e-06	0	2.452480	2.450432	2.627520	f32	7	26bba97f049e1b54
mha4	16	1	7	1	0	2.8610229e-06	150994944	1.936384	1.929216	2.024448	f32	0	5661e13d57086f64
gqa2	1	0	7	1	0	2.2649765e-06	0	1.223904	1.224704	1.293440	f32	1	4d51e995ce302f00
gqa2	1	1	7	1	0	2.2649765e-06	0	1.222656	1.226688	1.293184	f32	2	4d51e995ce302f00
gqa2	16	0	7	1	0	1.9073486e-06	67108864	0.902912	0.903168	0.945152	f32	3	5b63400d0b5766e4
gqa2	16	1	7	1	0	1.9073486e-06	67108864	0.898048	0.898112	0.939968	f32	4	5b63400d0b5766e4
mha4	1	0	7	1	0	2.3841858e-06	0	2.451456	2.449440	2.629632	f32	5	26bba97f049e1b54
mha4	1	1	7	1	0	2.3841858e-06	0	2.450432	2.451456	2.631296	f32	6	26bba97f049e1b54
mha4	16	0	7	1	0	2.8610229e-06	150994944	1.922112	1.920032	2.022400	f32	7	5661e13d57086f64
gqa2	1	0	8	1	0	2.2649765e-06	0	1.223680	1.224576	1.289216	f32	0	4d51e995ce302f00
gqa2	1	1	8	1	0	2.2649765e-06	0	1.222656	1.225664	1.290240	f32	1	4d51e995ce302f00
gqa2	16	0	8	1	0	1.9073486e-06	67108864	0.903168	0.903168	0.936960	f32	2	5b63400d0b5766e4
gqa2	16	1	8	1	0	1.9073486e-06	67108864	0.910976	0.908096	0.941856	f32	3	5b63400d0b5766e4
mha4	1	0	8	1	0	2.3841858e-06	0	2.452480	2.449504	2.629536	f32	4	26bba97f049e1b54
mha4	1	1	8	1	0	2.3841858e-06	0	2.451456	2.450112	2.629472	f32	5	26bba97f049e1b54
mha4	16	0	8	1	0	2.8610229e-06	150994944	1.923264	1.916992	2.024448	f32	6	5661e13d57086f64
mha4	16	1	8	1	0	2.8610229e-06	150994944	1.920896	1.919680	2.022400	f32	7	5661e13d57086f64
gqa2	1	1	9	1	0	2.2649765e-06	0	1.225728	1.225728	1.290240	f32	0	4d51e995ce302f00
gqa2	16	0	9	1	0	1.9073486e-06	67108864	0.904864	0.903168	0.937984	f32	1	5b63400d0b5766e4
gqa2	16	1	9	1	0	1.9073486e-06	67108864	0.912320	0.911360	0.947200	f32	2	5b63400d0b5766e4
mha4	1	0	9	1	0	2.3841858e-06	0	2.449408	2.449472	2.631680	f32	3	26bba97f049e1b54
mha4	1	1	9	1	0	2.3841858e-06	0	2.449408	2.450496	2.631680	f32	4	26bba97f049e1b54
mha4	16	0	9	1	0	2.8610229e-06	150994944	1.926144	1.924160	2.028544	f32	5	5661e13d57086f64
mha4	16	1	9	1	0	2.8610229e-06	150994944	1.923072	1.917568	2.024352	f32	6	5661e13d57086f64
gqa2	1	0	9	1	0	2.2649765e-06	0	1.223680	1.223744	1.290240	f32	7	4d51e995ce302f00
gqa2	16	0	10	1	0	1.9073486e-06	67108864	0.908576	0.910112	0.942080	f32	0	5b63400d0b5766e4
gqa2	16	1	10	1	0	1.9073486e-06	67108864	0.912320	0.912160	0.946176	f32	1	5b63400d0b5766e4
mha4	1	0	10	1	0	2.3841858e-06	0	2.451136	2.448384	2.632704	f32	2	26bba97f049e1b54
mha4	1	1	10	1	0	2.3841858e-06	0	2.450336	2.450400	2.629632	f32	3	26bba97f049e1b54
mha4	16	0	10	1	0	2.8610229e-06	150994944	1.927072	1.919872	2.030336	f32	4	5661e13d57086f64
mha4	16	1	10	1	0	2.8610229e-06	150994944	1.937408	1.936384	2.032896	f32	5	5661e13d57086f64
gqa2	1	0	10	1	0	2.2649765e-06	0	1.223552	1.225728	1.288320	f32	6	4d51e995ce302f00
gqa2	1	1	10	1	0	2.2649765e-06	0	1.222464	1.224608	1.290240	f32	7	4d51e995ce302f00
gqa2	16	1	11	1	0	1.9073486e-06	67108864	0.898048	0.899104	0.939840	f32	0	5b63400d0b5766e4
mha4	1	0	11	1	0	2.3841858e-06	0	2.451808	2.452160	2.621440	f32	1	26bba97f049e1b54
mha4	1	1	11	1	0	2.3841858e-06	0	2.447552	2.449408	2.622464	f32	2	26bba97f049e1b54
mha4	16	0	11	1	0	2.8610229e-06	150994944	1.934336	1.933312	2.036736	f32	3	5661e13d57086f64
mha4	16	1	11	1	0	2.8610229e-06	150994944	1.937568	1.935008	2.031616	f32	4	5661e13d57086f64
gqa2	1	0	11	1	0	2.2649765e-06	0	1.223680	1.224704	1.290112	f32	5	4d51e995ce302f00
gqa2	1	1	11	1	0	2.2649765e-06	0	1.222656	1.225824	1.289216	f32	6	4d51e995ce302f00
gqa2	16	0	11	1	0	1.9073486e-06	67108864	0.896832	0.899072	0.938752	f32	7	5b63400d0b5766e4
mha4	1	0	12	1	0	2.3841858e-06	0	2.451392	2.451328	2.624416	f32	0	26bba97f049e1b54
mha4	1	1	12	1	0	2.3841858e-06	0	2.451456	2.450304	2.625472	f32	1	26bba97f049e1b54
mha4	16	0	12	1	0	2.8610229e-06	150994944	1.939456	1.937408	2.029440	f32	2	5661e13d57086f64
mha4	16	1	12	1	0	2.8610229e-06	150994944	1.936000	1.935392	2.030496	f32	3	5661e13d57086f64
gqa2	1	0	12	1	0	2.2649765e-06	0	1.223840	1.225472	1.291264	f32	4	4d51e995ce302f00
gqa2	1	1	12	1	0	2.2649765e-06	0	1.228928	1.226816	1.292288	f32	5	4d51e995ce302f00
gqa2	16	0	12	1	0	1.9073486e-06	67108864	0.909312	0.911360	0.943104	f32	6	5b63400d0b5766e4
gqa2	16	1	12	1	0	1.9073486e-06	67108864	0.908288	0.911392	0.943072	f32	7	5b63400d0b5766e4
mha4	1	1	13	1	0	2.3841858e-06	0	2.452640	2.449408	2.624512	f32	0	26bba97f049e1b54
mha4	16	0	13	1	0	2.8610229e-06	150994944	1.932288	1.930240	2.022400	f32	1	5661e13d57086f64
mha4	16	1	13	1	0	2.8610229e-06	150994944	1.935360	1.935104	2.028160	f32	2	5661e13d57086f64
gqa2	1	0	13	1	0	2.2649765e-06	0	1.223680	1.223680	1.292288	f32	3	4d51e995ce302f00
gqa2	1	1	13	1	0	2.2649765e-06	0	1.223680	1.223712	1.291264	f32	4	4d51e995ce302f00
gqa2	16	0	13	1	0	1.9073486e-06	67108864	0.910336	0.912000	0.942912	f32	5	5b63400d0b5766e4
gqa2	16	1	13	1	0	1.9073486e-06	67108864	0.911360	0.915520	0.943104	f32	6	5b63400d0b5766e4
mha4	1	0	13	1	0	2.3841858e-06	0	2.692096	2.452512	2.625536	f32	7	26bba97f049e1b54
mha4	16	0	14	1	0	2.8610229e-06	150994944	1.933312	1.932064	2.026496	f32	0	5661e13d57086f64
mha4	16	1	14	1	0	2.8610229e-06	150994944	1.930464	1.928256	2.023424	f32	1	5661e13d57086f64
gqa2	1	0	14	1	0	2.2649765e-06	0	1.223680	1.224736	1.292288	f32	2	4d51e995ce302f00
gqa2	1	1	14	1	0	2.2649765e-06	0	1.224032	1.224480	1.290240	f32	3	4d51e995ce302f00
gqa2	16	0	14	1	0	1.9073486e-06	67108864	0.903168	0.905280	0.935232	f32	4	5b63400d0b5766e4
gqa2	16	1	14	1	0	1.9073486e-06	67108864	0.911328	0.911392	0.944128	f32	5	5b63400d0b5766e4
mha4	1	0	14	1	0	2.3841858e-06	0	2.450112	2.450432	2.623488	f32	6	26bba97f049e1b54
mha4	1	1	14	1	0	2.3841858e-06	0	2.449408	2.449472	2.625536	f32	7	26bba97f049e1b54
mha4	16	1	15	1	0	2.8610229e-06	150994944	1.936448	1.931072	2.026496	f32	0	5661e13d57086f64
gqa2	1	0	15	1	0	2.2649765e-06	0	1.222304	1.225760	1.291328	f32	1	4d51e995ce302f00
gqa2	1	1	15	1	0	2.2649765e-06	0	1.221632	1.223680	1.291232	f32	2	4d51e995ce302f00
gqa2	16	0	15	1	0	1.9073486e-06	67108864	0.905216	0.906240	0.935872	f32	3	5b63400d0b5766e4
gqa2	16	1	15	1	0	1.9073486e-06	67108864	0.911072	0.912096	0.942976	f32	4	5b63400d0b5766e4
mha4	1	0	15	1	0	2.3841858e-06	0	2.450432	2.450208	2.626560	f32	5	26bba97f049e1b54
mha4	1	1	15	1	0	2.3841858e-06	0	2.450432	2.450432	2.625536	f32	6	26bba97f049e1b54
mha4	16	0	15	1	0	2.8610229e-06	150994944	1.937696	1.932992	2.028544	f32	7	5661e13d57086f64
gqa2	1	0	16	1	0	2.2649765e-06	0	1.222752	1.224736	1.293248	f32	0	4d51e995ce302f00
gqa2	1	1	16	1	0	2.2649765e-06	0	1.224704	1.224768	1.292192	f32	1	4d51e995ce302f00
gqa2	16	0	16	1	0	1.9073486e-06	67108864	0.907264	0.912384	0.940960	f32	2	5b63400d0b5766e4
gqa2	16	1	16	1	0	1.9073486e-06	67108864	0.909312	0.913088	0.943104	f32	3	5b63400d0b5766e4
mha4	1	0	16	1	0	2.3841858e-06	0	2.448384	2.449312	2.624352	f32	4	26bba97f049e1b54
mha4	1	1	16	1	0	2.3841858e-06	0	2.450432	2.450432	2.627456	f32	5	26bba97f049e1b54
mha4	16	0	16	1	0	2.8610229e-06	150994944	1.938432	1.934304	2.030432	f32	6	5661e13d57086f64
mha4	16	1	16	1	0	2.8610229e-06	150994944	1.940480	1.935360	2.030592	f32	7	5661e13d57086f64
gqa2	1	1	17	1	0	2.2649765e-06	0	1.224512	1.225632	1.292288	f32	0	4d51e995ce302f00
gqa2	16	0	17	1	0	1.9073486e-06	67108864	0.904896	0.906240	0.936960	f32	1	5b63400d0b5766e4
gqa2	16	1	17	1	0	1.9073486e-06	67108864	0.905216	0.908320	0.940000	f32	2	5b63400d0b5766e4
mha4	1	0	17	1	0	2.3841858e-06	0	2.451456	2.450432	2.625536	f32	3	26bba97f049e1b54
mha4	1	1	17	1	0	2.3841858e-06	0	2.449408	2.449408	2.626464	f32	4	26bba97f049e1b54
mha4	16	0	17	1	0	2.8610229e-06	150994944	1.935744	1.934368	2.027360	f32	5	5661e13d57086f64
mha4	16	1	17	1	0	2.8610229e-06	150994944	1.932128	1.924064	2.024736	f32	6	5661e13d57086f64
gqa2	1	0	17	1	0	2.2649765e-06	0	1.223392	1.224768	1.291264	f32	7	4d51e995ce302f00
gqa2	16	0	18	1	0	1.9073486e-06	67108864	0.908288	0.912448	0.942080	f32	0	5b63400d0b5766e4
gqa2	16	1	18	1	0	1.9073486e-06	67108864	0.910336	0.912448	0.942080	f32	1	5b63400d0b5766e4
mha4	1	0	18	1	0	2.3841858e-06	0	2.450432	2.451456	2.625184	f32	2	26bba97f049e1b54
mha4	1	1	18	1	0	2.3841858e-06	0	2.449408	2.450432	2.625376	f32	3	26bba97f049e1b54
mha4	16	0	18	1	0	2.8610229e-06	150994944	1.939360	1.933312	2.027520	f32	4	5661e13d57086f64
mha4	16	1	18	1	0	2.8610229e-06	150994944	1.930880	1.925888	2.024384	f32	5	5661e13d57086f64
gqa2	1	0	18	1	0	2.2649765e-06	0	1.223648	1.223744	1.290240	f32	6	4d51e995ce302f00
gqa2	1	1	18	1	0	2.2649765e-06	0	1.224704	1.225728	1.291264	f32	7	4d51e995ce302f00
gqa2	16	1	19	1	0	1.9073486e-06	67108864	0.904288	0.907328	0.935936	f32	0	5b63400d0b5766e4
mha4	1	0	19	1	0	2.3841858e-06	0	2.449408	2.450464	2.625568	f32	1	26bba97f049e1b54
mha4	1	1	19	1	0	2.3841858e-06	0	2.449408	2.448448	2.624512	f32	2	26bba97f049e1b54
mha4	16	0	19	1	0	2.8610229e-06	150994944	1.936480	1.932032	2.028544	f32	3	5661e13d57086f64
mha4	16	1	19	1	0	2.8610229e-06	150994944	1.928192	1.926208	2.025184	f32	4	5661e13d57086f64
gqa2	1	0	19	1	0	2.2649765e-06	0	1.222656	1.225440	1.291328	f32	5	4d51e995ce302f00
gqa2	1	1	19	1	0	2.2649765e-06	0	1.223680	1.225728	1.290368	f32	6	4d51e995ce302f00
gqa2	16	0	19	1	0	1.9073486e-06	67108864	0.911360	0.912128	0.943104	f32	7	5b63400d0b5766e4
mha4	1	0	20	1	0	2.3841858e-06	0	2.451200	2.451232	2.625536	f32	0	26bba97f049e1b54
mha4	1	1	20	1	0	2.3841858e-06	0	2.448384	2.450272	2.626560	f32	1	26bba97f049e1b54
mha4	16	0	20	1	0	2.8610229e-06	150994944	1.931200	1.927840	2.028544	f32	2	5661e13d57086f64
mha4	16	1	20	1	0	2.8610229e-06	150994944	1.931264	1.927168	2.024096	f32	3	5661e13d57086f64
gqa2	1	0	20	1	0	2.2649765e-06	0	1.223616	1.224736	1.292288	f32	4	4d51e995ce302f00
gqa2	1	1	20	1	0	2.2649765e-06	0	1.222592	1.224448	1.292960	f32	5	4d51e995ce302f00
gqa2	16	0	20	1	0	1.9073486e-06	67108864	0.912352	0.914432	0.943200	f32	6	5b63400d0b5766e4
gqa2	16	1	20	1	0	1.9073486e-06	67108864	0.909312	0.910400	0.944128	f32	7	5b63400d0b5766e4
mha4	1	1	21	1	0	2.3841858e-06	0	2.450432	2.449408	2.624512	f32	0	26bba97f049e1b54
mha4	16	0	21	1	0	2.8610229e-06	150994944	1.936352	1.930240	2.026496	f32	1	5661e13d57086f64
mha4	16	1	21	1	0	2.8610229e-06	150994944	1.934336	1.928256	2.026496	f32	2	5661e13d57086f64
gqa2	1	0	21	1	0	2.2649765e-06	0	1.224704	1.225728	1.291264	f32	3	4d51e995ce302f00
gqa2	1	1	21	1	0	2.2649765e-06	0	1.222656	1.224736	1.292000	f32	4	4d51e995ce302f00
gqa2	16	0	21	1	0	1.9073486e-06	67108864	0.912384	0.915264	0.947200	f32	5	5b63400d0b5766e4
gqa2	16	1	21	1	0	1.9073486e-06	67108864	0.911104	0.910432	0.942080	f32	6	5b63400d0b5766e4
mha4	1	0	21	1	0	2.3841858e-06	0	2.451296	2.450496	2.627584	f32	7	26bba97f049e1b54
mha4	16	0	22	1	0	2.8610229e-06	150994944	1.932288	1.929056	2.027456	f32	0	5661e13d57086f64
mha4	16	1	22	1	0	2.8610229e-06	150994944	1.938432	1.935040	2.029408	f32	1	5661e13d57086f64
gqa2	1	0	22	1	0	2.2649765e-06	0	1.222656	1.225408	1.293280	f32	2	4d51e995ce302f00
gqa2	1	1	22	1	0	2.2649765e-06	0	1.225728	1.225760	1.292288	f32	3	4d51e995ce302f00
gqa2	16	0	22	1	0	1.9073486e-06	67108864	0.910336	0.910336	0.943104	f32	4	5b63400d0b5766e4
gqa2	16	1	22	1	0	1.9073486e-06	67108864	0.902144	0.906272	0.937984	f32	5	5b63400d0b5766e4
mha4	1	0	22	1	0	2.3841858e-06	0	2.449408	2.450464	2.625536	f32	6	26bba97f049e1b54
mha4	1	1	22	1	0	2.3841858e-06	0	2.449408	2.449248	2.626560	f32	7	26bba97f049e1b54
mha4	16	1	23	1	0	2.8610229e-06	150994944	1.931200	1.926176	2.026592	f32	0	5661e13d57086f64
gqa2	1	0	23	1	0	2.2649765e-06	0	1.223040	1.224704	1.293024	f32	1	4d51e995ce302f00
gqa2	1	1	23	1	0	2.2649765e-06	0	1.225408	1.224800	1.292384	f32	2	4d51e995ce302f00
gqa2	16	0	23	1	0	1.9073486e-06	67108864	0.913408	0.912000	0.943040	f32	3	5b63400d0b5766e4
gqa2	16	1	23	1	0	1.9073486e-06	67108864	0.913056	0.914464	0.944128	f32	4	5b63400d0b5766e4
mha4	1	0	23	1	0	2.3841858e-06	0	2.450432	2.454336	2.625536	f32	5	26bba97f049e1b54
mha4	1	1	23	1	0	2.3841858e-06	0	2.451456	2.452256	2.625344	f32	6	26bba97f049e1b54
mha4	16	0	23	1	0	2.8610229e-06	150994944	1.931264	1.925120	2.022400	f32	7	5661e13d57086f64
gqa2	1	0	24	1	0	2.2649765e-06	0	1.222656	1.224768	1.290240	f32	0	4d51e995ce302f00
gqa2	1	1	24	1	0	2.2649765e-06	0	1.223392	1.225728	1.291264	f32	1	4d51e995ce302f00
gqa2	16	0	24	1	0	1.9073486e-06	67108864	0.908288	0.912384	0.943104	f32	2	5b63400d0b5766e4
gqa2	16	1	24	1	0	1.9073486e-06	67108864	0.909312	0.912224	0.943872	f32	3	5b63400d0b5766e4
mha4	1	0	24	1	0	2.3841858e-06	0	2.451456	2.450432	2.625536	f32	4	26bba97f049e1b54
mha4	1	1	24	1	0	2.3841858e-06	0	2.450368	2.450304	2.624512	f32	5	26bba97f049e1b54
mha4	16	0	24	1	0	2.8610229e-06	150994944	1.931264	1.928192	2.026496	f32	6	5661e13d57086f64
mha4	16	1	24	1	0	2.8610229e-06	150994944	1.935232	1.928224	2.026496	f32	7	5661e13d57086f64
gqa2	1	1	25	1	0	2.2649765e-06	0	1.225536	1.225600	1.292288	f32	0	4d51e995ce302f00
gqa2	16	0	25	1	0	1.9073486e-06	67108864	0.913408	0.911360	0.943104	f32	1	5b63400d0b5766e4
gqa2	16	1	25	1	0	1.9073486e-06	67108864	0.906240	0.906304	0.937664	f32	2	5b63400d0b5766e4
mha4	1	0	25	1	0	2.3841858e-06	0	2.449408	2.450464	2.625344	f32	3	26bba97f049e1b54
mha4	1	1	25	1	0	2.3841858e-06	0	2.448384	2.449440	2.623488	f32	4	26bba97f049e1b54
mha4	16	0	25	1	0	2.8610229e-06	150994944	1.932288	1.929216	2.029248	f32	5	5661e13d57086f64
mha4	16	1	25	1	0	2.8610229e-06	150994944	1.929920	1.930240	2.026496	f32	6	5661e13d57086f64
gqa2	1	0	25	1	0	2.2649765e-06	0	1.222592	1.224768	1.291264	f32	7	4d51e995ce302f00
gqa2	16	0	26	1	0	1.9073486e-06	67108864	0.910336	0.911360	0.941248	f32	0	5b63400d0b5766e4
gqa2	16	1	26	1	0	1.9073486e-06	67108864	0.910336	0.910336	0.942080	f32	1	5b63400d0b5766e4
mha4	1	0	26	1	0	2.3841858e-06	0	2.450080	2.451456	2.626560	f32	2	26bba97f049e1b54
mha4	1	1	26	1	0	2.3841858e-06	0	2.452480	2.449408	2.625248	f32	3	26bba97f049e1b54
mha4	16	0	26	1	0	2.8610229e-06	150994944	1.929856	1.926912	2.028544	f32	4	5661e13d57086f64
mha4	16	1	26	1	0	2.8610229e-06	150994944	1.932288	1.929280	2.025472	f32	5	5661e13d57086f64
gqa2	1	0	26	1	0	2.2649765e-06	0	1.222656	1.223776	1.291264	f32	6	4d51e995ce302f00
gqa2	1	1	26	1	0	2.2649765e-06	0	1.224416	1.222656	1.291488	f32	7	4d51e995ce302f00
gqa2	16	1	27	1	0	1.9073486e-06	67108864	0.911360	0.911360	0.944128	f32	0	5b63400d0b5766e4
mha4	1	0	27	1	0	2.3841858e-06	0	2.448448	2.450432	2.624320	f32	1	26bba97f049e1b54
mha4	1	1	27	1	0	2.3841858e-06	0	2.452224	2.450432	2.625408	f32	2	26bba97f049e1b54
mha4	16	0	27	1	0	2.8610229e-06	150994944	1.937408	1.934336	2.031360	f32	3	5661e13d57086f64
mha4	16	1	27	1	0	2.8610229e-06	150994944	1.934336	1.930976	2.027520	f32	4	5661e13d57086f64
gqa2	1	0	27	1	0	2.2649765e-06	0	1.223328	1.225728	1.295360	f32	5	4d51e995ce302f00
gqa2	1	1	27	1	0	2.2649765e-06	0	1.223680	1.223680	1.294336	f32	6	4d51e995ce302f00
gqa2	16	0	27	1	0	1.9073486e-06	67108864	0.903168	0.904864	0.943328	f32	7	5b63400d0b5766e4
mha4	1	0	28	1	0	2.3841858e-06	0	2.450432	2.450496	2.625728	f32	0	26bba97f049e1b54
mha4	1	1	28	1	0	2.3841858e-06	0	2.450400	2.449472	2.625472	f32	1	26bba97f049e1b54
mha4	16	0	28	1	0	2.8610229e-06	150994944	1.933152	1.932288	2.029568	f32	2	5661e13d57086f64
mha4	16	1	28	1	0	2.8610229e-06	150994944	1.938304	1.933376	2.027520	f32	3	5661e13d57086f64
gqa2	1	0	28	1	0	2.2649765e-06	0	1.222944	1.223680	1.294432	f32	4	4d51e995ce302f00
gqa2	1	1	28	1	0	2.2649765e-06	0	1.223680	1.223680	1.293152	f32	5	4d51e995ce302f00
gqa2	16	0	28	1	0	1.9073486e-06	67108864	0.901120	0.903168	0.941056	f32	6	5b63400d0b5766e4
gqa2	16	1	28	1	0	1.9073486e-06	67108864	0.903168	0.903232	0.945888	f32	7	5b63400d0b5766e4
mha4	1	1	29	1	0	2.3841858e-06	0	2.449408	2.450432	2.626336	f32	0	26bba97f049e1b54
mha4	16	0	29	1	0	2.8610229e-06	150994944	1.935360	1.927904	2.030592	f32	1	5661e13d57086f64
mha4	16	1	29	1	0	2.8610229e-06	150994944	1.935360	1.932288	2.032480	f32	2	5661e13d57086f64
gqa2	1	0	29	1	0	2.2649765e-06	0	1.224480	1.224736	1.293312	f32	3	4d51e995ce302f00
gqa2	1	1	29	1	0	2.2649765e-06	0	1.224576	1.224768	1.292448	f32	4	4d51e995ce302f00
gqa2	16	0	29	1	0	1.9073486e-06	67108864	0.896000	0.897920	0.936704	f32	5	5b63400d0b5766e4
gqa2	16	1	29	1	0	1.9073486e-06	67108864	0.896832	0.897120	0.936640	f32	6	5b63400d0b5766e4
mha4	1	0	29	1	0	2.3841858e-06	0	2.450112	2.449472	2.625536	f32	7	26bba97f049e1b54
mha4	16	0	30	1	0	2.8610229e-06	150994944	1.937088	1.931968	2.033536	f32	0	5661e13d57086f64
