candidate	placement	status	floor_ns	cp_ns	queue_lb_ns	predicted_ns	grid	kappa
64x128x16s2split4kappa4r1	chain	ok	4.6742e+06	1.05406e+06	4.66971e+06	5.64985e+06	128	4
64x128x16s2split4kappa4r1	wavefront	ok	4.68721e+06	1.05406e+06	4.68293e+06	5.65863e+06	128	4
64x128x16s2split4kappa4r1	rotate	ok	4.82664e+06	1.05406e+06	4.65259e+06	5.82942e+06	128	4
64x128x16s2split4kappa4r1	legacy_grid_stride	ok	4.84031e+06	1.05406e+06	4.83389e+06	5.85233e+06	128	4
64x128x16s2split4kappa4r1	balanced	ok	7.44157e+07	1.05406e+06	1.88229e+07	7.92458e+07	128	4
64x128x16s2split4kappa4r2	eft	ok	2.50267e+06	1.07767e+06	2.50257e+06	3.09608e+06	256	4
64x128x16s2split4kappa4r2	wavefront	ok	2.51641e+06	1.07767e+06	2.50999e+06	3.0985e+06	256	4
64x128x16s2split4kappa4r2	rotate	ok	2.61868e+06	1.07767e+06	2.43263e+06	3.21495e+06	256	4
64x128x16s2split4kappa4r2	legacy_grid_stride	ok	2.81541e+06	1.07767e+06	2.80792e+06	3.43657e+06	256	4
64x128x16s2split4kappa4r2	chain	ok	2.84041e+06	1.07767e+06	2.48209e+06	3.44808e+06	256	4
64x128x16s2split4kappa4r2	balanced	ok	6.34128e+07	1.07767e+06	1.62908e+07	6.75267e+07	256	4
64x128x16s2split4kappa4r3	eft	ok	1.8926e+06	1.07767e+06	1.88173e+06	2.34583e+06	384	4
64x128x16s2split4kappa4r3	wavefront	ok	1.95398e+06	1.07767e+06	1.94957e+06	2.41857e+06	384	4
64x128x16s2split4kappa4r3	rotate	ok	2.18854e+06	1.07767e+06	1.81822e+06	2.66237e+06	384	4
64x128x16s2split4kappa4r3	chain	ok	2.30266e+06	1.07767e+06	1.7637e+06	2.78257e+06	384	4
64x128x16s2split4kappa4r3	legacy_grid_stride	ok	2.40238e+06	1.07767e+06	2.39723e+06	2.91675e+06	384	4
64x128x16s2split4kappa4r3	balanced	ok	4.9718e+07	1.07767e+06	1.33313e+07	5.33439e+07	384	4
