slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
2412	10	117	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1112	0	2127	1850	1662	188	5089
2413	13	117	4	0	0	0	0	1	0	0	0	2048	0	0	0	2048	1116	0	5557	218	30	188	6891
2414	15	117	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1127	0	2113	1706	1519	187	4946
2415	20	117	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1138	0	1532	222	33	189	2892
2416	19	117	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1156	0	1335	215	30	185	2706
2417	19	373	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1168	0	1590	230	36	194	2988
2418	22	117	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1184	0	1081	217	32	185	2482
2419	21	117	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	869	0	733	218	31	187	1820
2420	23	117	5	0	0	0	0	1	0	1024	0	19456	0	0	0	20480	1621	0	55104	233	30	203	56958
2421	23	373	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	2764	0	49372	398	30	368	52534
2422	25	117	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1133	0	2106	1713	1525	188	4952
2423	28	117	4	0	0	0	0	1	0	0	0	2048	0	0	0	2048	1152	0	5485	218	30	188	6855
2424	0	118	1	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1222	0	2110	1862	1674	188	5194
2425	5	118	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1132	0	1671	215	30	185	3018
2426	4	118	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1164	0	1437	215	30	185	2816
2427	4	374	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1187	0	1614	225	33	192	3026
2428	7	118	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1221	0	1133	211	30	181	2565
2429	6	118	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1135	0	774	218	30	188	2127
2430	8	118	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1680	0	56358	220	30	190	58258
2431	8	374	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	3266	0	46506	215	30	185	49987
2432	10	118	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1165	0	2155	1890	1702	188	5210
2433	13	118	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1176	0	5743	215	30	185	7134
2434	15	118	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1173	0	2162	1772	1584	188	5107
2435	20	118	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1182	0	1644	215	30	185	3041
2436	19	118	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1202	0	1598	215	30	185	3015
2437	19	374	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1196	0	1634	220	30	190	3050
2438	22	118	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1230	0	919	219	30	189	2368
2439	21	118	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1049	0	697	221	30	191	1967
2440	23	118	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1676	0	56195	218	30	188	58089
2441	23	374	5	0	0	0	0	1	0	2048	0	16384	0	0	0	18432	3505	0	46473	217	30	187	50195
2442	25	118	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1169	0	2182	1796	1608	188	5147
2443	28	118	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1182	0	5749	218	30	188	7149
2444	0	119	1	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1244	0	2153	1905	1717	188	5302
2445	5	119	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1149	0	1713	215	30	185	3077
2446	4	119	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1206	0	1677	215	30	185	3098
2447	4	375	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1215	0	1414	215	30	185	2844
2448	7	119	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1282	0	1142	211	30	181	2635
2449	6	119	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1031	0	1084	211	30	181	2326
2450	8	119	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1723	0	56655	215	30	185	58593
2451	8	375	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	3218	0	46748	217	30	187	50183
2452	10	119	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1197	0	2266	1976	1788	188	5439
2453	13	119	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1207	0	5981	217	30	187	7405
2454	15	119	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1214	0	2256	1860	1672	188	5330
2455	20	119	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1215	0	1643	215	30	185	3073
2456	19	119	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1239	0	1411	217	30	187	2867
2457	19	375	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1225	0	1684	215	30	185	3124
2458	22	119	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1237	0	1172	219	31	188	2628
2459	21	119	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1142	0	697	216	30	186	2055
2460	23	119	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1697	0	59289	418	30	388	61404
2461	23	375	5	0	0	0	0	1	0	1024	0	16384	0	0	0	17408	3414	0	45016	217	30	187	48647
2462	25	119	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1215	0	2221	1827	1639	188	5263
2463	28	119	4	0	0	0	0	1	0	1024	0	2048	0	0	0	3072	1224	0	5985	218	30	188	7427
2464	0	120	1	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1241	0	2239	1928	1740	188	5408
2465	5	120	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1126	0	1463	216	30	186	2805
2466	4	120	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1202	0	1474	216	30	186	2892
