model	seq	stage	kind	op	count	solo_ns	source
gqa2	512	24	0	l1.s24.proj	16	18303.76967	instance
gqa2	512	25	1	l1.s25.norm	512	1584.633492	instance
gqa2	512	26	0	l1.s26.proj	32	18303.76967	instance
gqa2	512	27	0	l1.s27.proj	32	18303.76967	instance
gqa2	512	28	4	l1.s28.act	512	419.8411039	instance
gqa2	512	29	0	l1.s29.proj	16	30235.10336	instance
mha4	4	0	1	l0.s00.norm	4	1584.633492	instance
mha4	4	1	0	l0.s01.proj	4	18303.76967	instance
mha4	4	2	0	l0.s02.proj	4	18303.76967	instance
mha4	4	3	0	l0.s03.proj	4	18303.76967	instance
mha4	4	4	2	l0.s04.rope	16	237.1487946	instance
mha4	4	5	2	l0.s05.rope	16	237.1487946	instance
mha4	4	6	3	l0.s06.append	16	233.9436664	instance
mha4	4	7	3	l0.s07.append	16	233.9436664	instance
mha4	4	8	5	l0.s08.attn	16	701.8129468	instance
mha4	4	9	0	l0.s09.proj	4	18303.76967	instance
mha4	4	10	1	l0.s10.norm	4	1584.633492	instance
mha4	4	11	0	l0.s11.proj	8	18303.76967	instance
mha4	4	12	0	l0.s12.proj	8	18303.76967	instance
mha4	4	13	4	l0.s13.act	4	419.8411039	instance
mha4	4	14	0	l0.s14.proj	4	30235.10336	instance
mha4	4	15	1	l1.s15.norm	4	1584.633492	instance
mha4	4	16	0	l1.s16.proj	4	18303.76967	instance
mha4	4	17	0	l1.s17.proj	4	18303.76967	instance
mha4	4	18	0	l1.s18.proj	4	18303.76967	instance
mha4	4	19	2	l1.s19.rope	16	237.1487946	instance
mha4	4	20	2	l1.s20.rope	16	237.1487946	instance
mha4	4	21	3	l1.s21.append	16	233.9436664	instance
mha4	4	22	3	l1.s22.append	16	233.9436664	instance
mha4	4	23	5	l1.s23.attn	16	701.8129468	instance
mha4	4	24	0	l1.s24.proj	4	18303.76967	instance
mha4	4	25	1	l1.s25.norm	4	1584.633492	instance
mha4	4	26	0	l1.s26.proj	8	18303.76967	instance
mha4	4	27	0	l1.s27.proj	8	18303.76967	instance
mha4	4	28	4	l1.s28.act	4	419.8411039	instance
mha4	4	29	0	l1.s29.proj	4	30235.10336	instance
mha4	4	30	1	l2.s30.norm	4	1584.633492	instance
mha4	4	31	0	l2.s31.proj	4	18303.76967	instance
mha4	4	32	0	l2.s32.proj	4	18303.76967	instance
mha4	4	33	0	l2.s33.proj	4	18303.76967	instance
mha4	4	34	2	l2.s34.rope	16	237.1487946	instance
mha4	4	35	2	l2.s35.rope	16	237.1487946	instance
mha4	4	36	3	l2.s36.append	16	233.9436664	instance
mha4	4	37	3	l2.s37.append	16	233.9436664	instance
mha4	4	38	5	l2.s38.attn	16	701.8129468	instance
mha4	4	39	0	l2.s39.proj	4	18303.76967	instance
mha4	4	40	1	l2.s40.norm	4	1584.633492	instance
mha4	4	41	0	l2.s41.proj	8	18303.76967	instance
mha4	4	42	0	l2.s42.proj	8	18303.76967	instance
mha4	4	43	4	l2.s43.act	4	419.8411039	instance
mha4	4	44	0	l2.s44.proj	4	30235.10336	instance
mha4	4	45	1	l3.s45.norm	4	1584.633492	instance
mha4	4	46	0	l3.s46.proj	4	18303.76967	instance
mha4	4	47	0	l3.s47.proj	4	18303.76967	instance
mha4	4	48	0	l3.s48.proj	4	18303.76967	instance
mha4	4	49	2	l3.s49.rope	16	237.1487946	instance
mha4	4	50	2	l3.s50.rope	16	237.1487946	instance
mha4	4	51	3	l3.s51.append	16	233.9436664	instance
mha4	4	52	3	l3.s52.append	16	233.9436664	instance
mha4	4	53	5	l3.s53.attn	16	701.8129468	instance
mha4	4	54	0	l3.s54.proj	4	18303.76967	instance
mha4	4	55	1	l3.s55.norm	4	1584.633492	instance
mha4	4	56	0	l3.s56.proj	8	18303.76967	instance
mha4	4	57	0	l3.s57.proj	8	18303.76967	instance
mha4	4	58	4	l3.s58.act	4	419.8411039	instance
mha4	4	59	0	l3.s59.proj	4	30235.10336	instance
mha4	128	0	1	l0.s00.norm	128	1584.633492	instance
mha4	128	1	0	l0.s01.proj	4	18303.76967	instance
mha4	128	2	0	l0.s02.proj	4	18303.76967	instance
mha4	128	3	0	l0.s03.proj	4	18303.76967	instance
mha4	128	4	2	l0.s04.rope	512	237.1487946	instance
mha4	128	5	2	l0.s05.rope	512	237.1487946	instance
mha4	128	6	3	l0.s06.append	512	233.9436664	instance
mha4	128	7	3	l0.s07.append	512	233.9436664	instance
mha4	128	8	5	l0.s08.attn	512	1496.684749	instance
mha4	128	9	0	l0.s09.proj	4	18303.76967	instance
mha4	128	10	1	l0.s10.norm	128	1584.633492	instance
mha4	128	11	0	l0.s11.proj	8	18303.76967	instance
mha4	128	12	0	l0.s12.proj	8	18303.76967	instance
mha4	128	13	4	l0.s13.act	128	419.8411039	instance
mha4	128	14	0	l0.s14.proj	4	30235.10336	instance
mha4	128	15	1	l1.s15.norm	128	1584.633492	instance
mha4	128	16	0	l1.s16.proj	4	18303.76967	instance
mha4	128	17	0	l1.s17.proj	4	18303.76967	instance
mha4	128	18	0	l1.s18.proj	4	18303.76967	instance
mha4	128	19	2	l1.s19.rope	512	237.1487946	instance
mha4	128	20	2	l1.s20.rope	512	237.1487946	instance
mha4	128	21	3	l1.s21.append	512	233.9436664	instance
mha4	128	22	3	l1.s22.append	512	233.9436664	instance
mha4	128	23	5	l1.s23.attn	512	1496.684749	instance
mha4	128	24	0	l1.s24.proj	4	18303.76967	instance
mha4	128	25	1	l1.s25.norm	128	1584.633492	instance
mha4	128	26	0	l1.s26.proj	8	18303.76967	instance
mha4	128	27	0	l1.s27.proj	8	18303.76967	instance
mha4	128	28	4	l1.s28.act	128	419.8411039	instance
mha4	128	29	0	l1.s29.proj	4	30235.10336	instance
mha4	128	30	1	l2.s30.norm	128	1584.633492	instance
mha4	128	31	0	l2.s31.proj	4	18303.76967	instance
mha4	128	32	0	l2.s32.proj	4	18303.76967	instance
mha4	128	33	0	l2.s33.proj	4	18303.76967	instance
mha4	128	34	2	l2.s34.rope	512	237.1487946	instance
mha4	128	35	2	l2.s35.rope	512	237.1487946	instance
mha4	128	36	3	l2.s36.append	512	233.9436664	instance
mha4	128	37	3	l2.s37.append	512	233.9436664	instance
mha4	128	38	5	l2.s38.attn	512	1496.684749	instance
mha4	128	39	0	l2.s39.proj	4	18303.76967	instance
mha4	128	40	1	l2.s40.norm	128	1584.633492	instance
mha4	128	41	0	l2.s41.proj	8	18303.76967	instance
mha4	128	42	0	l2.s42.proj	8	18303.76967	instance
mha4	128	43	4	l2.s43.act	128	419.8411039	instance
mha4	128	44	0	l2.s44.proj	4	30235.10336	instance
mha4	128	45	1	l3.s45.norm	128	1584.633492	instance
mha4	128	46	0	l3.s46.proj	4	18303.76967	instance
mha4	128	47	0	l3.s47.proj	4	18303.76967	instance
mha4	128	48	0	l3.s48.proj	4	18303.76967	instance
mha4	128	49	2	l3.s49.rope	512	237.1487946	instance
mha4	128	50	2	l3.s50.rope	512	237.1487946	instance
mha4	128	51	3	l3.s51.append	512	233.9436664	instance
mha4	128	52	3	l3.s52.append	512	233.9436664	instance
mha4	128	53	5	l3.s53.attn	512	1496.684749	instance
mha4	128	54	0	l3.s54.proj	4	18303.76967	instance
mha4	128	55	1	l3.s55.norm	128	1584.633492	instance
mha4	128	56	0	l3.s56.proj	8	18303.76967	instance
mha4	128	57	0	l3.s57.proj	8	18303.76967	instance
mha4	128	58	4	l3.s58.act	128	419.8411039	instance
mha4	128	59	0	l3.s59.proj	4	30235.10336	instance
mha4	512	0	1	l0.s00.norm	512	1713.447226	instance
mha4	512	1	0	l0.s01.proj	16	23928.64391	instance
mha4	512	2	0	l0.s02.proj	16	23928.64391	instance
mha4	512	3	0	l0.s03.proj	16	23928.64391	instance
mha4	512	4	2	l0.s04.rope	2048	263.9849892	instance
mha4	512	5	2	l0.s05.rope	2048	263.9849892	instance
mha4	512	6	3	l0.s06.append	2048	255.4126221	instance
mha4	512	7	3	l0.s07.append	2048	255.4126221	instance
mha4	512	8	5	l0.s08.attn	2048	9550.886185	instance
mha4	512	9	0	l0.s09.proj	16	23928.64391	instance
mha4	512	10	1	l0.s10.norm	512	1713.447226	instance
mha4	512	11	0	l0.s11.proj	32	23928.64391	instance
mha4	512	12	0	l0.s12.proj	32	23928.64391	instance
mha4	512	13	4	l0.s13.act	512	677.468572	instance
mha4	512	14	0	l0.s14.proj	16	41484.85184	instance
mha4	512	15	1	l1.s15.norm	512	1713.447226	instance
mha4	512	16	0	l1.s16.proj	16	23928.64391	instance
mha4	512	17	0	l1.s17.proj	16	23928.64391	instance
mha4	512	18	0	l1.s18.proj	16	23928.64391	instance
mha4	512	19	2	l1.s19.rope	2048	263.9849892	instance
mha4	512	20	2	l1.s20.rope	2048	263.9849892	instance
mha4	512	21	3	l1.s21.append	2048	255.4126221	instance
mha4	512	22	3	l1.s22.append	2048	255.4126221	instance
mha4	512	23	5	l1.s23.attn	2048	9550.886185	instance
mha4	512	24	0	l1.s24.proj	16	23928.64391	instance
mha4	512	25	1	l1.s25.norm	512	1713.447226	instance
mha4	512	26	0	l1.s26.proj	32	23928.64391	instance
mha4	512	27	0	l1.s27.proj	32	23928.64391	instance
mha4	512	28	4	l1.s28.act	512	677.468572	instance
mha4	512	29	0	l1.s29.proj	16	41484.85184	instance
mha4	512	30	1	l2.s30.norm	512	1713.447226	instance
mha4	512	31	0	l2.s31.proj	16	23928.64391	instance
mha4	512	32	0	l2.s32.proj	16	23928.64391	instance
mha4	512	33	0	l2.s33.proj	16	23928.64391	instance
mha4	512	34	2	l2.s34.rope	2048	263.9849892	instance
mha4	512	35	2	l2.s35.rope	2048	263.9849892	instance
mha4	512	36	3	l2.s36.append	2048	255.4126221	instance
mha4	512	37	3	l2.s37.append	2048	255.4126221	instance
mha4	512	38	5	l2.s38.attn	2048	9550.886185	instance
mha4	512	39	0	l2.s39.proj	16	23928.64391	instance
mha4	512	40	1	l2.s40.norm	512	1713.447226	instance
mha4	512	41	0	l2.s41.proj	32	23928.64391	instance
mha4	512	42	0	l2.s42.proj	32	23928.64391	instance
mha4	512	43	4	l2.s43.act	512	677.468572	instance
mha4	512	44	0	l2.s44.proj	16	41484.85184	instance
mha4	512	45	1	l3.s45.norm	512	1713.447226	instance
mha4	512	46	0	l3.s46.proj	16	23928.64391	instance
mha4	512	47	0	l3.s47.proj	16	23928.64391	instance
mha4	512	48	0	l3.s48.proj	16	23928.64391	instance
mha4	512	49	2	l3.s49.rope	2048	263.9849892	instance
mha4	512	50	2	l3.s50.rope	2048	263.9849892	instance
mha4	512	51	3	l3.s51.append	2048	255.4126221	instance
mha4	512	52	3	l3.s52.append	2048	255.4126221	instance
mha4	512	53	5	l3.s53.attn	2048	9550.886185	instance
mha4	512	54	0	l3.s54.proj	16	23928.64391	instance
mha4	512	55	1	l3.s55.norm	512	1713.447226	instance
mha4	512	56	0	l3.s56.proj	32	23928.64391	instance
mha4	512	57	0	l3.s57.proj	32	23928.64391	instance
mha4	512	58	4	l3.s58.act	512	677.468572	instance
mha4	512	59	0	l3.s59.proj	16	41484.85184	instance
real	4	0	1	l0.s00.norm	4	3291.274528	instance
real	4	1	0	l0.s01.proj	32	143253.6676	instance
real	4	2	0	l0.s02.proj	8	143253.6676	instance
real	4	3	0	l0.s03.proj	8	143253.6676	instance
real	4	4	2	l0.s04.rope	128	262.8959903	instance
real	4	5	2	l0.s05.rope	32	262.8959903	instance
real	4	6	3	l0.s06.append	32	254.5414229	instance
real	4	7	3	l0.s07.append	32	254.5414229	instance
real	4	8	5	l0.s08.attn	128	835.6983641	instance
real	4	9	0	l0.s09.proj	32	143253.6676	instance
real	4	10	1	l0.s10.norm	4	3291.274528	instance
real	4	11	0	l0.s11.proj	112	143253.6676	instance
real	4	12	0	l0.s12.proj	112	143253.6676	instance
real	4	13	4	l0.s13.act	4	6546.930886	instance
real	4	14	0	l0.s14.proj	32	485456.7466	instance
real	4	15	1	l1.s15.norm	4	3291.274528	instance
real	4	16	0	l1.s16.proj	32	143253.6676	instance
real	4	17	0	l1.s17.proj	8	143253.6676	instance
real	4	18	0	l1.s18.proj	8	143253.6676	instance
real	4	19	2	l1.s19.rope	128	262.8959903	instance
real	4	20	2	l1.s20.rope	32	262.8959903	instance
real	4	21	3	l1.s21.append	32	254.5414229	instance
real	4	22	3	l1.s22.append	32	254.5414229	instance
real	4	23	5	l1.s23.attn	128	835.6983641	instance
real	4	24	0	l1.s24.proj	32	143253.6676	instance
real	4	25	1	l1.s25.norm	4	3291.274528	instance
real	4	26	0	l1.s26.proj	112	143253.6676	instance
real	4	27	0	l1.s27.proj	112	143253.6676	instance
real	4	28	4	l1.s28.act	4	6546.930886	instance
real	4	29	0	l1.s29.proj	32	485456.7466	instance
real	4	30	1	l2.s30.norm	4	3291.274528	instance
real	4	31	0	l2.s31.proj	32	143253.6676	instance
real	4	32	0	l2.s32.proj	8	143253.6676	instance
real	4	33	0	l2.s33.proj	8	143253.6676	instance
real	4	34	2	l2.s34.rope	128	262.8959903	instance
real	4	35	2	l2.s35.rope	32	262.8959903	instance
real	4	36	3	l2.s36.append	32	254.5414229	instance
real	4	37	3	l2.s37.append	32	254.5414229	instance
real	4	38	5	l2.s38.attn	128	835.6983641	instance
real	4	39	0	l2.s39.proj	32	143253.6676	instance
real	4	40	1	l2.s40.norm	4	3291.274528	instance
real	4	41	0	l2.s41.proj	112	143253.6676	instance
real	4	42	0	l2.s42.proj	112	143253.6676	instance
real	4	43	4	l2.s43.act	4	6546.930886	instance
real	4	44	0	l2.s44.proj	32	485456.7466	instance
real	4	45	1	l3.s45.norm	4	3291.274528	instance
real	4	46	0	l3.s46.proj	32	143253.6676	instance
real	4	47	0	l3.s47.proj	8	143253.6676	instance
real	4	48	0	l3.s48.proj	8	143253.6676	instance
real	4	49	2	l3.s49.rope	128	262.8959903	instance
real	4	50	2	l3.s50.rope	32	262.8959903	instance
real	4	51	3	l3.s51.append	32	254.5414229	instance
real	4	52	3	l3.s52.append	32	254.5414229	instance
real	4	53	5	l3.s53.attn	128	835.6983641	instance
real	4	54	0	l3.s54.proj	32	143253.6676	instance
real	4	55	1	l3.s55.norm	4	3291.274528	instance
real	4	56	0	l3.s56.proj	112	143253.6676	instance
real	4	57	0	l3.s57.proj	112	143253.6676	instance
real	4	58	4	l3.s58.act	4	6546.930886	instance
real	4	59	0	l3.s59.proj	32	485456.7466	instance
real	128	0	1	l0.s00.norm	128	3291.27217	instance
real	128	1	0	l0.s01.proj	32	143253.4663	instance
real	128	2	0	l0.s02.proj	8	143253.4663	instance
real	128	3	0	l0.s03.proj	8	143253.4663	instance
real	128	4	2	l0.s04.rope	4096	262.8959288	instance
real	128	5	2	l0.s05.rope	1024	262.8959288	instance
real	128	6	3	l0.s06.append	1024	254.5413738	instance
real	128	7	3	l0.s07.append	1024	254.5413738	instance
real	128	8	5	l0.s08.attn	4096	2907.627703	instance
real	128	9	0	l0.s09.proj	32	143253.4663	instance
real	128	10	1	l0.s10.norm	128	3291.27217	instance
real	128	11	0	l0.s11.proj	112	143253.4663	instance
real	128	12	0	l0.s12.proj	112	143253.4663	instance
real	128	13	4	l0.s13.act	128	6546.922632	instance
real	128	14	0	l0.s14.proj	32	485456.0422	instance
real	128	15	1	l1.s15.norm	128	3291.27217	instance
real	128	16	0	l1.s16.proj	32	143253.4663	instance
real	128	17	0	l1.s17.proj	8	143253.4663	instance
real	128	18	0	l1.s18.proj	8	143253.4663	instance
real	128	19	2	l1.s19.rope	4096	262.8959288	instance
real	128	20	2	l1.s20.rope	1024	262.8959288	instance
real	128	21	3	l1.s21.append	1024	254.5413738	instance
real	128	22	3	l1.s22.append	1024	254.5413738	instance
real	128	23	5	l1.s23.attn	4096	2907.627703	instance
real	128	24	0	l1.s24.proj	32	143253.4663	instance
real	128	25	1	l1.s25.norm	128	3291.27217	instance
real	128	26	0	l1.s26.proj	112	143253.4663	instance
real	128	27	0	l1.s27.proj	112	143253.4663	instance
real	128	28	4	l1.s28.act	128	6546.922632	instance
real	128	29	0	l1.s29.proj	32	485456.0422	instance
real	128	30	1	l2.s30.norm	128	3291.27217	instance
real	128	31	0	l2.s31.proj	32	143253.4663	instance
real	128	32	0	l2.s32.proj	8	143253.4663	instance
real	128	33	0	l2.s33.proj	8	143253.4663	instance
real	128	34	2	l2.s34.rope	4096	262.8959288	instance
real	128	35	2	l2.s35.rope	1024	262.8959288	instance
real	128	36	3	l2.s36.append	1024	254.5413738	instance
real	128	37	3	l2.s37.append	1024	254.5413738	instance
real	128	38	5	l2.s38.attn	4096	2907.627703	instance
real	128	39	0	l2.s39.proj	32	143253.4663	instance
real	128	40	1	l2.s40.norm	128	3291.27217	instance
real	128	41	0	l2.s41.proj	112	143253.4663	instance
real	128	42	0	l2.s42.proj	112	143253.4663	instance
real	128	43	4	l2.s43.act	128	6546.922632	instance
real	128	44	0	l2.s44.proj	32	485456.0422	instance
real	128	45	1	l3.s45.norm	128	3291.27217	instance
real	128	46	0	l3.s46.proj	32	143253.4663	instance
real	128	47	0	l3.s47.proj	8	143253.4663	instance
real	128	48	0	l3.s48.proj	8	143253.4663	instance
real	128	49	2	l3.s49.rope	4096	262.8959288	instance
real	128	50	2	l3.s50.rope	1024	262.8959288	instance
real	128	51	3	l3.s51.append	1024	254.5413738	instance
real	128	52	3	l3.s52.append	1024	254.5413738	instance
real	128	53	5	l3.s53.attn	4096	2907.627703	instance
real	128	54	0	l3.s54.proj	32	143253.4663	instance
real	128	55	1	l3.s55.norm	128	3291.27217	instance
real	128	56	0	l3.s56.proj	112	143253.4663	instance
real	128	57	0	l3.s57.proj	112	143253.4663	instance
real	128	58	4	l3.s58.act	128	6546.922632	instance
real	128	59	0	l3.s59.proj	32	485456.0422	instance
