mode	seq	workers	resident_limit	tasks	edges	same_worker_edges	producer_tasks	fence_free_producers	cross_worker_fraction	same_worker_fraction	used_workers	max_queue	queue_cap	min	p50	p95	max	forward_worker_span	slot_span_below_limit	resident_grid_safe	queue_cycle	overresident_proven	pareto	gate	strict_dominance
band_tiling_balanced_100	128	16	256	2104	135774	8542	2100	548	0.937087	0.0629134	16	142	142	-115	72	122	141	14	1	1	0	0	0	0	0
band_tiling_balanced_110	128	16	256	2104	135774	8325	2100	569	0.938685	0.0613151	16	156	156	-131	56	133	153	14	1	1	0	0	0	0	0
band_tiling_balanced_120	128	16	256	2104	135774	7871	2100	549	0.942029	0.0579713	16	170	170	-146	54	121	165	14	1	1	0	0	0	0	0
wavefront_balanced_100	128	16	256	2104	135774	10284	2100	571	0.924256	0.0757435	16	142	142	-115	69	124	141	14	1	1	0	0	0	1	1
wavefront_balanced_110	128	16	256	2104	135774	10649	2100	541	0.921568	0.0784318	16	156	156	-131	63	135	155	14	1	1	0	0	0	1	0
wavefront_balanced_120	128	16	256	2104	135774	9628	2100	602	0.929088	0.070912	16	170	170	-146	64	140	169	14	1	1	0	0	0	1	0
stage_major	128	256	256	2104	135774	584	2100	35	0.995699	0.00430127	256	22	0	-8	3	5	11	255	1	1	0	0	0	0	0
affine	128	256	256	2104	135774	525	2100	0	0.996133	0.00386672	256	9	0	0	4	7	8	255	1	1	0	0	1	0	0
band_tiling	128	256	256	2104	135774	3652	2100	1188	0.973102	0.0268976	128	425	0	-32	195	369	395	127	0	1	0	0	1	0	0
wavefront	128	256	256	2104	135774	3652	2100	1188	0.973102	0.0268976	128	425	0	-32	195	369	395	127	0	1	0	0	1	0	0
affine_balanced_100	128	256	256	2104	135774	1883	2100	541	0.986131	0.0138686	256	22	22	-19	4	6	21	254	1	1	0	0	0	1	1
affine_balanced_110	128	256	256	2104	135774	1916	2100	541	0.985888	0.0141117	256	24	24	-21	3	7	23	254	1	1	0	0	0	1	0
affine_balanced_120	128	256	256	2104	135774	1948	2100	542	0.985653	0.0143474	256	26	26	-23	3	9	25	254	1	1	0	0	0	1	0
band_tiling_balanced_100	128	256	256	2104	135774	1913	2100	536	0.98591	0.0140896	256	22	22	-19	5	9	20	252	1	1	0	0	1	1	1
band_tiling_balanced_110	128	256	256	2104	135774	1946	2100	537	0.985667	0.0143326	256	24	24	-21	5	9	22	253	1	1	0	0	1	1	0
band_tiling_balanced_120	128	256	256	2104	135774	1979	2100	539	0.985424	0.0145757	256	26	26	-23	5	9	24	250	1	1	0	0	1	1	0
wavefront_balanced_100	128	256	256	2104	135774	1913	2100	536	0.98591	0.0140896	256	22	22	-19	5	9	20	252	1	1	0	0	1	1	1
wavefront_balanced_110	128	256	256	2104	135774	1946	2100	537	0.985667	0.0143326	256	24	24	-21	5	9	22	253	1	1	0	0	1	1	0
wavefront_balanced_120	128	256	256	2104	135774	1979	2100	539	0.985424	0.0145757	256	26	26	-23	5	9	24	250	1	1	0	0	1	1	0
stage_major	512	16	256	14560	2128248	134040	14544	1145	0.937019	0.0629814	16	913	0	-4	383	677	772	15	0	1	0	0	0	0	0
affine	512	16	256	14560	2128248	132684	14544	0	0.937656	0.0623442	16	910	0	0	446	797	896	15	0	1	0	0	1	0	0
band_tiling	512	16	256	14560	2128248	142968	14544	10544	0.932824	0.0671764	16	952	0	-13	445	796	907	15	0	1	0	0	0	0	0
wavefront	512	16	256	14560	2128248	143352	14544	10548	0.932643	0.0673568	16	1848	0	-1033	-61	1010	1808	15	0	1	0	0	0	0	0
affine_balanced_100	512	16	256	14560	2128248	227228	14544	2929	0.893232	0.106768	16	913	913	-911	222	684	908	15	0	1	0	0	0	1	1
affine_balanced_110	512	16	256	14560	2128248	279330	14544	2989	0.868751	0.131249	16	1004	1004	-1002	221	689	996	15	0	1	0	0	0	1	0
affine_balanced_120	512	16	256	14560	2128248	330912	14544	2631	0.844514	0.155486	16	1095	1095	-1075	221	708	1090	15	0	1	0	0	0	1	0
band_tiling_balanced_100	512	16	256	14560	2128248	227352	14544	2759	0.893174	0.106826	16	913	913	-899	222	684	908	14	0	1	0	0	1	1	1
band_tiling_balanced_110	512	16	256	14560	2128248	279525	14544	2579	0.86866	0.13134	16	1004	1004	-987	222	689	996	14	0	1	0	0	0	1	0
band_tiling_balanced_120	512	16	256	14560	2128248	331748	14544	2776	0.844122	0.155878	16	1095	1095	-1075	221	708	1090	14	0	1	0	0	1	1	0
wavefront_balanced_100	512	16	256	14560	2128248	227173	14544	2726	0.893258	0.106742	16	913	913	-911	222	684	908	14	0	1	0	0	0	1	1
wavefront_balanced_110	512	16	256	14560	2128248	279710	14544	2754	0.868573	0.131427	16	1004	1004	-1002	222	689	996	14	0	1	0	0	1	1	0
wavefront_balanced_120	512	16	256	14560	2128248	331648	14544	3037	0.844169	0.155831	16	1095	1095	-1075	221	708	1090	14	0	1	0	0	0	1	0
stage_major	512	256	256	14560	2128248	8514	14544	185	0.996	0.00400047	256	70	0	-8	24	42	53	255	1	1	0	0	0	0	0
affine	512	256	256	14560	2128248	8292	14544	0	0.996104	0.00389616	256	57	0	0	28	50	56	255	1	1	0	0	1	0	0
band_tiling	512	256	256	14560	2128248	18888	14544	10424	0.991125	0.00887491	256	112	0	-13	27	49	68	255	1	1	0	0	0	0	0
wavefront	512	256	256	14560	2128248	19392	14544	10428	0.990888	0.00911172	256	1128	0	-1033	-492	-22	1088	254	0	1	0	0	0	0	0
affine_balanced_100	512	256	256	14560	2128248	19666	14544	2154	0.99076	0.00924046	256	70	70	-62	24	49	68	254	1	1	0	0	0	1	1
affine_balanced_110	512	256	256	14560	2128248	19823	14544	2152	0.990686	0.00931423	256	77	77	-69	23	49	73	253	1	1	0	0	0	1	0
affine_balanced_120	512	256	256	14560	2128248	20330	14544	2179	0.990448	0.00955246	256	84	84	-76	22	48	82	253	1	1	0	0	0	1	0
band_tiling_balanced_100	512	256	256	14560	2128248	21453	14544	2154	0.98992	0.0100801	256	70	70	-62	28	60	69	250	1	1	0	0	1	1	1
band_tiling_balanced_110	512	256	256	14560	2128248	19890	14544	2173	0.990654	0.00934572	256	77	77	-69	25	56	76	250	1	1	0	0	0	1	0
band_tiling_balanced_120	512	256	256	14560	2128248	19062	14544	2187	0.991043	0.00895666	256	84	84	-76	24	51	83	250	1	1	0	0	0	1	0
wavefront_balanced_100	512	256	256	14560	2128248	16335	14544	2148	0.992325	0.00767533	256	70	70	-62	25	50	69	251	1	1	0	0	0	1	1
wavefront_balanced_110	512	256	256	14560	2128248	20223	14544	2160	0.990498	0.00950218	256	77	77	-69	24	49	76	250	1	1	0	0	0	1	0
wavefront_balanced_120	512	256	256	14560	2128248	16870	14544	2199	0.992073	0.00792671	256	84	84	-76	24	51	83	251	1	1	0	0	0	1	0
