stage	task	category	start_ns	end_ns	wait_ns	fixed_ns	mainloop_ns	publication_ns	hop_ns
29	63	gemm	806626.0823043132	821803.10666604002	1764.368211	3090.9534960000001	9247.5742517268518	1074.1284029999999	1235.411801
30	3	rmsnorm	823038.51846704003	827792.11687439785	1764.368211	843.63354040000002	1071.468252957915	1074.1284029999999	1235.411801
31	95	swiglu_gemm	829027.52867539786	891067.03957315045	1764.368211	4569.3484520000002	54631.665831752704	1074.1284029999999	1235.411801
32	63	gemm	892302.45137415046	925974.62423933099	1764.368211	3090.9534960000001	27742.722755180555	1074.1284029999999	1235.411801
33	3	rmsnorm	927210.036040331	931963.63444768882	1764.368211	843.63354040000002	1071.468252957915	1074.1284029999999	1235.411801
34	127	gemm	933199.04624868883	956964.08832374425	1764.368211	2788.1533880000002	18138.392073055496	1074.1284029999999	1235.411801
35	156	fused_attention	961660.02045914414	1030991.1899166801	1764.368211	13668.33473	52824.33811353601	1074.1284029999999	1235.411801
36	31	attention_merge	1032226.6017176801	1037107.4696802612	1764.368211	1586.404417	455.96693158114795	1074.1284029999999	1235.411801
37	63	gemm	1038342.8814812612	1053519.9058429881	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
38	3	rmsnorm	1054755.3176439879	1059508.9160513459	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
39	95	swiglu_gemm	1060744.3278523458	1122783.8387500984	1764.368211	4569.3484520000002	54631.665831752587	1074.1284029999999	1235.411801
40	63	gemm	1124019.2505510983	1157691.4234162788	1764.368211	3090.9534960000001	27742.722755180439	1074.1284029999999	1235.411801
41	3	rmsnorm	1158926.8352172787	1163680.4336246366	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
42	127	gemm	1164915.8454256365	1188680.8875006922	1764.368211	2788.1533880000002	18138.392073055496	1074.1284029999999	1235.411801
43	156	fused_attention	1193376.8196360921	1262707.989093628	1764.368211	13668.33473	52824.338113535894	1074.1284029999999	1235.411801
44	31	attention_merge	1263943.4008946279	1268824.2688572092	1764.368211	1586.404417	455.96693158126436	1074.1284029999999	1235.411801
45	63	gemm	1270059.6806582091	1285236.705019936	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
46	3	rmsnorm	1286472.1168209359	1291225.7152282938	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
47	95	swiglu_gemm	1292461.1270292937	1354500.6379270465	1764.368211	4569.3484520000002	54631.66583175282	1074.1284029999999	1235.411801
48	63	gemm	1355736.0497280464	1389408.2225932269	1764.368211	3090.9534960000001	27742.722755180439	1074.1284029999999	1235.411801
49	3	rmsnorm	1390643.6343942268	1395397.2328015848	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
50	127	gemm	1396632.6446025847	1420397.6866776403	1764.368211	2788.1533880000002	18138.392073055496	1074.1284029999999	1235.411801
51	156	fused_attention	1425093.6188130402	1494424.7882705762	1764.368211	13668.33473	52824.338113535894	1074.1284029999999	1235.411801
52	31	attention_merge	1495660.2000715761	1500541.0680341574	1764.368211	1586.404417	455.96693158126436	1074.1284029999999	1235.411801
53	63	gemm	1501776.4798351573	1516953.5041968841	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
54	3	rmsnorm	1518188.915997884	1522942.5144052419	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
55	95	swiglu_gemm	1524177.9262062418	1586217.4371039947	1764.368211	4569.3484520000002	54631.66583175282	1074.1284029999999	1235.411801
56	63	gemm	1587452.8489049945	1621125.0217701751	1764.368211	3090.9534960000001	27742.722755180439	1074.1284029999999	1235.411801
57	3	rmsnorm	1622360.433571175	1627114.0319785329	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
58	127	gemm	1628349.4437795328	1652114.4858545884	1764.368211	2788.1533880000002	18138.392073055496	1074.1284029999999	1235.411801
59	156	fused_attention	1656810.4179899883	1726141.5874475243	1764.368211	13668.33473	52824.338113535894	1074.1284029999999	1235.411801
60	31	attention_merge	1727376.9992485242	1732257.8672111055	1764.368211	1586.404417	455.96693158126436	1074.1284029999999	1235.411801
61	63	gemm	1733493.2790121054	1748670.3033738323	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
62	3	rmsnorm	1749905.7151748321	1754659.3135821901	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
63	95	swiglu_gemm	1755894.72538319	1817934.2362809428	1764.368211	4569.3484520000002	54631.66583175282	1074.1284029999999	1235.411801
64	63	gemm	1819169.6480819427	1852841.8209471232	1764.368211	3090.9534960000001	27742.722755180439	1074.1284029999999	1235.411801
65	3	rmsnorm	1854077.2327481231	1858830.831155481	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
66	127	gemm	1860066.2429564809	1883831.2850315366	1764.368211	2788.1533880000002	18138.392073055496	1074.1284029999999	1235.411801
67	156	fused_attention	1888527.2171669365	1957858.3866244724	1764.368211	13668.33473	52824.338113535894	1074.1284029999999	1235.411801
68	31	attention_merge	1959093.7984254723	1963974.6663880537	1764.368211	1586.404417	455.96693158126436	1074.1284029999999	1235.411801
69	63	gemm	1965210.0781890536	1980387.1025507804	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
70	3	rmsnorm	1981622.5143517803	1986376.1127591382	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
71	95	swiglu_gemm	1987611.5245601381	2049651.0354578909	1764.368211	4569.3484520000002	54631.66583175282	1074.1284029999999	1235.411801
72	63	gemm	2050886.4472588908	2084558.6201240714	1764.368211	3090.9534960000001	27742.722755180439	1074.1284029999999	1235.411801
73	3	rmsnorm	2085794.0319250713	2090547.6303324292	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
74	127	gemm	2091783.0421334291	2115548.0842084847	1764.368211	2788.1533880000002	18138.392073055496	1074.1284029999999	1235.411801
75	156	fused_attention	2120244.0163438851	2189575.1858014213	1764.368211	13668.33473	52824.338113536127	1074.1284029999999	1235.411801
76	31	attention_merge	2190810.5976024214	2195691.4655650025	1764.368211	1586.404417	455.96693158103153	1074.1284029999999	1235.411801
77	63	gemm	2196926.8773660026	2212103.9017277295	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
78	3	rmsnorm	2213339.3135287296	2218092.9119360875	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
79	95	swiglu_gemm	2219328.3237370877	2281367.8346348405	1764.368211	4569.3484520000002	54631.665831752587	1074.1284029999999	1235.411801
80	63	gemm	2282603.2464358406	2316275.4193010214	1764.368211	3090.9534960000001	27742.722755180672	1074.1284029999999	1235.411801
81	3	rmsnorm	2317510.8311020215	2322264.4295093794	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
82	127	gemm	2323499.8413103796	2347264.8833854357	1764.368211	2788.1533880000002	18138.392073055729	1074.1284029999999	1235.411801
83	156	fused_attention	2351960.815520836	2421291.9849783722	1764.368211	13668.33473	52824.338113536127	1074.1284029999999	1235.411801
84	31	attention_merge	2422527.3967793724	2427408.2647419535	1764.368211	1586.404417	455.96693158103153	1074.1284029999999	1235.411801
85	63	gemm	2428643.6765429536	2443820.7009046804	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
86	3	rmsnorm	2445056.1127056805	2449809.7111130385	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
87	95	swiglu_gemm	2451045.1229140386	2513084.6338117914	1764.368211	4569.3484520000002	54631.665831752587	1074.1284029999999	1235.411801
88	63	gemm	2514320.0456127916	2547992.2184779723	1764.368211	3090.9534960000001	27742.722755180672	1074.1284029999999	1235.411801
89	3	rmsnorm	2549227.6302789724	2553981.2286863304	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
90	127	gemm	2555216.6404873305	2578981.6825623866	1764.368211	2788.1533880000002	18138.392073055729	1074.1284029999999	1235.411801
91	156	fused_attention	2583677.614697787	2653008.7841553232	1764.368211	13668.33473	52824.338113536127	1074.1284029999999	1235.411801
92	31	attention_merge	2654244.1959563233	2659125.0639189044	1764.368211	1586.404417	455.96693158103153	1074.1284029999999	1235.411801
93	63	gemm	2660360.4757199045	2675537.5000816314	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
94	3	rmsnorm	2676772.9118826315	2681526.5102899894	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
95	95	swiglu_gemm	2682761.9220909895	2744801.4329887424	1764.368211	4569.3484520000002	54631.665831752587	1074.1284029999999	1235.411801
96	63	gemm	2746036.8447897425	2779709.0176549233	1764.368211	3090.9534960000001	27742.722755180672	1074.1284029999999	1235.411801
97	3	rmsnorm	2780944.4294559234	2785698.0278632813	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
98	127	gemm	2786933.4396642814	2810698.4817393376	1764.368211	2788.1533880000002	18138.392073055729	1074.1284029999999	1235.411801
99	156	fused_attention	2815394.4138747379	2884725.5833322741	1764.368211	13668.33473	52824.338113536127	1074.1284029999999	1235.411801
100	31	attention_merge	2885960.9951332742	2890841.8630958553	1764.368211	1586.404417	455.96693158103153	1074.1284029999999	1235.411801
101	63	gemm	2892077.2748968555	2907254.2992585823	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
102	3	rmsnorm	2908489.7110595824	2913243.3094669404	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
103	95	swiglu_gemm	2914478.7212679405	2976518.2321656933	1764.368211	4569.3484520000002	54631.665831752587	1074.1284029999999	1235.411801
104	63	gemm	2977753.6439666934	3011425.8168318742	1764.368211	3090.9534960000001	27742.722755180672	1074.1284029999999	1235.411801
105	3	rmsnorm	3012661.2286328743	3017414.8270402323	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
106	127	gemm	3018650.2388412324	3042415.2809162885	1764.368211	2788.1533880000002	18138.392073055729	1074.1284029999999	1235.411801
107	156	fused_attention	3047111.2130516889	3116442.382509225	1764.368211	13668.33473	52824.338113536127	1074.1284029999999	1235.411801
108	31	attention_merge	3117677.7943102252	3122558.6622728063	1764.368211	1586.404417	455.96693158103153	1074.1284029999999	1235.411801
109	63	gemm	3123794.0740738064	3138971.0984355332	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
110	3	rmsnorm	3140206.5102365334	3144960.1086438913	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
111	95	swiglu_gemm	3146195.5204448914	3208235.0313426442	1764.368211	4569.3484520000002	54631.665831752587	1074.1284029999999	1235.411801
112	63	gemm	3209470.4431436444	3243142.6160088251	1764.368211	3090.9534960000001	27742.722755180672	1074.1284029999999	1235.411801
113	3	rmsnorm	3244378.0278098253	3249131.6262171832	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
114	127	gemm	3250367.0380181833	3274132.0800932394	1764.368211	2788.1533880000002	18138.392073055729	1074.1284029999999	1235.411801
115	156	fused_attention	3278828.0122286398	3348159.181686176	1764.368211	13668.33473	52824.338113536127	1074.1284029999999	1235.411801
116	31	attention_merge	3349394.5934871761	3354275.4614497572	1764.368211	1586.404417	455.96693158103153	1074.1284029999999	1235.411801
117	63	gemm	3355510.8732507573	3370687.8976124842	1764.368211	3090.9534960000001	9247.5742517267354	1074.1284029999999	1235.411801
118	3	rmsnorm	3371923.3094134843	3376676.9078208422	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
119	95	swiglu_gemm	3377912.3196218424	3439951.8305195952	1764.368211	4569.3484520000002	54631.665831752587	1074.1284029999999	1235.411801
120	63	gemm	3441187.2423205953	3474859.4151857761	1764.368211	3090.9534960000001	27742.722755180672	1074.1284029999999	1235.411801
121	3	rmsnorm	3476094.8269867762	3480848.4253941341	1764.368211	843.63354040000002	1071.4682529577985	1074.1284029999999	1235.411801
122	127	gemm	3482083.8371951343	3505848.8792701904	1764.368211	2788.1533880000002	18138.392073055729	1074.1284029999999	1235.411801
123	156	fused_attention	3510544.8114055907	3579875.9808631269	1764.368211	13668.33473	52824.338113536127	1074.1284029999999	1235.411801
124	31	attention_merge	3581111.3926641271	3585992.2606267082	1764.368211	1586.404417	455.96693158103153	1074.1284029999999	1235.411801
