dump	source	window
docs/experiments/PLACE_EFT2/raw/final/trace_b_mha4_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_chain.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_d_gqa2_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_chain.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_chain.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_d_mha4_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_chain.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_w_gqa2_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_chain.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_chain.cu	2
docs/experiments/PLACE_EFT2/raw/final/trace_w_mha4_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	2
docs/experiments/WINDOW/raw/final/trace_w1_gqa2_s128	docs/experiments/WINDOW/raw/src/gqa2_w1.cu	1
docs/experiments/WINDOW/raw/final/trace_w1_gqa2_s4	docs/experiments/WINDOW/raw/src/gqa2_w1.cu	1
docs/experiments/WINDOW/raw/final/trace_w1_mha4_s128	docs/experiments/WINDOW/raw/src/mha4_w1.cu	1
docs/experiments/WINDOW/raw/final/trace_w1_mha4_s4	docs/experiments/WINDOW/raw/src/mha4_w1.cu	1
docs/experiments/WINDOW/raw/final/trace_w2_gqa2_s128	docs/experiments/WINDOW/raw/src/gqa2_w2.cu	2
docs/experiments/WINDOW/raw/final/trace_w2_gqa2_s4	docs/experiments/WINDOW/raw/src/gqa2_w2.cu	2
docs/experiments/WINDOW/raw/final/trace_w2_mha4_s128	docs/experiments/WINDOW/raw/src/mha4_w2.cu	2
docs/experiments/WINDOW/raw/final/trace_w2_mha4_s4	docs/experiments/WINDOW/raw/src/mha4_w2.cu	2
docs/experiments/WINDOW/raw/final/trace_w4_gqa2_s128	docs/experiments/WINDOW/raw/src/gqa2_w4.cu	4
docs/experiments/WINDOW/raw/final/trace_w4_gqa2_s4	docs/experiments/WINDOW/raw/src/gqa2_w4.cu	4
docs/experiments/WINDOW/raw/final/trace_w4_mha4_s128	docs/experiments/WINDOW/raw/src/mha4_w4.cu	4
docs/experiments/WINDOW/raw/final/trace_w4_mha4_s4	docs/experiments/WINDOW/raw/src/mha4_w4.cu	4
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_balanced	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2_balanced.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_chain.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_eft	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_eft.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_legacy_grid_stride	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_wavefront	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s128_wavefront.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_balanced	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2_balanced.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_chain.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_eft	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_eft.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_legacy_grid_stride	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/gqa2.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_wavefront	docs/experiments/PLACE_EFT2/raw/plan/gqa2_s4_wavefront.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_balanced	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4_balanced.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_chain.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_eft	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_eft.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_legacy_grid_stride	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_wavefront	docs/experiments/PLACE_EFT2/raw/plan/mha4_s128_wavefront.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_balanced	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4_balanced.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_chain	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_chain.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_eft	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_eft.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_legacy_grid_stride	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_rotate	docs/experiments/PLAN_CONTRACT/legacy_identity/plan/mha4.cu	1
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_wavefront	docs/experiments/PLACE_EFT2/raw/plan/mha4_s4_wavefront.cu	1
