dump	window	measured_ns	predicted_ns	error_ns	relative_error	evaluate_us
docs/experiments/WINDOW/raw/final/trace_w1_gqa2_s4	1	428032	438988.633123	10956.6331228	0.0255976962536	61.464
docs/experiments/WINDOW/raw/final/trace_w1_mha4_s128	1	1277952	1283437.74271	5485.74271366	0.00429260466251	11946.749
docs/experiments/WINDOW/raw/final/trace_w1_mha4_s4	1	849920	882051.17466	32131.1746602	0.0378049400652	122.517
docs/experiments/WINDOW/raw/final/trace_w2_gqa2_s128	2	646144	643200.828843	-2943.17115682	-0.00455497715188	3216.69
docs/experiments/WINDOW/raw/final/trace_w2_gqa2_s4	2	470016	475174.842389	5158.84238862	0.0109758867541	61.254
docs/experiments/WINDOW/raw/final/trace_w2_mha4_s128	2	1324032	1333864.05262	9832.05262079	0.00742584214037	11985.59
docs/experiments/WINDOW/raw/final/trace_w2_mha4_s4	2	934912	948279.593192	13367.5931919	0.0142982368307	119.438
docs/experiments/WINDOW/raw/final/trace_w4_gqa2_s128	4	647296	643200.828843	-4095.17115682	-0.00632658189889	3177.303
docs/experiments/WINDOW/raw/final/trace_w4_gqa2_s4	4	471904	470054.842389	-1849.15761138	-0.0039185037876	59.018
docs/experiments/WINDOW/raw/final/trace_w4_mha4_s128	4	1325056	1337960.05262	12904.0526208	0.00973849604907	12072.466
docs/experiments/WINDOW/raw/final/trace_w4_mha4_s4	4	939104	947255.593192	8151.59319187	0.00868018152609	118.747
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_balanced	1	1052672	993312.668329	-59359.3316709	-0.0563891997421	3682.298
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_chain	1	528384	536780.81534	8396.81533983	0.0158915018998	3228.072
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_eft	1	466944	477766.463498	10822.4634975	0.0231772193186	3264.171
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_legacy_grid_stride	1	624640	626581.146733	1941.14673349	0.00310762476544	3182.498
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_rotate	1	463808	478223.199919	14415.1999195	0.0310801019376	3326.655
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s128_wavefront	1	466752	477199.199919	10447.1999195	0.022382764122	3331.625
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_balanced	1	648192	630823.866461	-17368.1335386	-0.0267947360328	64.004
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_chain	1	300032	315116.699854	15084.6998542	0.0502769699706	59.285
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_eft	1	299232	318188.699854	18956.6998542	0.0633511785311	54.23
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_legacy_grid_stride	1	453504	457420.633123	3916.6331228	0.00863638054527	56.189
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_rotate	1	291840	320092.259878	28252.2598782	0.0968073597799	53.554
docs/experiments/SYNC_V3/targets_raw/dump/gqa2_s4_wavefront	1	301056	320092.259878	19036.2598782	0.0632316242764	56.819
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_balanced	1	4111264	3863106.70015	-248157.299851	-0.060360341698	12210.404
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_chain	1	1129472	1183193.26966	53721.2696593	0.0475631708084	12348.519
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_eft	1	891904	946692.460556	54788.4605565	0.061428652138	12280.539
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_legacy_grid_stride	1	1276928	1290605.74271	13677.7427137	0.0107114439606	11801.466
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_rotate	1	866304	911969.849086	45665.8490856	0.0527134228696	12043.75
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s128_wavefront	1	960512	936545.849086	-23966.1509144	-0.0249514331048	12000.065
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_balanced	1	1236992	1217135.64924	-19856.3507635	-0.0160521254491	120.377
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_chain	1	595008	642499.308123	47491.3081231	0.0798162514169	122.632
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_eft	1	595968	637379.308123	41411.3081231	0.0694857913899	124.151
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_legacy_grid_stride	1	900960	926083.17466	25123.1746602	0.0278848946238	123.296
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_rotate	1	580608	647330.428171	66722.428171	0.114918203282	111.441
docs/experiments/SYNC_V3/targets_raw/dump/mha4_s4_wavefront	1	598144	651426.428171	53282.428171	0.0890795998471	120
